max 3.08x + 8.51y + -8.4z
-1.02x + 4.42y + 7.59z <= 709.6
-7.5x + 3.06y + -1.33z <= 597.97
-2.83x + -3.95y + -6.83z <= 262.75
-4.98x + 1.4y + -2.63z <= 662.1
8.5x + -6.83y + -1.63z <= 340.09
0.99x + 7.13y + -7.72z <= 151.79
-2.28x + -2.05y + -2.53z <= 627.95
-5.96x + -6.28y + 9.31z <= 833.46
2.57x + -5.92y + -2.93z <= 626.65
7.28x + -6.66y + 3.13z <= 428.23
-8.89x + -9.58y + 3.68z <= 748.59
9.7x + 6.45y + 4.86z <= 899.77
7.25x + 3.4y + -9.43z <= 716.45
-6.16x + -4.31y + 2.4z <= 400.89
7.62x + 2.59y + -7.87z <= 469.54
9.02x + 4.87y + 6.63z <= 749.57
-9.43x + -4.24y + -3.7z <= 398.67
8.18x + 5.38y + -6.13z <= 780.92
-4.67x + 9.71y + 2.44z <= 649.93
2.48x + 9.79y + 2.95z <= 981.64
2.62x + 8.59y + 2.61z <= 251.19
4.93x + -7.05y + -6.07z <= 763.58
3.22x + -0.51y + -0.93z <= 201.54
-4.07x + -1.74y + -6.53z <= 640.1
2.65x + -6.69y + -5.13z <= 108.08
-0.06x + -3.82y + -3.65z <= 481.13
-1.06x + 7.14y + 7.57z <= 647.33
-8.56x + -0.6y + 3.68z <= 503.22
2.88x + 1.31y + 7.12z <= 928.5
-3.05x + -8.84y + -0.35z <= 692.06
2.25x + -0.15y + 2.55z <= 791.39
8.55x + 6.84y + 7.66z <= 450.75
6.37x + 8.41y + -5.56z <= 344.28
2.17x + 0.65y + 1.12z <= 587.41
-7.59x + -0.73y + 3.51z <= 846.12
-2.26x + 3.64y + -8.93z <= 581.13
-6.63x + -8.55y + 3.46z <= 915.13
1.79x + -8.56y + 5.94z <= 957.96
-2.84x + -4.19y + 4.57z <= 202.89
2.88x + -9.59y + 1.08z <= 817.44
-8.64x + -2.86y + -8.61z <= 991.91
4.73x + -8.96y + -2.03z <= 817.7
-4.08x + 0.93y + -2.47z <= 413.78
-7.19x + 3.9y + -8.96z <= 803.92
4.35x + -8.17y + 2.1z <= 278.2
9.16x + 1.61y + -1.65z <= 147.53
4.34x + 9.09y + -4.29z <= 956.79
-6.66x + -4.41y + 1.77z <= 105.68
7.75x + 0.6y + 8.22z <= 733.65
0.2x + -1.53y + 1.83z <= 633.67
-3.42x + 5.92y + 9.38z <= 222.84
6.75x + -3.96y + 3.97z <= 491.86
6.02x + 2.61y + -4.64z <= 838.98
8.97x + 9.9y + 5.12z <= 937.83
-0.53x + -1.03y + -2.04z <= 947.61
-1.91x + -0.57y + 5.19z <= 760.84
-7.01x + 2.53y + 2.33z <= 561.17
-6.51x + 6.22y + 0.84z <= 246.54
-2.27x + 5.92y + 3.01z <= 786.65
-5.48x + -6.56y + 3.94z <= 640.44
6.2x + -7.42y + -3.19z <= 149.89
-5.28x + -3.87y + -4.67z <= 723.14
-4.22x + 9.01y + 7.05z <= 577.13
-4.04x + -7.01y + -1.49z <= 695.72
-8.34x + 1.73y + -4.74z <= 973.15
-0.85x + -5.6y + -8.82z <= 347.24
2.92x + 7.51y + 5.61z <= 881.51
4.56x + 3.21y + -0.23z <= 516.82
-5.58x + 8.8y + 9.09z <= 735.8
2.74x + -9.9y + -7.87z <= 427.42
5.06x + 0.26y + 9.11z <= 630.69
1.79x + 2.95y + 1.27z <= 478.73
5.86x + -2.68y + 4.43z <= 116.49
-6.42x + 9.53y + -4.57z <= 205.05
2.51x + 0.41y + -8.95z <= 698.25
6.15x + -9.33y + -5.83z <= 434.97
-9.34x + 1.64y + 8.05z <= 820.64
7.87x + 7.58y + 0.34z <= 290.14
3.38x + 6.36y + 7.1z <= 891.37
-2.34x + 8.95y + -3.34z <= 563.28
6.19x + -4.19y + -8.34z <= 639.29
3.34x + 5.93y + -9.08z <= 650.78
-7.24x + 5.01y + -1.01z <= 571.82
6.13x + 2.35y + 7.27z <= 897.41
-0.29x + 6.38y + -4.33z <= 166.15
-8.93x + 8.87y + -8.73z <= 182.49
2.82x + -6.12y + 4.08z <= 365.54
-5.8x + -5.11y + 8.55z <= 444.98
8.57x + -3.78y + 5.99z <= 273.74
-9.84x + 4.56y + -8.76z <= 158.63
-5.84x + 8.66y + -0.15z <= 974.24
9.18x + 5.45y + 2.4z <= 636.42
-4.34x + -2.21y + -4.39z <= 646.55
-0.34x + 2.78y + 3.14z <= 733.47
-3.47x + -7.99y + -0.1z <= 424.0
-3.85x + -5.53y + 1.76z <= 289.39
-6.42x + -0.89y + -9.28z <= 238.73
2.83x + 3.38y + 2.53z <= 261.85
-6.34x + -5.28y + -8.7z <= 605.21
-7.48x + -6.51y + -6.44z <= 637.18
0.16x + -3.48y + 2.24z <= 852.52
3.63x + 1.4y + 0.54z <= 511.8
7.56x + 2.98y + -8.86z <= 847.58
6.74x + -9.01y + 5.44z <= 459.04
4.46x + -9.07y + 2.37z <= 216.42
2.39x + 1.35y + -4.98z <= 464.25
2.26x + 6.14y + 8.02z <= 981.01
-4.83x + 4.82y + 7.32z <= 961.25
-0.39x + -4.76y + -4.59z <= 294.71
-8.84x + -6.32y + 9.22z <= 265.29
3.36x + 3.58y + 4.32z <= 703.49
8.61x + 7.42y + 2.75z <= 567.1
9.87x + 6.26y + -6.6z <= 602.69
7.73x + 7.72y + -8.93z <= 902.76
-8.02x + -9.94y + 3.68z <= 688.22
-1.14x + 5.02y + -7.99z <= 664.29
-6.26x + -4.26y + 8.68z <= 284.32
1.08x + 7.53y + 1.4z <= 343.45
1.81x + -5.97y + 7.07z <= 596.99
5.06x + -1.7y + 1.35z <= 120.63
-9.28x + 0.17y + 4.08z <= 403.3
3.27x + -8.21y + 3.9z <= 563.05
2.43x + 9.89y + -4.75z <= 930.74
-8.58x + 2.95y + 1.02z <= 371.47
8.81x + -3.48y + -8.16z <= 267.41
0.11x + -1.66y + 9.11z <= 603.11
-1.68x + 4.14y + 5.98z <= 456.32
-6.77x + 2.88y + -3.57z <= 254.91
0.98x + -2.13y + 9.5z <= 587.41
-6.9x + 7.1y + -5.96z <= 608.53
-8.14x + 7.7y + -6.8z <= 790.73
9.91x + -1.37y + 7.75z <= 388.3
2.38x + -4.79y + 8.16z <= 598.12
3.88x + -0.92y + 5.32z <= 170.5
-0.57x + 0.9y + 2.6z <= 876.78
9.93x + -0.15y + -5.51z <= 601.01
-1.29x + -2.25y + 6.71z <= 974.51
0.95x + 6.56y + 2.92z <= 905.17
-2.59x + -5.32y + 6.21z <= 857.04
6.96x + 9.39y + 1.77z <= 375.8
-0.1x + -7.32y + 5.17z <= 145.16
4.01x + -4.46y + 7.41z <= 482.31
7.71x + 4.96y + 3.9z <= 320.82
4.27x + -3.87y + -9.69z <= 820.45
-2.41x + -5.61y + 5.76z <= 437.19
-0.99x + 9.83y + -1.48z <= 442.05
-6.23x + 3.37y + 0.24z <= 433.66
-0.18x + -3.13y + -7.96z <= 429.4
-1.67x + 5.25y + -0.74z <= 561.23
-2.97x + -2.73y + 4.52z <= 454.94
-6.51x + 3.06y + 3.91z <= 658.37
-7.58x + -0.6y + 8.95z <= 297.4
0.88x + 8.87y + -7.65z <= 469.69
5.47x + -1.05y + 2.74z <= 792.4
4.96x + 0.06y + -5.44z <= 961.78
-2.96x + -2.11y + 1.01z <= 696.87
8.88x + 8.48y + -7.23z <= 279.37
0.18x + 9.33y + 5.13z <= 875.06
-3.72x + -8.1y + 7.54z <= 411.65
-8.66x + -2.61y + -6.25z <= 955.92
-5.83x + -8.55y + -6.94z <= 247.58
-5.64x + -9.63y + -4.24z <= 741.36
0.24x + -9.51y + -2.89z <= 145.39
-9.01x + -0.86y + 2.49z <= 233.12
9.53x + -9.16y + 7.36z <= 326.56
-9.06x + 4.29y + -7.76z <= 689.21
6.54x + 4.14y + -3.63z <= 224.24
8.69x + 8.43y + -5.87z <= 417.55
-2.76x + -1.21y + 8.19z <= 227.56
-0.23x + 1.87y + 7.31z <= 823.66
0.57x + 9.21y + -5.49z <= 803.61
9.82x + -8.01y + 6.79z <= 755.38
-2.02x + -6.41y + 6.13z <= 698.15
-6.82x + -2.68y + -3.32z <= 183.3
-4.33x + 2.91y + 9.3z <= 920.36
3.73x + -6.33y + 4.94z <= 463.04
3.22x + 5.35y + 0.75z <= 515.91
-6.6x + 1.7y + 1.65z <= 736.91
7.18x + -9.35y + -1.38z <= 609.41
7.41x + -2.92y + 7.52z <= 635.64
-2.02x + -9.17y + -0.45z <= 166.37
3.27x + -0.86y + -4.49z <= 579.72
1.43x + 6.0y + 7.31z <= 350.14
-2.97x + -9.23y + -2.18z <= 254.11
-8.87x + -6.87y + 4.19z <= 498.03
-7.39x + -7.69y + 8.13z <= 935.26
-1.79x + -8.57y + 2.0z <= 473.6
9.07x + 7.4y + 8.09z <= 151.46
-9.84x + -8.57y + 0.07z <= 623.72
1.92x + -4.11y + 0.22z <= 624.67
3.68x + -8.92y + 4.1z <= 453.18
2.5x + -5.47y + 4.51z <= 180.07
4.55x + 7.93y + 5.91z <= 138.37
2.29x + -5.99y + -9.04z <= 877.36
3.78x + -4.26y + 8.59z <= 854.9
0.66x + -1.69y + 0.49z <= 213.14
3.83x + 8.37y + -9.64z <= 513.05
-8.87x + -9.55y + 9.35z <= 595.98
9.75x + -1.99y + -2.5z <= 783.63
2.19x + 2.27y + 8.92z <= 862.77
-6.97x + 2.86y + 7.98z <= 275.72
-5.67x + -9.92y + -0.91z <= 241.36
-9.43x + -7.17y + -2.0z <= 898.88
8.32x + 5.64y + -0.59z <= 436.44
-3.96x + 5.35y + -5.98z <= 461.85
-0.79x + 1.31y + -9.7z <= 862.42
8.12x + -0.17y + 8.63z <= 951.27
-0.22x + 6.56y + 3.5z <= 904.65
9.96x + -7.71y + -9.05z <= 812.5
4.1x + 5.56y + -3.26z <= 101.28
-4.15x + -2.28y + 2.01z <= 788.04
0.86x + -2.25y + -1.25z <= 499.41
-2.54x + -9.61y + -5.96z <= 337.13
8.37x + 2.12y + -0.15z <= 657.49
-7.76x + 2.33y + -0.56z <= 151.89
6.5x + 7.24y + 2.69z <= 168.78
6.14x + -6.79y + 5.58z <= 420.62
-1.3x + -0.43y + -9.49z <= 643.02
5.39x + 8.03y + 5.84z <= 323.76
4.46x + -3.7y + 9.89z <= 958.1
-6.94x + -9.5y + -8.15z <= 778.83
9.11x + -5.58y + 4.04z <= 757.19
8.49x + 3.66y + 9.01z <= 594.21
-1.78x + -4.86y + 7.89z <= 489.85
0.66x + -7.5y + -6.68z <= 962.78
-5.8x + 5.15y + 5.83z <= 368.55
-2.3x + 6.98y + 3.93z <= 395.85
-2.6x + 8.2y + -2.39z <= 617.31
-6.45x + -3.1y + 8.65z <= 817.97
-8.96x + 9.74y + 4.98z <= 106.58
-7.36x + 6.82y + -9.75z <= 417.96
2.56x + 7.32y + 2.02z <= 268.48
9.08x + 7.34y + -3.13z <= 898.93
-5.92x + -7.17y + 8.02z <= 871.03
4.44x + 0.51y + -4.13z <= 278.53
0.32x + -4.94y + -4.06z <= 654.47
9.2x + -0.53y + 7.24z <= 434.98
1.42x + 3.18y + -6.09z <= 871.37
-5.85x + -4.99y + -9.47z <= 232.91
-3.39x + 6.58y + -7.52z <= 793.81
1.37x + 3.84y + 9.89z <= 447.33
9.78x + 8.51y + -7.42z <= 372.13
-0.58x + -1.94y + -1.86z <= 166.84
5.67x + -9.25y + 2.99z <= 751.42
5.48x + -2.14y + -8.42z <= 882.25
-2.78x + -8.01y + 0.32z <= 179.41
-3.33x + -8.54y + 6.75z <= 711.04
-7.13x + -7.43y + -6.37z <= 154.25
-9.32x + -4.5y + -8.06z <= 214.09
7.05x + -5.92y + 7.36z <= 234.4
-0.67x + -1.14y + 5.81z <= 834.83
4.82x + -7.88y + -0.03z <= 990.15
-5.55x + 5.87y + -2.14z <= 272.89
4.27x + 7.21y + 7.98z <= 144.05
9.93x + -6.84y + 7.76z <= 523.49
-0.84x + -9.99y + -4.0z <= 164.51
5.41x + 3.49y + -0.64z <= 353.69
6.97x + 5.74y + 6.7z <= 883.21
-2.24x + 3.93y + 9.12z <= 635.65
-3.62x + 3.14y + 8.02z <= 529.68
-3.95x + -9.27y + -2.09z <= 334.2
2.18x + -3.15y + 7.73z <= 786.39
4.7x + 4.87y + 2.79z <= 546.52
7.83x + -7.59y + -2.79z <= 144.82
-4.36x + -0.42y + -1.06z <= 882.94
-4.08x + -6.12y + -3.71z <= 227.83
2.27x + -8.01y + 5.87z <= 492.2
-1.67x + -6.37y + 7.11z <= 130.11
-6.34x + -6.63y + -2.67z <= 379.54
9.47x + 2.08y + -6.94z <= 120.49
-1.77x + -5.35y + -8.59z <= 894.29
-4.53x + 8.16y + 2.36z <= 977.04
0.34x + 3.05y + 7.91z <= 440.4
7.31x + 7.29y + -6.19z <= 803.33
0.81x + -7.17y + -6.45z <= 142.09
-4.25x + 5.59y + 8.52z <= 674.42
-0.76x + -9.79y + -4.98z <= 999.1
-3.92x + 3.46y + -9.9z <= 949.88
-7.66x + 1.01y + 5.32z <= 991.89
-9.19x + -2.87y + -5.33z <= 882.09
-3.01x + -3.66y + -7.62z <= 422.03
-1.69x + 2.14y + -2.84z <= 249.34
4.85x + -4.87y + -8.61z <= 464.91
-4.57x + -8.09y + 1.38z <= 170.72
-5.27x + -4.4y + 0.22z <= 256.88
9.51x + 4.0y + -4.91z <= 357.36
-3.93x + 8.88y + 4.86z <= 710.35
-5.85x + 0.16y + 9.46z <= 108.75
4.71x + -1.25y + 5.36z <= 790.13
-8.78x + 1.79y + -5.87z <= 166.18
6.99x + 5.95y + 1.77z <= 123.28
-0.11x + -3.77y + -6.5z <= 907.13
0.43x + 4.47y + 1.82z <= 747.8
4.17x + 4.1y + -0.26z <= 629.36
-2.54x + -7.9y + 5.82z <= 491.64
9.5x + 9.44y + -8.34z <= 195.59
-1.25x + 6.65y + 7.18z <= 110.37
-8.15x + -1.61y + -3.08z <= 346.83
5.61x + -2.28y + -0.87z <= 844.4
-3.71x + -4.96y + -8.12z <= 747.67
7.33x + -4.15y + 2.9z <= 421.41
-9.42x + 4.39y + 9.11z <= 976.86
-3.05x + 8.59y + -3.27z <= 651.87
7.5x + -2.88y + -7.74z <= 372.99
-1.99x + 2.06y + 1.88z <= 401.28
-8.96x + -9.03y + -0.43z <= 877.74
9.77x + -1.48y + -4.24z <= 570.98
0.12x + 6.18y + -9.99z <= 418.07
3.63x + -3.02y + 3.53z <= 912.52
-8.71x + 0.06y + -7.84z <= 306.04
6.53x + 6.42y + -7.58z <= 885.2
-5.54x + -8.45y + -6.41z <= 795.91
-4.87x + -4.74y + -8.64z <= 304.0
-6.16x + -4.76y + -1.2z <= 572.95
-3.86x + -0.18y + -6.57z <= 805.17
-6.22x + 8.72y + -1.47z <= 722.06
-3.36x + 9.67y + -3.29z <= 772.11
0.88x + -9.01y + -3.11z <= 394.06
2.73x + -9.19y + 2.98z <= 349.48
-7.66x + 1.0y + -8.1z <= 166.32
-4.09x + -2.73y + 9.94z <= 572.43
8.59x + 5.72y + 9.92z <= 347.35
7.29x + -0.54y + -8.55z <= 286.63
-5.22x + 8.91y + -5.27z <= 912.64
3.67x + -3.73y + -8.17z <= 952.73
6.53x + 0.62y + 4.51z <= 144.97
-5.34x + -5.86y + -6.57z <= 681.55
-7.98x + -2.74y + 1.84z <= 896.97
-6.52x + 9.21y + 0.28z <= 784.83
-2.52x + -2.54y + -4.88z <= 291.25
-7.1x + 2.35y + -4.51z <= 652.87
9.34x + 1.9y + -5.46z <= 482.87
-5.99x + -7.12y + -8.33z <= 203.98
-4.06x + -3.21y + 2.03z <= 406.05
4.79x + -7.66y + -6.64z <= 904.12
7.85x + -5.05y + 6.18z <= 763.12
-4.76x + 4.79y + 6.94z <= 547.93
0.7x + 9.68y + -0.12z <= 255.25
-9.25x + -1.3y + 2.96z <= 465.08
-9.47x + -8.71y + -3.0z <= 963.22
5.66x + 3.65y + 9.14z <= 221.05
-3.42x + 2.83y + -9.2z <= 440.01
-2.01x + -0.07y + 9.03z <= 259.65
3.28x + -8.27y + -1.08z <= 151.89
2.44x + -7.54y + -2.89z <= 946.73
-4.74x + 1.37y + 7.1z <= 656.83
0.52x + 1.5y + 1.77z <= 287.21
5.64x + 8.73y + -9.32z <= 318.04
-3.16x + 0.41y + -1.17z <= 145.69
3.86x + 6.45y + -1.19z <= 643.24
0.4x + -7.31y + 3.44z <= 640.48
7.24x + -3.32y + -2.53z <= 328.93
-6.43x + 8.24y + -7.0z <= 889.03
-1.32x + 2.16y + 0.42z <= 613.93
-0.64x + 9.26y + -6.01z <= 506.04
-2.48x + -4.11y + -10.0z <= 286.72
3.73x + -4.02y + 6.07z <= 758.1
9.41x + -9.77y + 2.04z <= 722.31
-0.27x + -8.11y + 8.84z <= 892.77
4.01x + 9.98y + 3.44z <= 628.03
3.05x + 2.5y + -5.9z <= 881.89
-0.68x + 9.9y + 0.29z <= 349.66
8.87x + 9.25y + 8.29z <= 386.2
6.98x + -6.34y + -0.96z <= 132.89
-1.97x + 5.98y + 9.33z <= 340.14
4.33x + 7.5y + 1.8z <= 236.59
-2.96x + 9.33y + -5.35z <= 663.16
-5.82x + -3.51y + -3.82z <= 356.02
-2.97x + -4.19y + -6.94z <= 316.62
6.08x + 7.14y + -8.09z <= 132.46
3.97x + 0.02y + 4.6z <= 821.0
0.27x + 7.41y + -5.53z <= 526.73
-1.91x + 0.69y + -7.37z <= 949.08
-2.8x + -5.44y + -8.25z <= 235.88
0.24x + -6.14y + 4.83z <= 460.3
9.52x + 7.32y + 3.89z <= 649.53
2.06x + 2.19y + -1.91z <= 260.07
0.25x + 1.7y + 1.27z <= 792.17
0.53x + -9.71y + -1.46z <= 998.74
-0.68x + 1.0y + -0.82z <= 998.96
1.82x + -6.65y + 8.66z <= 243.93
6.41x + 0.31y + -6.45z <= 379.04
9.38x + 2.34y + -6.34z <= 523.31
-9.9x + 1.08y + 7.75z <= 719.12
5.6x + -1.09y + -0.47z <= 904.48
9.39x + -2.35y + 6.36z <= 935.79
2.38x + -1.5y + -4.62z <= 885.08
0.03x + -3.53y + -3.78z <= 561.56
-5.31x + -2.99y + -7.21z <= 856.87
5.13x + -6.07y + -0.98z <= 456.47
2.33x + -5.4y + 1.91z <= 312.06
-2.19x + 6.15y + -2.53z <= 810.86
4.64x + -6.47y + 0.11z <= 789.85
-7.94x + -4.95y + 1.65z <= 487.5
-2.88x + -3.92y + 5.1z <= 190.04
6.13x + 9.39y + -9.69z <= 687.46
5.27x + -7.3y + 7.87z <= 192.98
2.62x + -4.89y + -7.01z <= 738.08
-0.76x + -6.92y + -4.73z <= 101.79
-6.53x + -4.84y + 9.79z <= 470.84
-2.86x + 8.82y + -6.06z <= 495.85
0.98x + 9.35y + 0.33z <= 990.22
0.22x + 4.23y + -8.32z <= 512.41
-7.42x + 3.02y + -0.46z <= 419.71
9.17x + 3.81y + -1.91z <= 251.43
1.21x + -4.2y + 8.14z <= 131.68
-1.26x + -1.14y + -2.9z <= 878.88
2.67x + 9.19y + -9.89z <= 194.1
-5.82x + 0.18y + -8.8z <= 707.68
-4.49x + -0.37y + -4.73z <= 706.89
-1.84x + -9.03y + -6.38z <= 931.56
2.7x + 0.32y + -8.99z <= 371.52
8.1x + -0.67y + 9.77z <= 765.46
2.92x + 2.99y + 4.3z <= 393.56
5.99x + 2.29y + 9.22z <= 877.25
1.69x + -6.31y + 7.27z <= 671.1
-4.79x + 6.23y + -2.43z <= 763.92
0.33x + 4.61y + -8.77z <= 625.8
-9.75x + -2.06y + -5.84z <= 136.98
-6.08x + 4.33y + 2.99z <= 404.59
-5.98x + -9.13y + -3.89z <= 728.42
2.11x + 2.64y + -8.91z <= 355.0
3.19x + -9.34y + 6.15z <= 511.42
5.13x + 4.27y + 1.4z <= 881.06
5.51x + -5.49y + -1.79z <= 591.39
-9.93x + 2.18y + -3.33z <= 377.53
-7.2x + -9.88y + 8.64z <= 411.07
-0.5x + 6.01y + 9.67z <= 668.22
0.77x + -4.8y + 1.35z <= 559.69
9.95x + -5.17y + 2.72z <= 915.25
-4.49x + 7.66y + 7.78z <= 775.45
-6.09x + 0.08y + 1.82z <= 948.27
4.27x + -7.3y + 7.5z <= 759.27
-9.34x + -0.06y + -6.59z <= 731.03
-5.46x + 4.77y + 0.15z <= 481.47
-7.68x + 7.1y + 1.14z <= 565.21
0.37x + -1.91y + -4.82z <= 332.83
-7.71x + -6.86y + 3.61z <= 631.48
4.0x + 8.41y + -4.42z <= 306.1
7.52x + 6.72y + 2.9z <= 389.39
-4.94x + 6.86y + 6.72z <= 710.27
1.96x + 2.47y + -3.62z <= 942.52
-2.63x + 9.3y + -6.17z <= 936.31
7.7x + 2.0y + 8.28z <= 883.4
-3.47x + 2.62y + 8.53z <= 264.28
-1.06x + -3.83y + 5.36z <= 764.07
6.3x + -0.57y + -4.69z <= 914.17
1.42x + 6.52y + 8.06z <= 775.31
-5.61x + -3.11y + 9.55z <= 118.09
-8.46x + 9.65y + 2.42z <= 459.03
-1.63x + 6.97y + -7.49z <= 128.37
-8.76x + -9.95y + -5.61z <= 675.54
-8.89x + -2.98y + 0.04z <= 230.49
-7.69x + -7.94y + 9.17z <= 265.67
-1.13x + -2.05y + 1.73z <= 645.31
1.14x + 0.32y + 6.19z <= 581.52
-0.65x + -2.62y + 4.85z <= 775.83
8.47x + 4.47y + -7.28z <= 784.46
7.19x + 0.66y + -2.86z <= 331.47
0.82x + -3.1y + 1.0z <= 236.89
-2.26x + -0.92y + -9.28z <= 750.45
2.9x + -2.21y + -7.24z <= 188.36
0.37x + 0.41y + 8.2z <= 765.29
-2.62x + 0.47y + 9.16z <= 540.07
7.77x + 8.51y + -3.59z <= 527.32
-8.79x + -6.95y + -8.08z <= 901.6
-8.4x + -0.19y + 3.97z <= 412.65
9.75x + 4.86y + -9.79z <= 408.0
8.24x + 5.3y + -6.89z <= 513.45
2.91x + 6.77y + -9.3z <= 767.92
-9.81x + -2.18y + -2.0z <= 662.86
-1.45x + -9.12y + -1.88z <= 132.37
-3.76x + -0.11y + -7.9z <= 315.08
-8.01x + 5.12y + 4.55z <= 589.0
3.99x + 8.96y + 9.35z <= 563.08
1.38x + 7.27y + -8.77z <= 394.69
-9.03x + -8.68y + -1.88z <= 270.71
-7.99x + -3.32y + -9.18z <= 776.41
2.81x + 7.54y + -5.48z <= 143.77
9.51x + 5.46y + 8.5z <= 366.5
-5.11x + 3.66y + 2.34z <= 829.04
-0.17x + 4.73y + 4.69z <= 950.45
-5.75x + -3.61y + -9.54z <= 403.74
-4.34x + -5.12y + 3.17z <= 135.89
-9.75x + 9.22y + -5.13z <= 682.54
-7.11x + 0.11y + -2.48z <= 789.33
8.94x + -6.11y + -3.5z <= 701.01
2.46x + -5.04y + 7.87z <= 800.79
-0.26x + -7.86y + -1.06z <= 991.6
-8.53x + -8.76y + -3.87z <= 637.32
-7.56x + 8.69y + 3.8z <= 599.92
-5.44x + 3.78y + 2.61z <= 501.77
-5.94x + -4.9y + -2.53z <= 155.64
-0.79x + -2.84y + 5.13z <= 901.98
-9.62x + -7.72y + -4.08z <= 459.43
1.35x + -7.7y + 1.8z <= 773.93
4.36x + -5.14y + 1.69z <= 952.34
2.34x + 3.91y + -8.4z <= 339.63
8.87x + 8.73y + 3.49z <= 916.45
-9.21x + -2.09y + -7.01z <= 719.01
-5.81x + 6.61y + -3.88z <= 860.3
-1.89x + 9.29y + -3.44z <= 447.86
-2.84x + 7.89y + -6.46z <= 781.62
-9.56x + 7.77y + -5.74z <= 445.2
-5.81x + -2.78y + 5.41z <= 529.43
-3.04x + -1.29y + -9.6z <= 173.8
4.5x + -6.5y + -0.21z <= 195.03
0.21x + 3.73y + -3.69z <= 201.45
-7.91x + -5.2y + 9.12z <= 699.67
-6.56x + -3.06y + -1.21z <= 388.52
