max 7.81x + -1.37y + 3.03z
-3.97x + -5.82y + 7.06z <= 272.76
-5.61x + 4.37y + -8.89z <= 370.76
-4.55x + 7.91y + -0.86z <= 751.58
7.59x + -5.19y + 1.91z <= 129.77
6.67x + -8.21y + -7.98z <= 695.11
5.99x + -4.51y + -7.36z <= 896.47
6.5x + -7.13y + 6.92z <= 661.25
2.05x + -3.99y + 9.8z <= 402.9
1.55x + -9.97y + -5.65z <= 805.67
-3.25x + 2.31y + 2.46z <= 353.39
-3.91x + 7.92y + -0.45z <= 448.52
-7.12x + 8.19y + -4.2z <= 770.66
-1.09x + -2.77y + 9.39z <= 959.13
-7.58x + -0.14y + -9.33z <= 841.82
1.53x + 4.61y + 0.17z <= 728.34
0.39x + 1.88y + 6.36z <= 692.3
-1.82x + 4.07y + -2.87z <= 762.17
9.94x + 5.62y + -9.07z <= 411.53
-5.09x + -9.59y + -7.06z <= 225.5
0.71x + 9.36y + 9.82z <= 438.2
1.16x + -6.97y + -9.7z <= 841.2
7.31x + -2.28y + -4.28z <= 182.47
3.78x + 6.4y + -2.39z <= 662.48
9.78x + 8.87y + 7.43z <= 518.52
2.54x + 1.32y + -4.83z <= 650.37
-8.52x + -3.42y + -9.03z <= 374.46
1.55x + -6.45y + 3.57z <= 796.74
4.93x + 1.32y + 3.61z <= 799.24
-8.81x + 1.08y + 2.85z <= 935.24
6.43x + 4.27y + 5.11z <= 325.3
1.21x + 2.68y + -2.08z <= 771.7
5.86x + 5.79y + -6.57z <= 589.92
-9.48x + 6.13y + 3.99z <= 429.6
5.53x + -2.24y + 7.36z <= 502.22
4.88x + 8.6y + 4.22z <= 529.53
-0.44x + 9.8y + 3.95z <= 207.9
0.26x + -5.87y + -3.76z <= 236.46
-1.75x + -7.63y + -0.56z <= 954.94
-1.54x + -8.78y + -7.73z <= 647.81
-1.47x + 6.89y + -8.61z <= 542.24
6.46x + -9.41y + 5.77z <= 947.4
-6.73x + 5.83y + -9.97z <= 513.59
-6.9x + 3.6y + -3.84z <= 598.1
-0.23x + 9.46y + -4.96z <= 933.08
0.12x + 0.57y + -6.28z <= 712.56
9.69x + 7.07y + 9.6z <= 992.91
-3.8x + 4.11y + -3.59z <= 608.0
-8.92x + -8.95y + -2.66z <= 623.05
8.1x + 2.4y + -8.25z <= 788.46
-7.72x + 8.59y + -9.81z <= 893.64
3.74x + 3.65y + -1.52z <= 237.16
-2.92x + -0.53y + -8.5z <= 246.06
6.11x + -0.92y + -6.36z <= 956.35
-5.72x + 1.58y + 3.46z <= 269.34
4.07x + -9.62y + -9.68z <= 287.98
-3.1x + 3.07y + -8.61z <= 452.19
-2.73x + -0.36y + -7.37z <= 545.53
4.87x + -7.6y + -9.82z <= 109.95
7.54x + -6.0y + -7.98z <= 523.35
3.87x + -8.2y + -7.35z <= 725.31
8.5x + 0.13y + -6.87z <= 219.87
-9.04x + -1.1y + -2.76z <= 700.62
3.28x + -1.69y + -9.94z <= 119.04
5.4x + -8.65y + -4.87z <= 488.89
2.92x + 8.15y + 6.1z <= 274.03
-0.92x + -6.06y + 7.56z <= 697.33
7.99x + -5.94y + 3.88z <= 909.77
4.56x + -5.26y + 3.51z <= 396.92
-1.87x + -6.61y + 5.16z <= 331.81
-6.61x + 4.9y + -0.71z <= 595.87
-3.7x + -1.95y + 9.47z <= 338.93
7.95x + -9.27y + -7.41z <= 435.58
-4.37x + -8.96y + -2.65z <= 771.37
6.69x + -6.86y + -3.49z <= 461.03
-1.97x + 0.8y + 7.26z <= 373.99
4.65x + 7.64y + 7.35z <= 413.12
3.13x + -1.48y + -7.24z <= 702.22
-2.09x + -3.5y + -0.23z <= 147.52
-9.55x + 9.82y + -7.44z <= 978.37
-2.48x + 9.58y + 3.31z <= 559.15
6.33x + 3.45y + -3.36z <= 678.72
-4.04x + -4.51y + 8.87z <= 933.32
0.26x + 3.55y + -0.74z <= 212.35
2.35x + -9.6y + 4.34z <= 855.12
-6.77x + -4.08y + -9.99z <= 897.33
-2.75x + -6.92y + -9.44z <= 363.45
-9.41x + -6.91y + 1.83z <= 707.05
9.73x + 1.09y + -0.68z <= 210.59
-7.25x + -7.07y + -6.03z <= 649.36
7.28x + 3.17y + -7.98z <= 767.3
-3.68x + -9.89y + -1.75z <= 847.19
-3.96x + 6.14y + -7.3z <= 905.03
-3.8x + 9.7y + -0.61z <= 656.74
6.41x + 0.63y + -8.32z <= 567.66
-8.58x + -8.04y + 8.05z <= 558.18
1.15x + -7.67y + -8.26z <= 701.73
1.62x + 0.78y + -6.48z <= 708.0
3.27x + 8.86y + -7.47z <= 907.31
-8.84x + -7.72y + 8.53z <= 866.59
-2.69x + -9.59y + -9.16z <= 701.52
-1.47x + -7.12y + -3.24z <= 615.77
-7.34x + 7.18y + 9.4z <= 277.31
2.04x + -2.87y + 7.13z <= 493.29
2.2x + -8.46y + 9.29z <= 805.58
-9.79x + 2.35y + -2.91z <= 257.8
5.66x + -6.49y + 7.33z <= 873.51
-4.97x + -3.39y + 7.98z <= 677.89
-4.16x + -0.78y + 8.36z <= 501.77
2.23x + -9.65y + -7.33z <= 915.2
-3.3x + 0.96y + -2.22z <= 956.43
-5.46x + 2.78y + -6.59z <= 454.25
0.34x + -6.96y + -6.34z <= 633.81
5.06x + -8.27y + -4.79z <= 241.96
-7.8x + 1.31y + -3.93z <= 494.92
-2.11x + 5.17y + 5.19z <= 221.29
-8.93x + -4.88y + -4.81z <= 348.77
2.09x + -0.57y + 8.32z <= 585.12
-0.68x + -8.66y + 2.31z <= 781.22
6.43x + 8.62y + 6.92z <= 964.53
-3.88x + 5.51y + -8.97z <= 969.78
8.17x + 8.85y + -9.8z <= 770.31
-7.48x + -7.81y + 4.14z <= 958.61
3.57x + -2.47y + 1.64z <= 509.93
8.83x + 7.14y + -8.97z <= 678.01
-0.89x + -8.57y + 6.73z <= 786.48
-8.47x + 0.12y + -2.27z <= 258.08
8.66x + -9.41y + -5.29z <= 364.95
-0.27x + -0.26y + -9.99z <= 526.28
6.57x + -6.4y + -5.02z <= 383.26
4.9x + -3.07y + 4.69z <= 952.17
2.6x + 1.03y + -5.79z <= 829.69
-7.85x + 2.79y + 9.84z <= 731.92
-3.42x + -0.17y + -5.19z <= 565.08
4.91x + 3.3y + -4.38z <= 773.81
-4.95x + -7.07y + -5.41z <= 267.5
-5.48x + -2.03y + -1.76z <= 434.1
5.2x + 4.68y + -5.54z <= 162.87
-6.88x + 6.83y + 7.21z <= 635.52
8.17x + -9.56y + 1.59z <= 953.51
-2.1x + 4.05y + 2.58z <= 891.89
-5.42x + 6.15y + 4.32z <= 373.69
0.1x + 7.45y + -8.89z <= 225.71
-1.11x + 9.46y + -2.2z <= 510.59
-5.45x + 2.7y + 5.0z <= 210.1
3.8x + 2.86y + -6.49z <= 708.41
8.9x + 9.14y + 6.4z <= 212.31
7.53x + 7.42y + 4.79z <= 693.88
-1.86x + -6.83y + 0.06z <= 796.95
2.8x + 8.15y + 3.47z <= 494.04
-5.16x + 4.29y + 3.65z <= 142.48
-0.17x + 0.94y + -1.93z <= 717.04
-8.45x + -2.26y + -3.92z <= 185.66
0.69x + -9.62y + -7.42z <= 963.8
-6.78x + -5.53y + -4.18z <= 233.15
7.13x + -0.8y + -7.59z <= 613.09
-9.66x + 3.41y + 0.51z <= 366.7
9.61x + 7.94y + 9.89z <= 884.02
5.67x + 2.11y + 7.56z <= 266.66
0.62x + -3.87y + 2.15z <= 494.39
-0.25x + -6.03y + -7.17z <= 687.24
5.52x + 3.38y + -4.28z <= 425.95
9.41x + 1.86y + 6.44z <= 281.7
-6.5x + -1.03y + -4.46z <= 244.72
4.54x + 2.54y + 9.97z <= 955.55
-5.39x + 5.53y + 6.27z <= 950.19
-4.73x + 3.9y + -0.06z <= 321.85
6.13x + 6.11y + -8.96z <= 902.56
-0.86x + 2.33y + -4.47z <= 830.63
2.74x + 7.11y + -0.62z <= 842.43
5.83x + 2.58y + -6.85z <= 580.3
-2.63x + -7.78y + 7.85z <= 406.86
-8.97x + -6.62y + 8.03z <= 593.78
5.84x + -4.8y + -7.53z <= 726.13
1.61x + 1.1y + 1.62z <= 888.97
-1.9x + -0.2y + -8.1z <= 421.59
-9.87x + -7.19y + 9.05z <= 785.06
-6.3x + 9.85y + -9.95z <= 597.03
1.57x + -1.32y + -7.78z <= 193.46
0.78x + -6.33y + -3.7z <= 915.07
9.63x + 4.42y + -8.73z <= 822.49
-2.45x + 2.54y + -3.99z <= 588.65
8.67x + -0.5y + 6.07z <= 806.96
3.93x + 1.07y + -1.14z <= 221.02
5.42x + 3.31y + -1.46z <= 982.56
-6.18x + 9.84y + 0.22z <= 685.15
6.82x + 9.86y + 5.9z <= 160.42
-2.94x + 3.91y + -0.56z <= 573.0
0.86x + 2.02y + 6.86z <= 423.96
6.51x + -3.5y + 0.67z <= 772.66
-6.46x + -3.13y + 0.3z <= 881.62
0.55x + 5.2y + -3.48z <= 444.6
-4.22x + 7.53y + 5.0z <= 560.53
-7.03x + -6.76y + 7.4z <= 694.12
-7.87x + -8.25y + 8.87z <= 275.5
0.43x + -8.86y + -1.44z <= 811.49
7.91x + 9.13y + -1.46z <= 992.85
-3.11x + 5.75y + -5.06z <= 857.51
7.11x + 9.72y + -9.04z <= 271.53
-0.67x + -0.06y + -2.7z <= 667.71
6.91x + 4.73y + -6.88z <= 754.26
-9.35x + 4.75y + 7.64z <= 308.27
-1.97x + 9.63y + 2.65z <= 382.8
5.71x + 2.62y + -3.46z <= 351.81
-0.26x + 5.69y + -7.54z <= 595.04
-1.82x + 9.14y + 2.12z <= 731.72
-9.22x + -5.22y + -5.06z <= 424.67
-5.8x + -3.88y + -8.66z <= 704.48
1.58x + -6.55y + 2.64z <= 396.89
2.14x + -4.72y + -0.65z <= 503.48
9.93x + -0.24y + -3.99z <= 944.37
3.18x + -0.44y + -9.54z <= 153.78
6.45x + -4.51y + 7.23z <= 495.84
8.41x + 5.67y + 6.17z <= 867.18
3.65x + 0.85y + -0.87z <= 171.07
-5.95x + -1.7y + -5.15z <= 863.81
6.27x + -9.33y + -9.91z <= 261.61
-2.45x + 0.41y + 6.55z <= 501.59
2.0x + 7.34y + -1.33z <= 676.31
-6.2x + 5.75y + 9.16z <= 489.92
7.14x + -0.42y + 5.47z <= 557.02
2.89x + 9.62y + 0.73z <= 534.19
-5.53x + 1.5y + 8.66z <= 629.74
7.74x + -7.04y + 7.44z <= 141.07
-2.23x + 4.77y + -2.3z <= 534.62
-4.91x + -9.13y + 2.43z <= 466.61
-8.06x + 1.92y + 0.39z <= 623.84
-8.2x + 6.93y + -1.48z <= 588.94
-7.35x + -0.91y + 2.61z <= 109.6
-8.72x + 6.17y + 5.68z <= 329.8
8.58x + 5.55y + -3.81z <= 927.0
-3.33x + -6.15y + -6.12z <= 523.57
0.08x + 9.82y + -3.61z <= 499.81
2.51x + 0.81y + 5.07z <= 847.6
-6.31x + 9.43y + 4.37z <= 252.13
-2.72x + 0.86y + 6.5z <= 825.26
4.79x + -1.4y + -9.24z <= 190.96
-1.1x + 6.35y + 3.29z <= 829.86
8.1x + -2.8y + 5.06z <= 893.96
-4.22x + 0.93y + -4.29z <= 501.34
-3.69x + 1.45y + 1.25z <= 956.3
6.33x + 5.59y + -7.6z <= 348.6
-9.2x + -3.24y + 9.23z <= 748.64
6.94x + -8.1y + -5.89z <= 947.03
8.41x + -3.7y + -0.61z <= 215.55
-8.81x + 8.09y + 1.31z <= 430.08
-8.53x + 7.2y + 4.84z <= 891.34
8.34x + -2.67y + -8.44z <= 927.82
2.86x + 3.17y + 4.24z <= 940.86
9.36x + 2.74y + -1.37z <= 240.82
-5.43x + 0.87y + -6.75z <= 528.04
-1.48x + 1.44y + 0.62z <= 651.9
8.07x + 9.39y + 8.27z <= 501.98
7.81x + 5.45y + 0.71z <= 540.6
-9.46x + -5.3y + -0.83z <= 904.66
-8.47x + 6.55y + 6.69z <= 702.43
-8.54x + -8.73y + 0.52z <= 597.35
-1.96x + -7.59y + 9.73z <= 943.02
1.63x + 5.31y + 2.45z <= 355.39
4.34x + 0.07y + 7.96z <= 762.42
8.03x + -0.4y + -8.72z <= 545.13
-9.03x + 0.34y + 2.37z <= 938.48
1.54x + 4.09y + 4.29z <= 902.4
9.28x + -7.6y + -7.55z <= 653.05
8.48x + 0.27y + -4.16z <= 183.89
7.89x + 9.54y + -0.73z <= 844.71
-5.43x + -8.57y + 6.28z <= 724.68
-1.79x + -1.95y + -1.6z <= 115.85
-6.82x + -3.94y + -2.99z <= 194.61
-5.19x + 9.37y + 8.35z <= 551.33
-7.75x + 7.44y + 9.55z <= 666.37
7.17x + 5.43y + -6.49z <= 854.81
-9.92x + -2.98y + 1.78z <= 686.33
-0.26x + 7.77y + 5.0z <= 244.11
0.51x + -9.14y + -3.27z <= 213.66
-2.3x + 2.59y + 5.04z <= 377.67
4.65x + -8.66y + 3.11z <= 683.03
-5.16x + 2.75y + 9.46z <= 916.94
-5.99x + -6.32y + 0.15z <= 169.01
-3.61x + 1.72y + 0.6z <= 708.05
-9.48x + -3.48y + 8.74z <= 949.24
-0.01x + 8.96y + 8.52z <= 928.79
-2.94x + 3.33y + 7.81z <= 885.73
0.9x + 1.26y + -3.03z <= 509.64
6.21x + 9.02y + 8.74z <= 369.03
6.12x + -1.87y + 9.7z <= 389.53
-6.91x + -5.89y + -9.5z <= 784.08
6.07x + 1.99y + -0.86z <= 423.7
-3.15x + 5.48y + 9.6z <= 164.16
-0.33x + -9.47y + 8.81z <= 170.51
1.13x + -9.98y + -9.2z <= 271.8
-6.55x + 3.96y + -5.03z <= 336.68
1.53x + -0.36y + -5.98z <= 596.06
9.23x + 4.03y + -4.06z <= 755.28
-6.14x + 7.82y + 8.86z <= 396.64
-8.14x + -8.33y + 2.09z <= 590.67
-0.44x + 8.82y + 8.52z <= 160.04
-4.59x + -7.95y + 6.27z <= 689.5
-6.96x + 4.82y + -4.89z <= 832.19
0.14x + 1.65y + 2.75z <= 372.41
-7.13x + -8.46y + -2.25z <= 939.69
6.41x + 0.57y + 6.12z <= 482.39
3.77x + 3.7y + -3.42z <= 113.02
-0.64x + -7.56y + -8.74z <= 104.68
-9.53x + -9.29y + -8.97z <= 663.75
0.49x + 3.85y + 5.09z <= 542.7
9.4x + 7.61y + -8.75z <= 917.72
3.82x + 3.79y + 5.11z <= 690.78
2.88x + 5.62y + -3.14z <= 173.12
9.52x + -5.29y + -6.28z <= 140.28
-6.77x + -9.88y + -8.99z <= 791.16
-7.27x + 0.38y + 9.14z <= 457.77
9.7x + 3.45y + -4.98z <= 700.39
4.21x + 1.29y + 4.08z <= 565.77
1.46x + -0.64y + 4.49z <= 280.3
7.96x + 2.62y + -5.85z <= 235.34
-2.36x + -3.34y + -0.39z <= 650.52
9.58x + -4.36y + 6.82z <= 935.9
9.24x + -4.9y + -0.34z <= 142.06
-9.35x + -7.58y + -9.34z <= 577.93
6.32x + 1.81y + 9.54z <= 762.33
8.48x + 1.7y + -4.22z <= 643.5
4.46x + 4.2y + 5.77z <= 586.55
-0.34x + 0.34y + 0.24z <= 527.45
0.77x + 8.04y + -2.94z <= 790.53
-7.32x + -7.88y + -9.07z <= 171.01
4.21x + -8.64y + 7.11z <= 799.04
-2.42x + 8.24y + 7.89z <= 500.2
-1.52x + 7.0y + -7.21z <= 522.96
8.99x + -8.11y + -9.45z <= 603.28
-5.52x + -0.68y + 0.56z <= 956.22
5.58x + -2.48y + -6.59z <= 156.33
3.06x + -6.28y + -3.21z <= 848.51
6.16x + 5.3y + -3.64z <= 368.7
0.75x + 6.08y + -4.12z <= 254.13
-0.25x + 5.41y + -9.77z <= 899.15
-7.6x + -6.89y + -2.97z <= 426.73
-4.97x + -9.78y + -0.15z <= 838.64
9.32x + -7.81y + 6.29z <= 326.21
1.41x + 9.39y + 9.21z <= 574.86
7.8x + 0.87y + -7.73z <= 805.78
-5.73x + -2.92y + 1.67z <= 368.8
-5.69x + 9.89y + -0.19z <= 819.8
-6.49x + 3.6y + -0.99z <= 372.77
6.18x + -3.12y + 0.67z <= 908.17
4.73x + -3.33y + -3.67z <= 364.29
-2.35x + -3.89y + 7.04z <= 309.66
1.34x + 7.55y + 8.93z <= 780.18
2.9x + -8.85y + 6.58z <= 952.55
1.08x + -4.56y + 1.45z <= 246.54
-3.28x + 4.44y + 6.55z <= 275.92
-3.47x + 9.59y + 8.89z <= 284.15
-0.05x + 8.2y + 4.42z <= 954.6
2.85x + 0.3y + -1.38z <= 207.14
-2.06x + -5.76y + -2.77z <= 903.28
8.7x + 1.91y + 6.73z <= 309.17
1.03x + -0.4y + -7.67z <= 975.69
3.61x + 9.8y + 9.58z <= 906.76
7.04x + -1.68y + 7.27z <= 596.23
-0.43x + -4.79y + -9.66z <= 105.32
4.42x + 0.63y + -4.22z <= 849.42
3.34x + -8.09y + -1.04z <= 255.8
5.48x + 3.32y + -2.13z <= 840.49
-4.7x + 6.16y + 9.44z <= 876.59
-1.8x + 6.22y + -4.04z <= 160.34
6.55x + -2.21y + 2.51z <= 734.08
-7.1x + 3.64y + -7.67z <= 967.21
1.0x + 6.08y + 6.72z <= 643.01
6.4x + -7.65y + 2.6z <= 562.17
-5.79x + -6.88y + 6.96z <= 850.95
6.62x + -9.06y + 2.58z <= 841.87
0.74x + -5.2y + 6.55z <= 152.03
-5.59x + 7.5y + 9.19z <= 951.23
-3.45x + 0.49y + 3.88z <= 261.47
5.53x + 4.49y + -0.98z <= 304.84
-1.89x + 0.02y + -8.74z <= 614.51
5.05x + -3.09y + -5.78z <= 292.89
3.39x + 4.08y + -6.24z <= 826.28
-1.38x + 4.94y + -7.97z <= 379.5
-1.15x + -5.28y + -4.3z <= 501.35
-3.2x + -0.81y + -7.58z <= 286.28
9.34x + 2.98y + -3.7z <= 828.63
-5.06x + -0.7y + -9.61z <= 390.29
9.38x + 1.11y + -8.27z <= 980.01
-4.37x + 0.5y + -8.61z <= 639.3
-0.7x + 2.72y + 4.88z <= 220.73
7.31x + 4.15y + 1.89z <= 331.87
2.55x + -1.93y + 0.66z <= 161.21
-1.64x + 2.0y + 1.37z <= 576.19
0.93x + 9.2y + 7.88z <= 659.82
4.96x + 1.94y + -6.67z <= 443.12
-3.6x + -4.79y + 6.94z <= 780.71
-4.11x + 5.33y + 6.2z <= 744.53
1.36x + 2.3y + -5.7z <= 837.49
2.05x + -8.1y + 3.26z <= 650.46
-2.09x + 6.78y + -2.89z <= 914.93
-2.48x + 1.34y + 3.37z <= 621.68
6.15x + 5.5y + -6.37z <= 524.04
-0.3x + -6.94y + 1.16z <= 279.04
-3.98x + 0.2y + -7.25z <= 743.44
2.6x + -8.91y + -1.14z <= 308.28
0.11x + -4.6y + -8.39z <= 776.87
-5.14x + 6.87y + -8.96z <= 204.77
-3.92x + -5.77y + 2.99z <= 573.27
-0.39x + -0.65y + -5.7z <= 297.46
8.26x + -9.37y + 5.09z <= 199.9
-5.0x + 7.6y + -9.77z <= 486.01
1.97x + 3.39y + -8.54z <= 996.71
2.78x + 8.67y + 7.46z <= 803.46
6.41x + 0.29y + 9.72z <= 679.25
-4.87x + -3.26y + 5.23z <= 412.26
-9.2x + -1.75y + -9.32z <= 757.65
1.83x + 9.54y + 8.1z <= 723.64
-0.77x + 1.05y + 8.4z <= 594.56
1.54x + 3.33y + 4.02z <= 134.9
-4.62x + 1.84y + 9.25z <= 752.81
-7.7x + -7.82y + -5.23z <= 683.74
-0.33x + -6.7y + -1.41z <= 825.87
7.63x + -4.2y + 2.13z <= 866.41
-3.39x + -1.04y + -3.87z <= 819.96
1.09x + -3.58y + -0.75z <= 866.55
-6.31x + 6.6y + -6.79z <= 176.72
4.84x + -6.2y + -9.34z <= 614.51
3.78x + 9.46y + -0.21z <= 872.4
-3.1x + -3.01y + -9.04z <= 194.2
-2.63x + 5.82y + -6.4z <= 835.94
1.29x + -0.83y + 3.19z <= 567.13
-7.02x + -2.19y + -7.64z <= 919.09
5.14x + 0.77y + -2.1z <= 456.1
2.08x + 2.92y + -5.56z <= 296.82
-0.59x + 7.51y + -9.04z <= 175.1
-4.92x + -3.99y + -1.04z <= 843.75
9.35x + 7.75y + 7.79z <= 979.02
-4.16x + -3.47y + -6.6z <= 835.71
-5.52x + -1.76y + -9.59z <= 774.73
5.48x + -7.12y + 2.28z <= 521.82
-8.38x + 7.45y + -7.3z <= 307.89
5.02x + -0.68y + -2.84z <= 482.76
-0.01x + -9.33y + -1.49z <= 867.44
1.44x + -0.9y + 7.37z <= 205.32
-2.1x + -6.19y + -7.17z <= 835.89
-6.54x + -9.38y + -9.28z <= 433.91
-0.84x + 8.15y + -0.61z <= 947.62
-1.09x + 0.65y + -1.27z <= 643.97
5.58x + -6.61y + -4.43z <= 541.23
-4.82x + 3.9y + -9.08z <= 107.41
-8.0x + 9.22y + 6.15z <= 856.93
-7.37x + 5.08y + -3.87z <= 321.79
-4.36x + 3.99y + 3.4z <= 242.2
-4.78x + 2.41y + -6.56z <= 472.22
4.28x + -4.04y + 1.2z <= 505.05
6.71x + 7.45y + 7.03z <= 564.97
2.27x + -0.69y + -7.66z <= 799.1
-1.7x + 0.36y + -9.74z <= 347.66
5.7x + -1.53y + -9.55z <= 106.64
8.82x + 0.24y + -1.11z <= 553.33
-4.39x + -8.0y + -8.8z <= 284.31
