max -1.05x + -2.26y + 0.11z
1.34x + -3.55y + 5.89z <= 596.44
6.98x + 4.14y + 5.94z <= 603.02
-1.54x + -2.89y + 1.45z <= 672.0
-5.11x + -5.54y + -5.36z <= 878.47
-9.07x + -6.32y + -1.67z <= 554.37
-6.41x + 9.96y + -5.23z <= 888.73
4.68x + -6.28y + -7.52z <= 128.55
9.01x + -1.83y + -9.07z <= 226.16
1.07x + -9.54y + -2.56z <= 996.17
8.94x + -9.29y + -9.79z <= 449.02
5.91x + 9.06y + -4.96z <= 303.5
-5.18x + 3.39y + -8.2z <= 814.41
-2.51x + 5.72y + -9.33z <= 473.04
-5.22x + 4.09y + 9.12z <= 397.98
-0.58x + -0.09y + 9.96z <= 385.39
4.8x + 2.49y + 7.87z <= 836.96
-9.18x + -7.41y + 4.78z <= 544.44
1.74x + 4.55y + 7.52z <= 185.9
-5.69x + 5.17y + 0.53z <= 800.14
5.75x + -6.16y + -8.49z <= 875.0
-1.16x + 3.39y + -9.19z <= 828.39
1.16x + -4.03y + -8.37z <= 930.8
8.96x + -7.14y + -1.18z <= 249.57
-4.67x + 9.25y + 4.51z <= 258.64
-1.71x + -1.44y + 5.07z <= 719.6
-8.04x + 1.44y + 5.37z <= 451.68
-5.25x + 1.87y + 7.52z <= 610.07
-5.64x + 9.29y + 6.76z <= 308.03
-3.22x + -8.86y + 3.98z <= 407.02
2.32x + -7.75y + 9.43z <= 417.84
-9.11x + -7.68y + 8.1z <= 664.16
-7.59x + -5.23y + 2.45z <= 699.65
7.4x + -8.2y + 2.06z <= 609.24
-4.96x + 0.67y + -7.98z <= 127.16
-9.05x + 7.97y + 3.37z <= 425.29
2.11x + 1.39y + -7.36z <= 899.63
-1.47x + -9.28y + -0.63z <= 108.95
2.36x + -9.72y + -2.71z <= 730.57
0.42x + -2.71y + -2.77z <= 587.58
-7.13x + -2.66y + -8.64z <= 406.96
9.43x + 0.49y + -3.49z <= 513.69
-3.94x + -0.67y + -4.28z <= 556.53
-9.76x + 4.59y + 3.81z <= 926.91
-4.45x + 2.69y + 5.16z <= 835.75
-6.51x + -3.06y + 6.26z <= 568.73
-5.6x + 3.02y + -4.35z <= 193.28
5.37x + 5.07y + -7.14z <= 957.22
-0.05x + 4.52y + -1.61z <= 930.53
2.48x + 3.54y + -6.62z <= 270.83
-6.87x + 2.84y + -2.52z <= 679.12
-1.01x + 3.49y + 4.15z <= 682.57
7.62x + 6.38y + -9.83z <= 117.73
-6.54x + 4.7y + 5.81z <= 817.74
0.92x + 1.19y + -1.45z <= 843.48
5.65x + 0.94y + -7.92z <= 664.27
-5.99x + -6.01y + -8.84z <= 868.22
4.51x + 5.11y + -7.64z <= 651.83
2.38x + 6.28y + 6.11z <= 217.17
8.65x + 3.22y + -4.7z <= 321.84
3.34x + -0.03y + 2.16z <= 733.69
-9.36x + -0.85y + 7.12z <= 649.62
-5.56x + -4.82y + -0.89z <= 298.44
5.22x + -9.56y + 4.52z <= 378.37
-5.94x + -4.27y + 8.07z <= 644.5
-3.04x + -8.16y + 5.26z <= 625.26
6.47x + -7.91y + -2.88z <= 730.6
-3.91x + 4.55y + -6.14z <= 743.41
0.14x + -8.01y + -9.42z <= 221.25
-1.37x + 8.83y + 1.32z <= 881.97
-3.63x + -5.77y + 2.04z <= 883.66
0.28x + -6.73y + -3.52z <= 985.85
7.59x + -7.19y + -9.13z <= 481.62
5.66x + 1.29y + 0.78z <= 371.17
2.73x + 5.13y + 4.4z <= 560.83
-7.32x + 9.28y + 4.3z <= 965.05
7.96x + 7.51y + -3.21z <= 876.96
9.07x + 0.81y + -2.35z <= 633.78
4.57x + -4.89y + -7.08z <= 731.9
-0.09x + 5.85y + -8.26z <= 233.26
8.64x + -3.54y + -4.95z <= 848.21
1.41x + -0.93y + 8.15z <= 334.13
-3.64x + 0.58y + -8.76z <= 368.77
8.16x + -9.63y + 0.14z <= 592.15
-6.68x + -9.81y + -2.91z <= 799.99
9.18x + 1.96y + 2.01z <= 425.02
2.49x + 4.1y + -6.25z <= 812.43
7.35x + -3.28y + 0.31z <= 915.31
7.82x + 5.88y + 0.38z <= 664.81
3.45x + 6.05y + 0.11z <= 877.88
-2.61x + 5.6y + 3.46z <= 427.98
7.24x + 2.56y + 0.26z <= 292.86
7.71x + 9.66y + 2.02z <= 432.96
-3.03x + 6.85y + 0.65z <= 665.29
6.28x + 4.82y + 0.97z <= 602.84
-9.76x + -4.14y + -4.87z <= 156.31
-7.1x + 3.0y + -8.48z <= 219.37
9.1x + 3.34y + -0.97z <= 541.35
-1.87x + 8.41y + 8.23z <= 459.46
0.8x + -7.94y + -0.47z <= 676.57
0.38x + -2.81y + 1.53z <= 215.92
-7.05x + -3.85y + 2.57z <= 461.88
-5.14x + -2.93y + -9.68z <= 431.31
3.99x + 1.74y + 1.97z <= 521.69
9.11x + 9.21y + 5.36z <= 930.7
-5.78x + 3.8y + -2.99z <= 421.47
-9.61x + -5.39y + 1.91z <= 724.75
9.98x + -2.09y + 6.96z <= 616.69
4.21x + -2.36y + -4.21z <= 398.68
-0.56x + -0.06y + -1.05z <= 418.05
3.61x + 1.28y + -9.2z <= 860.29
-0.45x + 8.97y + 1.34z <= 502.38
-8.27x + 2.54y + 6.75z <= 980.53
9.08x + -3.38y + 3.89z <= 794.51
-4.46x + -2.69y + -8.76z <= 130.04
2.3x + 1.9y + -5.71z <= 221.67
-4.09x + 6.12y + 7.62z <= 500.06
7.9x + 0.55y + -9.16z <= 482.83
5.62x + 6.05y + 2.94z <= 155.98
5.93x + 7.09y + -8.17z <= 361.03
-8.97x + -0.76y + -0.57z <= 189.21
3.8x + 0.73y + 1.16z <= 588.84
-9.66x + -7.29y + -2.69z <= 764.82
4.21x + -4.46y + -0.75z <= 595.55
4.05x + 3.21y + -7.7z <= 399.07
-4.41x + 7.52y + -8.22z <= 119.78
9.69x + -3.16y + -1.16z <= 565.45
7.74x + 4.35y + 8.23z <= 353.11
-3.08x + -3.74y + -5.7z <= 645.17
7.73x + 7.26y + -7.0z <= 470.33
6.84x + -3.76y + 9.24z <= 492.03
9.28x + 8.9y + 7.12z <= 224.56
-9.69x + -0.88y + 8.45z <= 421.19
5.43x + -0.91y + 7.4z <= 469.09
-3.13x + 6.6y + 5.33z <= 945.81
-3.4x + -3.98y + 4.75z <= 675.76
1.89x + 7.97y + 2.71z <= 931.03
4.22x + -4.06y + 9.41z <= 669.84
-3.15x + -1.45y + 3.39z <= 109.57
-1.66x + 1.29y + 9.34z <= 477.78
-9.68x + -4.73y + 8.75z <= 250.3
6.28x + -8.94y + 7.76z <= 135.94
9.22x + 2.6y + 5.25z <= 574.72
0.03x + 3.7y + -1.32z <= 242.16
-1.66x + -3.26y + -8.87z <= 137.47
7.47x + -6.92y + -5.21z <= 560.93
-5.06x + -3.78y + -3.59z <= 381.72
3.45x + -0.33y + -3.22z <= 930.32
2.88x + -8.3y + 3.51z <= 479.39
6.71x + -3.56y + 9.46z <= 566.07
5.61x + 6.32y + -7.22z <= 621.32
-6.19x + -7.71y + -6.53z <= 917.31
-3.63x + -9.14y + 9.96z <= 886.78
-2.21x + -2.68y + -5.75z <= 994.94
-6.94x + 2.88y + -4.7z <= 258.04
8.34x + 1.65y + -5.63z <= 482.94
0.75x + -7.57y + -6.08z <= 813.29
-7.79x + 6.33y + 7.59z <= 924.92
1.95x + -1.2y + -0.11z <= 213.77
-9.94x + 8.0y + -5.23z <= 903.71
1.56x + 6.5y + 0.01z <= 988.46
7.1x + 3.16y + -5.16z <= 505.09
7.73x + -9.56y + 0.49z <= 281.95
-8.33x + 3.32y + 6.88z <= 922.45
3.12x + -4.66y + -9.62z <= 116.38
-7.03x + 6.77y + 3.45z <= 649.62
-2.71x + 9.1y + -0.08z <= 502.84
-1.29x + 7.86y + -3.06z <= 725.41
2.99x + -4.53y + 1.08z <= 335.27
1.19x + 7.12y + -3.98z <= 329.18
-4.22x + -3.1y + 0.03z <= 981.44
5.75x + 4.13y + 1.96z <= 470.49
-8.04x + -8.87y + -8.34z <= 356.66
7.04x + 9.21y + 5.04z <= 667.18
-2.68x + 6.29y + -4.73z <= 208.38
8.11x + 9.19y + -8.01z <= 710.36
-2.79x + -3.0y + -7.64z <= 572.18
-4.49x + 6.88y + 5.07z <= 618.78
-8.42x + 8.68y + 8.27z <= 857.59
-1.84x + -2.36y + 5.59z <= 288.89
-8.51x + -8.89y + -9.95z <= 594.93
1.58x + 3.73y + -6.96z <= 625.85
8.05x + -6.23y + 8.93z <= 969.52
7.15x + 8.51y + -9.57z <= 428.42
-6.69x + 2.23y + 5.17z <= 788.95
7.7x + -3.99y + -9.6z <= 753.81
-5.56x + -6.81y + 6.83z <= 816.89
1.71x + 2.69y + 0.12z <= 295.25
-8.81x + 2.82y + 0.86z <= 678.3
2.36x + -1.28y + 7.11z <= 470.1
4.53x + -4.94y + 3.33z <= 483.81
8.55x + -9.84y + 6.09z <= 851.41
-4.31x + -2.12y + 9.57z <= 747.84
9.83x + 1.96y + 9.01z <= 725.47
-9.13x + -6.21y + 9.21z <= 189.8
-3.37x + -2.31y + 7.93z <= 596.29
3.55x + 3.75y + -5.3z <= 719.81
1.51x + -5.3y + -7.39z <= 186.67
-7.9x + -1.29y + -5.49z <= 597.81
0.53x + 4.71y + -0.57z <= 657.59
-2.52x + -9.73y + -4.46z <= 430.04
-2.13x + -5.72y + -3.25z <= 775.03
3.73x + 2.36y + 9.97z <= 530.11
-1.62x + 6.09y + 4.72z <= 386.62
7.52x + 4.02y + 0.47z <= 721.44
1.64x + -9.83y + 9.32z <= 933.5
7.9x + 2.04y + -5.82z <= 166.93
-7.46x + 2.94y + 8.57z <= 132.42
7.86x + 3.59y + -2.28z <= 232.56
1.63x + 0.41y + 8.48z <= 179.03
1.13x + 6.47y + -6.57z <= 882.65
8.41x + 7.63y + -5.48z <= 746.94
-7.46x + 9.9y + 7.17z <= 179.24
1.35x + -8.61y + 3.45z <= 350.5
7.18x + -4.96y + 4.87z <= 160.76
-0.77x + 1.52y + 2.79z <= 293.86
-2.44x + -5.29y + -8.95z <= 662.32
-6.33x + -7.05y + -8.86z <= 334.12
0.32x + -0.91y + -6.73z <= 360.78
6.48x + -9.72y + 7.22z <= 206.49
-6.79x + 0.28y + 1.33z <= 103.43
5.33x + -4.69y + -9.27z <= 995.78
8.32x + 5.24y + 2.26z <= 602.36
9.98x + 1.85y + 4.83z <= 549.25
2.25x + -4.58y + -2.68z <= 218.36
-7.48x + -4.44y + -6.63z <= 347.6
4.89x + -1.02y + 7.47z <= 637.73
-7.14x + 0.9y + -3.35z <= 595.81
-6.76x + -6.08y + -3.45z <= 675.11
6.09x + 0.99y + 0.17z <= 962.44
-8.06x + -5.05y + -1.43z <= 349.56
0.93x + 8.15y + 4.77z <= 523.9
9.19x + -6.76y + -8.38z <= 576.44
8.85x + -8.28y + 9.33z <= 542.09
-5.63x + -4.75y + -8.81z <= 589.02
-1.7x + 0.04y + 5.17z <= 469.76
7.12x + 9.12y + -8.94z <= 264.25
-9.81x + -1.77y + -8.71z <= 951.39
6.42x + 0.36y + -3.11z <= 687.57
9.09x + 1.43y + 1.72z <= 642.79
6.18x + -5.65y + 4.28z <= 914.99
-1.04x + 8.63y + 1.04z <= 585.82
1.51x + -6.48y + 9.58z <= 862.91
6.54x + -8.22y + 4.84z <= 716.79
8.1x + 7.55y + -8.51z <= 563.11
-0.85x + -2.88y + 7.19z <= 795.39
8.04x + 5.06y + -0.87z <= 236.26
9.51x + 2.13y + -0.87z <= 870.88
6.56x + -1.34y + -5.55z <= 675.8
4.23x + 0.14y + -3.23z <= 173.56
-5.97x + 5.28y + -4.6z <= 359.4
9.48x + -3.19y + -4.23z <= 922.51
9.5x + -2.96y + -6.13z <= 291.17
-2.3x + 2.82y + -6.85z <= 750.43
-6.22x + -1.47y + -2.47z <= 509.99
-7.79x + 6.03y + 4.77z <= 739.8
-8.46x + 8.13y + 6.99z <= 434.15
4.04x + -4.87y + -6.07z <= 454.82
0.77x + 6.74y + -5.55z <= 840.18
-8.54x + 1.29y + -9.32z <= 686.43
0.44x + 0.2y + 2.9z <= 884.27
-7.67x + -1.11y + -1.25z <= 953.98
-6.94x + -6.65y + -9.28z <= 370.63
6.38x + -1.79y + 3.21z <= 471.36
9.89x + 8.8y + -4.93z <= 343.01
-8.98x + -8.89y + -8.69z <= 291.69
3.78x + -5.1y + 3.61z <= 650.54
-2.83x + -2.98y + 4.1z <= 943.51
6.08x + -8.92y + 7.85z <= 378.07
7.04x + 3.71y + -6.02z <= 672.0
-6.72x + -3.46y + 4.91z <= 798.55
3.49x + -0.79y + -7.14z <= 165.67
-7.3x + 9.87y + 6.15z <= 830.1
-9.32x + 3.34y + 6.54z <= 804.41
-6.22x + -1.87y + 9.83z <= 476.5
7.22x + -1.46y + -0.58z <= 561.4
7.76x + 2.14y + 0.86z <= 918.55
6.95x + 7.17y + 1.43z <= 729.76
-3.27x + 5.39y + -3.33z <= 484.02
7.39x + -0.65y + 5.27z <= 492.34
-5.91x + 1.96y + -4.4z <= 659.83
-2.6x + -9.94y + 0.29z <= 879.26
-4.77x + -1.85y + 1.0z <= 288.2
-4.44x + -7.93y + -7.36z <= 570.76
0.16x + -2.11y + 8.44z <= 209.71
2.49x + -4.63y + -5.92z <= 840.04
-1.25x + -5.33y + -1.2z <= 419.27
0.14x + -0.41y + -7.12z <= 129.99
-1.14x + -4.11y + -0.07z <= 370.42
-1.78x + 3.69y + 7.86z <= 453.09
-3.62x + 4.67y + 2.1z <= 240.12
6.77x + -8.65y + 3.87z <= 183.96
-2.91x + -5.33y + 0.56z <= 657.36
-5.23x + -5.39y + 1.76z <= 308.31
8.66x + -3.29y + 6.4z <= 668.47
4.78x + 7.68y + -1.48z <= 600.97
-3.38x + -0.83y + 7.48z <= 837.1
-3.89x + 9.32y + -7.73z <= 662.75
-1.7x + 1.62y + -1.52z <= 179.41
5.48x + 3.49y + -8.07z <= 276.02
7.55x + -4.81y + 3.2z <= 785.11
-0.63x + 6.0y + 4.28z <= 120.19
-6.19x + -5.59y + 0.79z <= 728.5
-8.83x + -3.04y + -7.54z <= 943.86
9.12x + -3.14y + 4.12z <= 673.8
6.7x + 1.38y + 4.87z <= 952.57
-8.58x + 9.12y + 5.93z <= 516.99
-0.14x + 6.36y + 7.66z <= 430.36
-3.17x + 0.71y + -2.86z <= 188.41
6.14x + -9.1y + -7.99z <= 755.43
6.47x + 5.77y + 4.04z <= 107.54
7.66x + 6.78y + 3.98z <= 416.24
2.63x + -7.02y + 9.69z <= 732.56
-3.02x + -4.41y + -4.29z <= 259.31
3.33x + 4.47y + 6.21z <= 365.45
-6.45x + -8.68y + -5.52z <= 190.04
-9.6x + 1.13y + -8.96z <= 769.17
-7.7x + 4.93y + 7.33z <= 278.08
3.63x + 3.64y + -5.95z <= 102.09
0.65x + 5.83y + -7.91z <= 999.15
8.28x + -7.14y + -7.36z <= 213.29
-7.75x + 5.91y + 0.04z <= 717.02
2.25x + -3.18y + 2.3z <= 616.79
-2.75x + -4.83y + 8.24z <= 670.51
5.1x + -5.67y + 1.23z <= 871.13
-4.25x + -4.19y + -8.13z <= 377.48
8.15x + -0.95y + 5.74z <= 307.25
-2.55x + -6.7y + -3.07z <= 531.13
-6.37x + -9.13y + -8.39z <= 731.84
3.62x + 8.13y + 0.02z <= 842.31
7.77x + -5.57y + -8.47z <= 520.98
-8.47x + 5.99y + 7.63z <= 835.59
0.41x + -8.09y + -3.62z <= 763.53
-6.79x + -5.37y + 1.42z <= 569.74
-7.86x + 3.72y + 5.56z <= 948.22
-1.26x + -7.11y + -8.86z <= 525.75
1.95x + 5.93y + 4.86z <= 366.7
-8.5x + -4.26y + 7.02z <= 364.66
-4.93x + -1.76y + 4.69z <= 384.19
-4.66x + -4.51y + 3.1z <= 895.74
-2.76x + -2.84y + -2.98z <= 772.3
-8.03x + -9.63y + 5.86z <= 485.23
5.74x + 1.61y + -0.07z <= 470.25
-5.64x + -2.72y + 8.51z <= 221.77
1.53x + -0.53y + -3.73z <= 410.35
4.18x + -9.41y + 7.88z <= 782.08
7.41x + 7.21y + -6.7z <= 670.57
-5.05x + -1.22y + 8.41z <= 496.68
2.76x + -8.41y + 9.06z <= 352.65
-8.63x + -4.14y + 3.7z <= 916.45
1.04x + -2.24y + 6.64z <= 126.46
-2.29x + 3.21y + 7.82z <= 239.67
6.66x + -4.42y + 9.6z <= 141.43
-4.29x + -0.25y + 1.65z <= 703.98
-2.62x + 0.94y + -7.93z <= 553.79
-9.13x + -7.98y + 5.33z <= 980.86
-3.38x + 4.3y + -4.37z <= 654.08
-1.69x + -0.13y + -6.68z <= 721.58
2.56x + -7.77y + 5.75z <= 778.96
0.63x + -3.44y + -9.28z <= 168.4
3.22x + 0.51y + -2.3z <= 560.16
0.24x + -0.38y + 2.57z <= 633.01
-3.23x + 6.55y + 5.28z <= 710.08
0.99x + 4.3y + -6.78z <= 151.27
4.12x + 4.13y + 5.08z <= 871.49
2.84x + 5.37y + -0.38z <= 997.12
1.28x + 1.28y + -8.53z <= 805.79
8.55x + -6.42y + 5.45z <= 462.18
3.1x + 8.01y + -1.75z <= 480.15
5.06x + 4.79y + 9.4z <= 855.24
-9.98x + -7.54y + 6.45z <= 601.95
-9.5x + -3.56y + 8.77z <= 440.78
9.86x + 4.41y + -3.99z <= 927.35
7.42x + 5.1y + -4.34z <= 174.26
3.83x + 8.27y + 2.04z <= 898.56
-4.67x + -8.31y + -2.65z <= 927.32
-5.23x + 6.27y + -5.04z <= 108.95
2.58x + 8.49y + 2.27z <= 576.54
0.44x + 2.99y + -3.81z <= 155.39
-4.72x + -5.39y + 6.48z <= 671.25
-4.16x + -4.43y + -4.36z <= 417.47
-2.84x + -3.67y + -2.0z <= 645.07
-7.15x + 5.77y + 9.07z <= 839.62
-8.86x + -0.37y + 1.76z <= 736.23
-6.96x + 8.96y + 5.2z <= 848.23
5.57x + -5.98y + 2.39z <= 119.51
-4.6x + -8.01y + 4.37z <= 594.44
-6.57x + 7.36y + 7.78z <= 416.3
-2.41x + -8.11y + 8.78z <= 777.6
1.79x + 9.44y + 8.73z <= 359.35
-0.67x + 6.74y + -1.2z <= 840.31
8.67x + 0.29y + 5.7z <= 950.62
-4.77x + 8.36y + -2.08z <= 377.31
1.05x + -9.53y + 7.48z <= 642.55
1.91x + -3.99y + 8.15z <= 603.7
-9.7x + -4.66y + -8.18z <= 939.51
0.73x + 9.88y + 2.66z <= 200.1
-8.64x + 0.06y + -8.94z <= 872.59
-5.48x + 0.07y + 0.38z <= 916.95
9.56x + 6.13y + -5.73z <= 481.77
9.75x + 5.52y + -4.0z <= 371.52
-5.38x + 0.01y + -7.31z <= 870.76
-5.73x + -0.19y + 5.44z <= 209.35
-9.19x + 3.5y + -5.25z <= 331.35
5.11x + -8.65y + -7.14z <= 652.24
-8.21x + 8.01y + -9.74z <= 629.34
-7.17x + 6.76y + -9.21z <= 836.6
-2.37x + -4.35y + 4.55z <= 801.81
5.16x + 5.95y + 7.51z <= 600.86
2.05x + 4.84y + -1.11z <= 652.82
7.72x + 3.05y + -5.03z <= 559.3
-1.17x + 7.06y + -5.27z <= 845.81
-9.46x + -3.64y + -4.83z <= 273.59
0.4x + 8.21y + 0.81z <= 715.27
0.98x + -7.2y + -0.34z <= 975.31
-2.83x + 3.17y + 7.02z <= 212.94
9.42x + 1.62y + 3.99z <= 550.67
3.76x + -7.59y + -8.78z <= 500.47
6.3x + -0.86y + -4.86z <= 317.81
-1.99x + 0.41y + 9.87z <= 317.06
-9.03x + -3.09y + 3.49z <= 600.59
-3.52x + 7.53y + -1.97z <= 610.36
-4.97x + -2.35y + 6.86z <= 438.96
-9.68x + 0.06y + -3.83z <= 757.52
-6.8x + -3.2y + 3.59z <= 990.95
-3.69x + -8.08y + 2.48z <= 250.38
-6.68x + 2.55y + 3.15z <= 224.95
0.86x + -0.13y + -8.24z <= 450.71
7.66x + 0.84y + -7.87z <= 758.96
2.51x + -1.92y + 5.43z <= 290.91
-2.1x + -7.98y + -2.56z <= 286.23
7.98x + -1.73y + -7.52z <= 220.26
0.7x + -4.51y + -4.21z <= 106.67
2.42x + 2.54y + 3.71z <= 108.5
4.62x + 1.0y + -6.17z <= 808.99
-0.98x + 2.54y + -7.14z <= 583.92
7.51x + 3.29y + -7.61z <= 251.58
4.36x + 1.8y + 1.3z <= 975.13
-5.11x + -6.41y + -7.88z <= 541.18
-3.03x + 3.37y + 6.31z <= 201.35
6.06x + 9.95y + -8.53z <= 457.04
-7.36x + 6.11y + 4.44z <= 736.8
6.88x + 4.69y + -10.0z <= 374.14
-3.7x + 2.29y + 3.08z <= 539.0
-0.75x + 0.37y + -4.59z <= 422.13
-2.17x + -1.2y + 5.0z <= 162.28
1.62x + -5.33y + -9.23z <= 786.82
-8.79x + -9.57y + -5.47z <= 345.62
6.78x + -5.9y + 5.47z <= 117.82
3.62x + 4.06y + 9.4z <= 788.55
8.9x + 6.33y + 1.76z <= 385.11
4.19x + 2.2y + -4.69z <= 922.28
3.22x + 1.1y + -0.75z <= 884.11
4.89x + 7.86y + 4.35z <= 733.77
-4.89x + 9.2y + 7.3z <= 497.09
1.35x + -0.42y + -5.43z <= 314.99
-9.63x + -7.99y + -3.94z <= 300.25
-3.5x + 7.9y + 7.78z <= 105.84
-4.77x + -1.94y + -5.6z <= 523.24
-1.76x + -1.68y + -6.52z <= 337.55
-5.1x + 6.53y + -3.36z <= 686.92
-6.16x + -8.95y + -6.17z <= 892.8
-0.08x + -1.46y + -3.88z <= 711.55
-1.6x + -0.91y + -7.05z <= 631.23
-4.13x + -0.38y + 9.3z <= 906.02
1.37x + -2.56y + 6.72z <= 937.7
-5.22x + 0.75y + 1.87z <= 728.59
8.62x + 0.73y + 0.99z <= 977.72
6.12x + -9.83y + -6.59z <= 841.73
2.47x + 8.03y + -0.54z <= 907.91
2.77x + -3.4y + 9.78z <= 399.93
-9.23x + 6.4y + -7.65z <= 822.73
8.15x + -1.35y + -3.26z <= 908.74
-5.32x + 9.58y + 2.33z <= 222.99
8.65x + 3.64y + -6.9z <= 636.58
1.75x + -8.31y + -6.61z <= 242.5
-5.45x + 3.89y + -0.6z <= 364.28
9.74x + -1.33y + 9.48z <= 697.02
-0.29x + -0.25y + -9.3z <= 693.46
-9.11x + -1.33y + -9.22z <= 553.13
6.19x + -9.23y + 8.85z <= 475.3
9.2x + 5.16y + 4.96z <= 468.47
-7.43x + 5.78y + -4.82z <= 909.5
-2.02x + -2.57y + -0.87z <= 204.28
7.73x + 7.11y + 1.72z <= 899.97
-3.97x + 4.17y + -7.05z <= 707.44
-0.53x + 8.63y + -7.06z <= 149.55
3.97x + -5.69y + 6.77z <= 276.61
6.77x + -2.56y + 8.86z <= 489.35
9.18x + -3.38y + -2.72z <= 105.18
-7.19x + 5.68y + -7.8z <= 190.93
8.73x + 8.49y + -6.86z <= 162.57
-4.39x + 8.36y + 9.83z <= 825.81
4.75x + -1.85y + -7.21z <= 240.46
2.39x + -4.43y + -8.83z <= 801.18
4.39x + 1.9y + -1.51z <= 980.9
3.16x + -0.81y + -5.01z <= 148.79
-0.99x + 7.91y + 0.6z <= 923.5
1.52x + 3.3y + 6.94z <= 892.82
7.85x + 4.56y + -8.7z <= 414.9
-2.46x + -1.7y + 9.16z <= 342.17
-9.65x + -4.19y + 1.36z <= 927.34
1.43x + 5.95y + 8.69z <= 429.46
7.54x + -1.49y + 7.33z <= 949.29
-1.31x + 7.52y + 3.01z <= 434.07
-7.88x + -3.39y + -7.75z <= 331.15
4.77x + -1.05y + -3.26z <= 845.73
-1.75x + 5.72y + -3.26z <= 733.93
1.02x + 3.6y + 5.55z <= 812.47
7.11x + 1.78y + 2.33z <= 589.46
6.16x + 7.26y + -0.53z <= 714.68
8.45x + 8.54y + -5.18z <= 610.11
5.5x + 4.1y + -1.64z <= 641.24
-3.2x + -5.02y + -6.82z <= 773.49
-0.07x + -7.26y + 2.94z <= 687.08
6.51x + 7.65y + 6.98z <= 780.93
-9.39x + -7.68y + -8.9z <= 944.2
-0.35x + -9.09y + 0.32z <= 185.18
-5.74x + -1.51y + 1.62z <= 731.62
7.07x + 1.41y + -0.53z <= 631.65
7.57x + 6.61y + 4.22z <= 927.82
-7.29x + 5.92y + -5.44z <= 325.07
-2.81x + -1.07y + -7.39z <= 917.99
1.25x + 3.82y + -8.22z <= 289.62
-2.49x + -7.27y + 5.53z <= 527.78
-2.06x + 3.91y + 0.56z <= 196.35
-0.73x + 1.62y + -6.74z <= 883.63
-8.33x + -3.0y + -9.51z <= 218.13
6.62x + -3.69y + -0.04z <= 915.91
8.24x + 0.99y + -9.92z <= 699.98
2.58x + 5.29y + -9.85z <= 108.58
-4.69x + -9.22y + 7.89z <= 148.36
-0.03x + 2.11y + 8.19z <= 177.75
1.37x + 9.92y + 2.93z <= 365.53
6.54x + -4.08y + 6.06z <= 800.37
-4.11x + 7.52y + -9.74z <= 172.65
-1.32x + -8.38y + 4.55z <= 802.96
8.59x + -3.88y + 5.52z <= 622.8
4.7x + 1.2y + 6.74z <= 686.68
0.83x + -4.4y + 9.93z <= 242.84
-9.28x + 3.07y + -3.95z <= 308.83
-3.43x + -3.22y + 0.3z <= 907.18
2.66x + 5.5y + 4.47z <= 245.77
7.81x + -1.78y + -2.51z <= 251.56
0.47x + 6.79y + -3.21z <= 671.08
