max 4.18x + -6.67y + -3.92z
3.54x + 1.61y + 3.05z <= 613.33
-4.26x + -0.14y + 9.47z <= 852.13
-5.78x + -9.39y + 9.08z <= 103.37
-7.82x + 5.17y + 8.95z <= 418.92
-5.31x + 6.42y + -6.25z <= 493.56
-1.94x + 3.78y + 6.68z <= 996.01
-0.74x + 1.76y + -1.44z <= 166.19
3.67x + -5.35y + 9.3z <= 641.22
8.74x + 1.54y + -4.46z <= 992.44
5.92x + -9.39y + -7.94z <= 487.26
1.36x + -2.67y + 2.27z <= 162.11
2.53x + 6.44y + -6.08z <= 817.92
7.37x + 0.06y + 1.72z <= 766.53
6.71x + -2.08y + -6.73z <= 492.92
-9.78x + -5.84y + -0.46z <= 133.76
-6.48x + 5.42y + -9.58z <= 612.89
1.51x + -3.88y + 0.93z <= 511.11
3.98x + 8.56y + -2.4z <= 588.05
0.49x + 6.04y + 8.87z <= 465.9
-3.7x + -6.97y + -5.33z <= 626.46
-9.01x + -0.3y + 5.51z <= 664.57
8.95x + 7.75y + -9.09z <= 944.68
-0.67x + -1.16y + -3.69z <= 289.57
-8.48x + -6.05y + 1.22z <= 887.88
-6.51x + 7.88y + -2.97z <= 177.73
-8.31x + -6.1y + 7.73z <= 714.33
9.79x + 2.22y + -3.86z <= 742.57
0.97x + 5.42y + -2.06z <= 462.07
7.01x + -5.47y + -5.09z <= 288.32
-6.85x + -3.82y + 6.92z <= 970.18
-4.83x + -3.11y + 7.7z <= 612.49
3.03x + 1.52y + 8.67z <= 462.25
-8.86x + -7.62y + -9.47z <= 311.97
-8.67x + -2.14y + 1.63z <= 451.64
8.27x + 4.41y + -0.38z <= 903.83
-5.25x + -1.98y + 1.25z <= 572.96
3.02x + -9.38y + 6.52z <= 931.22
0.4x + -1.64y + -0.45z <= 648.4
6.59x + -7.16y + 7.98z <= 315.23
-8.43x + 0.3y + -9.75z <= 283.96
-7.53x + 2.86y + 7.86z <= 231.98
6.38x + -9.04y + 0.74z <= 290.88
5.11x + 8.13y + -0.12z <= 123.73
-3.42x + 9.19y + -1.42z <= 598.94
0.67x + -0.42y + -4.26z <= 544.98
-7.8x + -0.14y + 7.2z <= 289.65
1.18x + -2.86y + -9.25z <= 208.76
-1.18x + 2.08y + -2.03z <= 855.27
-3.84x + -5.93y + -2.26z <= 359.46
6.34x + 7.97y + 3.15z <= 822.1
-3.71x + 5.46y + -6.45z <= 761.27
-3.11x + 8.38y + -3.43z <= 429.69
5.66x + 8.11y + 9.79z <= 311.18
-7.74x + -2.77y + -3.43z <= 499.83
7.97x + -2.48y + -2.68z <= 521.0
-9.27x + -9.4y + -4.31z <= 156.38
3.35x + -5.88y + 4.33z <= 152.59
-8.2x + 4.54y + -8.62z <= 819.76
3.08x + 6.99y + -2.42z <= 435.38
-9.24x + 6.56y + 9.9z <= 551.38
2.53x + -6.7y + -8.75z <= 538.45
-7.68x + 3.5y + 2.35z <= 101.77
7.28x + -9.24y + 8.45z <= 994.47
9.71x + -9.89y + 7.94z <= 337.51
-3.73x + -5.29y + -9.34z <= 673.06
-8.16x + -0.39y + -4.96z <= 651.98
-2.43x + 6.0y + 0.18z <= 112.29
7.7x + -6.09y + 2.12z <= 746.24
-3.72x + -4.45y + 3.08z <= 306.59
5.27x + -9.22y + 2.67z <= 990.53
2.35x + -7.41y + 6.09z <= 143.13
-2.06x + 1.25y + 1.67z <= 970.09
2.53x + 3.61y + -3.75z <= 679.52
0.58x + 5.9y + 3.94z <= 155.92
-3.69x + -6.61y + -0.58z <= 213.78
-0.27x + 2.9y + -9.62z <= 164.38
-6.85x + 3.31y + -7.24z <= 173.23
-4.98x + -3.04y + 9.06z <= 390.16
3.6x + 7.43y + 7.38z <= 574.55
9.71x + -0.48y + 3.92z <= 967.25
-1.2x + -2.95y + -5.24z <= 691.66
-0.26x + 5.57y + -7.64z <= 569.64
0.68x + 3.05y + -8.41z <= 802.56
8.8x + -7.55y + -0.74z <= 230.74
-4.33x + -2.1y + 1.63z <= 460.69
8.74x + -7.27y + 1.23z <= 504.57
4.58x + -5.52y + 6.65z <= 559.53
3.27x + 0.33y + 9.95z <= 803.44
-4.52x + 8.03y + 6.82z <= 118.15
0.74x + 6.29y + -8.38z <= 128.64
-0.46x + 1.62y + 2.15z <= 907.82
-1.16x + -3.1y + 6.67z <= 585.81
5.97x + 1.53y + 9.6z <= 617.79
-8.92x + -9.02y + 1.14z <= 255.15
7.99x + -5.03y + 2.06z <= 439.29
0.12x + -5.58y + 4.81z <= 679.22
-5.41x + -7.24y + 9.18z <= 856.84
-1.58x + -3.53y + 5.81z <= 145.72
6.13x + 9.35y + 8.1z <= 645.53
5.09x + 4.5y + 7.22z <= 803.63
-7.48x + 4.43y + -0.52z <= 577.11
-7.18x + -3.47y + 3.65z <= 866.17
3.06x + -7.66y + 1.12z <= 630.68
2.25x + 5.62y + -4.7z <= 173.21
-0.2x + -0.08y + -0.82z <= 383.61
-2.93x + -5.58y + -2.64z <= 876.38
-4.63x + 2.26y + -1.55z <= 206.24
2.03x + -4.09y + 0.44z <= 310.37
-7.5x + 5.44y + -4.11z <= 952.02
-8.64x + -8.93y + -8.31z <= 353.89
-6.23x + -7.09y + -9.47z <= 546.06
-0.79x + -3.18y + 3.55z <= 581.78
0.68x + 4.46y + -7.36z <= 850.28
-5.81x + -0.14y + 9.74z <= 262.92
4.43x + 7.2y + -3.59z <= 685.31
-2.25x + -7.64y + -3.2z <= 928.49
-7.64x + 4.22y + 3.98z <= 636.42
4.8x + -4.7y + -9.32z <= 770.45
-7.91x + -2.7y + 7.29z <= 642.51
6.9x + 9.89y + 2.53z <= 435.62
-9.51x + 7.09y + -4.3z <= 692.69
5.18x + -6.81y + 4.76z <= 294.98
4.48x + 8.24y + 0.39z <= 263.68
7.48x + -3.41y + 6.05z <= 819.01
1.99x + -2.88y + -7.53z <= 738.41
2.25x + -9.05y + 9.07z <= 999.82
9.04x + 8.09y + 8.16z <= 688.3
-3.49x + 1.58y + 2.39z <= 529.37
-4.46x + 4.41y + -0.3z <= 588.64
6.77x + 6.14y + -6.23z <= 295.56
-9.51x + -5.45y + 8.18z <= 762.23
8.73x + -2.26y + 2.25z <= 638.19
-8.61x + -7.78y + -4.2z <= 699.22
9.42x + 6.19y + 5.1z <= 940.96
-7.98x + 1.74y + 7.26z <= 662.73
-0.19x + 1.64y + 3.04z <= 371.97
9.14x + -9.67y + 3.82z <= 816.59
-3.39x + -1.89y + -9.48z <= 355.68
-5.02x + 9.84y + -1.94z <= 772.64
1.82x + 2.77y + -3.87z <= 805.21
7.51x + 5.57y + -6.37z <= 129.24
8.18x + -0.94y + 6.01z <= 960.37
3.1x + -5.17y + 3.02z <= 644.11
8.86x + -1.85y + -8.58z <= 433.04
-2.35x + -9.4y + 0.84z <= 629.64
5.9x + 5.32y + 5.01z <= 767.75
0.52x + 6.75y + -0.99z <= 516.42
1.05x + 2.66y + -7.8z <= 115.54
6.84x + 1.22y + 9.54z <= 277.66
0.83x + 5.3y + 8.51z <= 767.74
4.58x + 3.74y + -6.85z <= 306.1
-4.74x + 0.16y + -6.99z <= 543.6
9.1x + -7.15y + 8.28z <= 767.98
-6.76x + 3.54y + 7.63z <= 238.33
-1.93x + -5.03y + 4.35z <= 862.7
7.46x + -9.91y + 3.3z <= 108.22
9.49x + -1.85y + 1.21z <= 388.55
3.47x + -0.61y + 4.27z <= 495.15
9.32x + -5.13y + -1.85z <= 866.06
-3.76x + -9.16y + 0.63z <= 698.22
-8.82x + -7.66y + 3.72z <= 650.69
-6.35x + -0.33y + -4.4z <= 233.38
-6.64x + -3.99y + 1.41z <= 937.62
-1.26x + -5.3y + 3.34z <= 437.83
5.38x + 1.66y + -2.28z <= 744.4
1.47x + 2.05y + -2.65z <= 465.12
6.23x + -1.95y + -0.51z <= 550.8
4.34x + 3.3y + -3.43z <= 124.91
-1.76x + -8.01y + 9.19z <= 805.3
-1.28x + 7.79y + -6.68z <= 629.54
9.35x + -7.17y + 9.15z <= 367.8
1.06x + 9.53y + 1.48z <= 721.36
-4.7x + -5.75y + -6.63z <= 565.92
6.92x + -2.15y + 0.26z <= 633.36
4.73x + 7.79y + 3.33z <= 196.2
-3.51x + -9.09y + -0.38z <= 279.01
-5.35x + -7.26y + -6.92z <= 148.37
4.31x + -0.58y + 3.83z <= 569.23
2.35x + 0.28y + -3.58z <= 273.14
4.04x + -8.04y + -6.58z <= 273.8
1.28x + -7.21y + 9.94z <= 445.25
1.15x + -9.41y + -9.11z <= 375.11
-5.04x + 0.9y + 2.98z <= 618.78
1.48x + 8.96y + -8.62z <= 635.27
-5.23x + 5.18y + 4.48z <= 342.74
-7.62x + 6.02y + -3.22z <= 863.08
-1.34x + -5.06y + 1.98z <= 752.5
-3.87x + 5.41y + -8.97z <= 621.57
7.51x + 4.29y + 2.92z <= 656.87
5.6x + 0.2y + 3.51z <= 795.57
2.23x + 5.44y + 2.65z <= 126.35
-9.29x + -8.13y + -8.11z <= 277.58
-1.51x + -4.95y + -8.69z <= 983.2
9.93x + -6.97y + 6.61z <= 122.01
6.67x + 0.78y + -9.03z <= 215.41
0.26x + 2.22y + 6.6z <= 653.27
5.02x + 6.73y + 8.46z <= 468.81
1.4x + -3.89y + -8.67z <= 541.92
8.28x + 0.93y + -2.95z <= 404.8
2.22x + 0.09y + -5.96z <= 233.5
8.47x + 6.79y + 4.02z <= 721.53
4.59x + -4.16y + -1.58z <= 257.8
-7.3x + 7.47y + -0.53z <= 560.49
-9.15x + 6.79y + -3.96z <= 495.22
0.76x + -9.93y + -2.54z <= 668.22
7.23x + -9.91y + -3.36z <= 421.48
-1.38x + -2.43y + -6.12z <= 397.32
7.93x + -2.12y + -3.69z <= 802.4
-4.34x + -2.4y + -0.2z <= 480.35
-0.06x + 4.26y + 2.89z <= 810.54
8.07x + -1.44y + -7.23z <= 370.98
-2.49x + -7.12y + 2.26z <= 812.73
-3.93x + 0.28y + 0.39z <= 233.68
-4.6x + -6.15y + 2.81z <= 126.24
0.31x + 6.58y + 4.14z <= 341.75
-7.76x + 6.06y + 5.45z <= 581.15
2.23x + 5.04y + 4.55z <= 719.9
7.33x + 4.22y + 7.56z <= 199.46
-7.67x + -1.72y + 0.32z <= 889.6
0.26x + -8.3y + 7.73z <= 300.87
2.74x + -8.69y + 2.78z <= 303.31
-9.0x + -7.13y + -5.28z <= 173.12
-4.14x + -4.49y + -2.81z <= 296.28
9.03x + 9.23y + -5.66z <= 282.1
2.61x + -6.01y + 0.4z <= 153.99
-8.4x + 5.14y + 2.61z <= 641.16
1.52x + -7.56y + -5.23z <= 545.07
7.16x + -5.4y + 4.8z <= 293.79
5.91x + -9.79y + -7.82z <= 447.33
2.38x + 3.71y + -3.02z <= 519.59
-3.58x + 5.79y + -2.6z <= 448.36
1.1x + -1.84y + -1.32z <= 586.45
-4.95x + 8.68y + 0.55z <= 295.07
-9.93x + 7.9y + -6.11z <= 631.54
-6.66x + -5.69y + 7.32z <= 485.52
-7.1x + 1.9y + -7.99z <= 886.66
4.74x + -3.68y + -0.6z <= 727.7
-0.45x + 6.56y + -8.79z <= 745.05
9.85x + -5.68y + 1.35z <= 561.47
9.61x + -7.88y + 3.63z <= 375.65
-3.27x + 7.63y + 7.88z <= 408.76
-2.77x + -8.55y + -9.2z <= 638.08
-8.85x + 4.24y + -2.16z <= 434.98
2.13x + -6.75y + 3.85z <= 499.73
-0.83x + -9.42y + -8.41z <= 364.98
4.06x + -2.97y + 9.08z <= 266.87
1.36x + 8.7y + 4.39z <= 274.21
7.71x + -6.38y + 8.8z <= 963.38
1.17x + -9.71y + -5.21z <= 542.14
7.36x + -9.18y + -5.54z <= 397.04
-5.45x + -7.43y + -3.2z <= 460.98
-9.15x + -3.62y + 8.62z <= 136.19
-4.3x + -9.2y + -1.45z <= 786.99
8.99x + -5.88y + 4.85z <= 197.82
-6.61x + -1.11y + -7.91z <= 608.46
-8.25x + 5.64y + 2.27z <= 592.56
-2.39x + -4.9y + 7.15z <= 864.61
-1.06x + -5.86y + 3.27z <= 803.52
-3.17x + -2.2y + -4.62z <= 990.53
3.61x + -0.06y + -8.05z <= 143.61
4.93x + 1.1y + -8.21z <= 376.64
1.89x + 5.24y + -0.77z <= 284.83
5.9x + 8.76y + -6.98z <= 447.83
-7.72x + -0.29y + -5.96z <= 622.64
2.45x + -9.89y + -4.84z <= 935.66
-2.68x + 3.74y + -6.98z <= 494.05
-6.42x + -0.03y + -8.04z <= 305.0
1.8x + -4.06y + -9.5z <= 370.06
6.64x + -6.72y + -4.55z <= 993.94
6.05x + -8.94y + 4.06z <= 913.02
-3.79x + -0.47y + -7.16z <= 238.84
1.77x + -2.47y + -6.34z <= 273.92
2.32x + -0.54y + -9.24z <= 552.47
-3.46x + -7.51y + 3.85z <= 323.35
4.2x + 0.87y + 1.16z <= 913.15
-5.69x + -3.54y + 6.65z <= 693.08
-0.62x + -1.59y + 0.64z <= 863.15
-1.65x + 7.89y + -6.93z <= 498.97
-2.22x + 8.83y + -8.8z <= 168.41
-1.16x + -2.92y + 2.67z <= 608.46
-9.28x + -2.88y + 3.33z <= 436.45
6.83x + 3.69y + 2.28z <= 575.32
2.62x + 8.13y + 6.79z <= 558.17
-5.94x + 4.85y + 8.24z <= 330.49
3.86x + -6.23y + 1.64z <= 151.84
-9.41x + -9.57y + -5.26z <= 646.42
-3.9x + 0.35y + 1.55z <= 251.05
-1.37x + 7.16y + 1.13z <= 438.32
-0.73x + -3.07y + 4.41z <= 934.31
-4.65x + 9.64y + -8.46z <= 652.13
0.89x + 1.65y + 7.49z <= 592.48
5.26x + -3.55y + -6.33z <= 749.98
6.69x + 7.49y + 0.04z <= 331.34
8.77x + 8.81y + 4.52z <= 946.61
-1.24x + -0.63y + -0.12z <= 686.46
9.68x + 7.22y + 7.7z <= 616.19
-3.19x + 2.32y + -4.02z <= 945.86
4.75x + 7.6y + -1.93z <= 337.15
-2.33x + 3.71y + -4.42z <= 943.93
-8.62x + 3.0y + -6.03z <= 794.95
0.63x + 1.89y + 7.48z <= 217.15
1.85x + -6.59y + 5.36z <= 162.5
6.43x + 4.42y + -4.99z <= 307.41
5.33x + -2.78y + -8.17z <= 177.98
-4.18x + 1.36y + -7.38z <= 255.88
3.16x + -4.52y + -6.5z <= 823.87
4.22x + -9.3y + -1.22z <= 268.08
6.01x + -9.26y + 3.12z <= 323.62
-4.92x + 0.33y + 7.48z <= 511.79
3.82x + -2.01y + -6.39z <= 770.83
0.28x + 6.01y + -4.38z <= 625.54
8.41x + -8.17y + -2.06z <= 545.91
-4.17x + -7.22y + -4.75z <= 493.78
-2.28x + 3.97y + -3.23z <= 517.42
-2.4x + 1.77y + 5.0z <= 815.66
-2.78x + -1.67y + 3.03z <= 995.13
8.78x + 2.26y + -3.85z <= 829.97
7.24x + -4.82y + 2.16z <= 309.91
1.18x + 5.81y + 9.31z <= 380.83
-7.93x + 3.27y + -6.23z <= 113.0
-0.32x + 4.56y + -4.96z <= 145.87
0.57x + 0.88y + -6.59z <= 646.05
-1.14x + -7.15y + -5.75z <= 679.94
9.68x + -0.51y + -9.52z <= 379.21
-5.54x + 0.98y + -3.8z <= 171.47
-4.93x + 7.13y + -0.27z <= 404.42
6.0x + 4.71y + 6.54z <= 806.55
5.56x + 3.73y + -3.7z <= 345.31
3.64x + 3.54y + 6.43z <= 833.19
4.74x + 0.97y + -1.28z <= 507.33
-8.43x + -4.81y + -1.73z <= 227.43
3.66x + -4.4y + 7.38z <= 376.55
4.43x + -5.78y + -2.61z <= 524.64
5.47x + 5.92y + -4.45z <= 553.62
0.47x + 7.22y + 0.63z <= 448.76
1.46x + -1.75y + 5.25z <= 457.16
1.15x + 5.4y + 5.34z <= 612.24
-3.83x + 2.91y + 8.09z <= 494.84
-7.41x + 5.25y + 6.86z <= 853.62
-5.21x + 6.03y + 0.28z <= 393.07
-1.69x + 3.94y + -6.66z <= 903.15
-6.97x + -3.22y + -6.96z <= 580.1
-0.18x + -1.85y + -7.65z <= 349.47
-2.62x + -9.52y + 1.08z <= 316.07
-4.56x + -7.14y + 3.2z <= 997.3
-5.56x + -3.74y + 7.76z <= 627.42
3.83x + -6.18y + 4.71z <= 103.09
7.2x + -2.73y + 1.12z <= 734.24
-1.04x + 3.26y + 6.86z <= 655.27
8.16x + -4.95y + -9.21z <= 649.78
-9.1x + 0.7y + -9.73z <= 359.88
1.91x + 0.73y + -1.4z <= 976.86
-7.02x + -7.18y + 3.19z <= 583.77
-8.12x + -0.15y + 9.02z <= 658.38
-6.4x + 7.39y + 7.31z <= 440.85
6.73x + -3.88y + 1.38z <= 761.24
-5.3x + -1.28y + 6.54z <= 940.54
2.44x + 2.11y + 5.69z <= 132.54
-3.05x + 9.15y + -7.32z <= 342.8
5.3x + 9.05y + -3.6z <= 483.95
9.12x + 8.93y + 9.69z <= 541.93
8.44x + 1.44y + -3.39z <= 998.46
0.9x + 1.3y + -3.16z <= 122.29
-3.31x + 6.03y + -1.52z <= 705.08
-6.13x + 9.33y + 1.44z <= 574.18
-5.38x + 8.88y + 4.93z <= 450.15
-7.71x + 3.03y + -4.81z <= 130.49
1.24x + -1.99y + 7.99z <= 354.76
-1.24x + -2.05y + 2.64z <= 897.63
-3.14x + -9.59y + -8.68z <= 522.44
7.45x + 5.94y + 2.17z <= 323.06
6.69x + -9.6y + 8.46z <= 753.7
0.39x + 1.47y + -2.46z <= 849.52
8.4x + 1.81y + 1.86z <= 894.55
9.02x + -1.4y + -0.2z <= 923.48
3.95x + -8.66y + -4.01z <= 884.15
-4.43x + 8.91y + -4.69z <= 164.91
-6.43x + -0.28y + 1.03z <= 735.62
-6.95x + 6.97y + -6.48z <= 309.92
-6.89x + 9.28y + -6.56z <= 258.48
6.23x + -9.76y + 1.07z <= 369.78
-2.56x + -3.07y + 0.77z <= 897.98
-1.21x + -6.28y + -4.04z <= 718.16
-8.87x + -9.73y + -5.13z <= 895.33
-5.63x + 8.03y + -5.31z <= 913.46
-7.78x + 3.09y + 8.12z <= 984.42
-2.33x + 6.39y + 9.49z <= 248.95
5.63x + -5.15y + -9.18z <= 979.0
0.61x + 2.96y + 9.34z <= 216.46
4.51x + 1.79y + 7.83z <= 305.36
-3.05x + 8.62y + -7.22z <= 205.05
6.58x + 7.42y + 2.87z <= 320.94
-1.66x + -3.17y + -1.14z <= 179.84
0.55x + -0.95y + -7.72z <= 465.92
9.12x + 9.04y + -5.2z <= 479.96
6.52x + 6.53y + -4.37z <= 771.73
2.73x + 3.36y + -4.08z <= 491.68
-2.95x + -8.97y + 3.84z <= 263.36
9.72x + 2.32y + 8.05z <= 902.58
-9.16x + 1.21y + 9.08z <= 425.5
-9.95x + -8.68y + -7.58z <= 360.56
-7.45x + -9.06y + -4.42z <= 984.65
7.53x + -6.88y + -2.71z <= 445.67
-6.46x + 4.49y + -2.17z <= 121.55
3.33x + -1.12y + -8.48z <= 803.6
-2.87x + 1.12y + -4.11z <= 469.05
3.58x + -3.29y + 1.09z <= 217.49
-5.52x + -3.96y + 5.17z <= 538.38
1.48x + -2.68y + -3.91z <= 145.97
-7.67x + -7.58y + 0.83z <= 468.06
-2.55x + -4.96y + -3.39z <= 396.05
0.32x + -0.06y + 6.48z <= 725.86
-0.15x + 5.12y + 2.11z <= 557.52
-2.86x + -2.34y + -4.5z <= 151.65
-1.32x + -5.84y + -2.51z <= 741.13
-7.1x + -2.46y + 0.43z <= 406.45
5.31x + 7.69y + 1.1z <= 419.72
6.73x + 1.61y + 2.95z <= 227.59
7.5x + -6.11y + 1.69z <= 525.47
-0.76x + 0.67y + -9.23z <= 632.52
5.35x + -4.87y + 0.07z <= 903.28
0.07x + 4.65y + -1.6z <= 234.67
9.47x + 4.49y + 1.9z <= 844.34
-1.41x + -9.1y + 5.54z <= 490.85
-3.19x + -8.86y + 2.63z <= 738.65
6.68x + 9.16y + 9.6z <= 702.88
-5.45x + 5.95y + -3.06z <= 329.65
-2.47x + 0.18y + 5.98z <= 376.59
-9.6x + -2.14y + -5.4z <= 988.37
1.88x + 5.62y + -5.93z <= 256.79
3.34x + 1.72y + -9.8z <= 898.88
-7.73x + 9.88y + 6.17z <= 325.08
-4.27x + 3.85y + 2.82z <= 745.79
2.42x + -9.24y + 1.27z <= 712.88
-6.88x + -4.4y + 9.0z <= 898.49
0.36x + 7.47y + 4.43z <= 994.28
8.74x + 0.24y + 0.96z <= 610.25
1.13x + 8.67y + 5.01z <= 249.85
-9.8x + -5.47y + -4.08z <= 193.41
2.76x + -7.34y + -1.89z <= 405.66
-6.82x + -8.31y + 0.02z <= 143.66
-8.37x + 8.79y + 5.58z <= 361.2
0.73x + -6.94y + -2.8z <= 309.77
2.24x + -8.6y + -2.93z <= 679.95
1.66x + 1.54y + -6.08z <= 142.91
0.33x + 0.3y + -4.01z <= 632.0
9.38x + -1.94y + 7.49z <= 744.51
5.06x + -1.19y + 4.05z <= 964.67
7.2x + 9.97y + 7.23z <= 621.56
7.15x + -4.15y + -2.73z <= 336.62
5.05x + 2.56y + -4.56z <= 921.64
8.81x + -9.78y + 9.58z <= 370.33
8.13x + 5.28y + -3.03z <= 271.97
-3.81x + 8.97y + -7.39z <= 396.39
7.83x + -3.74y + 8.76z <= 663.08
8.79x + -6.19y + 4.62z <= 946.58
8.7x + -0.26y + 5.76z <= 845.6
2.52x + -1.23y + -5.11z <= 599.57
-2.09x + -0.26y + 4.25z <= 993.18
3.21x + -3.31y + 2.51z <= 978.8
6.63x + -5.73y + -7.68z <= 628.88
-6.6x + -3.32y + -8.11z <= 644.37
4.06x + -9.41y + 4.58z <= 103.45
2.03x + -2.52y + -0.46z <= 794.98
9.11x + 9.46y + 4.68z <= 901.5
-4.82x + -4.71y + 5.82z <= 414.5
-7.9x + 2.03y + -7.77z <= 555.69
1.88x + -5.13y + -4.74z <= 527.46
-2.51x + 8.06y + -9.02z <= 945.82
8.22x + -6.08y + 2.82z <= 865.89
3.03x + 3.82y + -2.5z <= 841.33
-5.45x + -9.88y + 1.47z <= 423.8
-5.95x + -0.55y + 5.24z <= 352.16
-5.28x + -5.21y + 0.67z <= 174.56
3.79x + 9.7y + 2.43z <= 795.73
8.92x + -7.82y + 2.54z <= 482.58
-0.71x + -3.66y + 2.47z <= 389.43
7.4x + 6.07y + -7.68z <= 376.03
2.03x + 0.47y + -5.64z <= 443.63
9.69x + -5.24y + 6.23z <= 926.59
0.57x + -1.78y + 9.2z <= 841.05
4.49x + -0.26y + -7.43z <= 903.43
-7.62x + 2.22y + 3.3z <= 534.89
8.78x + -4.81y + -3.94z <= 935.09
