max 1.54x + 1.48y + 4.93z
9.3x + -6.09y + 3.91z <= 987.32
9.94x + 9.47y + -4.7z <= 687.15
-3.79x + -1.52y + 3.59z <= 347.64
8.28x + -8.66y + 6.87z <= 196.27
-3.98x + -1.45y + 9.74z <= 196.06
8.86x + 7.24y + -0.86z <= 234.01
4.45x + 5.97y + -6.12z <= 787.08
0.65x + 0.95y + 9.82z <= 435.0
-9.47x + 5.8y + 4.64z <= 817.24
-6.83x + 8.04y + -1.69z <= 346.81
-8.04x + -5.07y + -7.49z <= 485.26
-8.91x + 0.47y + -1.77z <= 817.91
2.58x + -1.69y + -9.84z <= 769.33
-0.57x + -7.72y + -1.57z <= 553.66
-1.17x + -7.47y + -5.26z <= 672.59
-9.11x + -0.33y + -3.32z <= 123.89
-4.0x + 5.41y + 8.35z <= 158.45
1.88x + -9.71y + -8.38z <= 956.14
3.64x + -8.91y + -3.87z <= 265.3
9.15x + -3.7y + -4.16z <= 749.57
3.22x + -3.86y + 4.15z <= 872.13
8.99x + 4.86y + -0.98z <= 770.01
-2.35x + -6.5y + 7.47z <= 446.19
6.08x + -0.83y + 8.96z <= 605.77
8.6x + -7.5y + 1.92z <= 795.43
-3.98x + -6.34y + 7.44z <= 827.34
3.98x + -8.52y + -8.84z <= 353.74
4.83x + 3.52y + 4.68z <= 200.21
-7.6x + 6.89y + -8.15z <= 784.41
4.75x + 0.08y + 8.85z <= 840.26
-1.84x + -7.35y + -4.84z <= 624.6
6.32x + 4.55y + -5.44z <= 373.56
2.41x + -9.52y + 3.44z <= 695.86
1.32x + -1.48y + 0.55z <= 410.58
6.42x + -3.25y + -3.01z <= 408.89
8.21x + -1.03y + -3.63z <= 967.85
-8.29x + 8.22y + -0.48z <= 434.17
2.92x + 9.61y + -8.87z <= 427.39
-9.24x + 5.59y + 9.72z <= 911.73
1.96x + 6.89y + -5.27z <= 849.57
-7.66x + 9.55y + -2.89z <= 655.39
-2.87x + -3.49y + 1.22z <= 191.91
5.31x + 1.62y + 8.17z <= 390.31
6.46x + -8.78y + 4.57z <= 912.47
9.11x + 8.43y + -6.48z <= 663.79
5.39x + -3.07y + -0.88z <= 705.68
0.66x + -9.23y + -7.57z <= 258.32
0.49x + 9.13y + -6.26z <= 611.76
-4.66x + -3.58y + -2.7z <= 156.83
-3.54x + -1.92y + 1.72z <= 620.75
-6.43x + -8.65y + 7.68z <= 220.05
-6.03x + -7.27y + -0.6z <= 516.3
4.53x + -5.65y + -0.79z <= 449.54
3.39x + -9.86y + -1.58z <= 252.01
-7.93x + -2.0y + 7.48z <= 804.65
4.51x + 6.0y + 9.12z <= 923.46
-2.82x + 3.17y + -5.67z <= 752.21
5.02x + 0.53y + -1.09z <= 205.83
-7.57x + 5.26y + 1.9z <= 317.79
-9.98x + 3.26y + 4.66z <= 267.1
-9.26x + 0.54y + -1.0z <= 235.07
8.28x + 8.98y + 6.04z <= 615.79
2.74x + 2.59y + 3.25z <= 578.95
2.38x + -5.27y + -5.06z <= 446.2
-0.9x + 4.55y + -6.3z <= 550.34
3.16x + -8.94y + -9.43z <= 456.37
-5.58x + 5.64y + -3.97z <= 547.81
-0.89x + -5.82y + 3.67z <= 616.67
-5.47x + 4.13y + -0.23z <= 104.94
-7.54x + -2.78y + 9.5z <= 201.59
-2.85x + 8.8y + 5.88z <= 177.19
0.33x + 8.06y + -3.8z <= 559.23
-8.75x + 9.79y + -7.95z <= 109.71
-7.74x + 7.07y + 6.35z <= 698.82
-7.74x + -3.84y + -7.67z <= 359.29
-4.16x + -3.07y + -2.42z <= 146.59
5.06x + 5.54y + -0.7z <= 785.86
-1.67x + 0.3y + -4.2z <= 916.53
-0.67x + -9.82y + 0.45z <= 808.69
4.13x + 5.74y + -3.32z <= 500.04
-9.66x + -1.47y + 3.17z <= 329.36
-7.74x + -5.65y + 8.42z <= 144.68
0.63x + 0.49y + -7.99z <= 882.54
5.24x + -1.47y + 4.36z <= 305.8
2.89x + -4.16y + -4.04z <= 211.86
-1.49x + 9.99y + 1.2z <= 293.07
7.93x + 3.69y + 9.85z <= 531.33
3.92x + 6.18y + -4.7z <= 595.04
-3.01x + 6.36y + 5.59z <= 536.25
-4.66x + 0.74y + 1.79z <= 303.18
5.92x + 5.76y + -2.53z <= 404.05
-8.03x + 4.14y + 5.25z <= 622.88
8.63x + -9.39y + -9.66z <= 486.94
-9.36x + 1.14y + 4.67z <= 138.84
9.9x + -4.08y + -0.34z <= 461.0
2.54x + 4.77y + -7.91z <= 522.36
-9.4x + 9.97y + -6.88z <= 512.28
2.37x + -2.77y + -3.58z <= 133.73
-7.48x + 8.07y + 6.07z <= 661.25
-9.96x + 0.08y + 0.16z <= 876.47
-8.01x + 9.34y + 5.82z <= 289.67
1.52x + 4.81y + -8.78z <= 962.22
2.55x + 0.45y + 8.21z <= 339.53
-3.12x + -7.82y + 3.83z <= 842.79
-5.62x + 2.88y + 8.09z <= 791.37
-6.21x + -0.32y + -5.2z <= 571.46
8.26x + -1.04y + 4.72z <= 480.23
-9.66x + -9.85y + 1.21z <= 101.46
-5.63x + 0.99y + -2.18z <= 171.7
-1.79x + -7.01y + 8.09z <= 755.24
-5.36x + 5.26y + -3.36z <= 772.15
7.32x + 7.93y + 1.02z <= 525.11
-9.77x + -8.34y + -1.65z <= 319.65
0.2x + -1.14y + 1.98z <= 228.19
0.3x + 0.78y + -5.73z <= 883.1
-3.86x + -8.22y + 9.26z <= 818.75
-7.67x + -0.92y + -6.16z <= 401.36
9.23x + 4.28y + 6.31z <= 988.97
-2.2x + 0.59y + 9.7z <= 262.3
-1.41x + -7.74y + 8.01z <= 651.07
2.2x + -5.86y + 6.39z <= 575.69
4.7x + -2.41y + -4.29z <= 566.31
-6.93x + -6.14y + -1.02z <= 632.86
9.77x + -5.87y + -1.06z <= 643.92
-0.97x + -7.08y + -3.04z <= 624.44
-0.56x + -6.67y + -5.74z <= 972.06
-7.53x + 3.79y + 5.71z <= 429.98
8.87x + 5.08y + -5.36z <= 227.62
6.12x + 1.58y + 2.19z <= 753.81
4.44x + 5.89y + 9.12z <= 998.81
-5.67x + -0.76y + -6.81z <= 888.96
-2.35x + -1.57y + 9.89z <= 366.27
-4.89x + -0.3y + 9.27z <= 815.63
-9.56x + -8.02y + -6.14z <= 849.72
-6.81x + -8.29y + -8.45z <= 316.64
-9.79x + 4.45y + -0.62z <= 602.66
7.66x + -7.66y + -0.28z <= 604.67
8.64x + -0.7y + -0.16z <= 666.02
9.97x + 2.98y + 6.39z <= 850.29
9.45x + 2.5y + -6.87z <= 486.28
-7.59x + 9.24y + 8.56z <= 899.53
-5.54x + 2.12y + -2.89z <= 793.6
8.43x + -0.82y + -1.72z <= 353.57
-1.29x + 6.0y + 8.81z <= 546.96
3.03x + -7.4y + -6.68z <= 437.33
-6.95x + -8.1y + 3.39z <= 291.43
8.18x + 8.0y + 4.39z <= 233.85
6.37x + 9.75y + 4.72z <= 859.05
-6.98x + 6.97y + 0.31z <= 828.0
4.34x + 6.2y + 8.85z <= 997.58
0.11x + -8.78y + 3.82z <= 961.42
5.06x + -6.62y + -1.49z <= 528.22
-6.57x + -7.13y + 6.63z <= 789.62
7.12x + -8.42y + -5.82z <= 225.54
3.49x + -8.72y + 4.06z <= 659.01
0.25x + 7.68y + 1.16z <= 408.83
-8.31x + -9.77y + 4.64z <= 884.05
6.78x + -1.85y + 5.39z <= 614.74
0.46x + -0.94y + 6.75z <= 893.66
-8.92x + 6.21y + -8.27z <= 491.99
-9.11x + -0.62y + 4.09z <= 843.16
4.45x + -5.88y + 3.21z <= 775.37
1.1x + -5.24y + -0.6z <= 503.51
0.83x + 6.31y + 4.96z <= 572.97
8.14x + -8.28y + -7.83z <= 151.31
-6.68x + -3.08y + -7.79z <= 943.61
-3.97x + -2.92y + 8.39z <= 994.11
-4.66x + -2.2y + -5.94z <= 132.01
-0.31x + -2.52y + 0.17z <= 637.83
-3.27x + -2.94y + -5.54z <= 918.78
-5.08x + 0.78y + 6.95z <= 697.47
6.28x + -9.89y + -0.71z <= 409.81
-8.15x + -4.8y + -1.4z <= 343.96
-1.65x + 7.85y + 3.81z <= 835.3
9.4x + -3.76y + -4.69z <= 339.57
-0.19x + 9.17y + -7.59z <= 194.81
6.84x + 5.98y + 2.91z <= 611.84
3.47x + -8.98y + -4.48z <= 703.01
8.22x + 3.77y + -5.18z <= 686.77
-5.15x + 0.06y + -8.76z <= 271.76
-0.04x + 2.12y + 3.44z <= 631.72
-1.89x + -8.92y + -7.54z <= 682.7
0.3x + 8.17y + 8.02z <= 604.05
-3.62x + -0.35y + 5.26z <= 331.29
9.29x + -9.6y + 4.71z <= 905.86
9.06x + -3.12y + -2.5z <= 202.75
-8.31x + -1.26y + 2.37z <= 698.32
-7.17x + 1.67y + -7.17z <= 855.49
-5.66x + -5.37y + 3.6z <= 632.45
6.11x + 9.24y + 2.66z <= 190.76
7.42x + 5.38y + -8.77z <= 460.65
-6.21x + 0.73y + -7.59z <= 293.5
0.6x + -6.3y + -0.9z <= 266.25
8.53x + -8.82y + 9.97z <= 705.33
7.24x + 4.47y + -4.99z <= 382.42
-9.3x + 6.55y + 8.37z <= 346.38
8.85x + -7.83y + 3.75z <= 687.34
-1.25x + 4.03y + 2.71z <= 394.22
-2.84x + -9.56y + 7.76z <= 180.42
8.15x + -7.5y + -8.83z <= 326.54
8.33x + -0.67y + -3.39z <= 508.16
7.37x + -9.55y + 8.1z <= 355.64
8.79x + 8.7y + 2.36z <= 562.3
1.11x + 3.85y + -3.18z <= 309.64
-0.22x + 8.36y + -7.95z <= 493.86
-5.42x + 1.08y + -7.67z <= 189.68
7.3x + -7.16y + -0.82z <= 237.6
-1.08x + 3.05y + 3.27z <= 629.06
-3.91x + -5.63y + -0.73z <= 558.79
1.69x + -1.43y + 3.51z <= 931.73
-6.56x + 4.46y + 5.84z <= 572.53
-3.75x + 9.53y + 7.83z <= 327.9
-1.26x + 3.75y + 2.7z <= 767.38
0.28x + 2.12y + 9.92z <= 394.45
5.16x + 4.8y + -0.63z <= 914.98
-5.54x + -4.49y + 1.07z <= 740.99
3.03x + -7.92y + -9.38z <= 317.86
-9.36x + 1.66y + -0.75z <= 343.23
