max -7.62x + -0.42y + 9.44z
4.33x + -9.87y + 3.47z <= 439.81
-7.53x + -0.85y + -6.73z <= 141.9
-9.01x + -0.68y + 6.87z <= 775.8
1.25x + -2.92y + 3.41z <= 858.67
-4.69x + -5.55y + 2.37z <= 689.97
-7.11x + -5.94y + -8.73z <= 613.3
8.65x + 1.4y + -7.01z <= 949.03
-3.98x + 7.42y + 9.1z <= 433.66
-7.08x + -2.04y + 6.1z <= 393.04
3.18x + 0.51y + -5.28z <= 816.3
-5.23x + -0.36y + 3.24z <= 839.48
-0.01x + -9.49y + -7.47z <= 389.42
8.73x + 1.0y + -7.55z <= 270.52
1.98x + -1.01y + 8.1z <= 929.12
-8.76x + 1.2y + 1.51z <= 501.37
-1.88x + 8.28y + 7.25z <= 966.74
4.38x + 8.56y + -8.49z <= 723.89
4.76x + 9.95y + -5.4z <= 742.32
-5.53x + -1.5y + -2.33z <= 634.29
4.94x + -3.22y + 4.43z <= 669.14
-9.51x + -1.23y + -3.61z <= 583.24
-9.54x + -6.51y + -9.16z <= 297.83
8.0x + 2.79y + 7.97z <= 138.34
-6.57x + -6.1y + -0.86z <= 503.72
7.81x + -1.8y + -4.55z <= 236.88
-2.89x + 8.35y + 0.21z <= 641.61
-3.45x + -5.73y + -4.62z <= 685.03
6.11x + -7.96y + -6.46z <= 557.92
-4.5x + -7.49y + 8.19z <= 815.65
-8.34x + 1.55y + 5.57z <= 398.56
-9.48x + 5.2y + 9.58z <= 511.51
-0.82x + 2.17y + 2.76z <= 969.0
-8.84x + 8.14y + -2.34z <= 297.33
9.39x + -2.33y + 4.25z <= 221.43
5.05x + -1.09y + 3.13z <= 178.62
-3.43x + 3.3y + 7.1z <= 511.91
-4.29x + -0.01y + -5.61z <= 470.16
-8.02x + -3.77y + 5.24z <= 237.57
3.65x + -3.15y + -7.92z <= 987.35
-6.73x + 7.44y + -6.92z <= 931.55
-2.43x + 7.34y + 5.29z <= 765.91
-4.37x + 7.45y + 4.33z <= 656.23
8.22x + 9.74y + 8.16z <= 122.14
0.19x + -4.5y + -6.3z <= 268.23
2.17x + 2.89y + 5.41z <= 569.15
-2.86x + -6.63y + 9.51z <= 620.82
0.11x + -4.58y + -8.09z <= 101.45
-8.76x + -3.68y + -6.84z <= 644.28
9.66x + 8.14y + 0.58z <= 740.4
9.29x + -7.52y + 2.33z <= 891.84
-7.18x + -7.06y + -6.08z <= 798.49
-7.91x + 7.94y + -0.92z <= 363.81
-4.15x + -6.3y + -9.38z <= 249.53
-2.38x + 4.31y + -0.15z <= 870.16
6.23x + -5.39y + -7.51z <= 164.78
9.22x + 5.35y + -6.37z <= 280.86
-6.54x + 0.54y + 4.4z <= 972.19
-9.73x + -1.95y + -2.53z <= 161.57
-3.7x + -0.04y + -3.69z <= 890.46
-2.69x + 0.56y + -5.85z <= 210.26
-7.47x + -0.95y + 4.29z <= 508.63
7.31x + 2.46y + 1.95z <= 345.62
1.25x + -6.15y + 9.44z <= 561.98
-7.4x + 3.23y + -2.96z <= 328.9
2.19x + 3.94y + -5.81z <= 726.94
-5.69x + 9.66y + 8.15z <= 269.89
-4.46x + 7.31y + 5.92z <= 487.15
5.65x + 3.89y + 2.9z <= 130.62
-1.65x + -8.07y + 1.98z <= 454.75
-8.02x + -4.28y + 8.45z <= 417.28
7.82x + -8.81y + -6.31z <= 859.75
-7.44x + -1.03y + 6.04z <= 839.84
-6.61x + 5.77y + 2.85z <= 246.96
9.76x + 1.69y + -4.73z <= 981.46
-8.09x + 1.76y + -5.81z <= 403.24
-7.39x + 2.9y + 0.3z <= 753.0
-9.14x + -1.25y + -0.64z <= 226.33
-7.67x + 7.08y + 7.13z <= 761.42
1.05x + 8.55y + -7.66z <= 790.3
0.03x + 9.81y + 3.88z <= 850.7
-8.64x + -6.89y + -4.88z <= 506.4
-7.79x + 2.53y + -5.64z <= 868.11
1.86x + -0.73y + -6.08z <= 473.08
6.56x + 1.7y + -6.29z <= 803.4
8.5x + 3.82y + 7.24z <= 729.46
-6.11x + 1.11y + 1.74z <= 200.52
-2.9x + 1.52y + -5.83z <= 333.88
-4.83x + 2.62y + -3.56z <= 442.74
9.1x + -2.38y + -4.41z <= 527.6
-5.37x + -0.65y + 3.13z <= 972.41
-9.9x + -7.62y + 2.67z <= 185.27
2.91x + -6.29y + -5.62z <= 709.17
5.21x + -6.83y + 2.77z <= 397.97
5.43x + 7.54y + 6.31z <= 671.06
5.57x + -3.01y + -8.61z <= 222.38
8.95x + -3.12y + 3.07z <= 864.44
5.23x + 3.82y + -0.25z <= 441.8
-9.54x + 2.04y + -9.91z <= 907.88
-3.9x + 2.24y + 7.93z <= 954.99
-5.4x + -5.46y + -7.66z <= 272.2
0.88x + 6.25y + -9.71z <= 341.44
-5.21x + 9.08y + 1.36z <= 668.96
5.34x + -2.25y + -4.06z <= 804.12
-0.87x + 6.01y + 6.75z <= 925.04
-4.11x + -4.12y + 2.96z <= 310.61
9.49x + -8.97y + 6.96z <= 416.75
-5.99x + -2.02y + -6.37z <= 976.33
-0.23x + 2.68y + -5.82z <= 996.48
4.28x + 9.73y + 1.68z <= 501.87
9.67x + 5.35y + -9.38z <= 622.92
-1.96x + 2.89y + -1.38z <= 289.91
0.64x + -3.6y + -7.99z <= 766.48
-6.49x + -7.7y + -2.3z <= 355.99
-1.44x + 9.96y + 3.36z <= 620.74
6.27x + -2.49y + 6.44z <= 426.55
-8.14x + 3.47y + 6.69z <= 155.1
-5.61x + 3.89y + 3.03z <= 992.97
1.41x + -5.94y + 6.0z <= 775.97
-1.01x + -2.35y + 3.02z <= 368.12
5.31x + 8.84y + -0.14z <= 266.44
-5.71x + -4.44y + -2.46z <= 607.67
-9.06x + 3.03y + 1.15z <= 576.85
-1.88x + 5.18y + 6.26z <= 590.68
5.06x + -2.57y + -3.94z <= 227.52
9.39x + -7.84y + -9.63z <= 602.81
-4.13x + -7.87y + 7.68z <= 599.18
3.62x + 4.09y + 8.28z <= 318.06
-3.83x + -1.27y + -9.88z <= 760.92
-5.54x + 1.26y + 3.33z <= 375.45
3.49x + 7.32y + -0.46z <= 194.17
-3.85x + -1.21y + -0.3z <= 575.01
9.01x + 2.4y + 2.8z <= 267.64
-2.42x + -9.07y + -2.89z <= 685.51
-2.34x + 0.59y + -1.38z <= 425.26
-2.7x + -7.07y + 7.74z <= 543.82
-1.16x + 1.05y + 3.01z <= 622.28
1.79x + 5.08y + 2.89z <= 852.22
-9.11x + -7.99y + -7.69z <= 132.84
0.96x + 2.91y + -0.94z <= 855.42
-3.46x + -3.16y + 1.65z <= 149.14
-1.66x + -1.28y + -5.21z <= 704.43
3.23x + 3.64y + 9.96z <= 208.3
9.42x + 3.23y + 4.49z <= 552.31
0.93x + 1.38y + 9.49z <= 993.27
1.92x + -6.63y + -9.36z <= 120.23
6.94x + 2.94y + -5.64z <= 993.72
-4.22x + 2.36y + -2.71z <= 203.38
-3.72x + 3.73y + -6.61z <= 923.2
-8.45x + 3.91y + -9.09z <= 541.75
-0.76x + -3.45y + 5.25z <= 829.22
6.56x + 5.76y + 3.35z <= 343.53
7.59x + -1.99y + 3.01z <= 154.05
-7.96x + -6.4y + 5.4z <= 788.4
2.61x + -9.12y + 8.29z <= 566.11
1.19x + -1.34y + -5.64z <= 970.17
-7.59x + -0.05y + -4.81z <= 811.3
8.86x + -6.79y + 7.66z <= 257.65
-3.92x + 8.72y + 1.88z <= 806.68
-3.8x + -4.02y + -2.48z <= 643.18
-0.46x + 6.83y + -9.04z <= 972.91
8.54x + -2.37y + 6.29z <= 334.96
-8.69x + 1.66y + 5.39z <= 554.0
-6.47x + -8.12y + 0.83z <= 571.43
2.36x + -4.13y + 5.55z <= 189.48
-6.27x + -9.32y + 3.96z <= 217.78
1.29x + 6.09y + -6.49z <= 345.27
4.56x + -3.27y + -9.26z <= 901.87
-0.26x + -2.47y + 0.41z <= 691.28
3.8x + 8.0y + -8.99z <= 660.56
-4.6x + 2.32y + -1.54z <= 697.08
-5.98x + -0.91y + 7.83z <= 806.11
-6.13x + -7.92y + 2.34z <= 417.58
3.32x + 7.84y + 4.43z <= 525.37
-1.32x + -5.87y + 7.55z <= 640.25
-2.07x + -8.6y + -3.44z <= 773.23
4.85x + 2.48y + -3.0z <= 603.08
-6.77x + -4.64y + -2.54z <= 596.24
7.68x + -7.0y + -8.65z <= 114.7
6.11x + 3.07y + 4.72z <= 559.85
4.09x + 1.96y + -3.17z <= 140.66
0.4x + -8.78y + 1.82z <= 481.33
-8.97x + 1.15y + 3.79z <= 377.01
-2.2x + 8.32y + -4.71z <= 770.08
-7.39x + 6.29y + 7.57z <= 804.27
2.09x + -3.99y + -7.48z <= 203.76
-7.02x + -6.53y + 8.83z <= 509.93
-2.54x + 2.43y + 8.01z <= 998.44
-0.75x + -9.6y + -0.66z <= 324.51
-5.76x + -5.67y + 4.33z <= 369.76
8.17x + -2.53y + -5.92z <= 889.85
-1.84x + 0.59y + 6.44z <= 170.19
-6.05x + 9.98y + 8.92z <= 287.6
-8.85x + 6.98y + -2.61z <= 174.57
9.9x + 4.02y + 3.65z <= 103.4
2.0x + -2.72y + 5.04z <= 530.42
-8.45x + 6.95y + 5.37z <= 852.23
2.89x + -5.61y + 9.51z <= 513.18
4.19x + 9.98y + 3.3z <= 741.11
-1.96x + 4.68y + -2.33z <= 230.14
-6.51x + -0.97y + -6.85z <= 121.91
-7.68x + -3.39y + 4.71z <= 181.72
-4.52x + -6.13y + 5.66z <= 845.97
-0.44x + -8.25y + 1.91z <= 401.29
3.68x + -4.06y + -0.78z <= 571.92
0.62x + 1.45y + 9.96z <= 738.23
0.02x + -8.01y + -1.53z <= 717.94
-6.41x + 9.57y + 7.51z <= 675.49
2.72x + -6.44y + -3.04z <= 267.77
0.24x + -4.75y + 2.22z <= 563.53
-5.51x + 9.46y + 3.45z <= 755.1
0.99x + -5.95y + -0.24z <= 135.48
2.19x + 8.66y + 4.84z <= 431.98
3.25x + -0.23y + 3.28z <= 257.02
6.28x + -8.74y + -5.52z <= 321.05
8.94x + 5.63y + 1.82z <= 672.84
2.97x + -6.95y + -4.05z <= 358.21
-7.19x + 1.08y + 2.59z <= 207.2
-5.76x + -1.73y + -0.72z <= 684.78
-1.7x + -9.52y + 7.02z <= 614.78
-2.56x + -8.31y + 7.69z <= 764.36
-1.58x + -9.27y + 7.87z <= 155.55
2.33x + -7.85y + 1.49z <= 118.84
-3.92x + 1.99y + 2.25z <= 889.97
-6.76x + -7.85y + 7.43z <= 919.06
-0.88x + 2.32y + 2.81z <= 684.26
-8.66x + 5.42y + 8.96z <= 704.44
3.43x + 0.79y + -3.41z <= 374.26
7.19x + -6.38y + -4.73z <= 363.91
-3.38x + 7.07y + -5.06z <= 614.26
-5.83x + 3.24y + 3.31z <= 516.12
9.61x + -7.4y + 1.5z <= 394.47
-3.0x + -3.25y + 2.44z <= 609.52
-0.5x + 4.88y + -1.22z <= 892.42
0.39x + 1.15y + 4.22z <= 207.99
3.0x + -2.04y + -8.58z <= 306.2
4.09x + 6.38y + -6.46z <= 448.07
9.88x + 2.75y + 4.7z <= 660.02
-3.8x + -4.51y + 6.92z <= 905.24
1.4x + -8.7y + 7.53z <= 911.42
0.05x + -3.91y + 1.2z <= 766.0
2.6x + -1.13y + 0.16z <= 508.57
3.57x + -0.04y + -2.18z <= 290.52
6.64x + -0.76y + -3.6z <= 776.96
-5.7x + -2.44y + -5.12z <= 554.49
9.97x + 9.22y + 3.25z <= 936.27
-4.22x + 2.89y + -6.63z <= 689.79
4.16x + -6.85y + 5.21z <= 929.34
0.76x + -1.73y + 1.34z <= 487.64
-3.35x + -6.22y + 7.32z <= 382.76
-5.12x + 3.89y + -2.88z <= 825.98
7.35x + -8.42y + -1.86z <= 392.46
5.31x + 8.76y + 7.55z <= 378.78
-4.84x + 5.41y + -8.23z <= 476.76
6.25x + -1.1y + -8.34z <= 727.86
-4.19x + -6.34y + 8.91z <= 993.39
6.16x + 3.32y + -3.29z <= 795.34
6.43x + 9.13y + 7.88z <= 426.88
0.93x + -1.46y + 8.81z <= 580.81
9.6x + -6.25y + 8.47z <= 969.71
9.61x + -5.55y + -6.56z <= 457.67
9.48x + -8.45y + 2.13z <= 963.48
-5.11x + -3.94y + -5.18z <= 449.22
-4.64x + 3.25y + -8.71z <= 395.04
4.86x + 0.82y + 10.0z <= 221.47
9.84x + 2.7y + -8.75z <= 526.3
6.07x + 8.21y + -0.34z <= 118.67
7.08x + -8.55y + -1.36z <= 492.45
1.21x + -4.88y + -2.84z <= 892.95
-5.93x + 9.17y + 4.48z <= 239.97
2.32x + 9.59y + 4.79z <= 370.67
3.76x + 6.04y + 2.3z <= 538.71
-5.39x + -9.88y + 9.6z <= 631.26
-1.07x + 9.82y + 8.75z <= 731.64
-7.8x + 4.31y + 0.7z <= 551.3
0.02x + 4.28y + -6.96z <= 236.43
4.84x + -2.58y + -1.19z <= 177.33
-8.95x + 0.79y + 8.17z <= 593.68
-1.24x + -4.29y + -5.34z <= 653.22
3.64x + -7.29y + -6.08z <= 146.77
2.92x + 3.76y + 8.55z <= 316.03
4.14x + -1.31y + -9.25z <= 621.53
0.05x + 2.81y + 8.63z <= 347.06
8.43x + 9.63y + 3.27z <= 518.93
2.63x + -6.78y + 9.68z <= 317.93
-2.77x + 8.73y + -10.0z <= 808.52
-4.42x + 5.41y + -5.73z <= 157.72
3.65x + -6.83y + -2.94z <= 256.99
-9.12x + -6.75y + 4.23z <= 695.64
-1.8x + -7.84y + 5.81z <= 771.55
7.69x + -7.74y + 5.55z <= 103.4
9.34x + -2.12y + 8.33z <= 841.06
3.56x + 4.11y + 3.39z <= 307.94
-3.0x + 0.87y + -9.31z <= 486.55
-9.84x + -0.66y + -7.75z <= 155.13
0.46x + 6.29y + -3.98z <= 938.58
0.24x + 4.17y + 3.66z <= 447.41
-6.32x + -2.78y + -5.22z <= 516.13
9.98x + -3.16y + 1.79z <= 777.35
7.99x + 5.79y + 6.4z <= 180.35
6.95x + -4.2y + 8.69z <= 603.04
8.8x + -5.73y + 8.37z <= 960.71
-8.99x + -0.84y + 0.18z <= 561.88
-7.55x + -4.24y + -7.12z <= 247.41
-3.51x + -9.67y + -8.45z <= 238.47
-4.16x + -3.41y + 7.21z <= 733.29
-5.41x + 0.67y + -0.52z <= 870.83
-2.19x + 3.19y + -8.17z <= 162.2
-3.31x + -9.4y + -6.23z <= 449.27
1.76x + -7.05y + -0.57z <= 854.37
-3.36x + -9.49y + 4.11z <= 592.17
-2.93x + 3.21y + -2.07z <= 498.97
5.31x + -3.63y + 3.29z <= 406.02
-1.17x + -8.79y + -0.21z <= 907.25
2.65x + -0.65y + -5.3z <= 922.4
-7.42x + 4.39y + -0.99z <= 162.8
-0.81x + 4.29y + -7.87z <= 985.47
4.58x + -5.03y + 2.32z <= 502.26
-0.67x + 9.84y + -6.42z <= 146.79
8.79x + 9.1y + -6.85z <= 641.76
1.23x + -2.5y + -7.35z <= 231.8
-1.97x + 3.02y + -1.65z <= 883.92
3.65x + -4.67y + 7.01z <= 530.15
3.4x + -8.52y + 4.77z <= 854.24
-0.42x + 7.79y + 9.64z <= 239.48
4.18x + -5.95y + -9.97z <= 348.6
-9.58x + -9.82y + 6.43z <= 879.51
9.08x + -4.04y + 9.27z <= 589.43
-8.2x + 4.51y + -8.27z <= 961.48
-9.36x + 3.2y + -4.89z <= 870.21
-7.46x + -1.05y + -1.63z <= 744.39
-4.88x + 8.96y + 8.95z <= 771.33
-9.08x + 7.3y + 5.86z <= 363.79
2.93x + -5.49y + -2.85z <= 812.83
-2.91x + -2.13y + 0.48z <= 574.81
3.49x + 9.55y + 1.01z <= 299.09
7.46x + 6.23y + 8.16z <= 536.78
-1.88x + 0.08y + -5.64z <= 539.94
9.94x + 5.87y + 8.35z <= 641.03
-7.77x + 5.44y + 9.08z <= 528.05
-4.17x + 3.25y + -0.75z <= 993.34
-2.06x + 8.74y + 1.01z <= 416.45
9.62x + 6.71y + -6.08z <= 888.49
3.98x + 1.66y + -5.72z <= 616.29
5.66x + 5.46y + 2.66z <= 200.03
-2.2x + -4.38y + -4.85z <= 568.87
4.88x + 8.1y + -4.28z <= 277.56
-4.67x + -4.24y + -5.08z <= 734.01
6.64x + 5.76y + 6.13z <= 181.53
-9.34x + -4.86y + -4.55z <= 443.62
-7.56x + -4.37y + 1.62z <= 135.06
0.9x + -2.94y + -2.05z <= 219.99
2.77x + 1.53y + 0.29z <= 753.31
9.23x + 2.18y + -0.07z <= 774.78
8.17x + -3.75y + -8.01z <= 112.77
-2.4x + 2.55y + 7.23z <= 441.69
9.58x + -5.3y + 4.38z <= 354.9
2.72x + 4.62y + 2.67z <= 835.57
-3.56x + -7.7y + 2.16z <= 468.59
-1.87x + -8.95y + 4.87z <= 511.48
6.85x + 0.53y + 1.87z <= 664.71
-9.52x + -7.59y + -0.14z <= 658.25
-3.32x + -1.2y + -9.33z <= 860.44
-4.43x + -5.85y + -8.87z <= 857.82
-8.28x + 8.51y + -6.44z <= 794.36
-5.44x + -8.67y + -6.17z <= 313.78
2.49x + -7.78y + 4.87z <= 665.58
9.29x + -9.96y + 6.33z <= 164.07
0.62x + -7.19y + 8.59z <= 237.38
-4.67x + -4.37y + 3.55z <= 153.69
-1.08x + -5.15y + -0.12z <= 850.35
-5.81x + 8.17y + -8.59z <= 119.27
-9.74x + -3.37y + -7.69z <= 797.04
-2.88x + -6.36y + 3.29z <= 976.29
-5.22x + 0.28y + -7.92z <= 372.92
8.56x + -4.92y + 1.57z <= 839.82
-2.68x + -3.29y + -6.2z <= 384.07
-9.44x + -3.61y + 1.23z <= 731.0
-0.41x + -8.22y + -9.59z <= 230.83
2.43x + 5.2y + 5.07z <= 839.37
1.99x + -4.03y + -6.2z <= 309.83
-4.42x + -9.75y + -6.12z <= 195.24
6.77x + 7.13y + -7.52z <= 974.75
-1.92x + -8.42y + -2.62z <= 990.04
1.59x + 6.27y + -9.61z <= 787.98
-9.85x + -6.8y + 6.74z <= 989.86
-6.19x + 8.7y + 2.52z <= 960.52
5.29x + 3.88y + -1.69z <= 544.63
-0.46x + 8.78y + -6.16z <= 816.02
-6.43x + -9.47y + 7.03z <= 744.88
-4.04x + 2.33y + 1.25z <= 872.6
-7.42x + 9.09y + -7.7z <= 819.71
6.34x + 3.58y + 8.72z <= 294.55
-5.28x + 2.51y + 4.8z <= 914.74
2.3x + 0.52y + 9.83z <= 594.03
-2.6x + -1.03y + 4.21z <= 509.15
7.28x + -1.34y + -6.92z <= 900.97
1.9x + -2.9y + 6.08z <= 993.68
-4.96x + 1.68y + -4.7z <= 290.75
-2.7x + 5.5y + -0.56z <= 857.73
1.46x + 9.85y + 5.69z <= 579.17
-9.72x + -8.14y + -9.47z <= 299.69
7.48x + -7.61y + 1.06z <= 373.46
4.5x + -8.57y + 0.72z <= 997.1
-1.61x + -7.66y + 9.54z <= 984.66
-5.72x + -6.22y + 9.62z <= 935.72
8.19x + 0.24y + 2.86z <= 783.74
-4.56x + -4.51y + 2.9z <= 363.04
3.26x + -3.15y + 8.85z <= 252.8
2.01x + -3.72y + 6.09z <= 777.86
1.77x + -5.02y + 0.6z <= 896.63
-3.29x + -6.57y + 7.27z <= 486.34
0.17x + -3.54y + -6.43z <= 898.83
1.67x + -0.66y + -4.5z <= 198.45
-9.46x + -9.35y + 5.58z <= 271.68
0.59x + 8.86y + -6.08z <= 545.07
6.72x + -2.07y + -1.66z <= 790.2
7.26x + -6.63y + -1.8z <= 481.18
9.94x + -7.48y + -3.93z <= 869.37
1.38x + 4.83y + -2.61z <= 358.56
-3.13x + -7.46y + 1.88z <= 399.43
-1.9x + 5.26y + -4.72z <= 372.86
-4.74x + 3.4y + -4.39z <= 709.43
-9.16x + 5.18y + 4.72z <= 380.78
3.79x + 1.15y + -4.68z <= 178.44
5.57x + -7.82y + 8.69z <= 223.24
-2.82x + 9.17y + -7.3z <= 952.13
9.0x + 5.54y + -3.91z <= 318.32
2.31x + 5.78y + -8.83z <= 212.71
6.27x + 0.35y + -3.63z <= 827.06
7.39x + -8.5y + -9.9z <= 266.56
-8.79x + 2.44y + 7.36z <= 628.08
1.17x + -3.16y + 5.32z <= 367.41
8.39x + 3.76y + 2.44z <= 209.02
5.15x + 4.12y + 8.51z <= 693.5
3.78x + 9.89y + -2.88z <= 820.15
-4.44x + 3.35y + -9.68z <= 947.87
-6.91x + -3.79y + 1.27z <= 406.47
-9.64x + 4.16y + -1.54z <= 156.8
-9.26x + 6.57y + -8.19z <= 187.89
0.84x + -5.37y + -7.7z <= 675.19
5.69x + -7.65y + 2.64z <= 755.22
-7.18x + 7.39y + -4.66z <= 880.73
-3.6x + -3.31y + 5.85z <= 953.27
0.11x + -9.14y + -5.25z <= 727.23
4.23x + -5.57y + -2.03z <= 452.28
9.84x + -5.84y + -9.1z <= 853.15
-0.55x + 0.28y + -1.14z <= 541.11
7.46x + 2.85y + 7.69z <= 939.88
-6.84x + -5.45y + 5.9z <= 570.88
-1.75x + -1.88y + -1.4z <= 229.86
1.24x + -1.03y + 3.84z <= 385.2
-9.91x + 2.72y + -7.44z <= 236.13
-4.72x + -1.51y + -9.5z <= 207.62
-3.3x + 5.66y + 1.29z <= 633.31
7.29x + -1.53y + -1.28z <= 454.67
-3.45x + 5.49y + -4.15z <= 283.49
-2.52x + 1.0y + -3.98z <= 992.05
4.4x + 4.42y + -9.21z <= 996.78
-9.66x + 5.72y + 6.13z <= 729.02
-3.68x + 9.31y + 5.55z <= 750.4
-3.94x + -5.28y + 7.78z <= 173.8
2.18x + -7.05y + 4.62z <= 303.85
3.13x + -5.96y + 3.72z <= 224.18
3.07x + 0.37y + 7.65z <= 595.94
-8.2x + -3.38y + 4.46z <= 605.47
-3.78x + 9.43y + -9.21z <= 590.04
-6.11x + -5.69y + -1.36z <= 935.87
4.54x + 5.82y + -2.6z <= 765.82
9.44x + -4.48y + 6.4z <= 742.37
-4.25x + 4.76y + 5.0z <= 480.41
6.22x + -1.97y + 3.72z <= 402.33
3.36x + 3.67y + -4.48z <= 351.46
-3.74x + 9.6y + -6.12z <= 541.59
-0.26x + 0.39y + 7.65z <= 839.3
-8.62x + 8.47y + -4.11z <= 398.33
-3.07x + 4.12y + -4.91z <= 968.89
2.96x + 7.36y + -3.57z <= 103.87
-8.5x + -2.54y + -9.96z <= 522.83
7.76x + -8.1y + 1.19z <= 639.79
3.62x + -0.51y + -2.36z <= 294.08
6.96x + 2.87y + 2.85z <= 673.21
8.5x + -7.38y + 8.16z <= 364.0
-0.39x + -7.29y + -6.74z <= 945.07
-2.02x + 1.93y + 1.58z <= 383.35
-1.78x + -4.79y + 7.97z <= 835.06
-5.69x + 6.9y + -1.8z <= 398.15
-2.01x + -8.84y + -2.53z <= 649.3
7.1x + -8.87y + -3.8z <= 493.54
-4.97x + -7.24y + -7.41z <= 975.82
-8.49x + -0.82y + 1.93z <= 465.9
-8.09x + 5.07y + 5.03z <= 761.83
-2.53x + 9.61y + 0.12z <= 732.19
7.06x + 5.65y + -7.08z <= 794.55
0.14x + -6.59y + 5.58z <= 396.72
-0.31x + 5.63y + 3.16z <= 228.68
8.32x + 1.81y + 4.94z <= 719.55
-1.38x + 1.57y + 9.55z <= 801.59
-4.9x + 6.41y + -0.77z <= 589.9
-4.88x + 8.82y + -2.77z <= 654.68
-0.23x + -8.69y + -9.45z <= 978.99
0.64x + 7.35y + -1.01z <= 476.31
3.84x + 9.37y + -4.98z <= 484.66
-5.55x + 6.22y + 1.47z <= 493.97
-7.37x + 0.66y + -7.2z <= 803.54
5.48x + -4.11y + -1.54z <= 216.41
1.79x + -6.61y + -2.13z <= 490.18
3.61x + 4.51y + 9.0z <= 478.76
-3.5x + -0.55y + 9.9z <= 482.63
3.01x + -6.45y + -6.77z <= 331.44
-1.18x + -8.4y + 5.51z <= 558.7
2.79x + -1.06y + -8.48z <= 857.06
-8.41x + -1.35y + 8.82z <= 743.42
-2.56x + -2.74y + -3.8z <= 865.28
-0.53x + 3.1y + -4.48z <= 846.4
-3.46x + 6.57y + 4.16z <= 602.86
-7.23x + -4.04y + 1.79z <= 400.59
6.01x + 8.43y + -2.75z <= 326.09
2.7x + -7.16y + -1.38z <= 231.63
-7.84x + 4.18y + -2.14z <= 973.63
-0.8x + -7.5y + -5.13z <= 466.22
0.78x + -8.21y + -3.11z <= 637.45
2.6x + -2.51y + 7.91z <= 522.13
-6.47x + 5.56y + -2.65z <= 279.9
0.16x + -2.79y + 7.45z <= 400.86
5.19x + 2.32y + 7.41z <= 895.67
2.89x + 8.32y + -0.66z <= 381.88
1.82x + -8.0y + 0.96z <= 520.75
0.11x + -9.17y + 9.16z <= 802.34
-9.43x + -7.04y + -1.22z <= 422.92
8.6x + -7.03y + -1.75z <= 863.25
-6.2x + 5.29y + -7.43z <= 725.64
7.99x + 3.62y + -6.05z <= 956.17
0.13x + 0.15y + 5.71z <= 970.02
-7.27x + 6.84y + 1.8z <= 340.81
2.44x + -3.74y + 2.22z <= 507.37
-6.59x + -4.07y + -1.89z <= 788.69
-8.18x + 6.72y + 1.81z <= 820.64
-0.78x + -3.68y + -3.31z <= 574.45
