max 4.95x + -4.82y + -2.61z
7.24x + -2.24y + -3.86z <= 176.0
4.34x + -8.83y + -4.34z <= 265.31
0.85x + 0.39y + -4.83z <= 758.02
7.97x + -1.83y + 0.33z <= 349.08
-3.85x + 7.79y + -6.83z <= 558.41
-1.05x + 9.16y + 5.86z <= 651.99
-1.35x + 5.72y + -2.85z <= 871.44
1.86x + 3.25y + 9.07z <= 674.59
2.87x + -4.07y + -1.52z <= 230.89
-5.94x + 1.1y + 4.85z <= 966.97
-9.88x + -3.09y + -3.03z <= 547.81
0.55x + -9.03y + -6.43z <= 677.19
-1.77x + -8.74y + 8.5z <= 769.74
5.68x + 7.71y + -2.03z <= 581.82
4.84x + 7.5y + -9.37z <= 741.37
8.46x + -9.53y + 1.51z <= 509.51
7.39x + 8.33y + 8.51z <= 796.23
-3.52x + 1.95y + 5.33z <= 361.33
2.53x + -5.5y + 5.74z <= 631.69
-3.96x + -6.86y + -9.43z <= 839.36
-2.54x + 9.05y + -7.84z <= 755.38
-9.43x + 9.87y + 5.78z <= 746.49
1.42x + 4.89y + 2.78z <= 736.42
1.23x + -7.48y + -9.61z <= 940.3
1.82x + -7.04y + 7.9z <= 643.22
-8.4x + -4.91y + 2.27z <= 882.71
-8.92x + -0.19y + -1.49z <= 701.07
5.57x + -1.4y + -1.21z <= 288.03
2.06x + -9.96y + 1.27z <= 180.93
0.91x + -3.98y + 0.26z <= 163.34
-0.02x + 3.25y + 9.56z <= 624.25
1.25x + 8.06y + 4.81z <= 482.03
2.3x + 6.59y + -8.51z <= 342.1
-0.46x + -6.4y + -1.57z <= 316.32
9.07x + -4.38y + 8.33z <= 468.63
2.86x + 1.05y + -6.65z <= 642.66
-2.74x + -8.68y + -2.33z <= 474.95
-0.09x + 6.9y + -5.32z <= 803.04
0.33x + 4.29y + 2.54z <= 978.89
7.21x + -0.6y + -7.19z <= 913.58
-7.42x + 0.95y + -2.49z <= 780.78
-8.01x + 1.81y + -3.22z <= 625.86
7.31x + -6.79y + 6.0z <= 622.29
9.69x + 4.17y + 6.05z <= 545.85
-8.74x + 9.44y + 1.83z <= 967.35
-5.65x + 4.98y + 3.91z <= 375.46
-1.42x + 7.45y + 6.36z <= 331.75
-5.84x + 0.24y + -0.78z <= 885.02
-7.33x + 0.33y + -8.2z <= 881.61
0.11x + 8.01y + -7.22z <= 714.99
2.15x + -0.38y + -2.6z <= 423.53
9.04x + 2.02y + 6.65z <= 340.09
-4.16x + -9.48y + 3.0z <= 525.95
2.38x + 4.06y + -1.04z <= 331.68
-7.6x + 6.48y + 7.52z <= 706.35
-9.32x + 6.9y + 5.69z <= 893.71
-9.16x + -2.36y + -8.39z <= 640.25
6.93x + 8.59y + 5.24z <= 454.03
0.35x + -9.42y + 7.96z <= 189.22
2.86x + 2.62y + 5.5z <= 638.48
6.69x + 8.08y + -6.62z <= 385.79
-5.3x + 5.01y + -1.09z <= 999.64
4.23x + -2.96y + 2.12z <= 482.16
0.22x + 3.47y + 5.35z <= 260.41
3.19x + 9.36y + -9.67z <= 744.72
5.79x + 5.43y + -4.42z <= 587.31
-4.7x + 3.04y + -5.44z <= 881.06
6.18x + -9.92y + 2.01z <= 773.56
-6.23x + -0.66y + 8.57z <= 678.9
-1.44x + 3.93y + -6.61z <= 600.53
-0.08x + 4.41y + 0.88z <= 665.83
-0.4x + 7.83y + 7.25z <= 291.55
3.2x + 4.37y + 5.82z <= 769.72
7.66x + -7.9y + -2.94z <= 937.78
3.46x + 0.28y + -9.37z <= 169.58
-0.87x + 7.13y + -2.06z <= 509.89
1.91x + 6.51y + 8.94z <= 554.17
4.34x + -6.71y + 3.79z <= 886.98
-4.2x + 7.47y + 6.16z <= 260.3
9.62x + -8.3y + -7.09z <= 581.8
-1.56x + 1.24y + 5.47z <= 735.02
0.39x + -2.31y + -9.13z <= 452.47
-3.13x + 6.0y + -1.79z <= 547.01
-8.39x + -4.79y + 0.33z <= 517.19
-3.8x + 4.99y + -5.65z <= 446.79
9.89x + 6.48y + 6.58z <= 141.02
-1.81x + 1.74y + -7.43z <= 785.85
0.55x + 9.57y + -3.83z <= 493.35
-5.69x + -9.28y + 3.34z <= 885.48
2.82x + 5.79y + -3.78z <= 162.02
-9.86x + 6.9y + 6.05z <= 670.39
6.04x + -4.14y + 1.63z <= 563.19
4.31x + 8.7y + -9.02z <= 427.16
-8.8x + -1.3y + -5.02z <= 229.04
-3.24x + -2.76y + -2.17z <= 783.7
-6.72x + -6.73y + -2.55z <= 743.14
8.39x + -4.89y + -4.32z <= 858.78
0.12x + 3.44y + 6.86z <= 851.35
5.58x + 9.71y + 1.93z <= 257.23
9.2x + 5.88y + 6.79z <= 910.74
-3.12x + -3.18y + -2.57z <= 121.08
7.22x + -4.86y + -2.08z <= 954.68
4.33x + 1.31y + -0.99z <= 605.31
-9.38x + -7.62y + -3.53z <= 504.55
8.31x + 2.41y + 1.47z <= 979.31
2.9x + -7.53y + -1.64z <= 511.27
-1.76x + 3.09y + -0.27z <= 239.54
-7.2x + 2.04y + 9.28z <= 644.53
-6.66x + 4.17y + 2.24z <= 193.38
2.74x + 1.95y + 4.37z <= 865.42
5.91x + -2.66y + -3.5z <= 992.12
1.92x + 3.96y + -7.67z <= 995.63
-7.39x + 4.86y + 4.38z <= 193.51
0.67x + 9.51y + 9.63z <= 751.46
-9.08x + -4.74y + -7.03z <= 833.84
-6.45x + 9.79y + -6.38z <= 822.16
7.27x + -3.01y + -3.25z <= 103.48
7.43x + -5.28y + -6.32z <= 336.93
3.66x + -1.59y + 1.71z <= 307.98
-1.88x + -4.05y + -8.84z <= 553.65
0.61x + -8.34y + 3.54z <= 967.72
-5.35x + 7.96y + 4.21z <= 556.0
-8.62x + -5.48y + -3.14z <= 708.78
-6.72x + 5.33y + 5.21z <= 893.2
-5.51x + -3.64y + -9.99z <= 157.64
7.39x + 9.01y + 8.46z <= 157.88
-7.6x + -7.43y + -2.27z <= 307.08
-7.03x + -5.86y + -1.57z <= 316.0
-1.45x + 8.4y + -0.52z <= 425.04
-2.65x + 3.52y + 3.56z <= 358.1
6.16x + -0.88y + 2.15z <= 164.54
2.01x + 2.71y + -7.09z <= 897.4
-7.57x + 4.74y + -3.29z <= 802.46
7.2x + -7.08y + -4.5z <= 658.24
-3.68x + 6.43y + 1.44z <= 513.09
-6.47x + 9.88y + 0.44z <= 682.59
4.65x + -9.0y + -1.66z <= 657.8
1.4x + 9.96y + 0.65z <= 502.46
1.12x + -9.91y + 8.19z <= 756.33
8.75x + -0.81y + -7.8z <= 954.33
2.62x + -2.47y + -5.18z <= 388.34
-2.88x + -0.41y + 7.39z <= 423.01
-0.88x + 0.57y + 9.3z <= 249.17
2.94x + -1.54y + 2.54z <= 127.26
6.49x + 1.34y + -6.98z <= 529.16
-0.74x + -1.44y + 6.75z <= 372.18
-2.53x + 8.46y + -5.12z <= 527.7
-5.88x + -0.83y + -0.96z <= 713.19
-2.17x + -4.53y + -6.36z <= 309.32
-8.34x + -3.02y + 1.27z <= 121.86
-7.28x + -0.32y + -0.14z <= 890.78
-4.45x + -9.71y + -4.56z <= 446.12
2.24x + -0.31y + 1.16z <= 583.68
-9.94x + -7.94y + -8.11z <= 277.52
-9.96x + -5.62y + 5.58z <= 870.43
5.27x + -7.8y + 0.72z <= 403.42
4.04x + -6.74y + 0.82z <= 769.43
-2.55x + 4.67y + 9.9z <= 679.25
-4.64x + -0.88y + 1.02z <= 462.4
-1.41x + -0.43y + -1.17z <= 655.63
2.88x + -1.79y + 8.34z <= 682.46
1.02x + 9.56y + -2.99z <= 813.44
6.79x + -1.5y + -5.78z <= 516.58
3.8x + -3.99y + -0.62z <= 948.9
-8.0x + -7.32y + -4.25z <= 465.95
-2.56x + -0.29y + 5.51z <= 449.84
6.99x + 4.77y + 8.46z <= 261.11
-9.81x + 1.91y + -9.37z <= 152.95
9.02x + -5.77y + 5.73z <= 851.35
2.33x + -2.71y + 3.17z <= 637.65
-9.02x + 0.88y + -8.33z <= 315.02
9.43x + -0.32y + 1.13z <= 506.36
-4.55x + 6.29y + -9.26z <= 312.42
5.33x + -0.76y + 5.1z <= 541.22
0.43x + -8.22y + 5.66z <= 459.17
3.41x + 0.29y + -7.31z <= 184.7
-1.71x + -2.11y + 4.25z <= 306.1
7.91x + -8.24y + 7.54z <= 426.8
6.58x + 9.65y + -4.72z <= 807.4
8.39x + -1.71y + 9.17z <= 877.1
0.29x + -7.81y + 9.16z <= 290.15
2.35x + -7.21y + -9.97z <= 458.31
-2.4x + 9.54y + -2.74z <= 981.76
-9.75x + 0.25y + -1.87z <= 312.19
2.11x + 8.95y + -5.82z <= 374.28
0.4x + 2.43y + 9.83z <= 560.73
-4.0x + -1.8y + 7.9z <= 508.63
3.93x + -6.61y + 5.39z <= 668.0
-2.92x + 1.61y + 2.72z <= 358.6
9.86x + 2.47y + 5.4z <= 454.51
-3.83x + 3.35y + 5.12z <= 264.87
0.73x + 3.99y + 6.41z <= 640.83
6.84x + -7.32y + -1.87z <= 239.59
2.76x + -2.95y + 3.67z <= 230.92
7.35x + -7.0y + 4.73z <= 313.15
5.82x + -8.04y + -3.94z <= 561.69
-3.62x + -8.93y + 9.81z <= 178.49
9.98x + -7.62y + -9.32z <= 814.19
-2.87x + 3.19y + 5.59z <= 906.88
-8.45x + 5.0y + -3.61z <= 866.54
-7.05x + 2.02y + -3.91z <= 984.24
2.02x + 0.94y + 4.0z <= 368.44
-7.54x + -6.5y + -4.01z <= 627.86
-7.63x + -4.51y + -7.86z <= 415.75
4.45x + -4.18y + -5.57z <= 522.7
-7.85x + 7.0y + 9.65z <= 713.17
-0.17x + -7.41y + 2.53z <= 477.63
5.22x + -0.09y + 0.09z <= 986.98
8.43x + -7.25y + 6.98z <= 881.08
9.05x + 6.16y + 8.64z <= 812.54
-7.58x + -5.84y + -6.96z <= 120.57
4.12x + -3.06y + 7.85z <= 505.43
7.6x + 9.89y + -6.44z <= 733.83
8.55x + -3.63y + -4.72z <= 544.71
-1.71x + 6.5y + -7.5z <= 386.38
-4.85x + -3.96y + 4.42z <= 852.63
-2.25x + 3.31y + -4.07z <= 915.09
3.62x + -5.08y + 7.22z <= 854.78
3.23x + 3.38y + -4.08z <= 103.21
1.5x + -4.4y + -6.33z <= 810.4
-2.42x + 9.16y + 8.94z <= 392.86
3.56x + 3.5y + 1.2z <= 405.23
3.31x + 4.51y + 0.12z <= 189.34
-6.77x + 1.82y + 6.57z <= 851.78
-5.78x + -3.74y + 4.6z <= 455.98
1.79x + 6.41y + -1.51z <= 967.29
4.64x + -7.84y + 2.2z <= 295.45
-0.55x + -5.37y + 2.37z <= 580.06
-6.69x + 6.11y + -5.04z <= 355.27
-5.41x + -4.53y + 9.46z <= 599.72
9.13x + -4.59y + 1.78z <= 130.77
9.45x + -2.99y + -4.52z <= 520.42
-8.79x + -2.75y + 2.63z <= 571.29
-7.56x + -3.27y + 3.91z <= 513.51
-8.37x + 1.75y + 6.66z <= 626.98
2.38x + -2.37y + 6.85z <= 577.92
-2.36x + 0.43y + -1.61z <= 572.28
9.09x + 7.75y + -7.17z <= 214.0
-8.4x + -6.86y + -8.06z <= 517.01
4.7x + -0.87y + 9.91z <= 250.34
8.31x + -7.22y + -9.64z <= 902.31
1.6x + 5.26y + 8.27z <= 506.47
-7.72x + -9.99y + -6.22z <= 358.72
-2.05x + -8.2y + 10.0z <= 547.4
5.45x + 1.31y + 5.53z <= 892.09
9.94x + -3.76y + 2.44z <= 833.6
5.0x + 0.1y + -5.12z <= 256.87
-3.24x + -1.35y + 6.87z <= 224.38
-9.35x + 8.38y + -0.09z <= 858.26
3.32x + -0.22y + 4.73z <= 276.93
-6.17x + 1.94y + 1.86z <= 763.23
-0.24x + 4.45y + -9.17z <= 515.49
-8.76x + 9.75y + 9.58z <= 365.06
-4.83x + 8.16y + 5.74z <= 559.19
-2.28x + -4.77y + -7.18z <= 420.05
8.92x + 5.41y + -1.63z <= 634.78
0.17x + 2.49y + -6.01z <= 515.55
3.97x + -0.74y + 8.8z <= 803.69
1.02x + 5.59y + -5.08z <= 565.9
2.89x + -4.35y + -8.73z <= 707.7
-3.91x + -5.24y + 9.27z <= 266.14
-4.49x + 9.01y + 5.24z <= 427.29
-0.31x + -8.39y + 6.23z <= 551.86
2.29x + -3.58y + -0.13z <= 550.39
0.13x + -9.66y + -6.41z <= 946.67
1.31x + 2.25y + 5.01z <= 599.67
5.93x + -2.59y + -7.22z <= 954.14
4.55x + 9.36y + -3.59z <= 549.22
-5.63x + 2.1y + 0.33z <= 647.25
-3.3x + 6.49y + 4.84z <= 510.46
-6.94x + 1.8y + -1.82z <= 758.77
-8.95x + -9.9y + 9.54z <= 567.01
1.61x + 5.66y + 2.85z <= 486.11
3.46x + -7.19y + 0.78z <= 531.95
-8.78x + 1.99y + 5.61z <= 772.33
9.12x + 8.78y + 4.8z <= 698.91
8.49x + -7.98y + -8.22z <= 620.64
8.56x + 0.64y + 2.47z <= 575.29
-7.64x + -9.48y + 0.16z <= 452.4
1.09x + -1.46y + 2.44z <= 173.53
-8.0x + -8.63y + -5.44z <= 152.39
2.5x + 6.21y + -4.63z <= 833.29
9.91x + 3.22y + 9.28z <= 760.32
-7.05x + 9.77y + 9.01z <= 364.29
-4.94x + -4.62y + 2.04z <= 696.44
-2.92x + -2.21y + -5.83z <= 682.88
6.37x + 6.71y + 5.76z <= 727.66
5.91x + -7.38y + 5.24z <= 481.53
-4.55x + 7.7y + 6.94z <= 402.98
-2.86x + 8.88y + -5.26z <= 343.65
1.78x + -0.97y + -0.21z <= 666.04
3.87x + -5.63y + -6.35z <= 113.15
-2.87x + -9.89y + -1.15z <= 945.85
-4.45x + 0.88y + 1.56z <= 334.37
4.67x + -1.42y + 7.68z <= 613.24
6.5x + -9.54y + 3.81z <= 421.68
-8.86x + -4.0y + -6.97z <= 942.51
0.83x + -3.67y + -1.81z <= 342.14
-3.72x + 6.13y + 2.46z <= 991.32
1.39x + -8.18y + 0.8z <= 452.82
5.32x + 8.5y + 0.24z <= 368.86
9.54x + -5.01y + 9.96z <= 602.06
-5.04x + 7.22y + 4.73z <= 187.49
-2.79x + -1.05y + 6.43z <= 926.19
-3.14x + -1.37y + 8.99z <= 710.32
-7.84x + 4.5y + -0.79z <= 581.02
-9.26x + -0.75y + 7.61z <= 329.64
-5.14x + 6.34y + 8.59z <= 212.63
-7.51x + 6.36y + -1.46z <= 854.45
5.69x + -6.76y + 3.76z <= 781.42
-8.13x + 6.05y + 8.86z <= 302.27
8.12x + 5.6y + 7.4z <= 797.74
-6.16x + -7.3y + 2.21z <= 158.16
7.76x + -7.61y + -2.86z <= 495.54
5.83x + 3.81y + -9.03z <= 309.22
-5.98x + 6.72y + -0.16z <= 291.47
-5.14x + -5.85y + -7.98z <= 297.35
8.59x + 0.95y + 0.71z <= 352.71
1.95x + -5.5y + 7.17z <= 430.85
3.99x + -7.25y + 9.93z <= 250.49
8.72x + -5.32y + 8.62z <= 155.03
-5.84x + -8.27y + 2.29z <= 727.62
-7.9x + -1.13y + -3.42z <= 136.56
1.53x + -7.63y + 4.63z <= 769.1
2.23x + 3.86y + -5.62z <= 214.0
-6.87x + -7.47y + 8.01z <= 960.14
6.73x + 0.12y + -3.38z <= 909.93
2.58x + 5.78y + -4.34z <= 910.41
8.1x + 8.93y + 3.61z <= 603.57
3.42x + 9.43y + 3.73z <= 576.95
9.08x + -4.74y + 9.28z <= 573.49
-4.57x + -5.64y + -1.79z <= 796.77
2.3x + 6.34y + -9.87z <= 410.94
-5.32x + 2.39y + -7.58z <= 570.57
0.62x + 4.81y + -1.89z <= 683.62
6.78x + -4.84y + 0.47z <= 436.43
-3.81x + -9.12y + 5.82z <= 496.3
1.8x + -9.71y + 9.51z <= 279.62
9.89x + 7.72y + -3.64z <= 442.5
1.16x + 1.28y + -7.95z <= 698.55
-6.35x + 2.26y + -8.52z <= 705.21
-9.04x + -3.86y + -6.99z <= 897.52
-0.49x + -6.96y + -2.66z <= 344.24
-8.85x + 1.64y + 4.55z <= 802.26
-6.17x + 9.27y + -9.1z <= 700.91
-4.06x + 8.14y + -2.66z <= 248.15
-1.54x + 1.09y + -6.1z <= 380.76
-4.32x + -5.06y + 0.82z <= 364.6
6.51x + -6.5y + 4.5z <= 626.98
-5.56x + 4.24y + -2.02z <= 649.96
2.36x + -5.89y + 5.84z <= 477.7
-9.46x + -2.56y + -9.24z <= 384.34
7.65x + 1.17y + -0.66z <= 770.91
3.83x + 2.43y + -9.21z <= 571.54
-4.83x + -6.06y + -6.06z <= 470.88
2.55x + 9.22y + 3.01z <= 979.35
-8.2x + 9.83y + -1.23z <= 454.6
-4.32x + 2.52y + 1.48z <= 807.91
0.67x + 4.9y + -0.39z <= 101.47
-6.64x + -3.61y + -8.89z <= 582.64
-8.36x + 0.77y + 0.31z <= 481.78
0.03x + -2.55y + 9.38z <= 269.14
2.36x + 4.19y + -8.38z <= 128.82
2.64x + -3.89y + -3.6z <= 938.1
3.78x + -8.96y + 9.31z <= 847.59
-5.44x + -7.47y + -3.68z <= 953.85
6.23x + -3.24y + -2.25z <= 593.41
9.33x + 2.01y + -1.37z <= 657.42
1.4x + -2.19y + 7.04z <= 149.83
2.98x + 6.44y + -4.06z <= 760.83
-8.52x + -4.24y + 3.99z <= 649.8
0.92x + -1.97y + -2.04z <= 804.98
-7.31x + 9.77y + 6.08z <= 254.46
2.89x + -7.8y + -9.41z <= 546.05
8.11x + -3.05y + -9.62z <= 683.52
-0.21x + -9.25y + 1.74z <= 210.15
3.18x + -7.32y + -8.05z <= 316.98
7.82x + -6.61y + -5.07z <= 224.56
-2.76x + -9.21y + 7.14z <= 116.22
1.32x + 6.71y + -9.44z <= 896.08
5.13x + 6.96y + 5.96z <= 248.63
-6.56x + 2.93y + -0.3z <= 482.24
-2.35x + 7.21y + 4.22z <= 554.05
9.56x + -9.85y + -5.37z <= 953.75
-1.27x + -3.69y + 1.29z <= 606.73
8.23x + -7.86y + 2.79z <= 468.85
-1.72x + -5.33y + -3.3z <= 725.73
7.98x + 1.13y + 7.17z <= 127.57
2.07x + -9.81y + 3.9z <= 928.39
-9.44x + -8.72y + 9.25z <= 426.08
9.45x + -6.14y + 2.63z <= 765.31
3.8x + 9.79y + 5.57z <= 849.88
-0.62x + -0.37y + -7.57z <= 414.22
-1.14x + -6.79y + -1.23z <= 367.55
8.17x + 6.42y + -7.23z <= 733.15
2.16x + 4.55y + 7.68z <= 648.1
8.15x + 8.15y + 2.72z <= 980.9
-3.99x + 1.73y + -5.43z <= 586.99
6.92x + 4.47y + -0.29z <= 394.34
6.36x + -8.62y + -7.35z <= 882.25
-2.72x + 3.09y + -8.09z <= 722.54
9.03x + 1.84y + 3.72z <= 981.56
9.52x + 3.78y + -1.33z <= 873.63
-0.66x + -9.69y + -6.44z <= 509.92
-5.19x + -3.68y + -2.85z <= 613.56
5.01x + -1.99y + -6.31z <= 948.72
3.14x + -3.99y + 3.71z <= 187.29
-7.78x + 6.46y + 5.58z <= 334.56
2.92x + -6.37y + -7.74z <= 785.09
-4.58x + -8.46y + 4.99z <= 600.48
3.15x + 7.66y + -2.92z <= 202.49
0.29x + -7.28y + 4.69z <= 491.39
7.39x + -8.74y + 8.34z <= 200.89
2.34x + 4.25y + -9.46z <= 318.45
-0.38x + 3.0y + -0.53z <= 889.18
-3.86x + 5.88y + 1.68z <= 159.8
6.96x + -6.4y + 4.29z <= 419.5
-6.3x + -9.86y + 7.3z <= 736.31
7.58x + 6.86y + -6.34z <= 912.36
5.62x + 3.06y + -2.08z <= 746.21
9.6x + -3.61y + 9.41z <= 460.4
9.17x + 9.86y + -0.95z <= 654.97
-6.27x + -9.19y + 5.79z <= 735.29
9.8x + 6.71y + -4.05z <= 181.34
-1.0x + 1.15y + 4.52z <= 405.29
-0.92x + 0.81y + 7.39z <= 693.54
-1.29x + 9.29y + 8.23z <= 272.77
-8.03x + 4.17y + -7.91z <= 117.33
-7.0x + -7.85y + 8.72z <= 354.13
3.37x + 5.17y + 7.2z <= 390.33
8.55x + -1.62y + 2.12z <= 388.51
-8.33x + 9.3y + 6.94z <= 975.6
9.22x + -2.5y + 7.87z <= 420.88
0.2x + 4.97y + 8.33z <= 956.1
-8.85x + -4.01y + 6.06z <= 217.39
-1.32x + 9.49y + -1.52z <= 295.56
-2.63x + 3.13y + 5.42z <= 244.11
6.81x + -2.68y + 1.29z <= 865.11
0.27x + 5.05y + -3.68z <= 952.91
3.83x + -0.96y + -4.87z <= 257.58
4.86x + 6.04y + 5.34z <= 146.44
3.9x + -8.61y + -1.6z <= 892.68
4.54x + 8.74y + -5.7z <= 104.77
2.22x + 8.25y + 9.59z <= 557.46
-7.92x + -8.72y + -0.81z <= 733.53
-0.19x + 7.18y + 5.09z <= 291.54
-6.82x + -9.69y + -4.56z <= 347.78
3.13x + -5.72y + -1.76z <= 150.13
-5.93x + -6.9y + -5.91z <= 925.29
-0.59x + -5.55y + -8.96z <= 153.7
6.79x + 9.31y + 1.13z <= 583.37
-6.32x + 4.07y + 6.24z <= 389.45
-0.53x + 5.0y + 8.95z <= 276.34
-9.58x + -7.89y + -9.49z <= 203.92
5.87x + -8.85y + -1.84z <= 644.38
-8.14x + -3.13y + 7.34z <= 920.08
6.4x + 2.24y + -3.53z <= 260.84
3.18x + -3.38y + -7.22z <= 646.49
8.72x + -6.16y + 0.69z <= 474.91
8.28x + -4.36y + 6.79z <= 844.28
-9.4x + 8.21y + 2.15z <= 994.89
-0.92x + 4.3y + -2.74z <= 397.02
7.77x + 0.25y + -3.66z <= 989.14
1.8x + 7.79y + -2.95z <= 491.96
-3.34x + 5.04y + -6.94z <= 327.26
0.46x + -9.18y + 3.03z <= 786.95
-7.39x + 2.25y + -5.77z <= 586.74
-6.04x + -1.17y + 9.87z <= 815.83
0.97x + 3.28y + 0.86z <= 579.02
7.3x + 0.73y + -4.09z <= 186.26
-7.14x + -0.38y + -3.67z <= 935.38
2.16x + 0.77y + 5.94z <= 128.2
0.59x + -3.25y + 9.89z <= 850.43
2.66x + 1.23y + 4.61z <= 367.76
-0.15x + 5.79y + -9.08z <= 131.41
-6.11x + -8.19y + -5.01z <= 760.05
-4.05x + -4.65y + 0.74z <= 983.96
9.45x + -7.82y + -1.08z <= 145.63
3.47x + 4.51y + 5.89z <= 443.01
-0.12x + -0.31y + 0.86z <= 175.3
0.07x + 7.79y + 7.89z <= 213.22
1.77x + 6.83y + 6.29z <= 802.28
9.28x + 2.09y + -4.34z <= 999.41
-6.71x + 1.62y + -6.32z <= 532.02
9.42x + -0.33y + -9.32z <= 968.97
-4.96x + 9.66y + -1.57z <= 834.03
3.93x + -3.83y + 4.64z <= 304.35
-0.49x + 0.08y + 3.59z <= 696.24
-2.57x + -4.75y + -1.58z <= 331.96
4.98x + -3.01y + -9.12z <= 930.08
4.98x + -5.64y + 9.48z <= 776.77
-1.02x + 6.17y + -0.67z <= 100.38
8.69x + 3.35y + -8.95z <= 532.38
-3.52x + 1.38y + 3.52z <= 152.32
3.07x + 7.97y + -2.16z <= 715.37
-4.6x + 1.54y + 0.86z <= 563.9
2.25x + -5.72y + -4.89z <= 263.97
-0.58x + -2.64y + 6.37z <= 838.28
-4.6x + 1.5y + -6.94z <= 554.83
0.59x + -0.11y + 6.54z <= 246.83
-8.71x + -1.47y + -2.13z <= 400.63
-10.0x + 1.91y + -9.36z <= 656.92
-9.28x + 9.29y + -2.55z <= 191.1
-7.47x + -1.19y + 0.26z <= 652.81
-5.48x + -5.65y + -1.34z <= 183.67
3.15x + -6.34y + 7.48z <= 538.0
9.16x + 5.22y + 6.66z <= 857.42
-3.5x + 7.82y + 3.29z <= 143.2
-9.54x + -9.77y + 4.53z <= 802.3
2.68x + 7.42y + -9.05z <= 110.88
-5.66x + -8.04y + -4.58z <= 712.81
4.49x + 1.98y + -6.92z <= 543.19
8.25x + -7.52y + 4.07z <= 324.27
-2.74x + -1.37y + 7.77z <= 449.94
8.39x + -1.02y + 0.94z <= 412.0
-9.14x + 8.02y + 8.01z <= 670.86
-0.21x + -6.22y + 6.62z <= 376.7
