max 4.33x + 3.98y + 6.22z
7.63x + -8.4y + -9.86z <= 241.96
-0.76x + 2.47y + -9.16z <= 835.25
-2.14x + 5.95y + -6.5z <= 515.97
-9.32x + -7.98y + -6.31z <= 768.21
-4.21x + -3.25y + -3.13z <= 981.47
-1.26x + -2.32y + -1.57z <= 175.85
9.75x + 9.81y + -4.28z <= 145.71
5.25x + 7.6y + -2.69z <= 254.74
1.79x + 0.24y + 6.83z <= 707.34
-6.72x + 5.12y + -2.35z <= 867.89
-2.0x + -7.02y + 5.08z <= 777.2
-1.33x + -9.15y + -5.41z <= 564.37
9.97x + -6.13y + 2.74z <= 801.49
-0.32x + 8.99y + -5.83z <= 561.72
-5.88x + 0.07y + -6.86z <= 257.77
6.2x + -7.45y + -5.02z <= 816.47
2.4x + 1.07y + 9.63z <= 392.11
3.74x + -7.82y + 9.61z <= 188.77
-3.72x + -5.24y + 7.42z <= 542.46
7.61x + -1.15y + -2.92z <= 813.43
1.97x + -8.61y + -0.35z <= 186.43
5.69x + -6.55y + 2.81z <= 883.04
-9.57x + -6.13y + 8.57z <= 263.13
3.06x + -8.33y + -8.12z <= 271.34
-4.25x + 2.31y + -6.14z <= 282.0
2.94x + 0.19y + -1.17z <= 106.61
7.0x + 1.19y + -9.89z <= 576.64
-3.88x + 4.47y + -8.44z <= 965.33
6.54x + -1.07y + 2.36z <= 360.11
-3.03x + -0.82y + 0.98z <= 533.76
-9.43x + -1.4y + 3.39z <= 891.05
9.01x + 5.03y + 8.48z <= 996.3
-4.96x + 9.55y + -4.06z <= 722.01
-6.83x + 2.25y + -4.88z <= 728.05
2.01x + 6.88y + 5.78z <= 850.63
0.36x + 1.85y + 0.69z <= 718.79
6.94x + 3.31y + -3.78z <= 501.02
-4.97x + -0.57y + -4.94z <= 740.26
-4.15x + -6.92y + 8.49z <= 270.24
0.59x + -1.38y + 5.63z <= 937.37
5.0x + -0.34y + -4.81z <= 237.03
-5.53x + -5.54y + -7.92z <= 478.74
2.08x + -1.27y + 8.43z <= 433.18
4.16x + -3.63y + 7.66z <= 396.28
2.84x + -1.12y + -0.78z <= 727.39
-8.41x + 5.31y + -5.85z <= 359.4
-2.09x + -0.06y + -9.11z <= 833.1
3.77x + 4.01y + 9.34z <= 834.73
-0.58x + -2.37y + -0.44z <= 277.92
2.96x + 1.52y + 7.72z <= 822.12
-8.35x + 3.89y + -9.83z <= 570.0
1.39x + -2.83y + -4.17z <= 871.35
3.93x + -0.67y + -4.14z <= 282.62
6.29x + -7.66y + -9.59z <= 285.8
7.32x + 5.31y + 0.08z <= 408.66
-4.82x + -9.82y + -8.87z <= 750.01
-6.28x + 2.88y + 4.33z <= 135.84
-5.08x + -2.06y + -3.12z <= 593.94
5.45x + 5.19y + 3.84z <= 127.79
-9.02x + -6.48y + -0.53z <= 882.46
-0.81x + 0.05y + 5.16z <= 734.68
3.26x + -8.87y + -9.09z <= 245.35
0.08x + -8.88y + 7.98z <= 781.18
-7.4x + 0.89y + 5.98z <= 902.27
-4.57x + 0.1y + 7.86z <= 799.93
-4.16x + 7.08y + 2.47z <= 449.74
-5.01x + 4.08y + -8.71z <= 968.23
-2.52x + -1.07y + 8.38z <= 978.03
-3.64x + -9.31y + 6.44z <= 198.28
-1.58x + 3.21y + 6.92z <= 569.23
1.83x + -1.59y + -1.33z <= 470.79
8.41x + 1.38y + -2.97z <= 467.94
2.95x + 5.59y + -1.16z <= 128.07
-8.43x + -1.94y + -3.34z <= 974.78
-6.58x + -0.86y + 5.86z <= 533.4
2.74x + 6.8y + -8.82z <= 210.85
-1.42x + 9.96y + 6.54z <= 538.46
-5.34x + 5.1y + 7.2z <= 247.38
5.6x + 6.35y + 7.03z <= 731.42
8.41x + 0.86y + -5.86z <= 782.93
8.02x + -7.91y + -6.07z <= 348.41
-9.35x + 3.6y + -3.84z <= 323.9
-2.67x + -2.22y + 4.89z <= 291.78
-5.56x + 0.4y + 4.51z <= 727.14
-1.65x + -1.17y + 2.07z <= 237.98
7.25x + 1.43y + -2.37z <= 763.28
3.63x + 7.07y + -8.46z <= 882.69
-8.71x + -3.3y + 7.68z <= 997.77
-0.58x + 9.47y + -8.1z <= 206.31
-9.68x + -0.62y + 8.27z <= 868.75
-2.67x + -8.34y + -1.35z <= 379.47
-1.47x + -0.42y + 5.46z <= 839.8
-5.53x + -2.97y + -5.68z <= 750.02
3.12x + -1.68y + -2.58z <= 794.12
-2.79x + -5.05y + -7.39z <= 418.03
-7.68x + -8.66y + 5.98z <= 678.0
-5.41x + 6.71y + -6.7z <= 928.58
4.17x + 0.89y + -8.35z <= 453.77
-6.48x + 9.94y + -0.53z <= 889.51
4.14x + -4.81y + 8.92z <= 900.74
4.21x + -8.76y + 4.54z <= 763.66
1.46x + -9.31y + -5.45z <= 270.19
-4.39x + 7.23y + -3.86z <= 335.57
-2.3x + -7.5y + -2.76z <= 556.86
-0.77x + 6.98y + -1.73z <= 168.48
1.49x + 1.89y + 7.75z <= 563.75
-6.95x + -9.3y + 6.15z <= 976.85
-1.14x + -8.54y + -4.65z <= 314.21
-3.75x + -3.29y + -5.29z <= 424.05
-4.87x + -4.74y + -9.65z <= 359.98
-5.7x + 1.13y + 7.1z <= 168.71
-8.84x + 3.96y + 9.35z <= 731.65
5.67x + -0.92y + 9.98z <= 379.62
-2.12x + -9.85y + 8.25z <= 146.88
5.1x + -5.72y + -1.45z <= 699.04
5.52x + 2.25y + 2.26z <= 912.17
0.29x + 8.36y + 1.78z <= 849.86
1.04x + 2.16y + -2.62z <= 869.4
-2.46x + 3.56y + 7.32z <= 619.03
-8.34x + 2.46y + -0.61z <= 851.9
-3.49x + -6.86y + 9.18z <= 592.99
0.94x + -6.3y + 5.23z <= 832.05
9.45x + 0.12y + -3.05z <= 647.13
-1.02x + 5.67y + 0.97z <= 540.14
3.45x + -5.45y + -5.7z <= 445.31
-4.02x + 4.07y + 9.89z <= 556.36
5.27x + 5.24y + 9.07z <= 690.27
4.6x + 4.74y + 0.59z <= 795.17
-6.56x + 1.73y + 0.49z <= 184.71
3.87x + 9.41y + 2.74z <= 994.01
-1.46x + -5.52y + 6.31z <= 448.42
-3.84x + -9.03y + -0.87z <= 950.26
1.51x + 9.96y + 1.3z <= 990.79
7.02x + -6.12y + 8.43z <= 832.25
5.33x + -7.79y + 2.75z <= 241.24
3.85x + -1.46y + 6.25z <= 871.82
0.94x + 5.18y + -4.87z <= 660.81
-9.03x + 4.98y + 0.11z <= 516.55
1.35x + -2.41y + -2.77z <= 872.4
9.42x + -2.96y + 5.2z <= 374.06
4.53x + 8.37y + 8.72z <= 782.54
9.49x + 7.0y + 1.76z <= 543.81
-7.97x + 4.37y + -3.79z <= 746.56
-1.6x + -4.47y + -3.1z <= 270.75
4.81x + -5.87y + -6.76z <= 816.74
7.59x + -6.48y + -8.93z <= 362.52
-2.22x + 4.93y + 5.24z <= 956.34
-8.91x + 7.59y + 3.36z <= 178.44
6.14x + 6.92y + -3.47z <= 458.93
-6.97x + -3.17y + -0.54z <= 300.12
-0.3x + -9.83y + 9.4z <= 423.42
-8.99x + -5.07y + 1.16z <= 964.83
9.34x + -7.68y + -4.59z <= 944.34
1.82x + -9.05y + -9.05z <= 873.27
3.14x + -7.04y + -1.68z <= 198.04
-7.84x + -0.79y + 1.5z <= 251.6
2.76x + -8.25y + 2.9z <= 832.6
-0.9x + -9.56y + 9.15z <= 598.96
4.85x + -1.24y + -3.32z <= 888.85
-7.67x + -7.95y + 2.33z <= 269.85
-0.66x + 8.06y + -5.46z <= 131.25
-5.45x + 4.0y + -1.36z <= 317.8
0.66x + -5.2y + 8.43z <= 370.2
-4.34x + 9.27y + 9.13z <= 998.7
7.33x + -2.1y + -9.79z <= 476.87
5.26x + 3.33y + -9.24z <= 281.69
-8.22x + 2.69y + 1.26z <= 155.4
-9.27x + 0.3y + -9.27z <= 224.05
5.82x + 1.54y + -2.71z <= 782.0
9.7x + 7.98y + -5.97z <= 314.76
4.76x + -4.89y + -1.74z <= 182.15
2.24x + 2.85y + -9.24z <= 985.53
1.76x + 3.67y + -0.31z <= 673.94
0.44x + 0.2y + -8.84z <= 818.04
8.26x + -7.06y + -0.56z <= 204.65
-0.52x + -4.54y + 7.3z <= 518.77
-5.52x + 7.59y + 1.6z <= 640.17
9.25x + -2.22y + 5.37z <= 625.31
-0.47x + 6.71y + 9.88z <= 558.53
-1.92x + 2.85y + 5.93z <= 590.55
-8.37x + -2.95y + 5.11z <= 300.56
-2.36x + -5.23y + -5.62z <= 386.37
6.13x + 1.78y + 8.35z <= 637.74
9.44x + -2.62y + -6.65z <= 613.8
2.95x + -6.15y + -1.73z <= 444.35
5.56x + 8.64y + -4.34z <= 831.41
6.81x + -7.53y + 4.98z <= 758.76
-0.83x + -9.15y + -0.84z <= 652.87
7.95x + 0.79y + -6.69z <= 869.74
-7.27x + -3.46y + -1.69z <= 514.32
6.47x + -8.79y + -7.06z <= 777.91
-2.89x + -0.14y + -2.61z <= 141.24
3.51x + -0.39y + -8.77z <= 745.24
-7.87x + 5.93y + 1.85z <= 956.66
5.16x + 5.23y + 5.25z <= 672.79
0.24x + 2.95y + 2.47z <= 347.22
-0.16x + -4.94y + -2.03z <= 711.39
4.22x + 0.09y + 4.31z <= 507.72
-6.15x + 5.09y + 1.81z <= 519.27
-7.36x + -3.29y + 6.06z <= 680.68
9.66x + 3.43y + 2.91z <= 269.93
-2.72x + -4.99y + -0.63z <= 797.53
-3.09x + 4.24y + -8.93z <= 882.53
8.89x + 3.5y + 2.74z <= 348.07
9.78x + 9.88y + -0.83z <= 618.03
0.34x + 1.62y + -8.28z <= 532.72
-5.6x + 7.2y + -6.3z <= 739.94
-6.22x + -0.86y + -6.82z <= 791.02
0.16x + 7.92y + 2.68z <= 298.87
-3.32x + 1.24y + 7.4z <= 306.58
-1.02x + -8.71y + -6.95z <= 873.93
-2.19x + -9.17y + 6.67z <= 206.19
4.43x + 7.31y + 0.31z <= 350.86
-8.65x + -9.74y + -6.25z <= 331.58
-6.09x + 9.65y + 8.18z <= 957.12
-8.49x + -4.07y + -1.46z <= 886.28
-4.54x + 7.83y + -3.55z <= 387.97
-1.39x + -1.69y + 5.27z <= 260.9
4.25x + -9.32y + -4.04z <= 849.13
-6.03x + 8.88y + 5.43z <= 130.25
-8.89x + -0.19y + -0.37z <= 421.12
7.22x + -1.16y + 9.46z <= 955.45
6.62x + 9.49y + 0.53z <= 289.13
-9.61x + -6.46y + 9.77z <= 191.64
2.57x + -7.66y + 8.89z <= 918.56
7.3x + -2.27y + 8.18z <= 111.07
9.16x + 9.56y + -5.97z <= 230.79
-4.5x + 6.84y + -8.55z <= 952.3
9.59x + 4.86y + 8.53z <= 937.52
0.54x + -8.04y + 4.37z <= 219.84
1.6x + -6.44y + -2.94z <= 365.17
-9.91x + 4.71y + 0.95z <= 823.54
4.55x + -8.59y + -3.1z <= 763.53
5.52x + -4.19y + 9.21z <= 243.06
-1.89x + 6.28y + -9.65z <= 244.41
5.27x + 6.7y + -8.49z <= 362.35
3.71x + -7.19y + 4.74z <= 367.18
5.36x + -1.88y + -7.39z <= 317.39
9.22x + -8.45y + 5.0z <= 373.29
6.96x + -0.15y + -6.64z <= 544.63
7.62x + 9.16y + 0.64z <= 649.27
2.62x + -1.51y + -4.46z <= 925.0
-3.23x + 0.9y + 9.03z <= 853.53
-9.98x + -6.16y + 8.07z <= 629.79
5.55x + 0.76y + -7.99z <= 436.65
-9.57x + 2.04y + 6.35z <= 989.91
-3.14x + 2.37y + 1.7z <= 180.9
3.12x + 0.53y + 5.12z <= 283.95
-8.88x + -1.97y + 4.53z <= 897.0
6.21x + -7.64y + 4.4z <= 291.67
-8.58x + 4.22y + -2.8z <= 508.39
-1.12x + 1.82y + 8.38z <= 508.72
2.43x + -8.28y + 0.02z <= 217.65
8.94x + -0.92y + -5.53z <= 947.14
-9.05x + -9.38y + -7.12z <= 432.4
1.34x + 5.6y + -7.75z <= 446.74
2.13x + -3.49y + -8.9z <= 706.19
9.25x + -7.83y + -6.45z <= 561.21
-8.49x + 4.76y + -5.05z <= 978.91
-5.44x + -4.68y + 2.73z <= 631.4
-0.48x + 0.91y + 3.67z <= 167.77
-9.56x + 2.65y + -0.13z <= 260.74
-8.38x + 1.73y + -5.91z <= 101.31
-1.3x + -4.5y + 3.8z <= 823.52
9.37x + -7.91y + -3.9z <= 505.36
-5.47x + -8.84y + 8.75z <= 468.09
7.49x + 2.63y + 5.32z <= 910.74
-1.72x + -8.65y + 2.47z <= 990.75
-6.49x + -8.5y + 1.83z <= 911.41
0.87x + -6.39y + -7.6z <= 176.92
-2.75x + -6.92y + -5.76z <= 123.77
-0.5x + -8.92y + 7.76z <= 256.24
-4.26x + 7.68y + -6.5z <= 760.03
-4.86x + -3.73y + -8.36z <= 419.23
-1.12x + -4.28y + -1.1z <= 703.09
5.36x + 9.16y + 1.96z <= 349.1
-9.99x + -5.72y + -1.09z <= 450.09
6.89x + -2.35y + 3.49z <= 569.85
2.42x + 2.06y + 9.55z <= 333.2
7.0x + -0.18y + -2.25z <= 397.81
4.8x + -1.28y + -8.2z <= 762.78
-5.9x + -5.7y + -3.7z <= 367.5
-1.83x + 1.35y + 6.6z <= 386.62
6.8x + 0.44y + 2.49z <= 817.87
-1.65x + -0.79y + 5.81z <= 948.37
3.43x + 1.16y + -4.79z <= 348.99
-6.35x + -0.18y + 9.73z <= 287.64
-2.84x + -7.68y + -7.61z <= 774.68
-0.55x + -2.34y + -1.38z <= 131.43
2.45x + -6.18y + -8.73z <= 980.89
4.91x + 2.06y + 6.47z <= 845.42
2.16x + 1.88y + -2.91z <= 268.38
-5.45x + -6.07y + 9.21z <= 678.64
-4.55x + 8.71y + -1.47z <= 384.84
-4.83x + -2.4y + 4.94z <= 786.14
2.76x + -1.86y + -9.84z <= 154.74
-1.85x + -8.25y + -0.96z <= 699.93
-7.86x + -6.5y + -2.73z <= 809.46
5.99x + -9.68y + 9.84z <= 455.08
8.86x + -5.45y + 5.66z <= 263.14
5.94x + -3.09y + -5.91z <= 660.23
7.71x + -8.92y + -4.68z <= 439.7
-9.41x + 1.33y + 7.35z <= 687.61
-6.19x + -0.32y + -2.09z <= 897.82
9.51x + -9.52y + 2.73z <= 569.05
4.66x + -5.27y + -2.43z <= 215.12
-2.41x + 9.95y + -3.33z <= 951.12
-2.76x + -5.74y + -2.61z <= 968.79
1.61x + -6.02y + -1.43z <= 696.48
-1.54x + 0.67y + -2.06z <= 651.23
0.68x + -3.38y + -3.54z <= 916.0
-7.07x + -9.17y + -3.25z <= 147.98
6.75x + -4.9y + -7.34z <= 986.73
-0.3x + 5.48y + -8.97z <= 945.27
6.37x + 9.94y + 8.04z <= 564.13
-3.98x + 3.95y + -3.16z <= 186.68
9.09x + -8.56y + -0.91z <= 106.64
-9.79x + -3.91y + -3.95z <= 599.44
0.06x + -2.33y + 7.79z <= 151.32
-9.31x + -0.95y + 3.98z <= 752.68
-9.72x + 2.86y + -8.82z <= 732.14
-3.46x + 0.23y + -4.49z <= 903.56
-8.2x + 1.0y + -4.14z <= 400.01
-8.22x + -6.26y + -3.17z <= 734.59
5.09x + 9.5y + -3.49z <= 511.59
-9.07x + -8.03y + 5.42z <= 608.76
3.58x + -0.66y + 9.53z <= 241.21
1.14x + -7.58y + -1.4z <= 317.95
2.03x + 8.16y + -2.95z <= 753.19
4.59x + -0.25y + 5.43z <= 889.1
-7.78x + -1.01y + 5.97z <= 504.45
-3.47x + 5.3y + -1.02z <= 143.54
-0.54x + -7.07y + -6.27z <= 792.39
-3.45x + 9.43y + -8.77z <= 135.74
-0.1x + 5.61y + 8.5z <= 959.78
5.38x + 4.55y + -8.69z <= 141.32
-4.91x + 8.2y + -5.05z <= 728.39
4.67x + 4.46y + -1.42z <= 951.07
9.58x + 4.4y + -2.21z <= 801.25
-6.61x + 2.75y + 6.34z <= 705.11
1.78x + -8.21y + -8.51z <= 667.41
-7.73x + -7.87y + 4.39z <= 695.09
-7.65x + 3.54y + -5.1z <= 214.49
-8.46x + 4.28y + -0.33z <= 258.85
-7.72x + -8.99y + -7.87z <= 619.19
-5.43x + 5.18y + -8.35z <= 196.31
1.3x + 3.75y + -6.9z <= 264.22
-1.95x + -4.2y + -2.19z <= 277.49
-7.57x + -3.41y + -9.23z <= 548.91
-2.26x + -5.78y + -2.46z <= 109.43
7.81x + 1.82y + 0.4z <= 722.14
-3.57x + -7.24y + 9.64z <= 375.93
1.36x + 9.27y + -5.57z <= 597.82
-7.91x + -5.89y + 0.29z <= 425.77
0.42x + -1.52y + -1.07z <= 417.77
3.59x + 7.26y + 0.95z <= 622.61
-1.35x + -6.36y + -6.04z <= 329.08
-3.11x + 9.71y + -0.92z <= 221.36
4.33x + 6.58y + -8.98z <= 674.3
-9.83x + -6.03y + 9.62z <= 609.6
8.7x + 9.2y + -0.85z <= 833.48
5.22x + 4.62y + 4.26z <= 636.64
-1.45x + 5.59y + 2.65z <= 470.74
7.33x + 8.96y + 6.92z <= 303.36
6.93x + -0.58y + 8.85z <= 358.95
7.16x + 6.42y + 4.12z <= 940.48
-5.79x + -3.76y + -1.7z <= 115.22
-1.68x + 6.56y + 0.95z <= 637.42
4.07x + -7.21y + -7.71z <= 909.52
-1.07x + -6.15y + 3.65z <= 836.95
-8.23x + -3.87y + 2.14z <= 384.13
-2.52x + -9.15y + -5.23z <= 533.48
-1.53x + 0.54y + 1.34z <= 483.95
-4.55x + -6.71y + 0.71z <= 282.98
5.85x + 6.95y + -5.94z <= 935.34
-7.5x + 6.53y + 2.13z <= 795.1
9.86x + 1.19y + -7.42z <= 572.36
-5.65x + -3.1y + -7.1z <= 877.54
1.87x + 6.48y + -2.91z <= 279.23
9.25x + -4.58y + -6.18z <= 872.54
-6.37x + 1.14y + 3.5z <= 557.16
-3.12x + 1.15y + 8.18z <= 355.24
5.24x + 7.1y + 4.23z <= 475.86
-4.89x + 8.21y + 5.14z <= 676.47
-1.57x + 5.93y + -9.32z <= 677.28
-5.77x + -1.43y + 2.72z <= 101.96
6.88x + 2.81y + 3.29z <= 874.25
-5.83x + 4.95y + -4.39z <= 764.12
-5.61x + 4.81y + 0.75z <= 748.33
4.17x + -5.17y + -5.82z <= 733.45
3.56x + -5.05y + 7.68z <= 813.44
-2.19x + 0.97y + 2.36z <= 231.46
2.72x + -4.39y + 4.99z <= 790.92
7.73x + -5.47y + 2.22z <= 986.16
-5.87x + 6.69y + -2.92z <= 983.98
4.78x + -0.84y + -4.87z <= 745.91
-3.83x + -5.83y + 7.09z <= 958.03
-5.96x + 2.21y + 1.81z <= 953.93
-6.52x + 2.94y + 4.64z <= 769.89
-1.18x + 9.42y + -4.17z <= 114.82
-6.11x + -9.36y + -7.26z <= 140.01
-9.03x + 2.59y + -0.8z <= 939.89
5.25x + 9.44y + 5.07z <= 960.84
-5.13x + 1.82y + 1.9z <= 591.22
-7.85x + 6.78y + 2.63z <= 302.01
-1.65x + -1.95y + -6.32z <= 174.69
-6.46x + 9.39y + 8.62z <= 236.14
7.12x + -6.78y + 7.37z <= 686.36
1.52x + 9.74y + 7.79z <= 321.42
-1.5x + 3.36y + -4.94z <= 435.77
-0.52x + -0.49y + -1.22z <= 801.25
1.23x + 0.71y + 3.99z <= 247.51
-3.84x + 0.41y + 6.34z <= 654.35
-9.12x + 4.33y + -3.77z <= 235.7
-9.22x + 8.77y + 1.31z <= 439.13
-8.91x + -8.15y + -7.2z <= 249.94
8.84x + -0.67y + -6.65z <= 412.81
-8.12x + -2.43y + -0.93z <= 994.63
-5.39x + -9.41y + 3.69z <= 598.38
-5.94x + -7.91y + 4.55z <= 909.76
5.3x + 2.78y + 5.01z <= 705.47
3.91x + 4.88y + 7.43z <= 674.06
-5.71x + -6.87y + 9.5z <= 658.79
-2.86x + 7.06y + 0.32z <= 612.4
-9.12x + -1.99y + 7.72z <= 600.21
-9.2x + 7.64y + 5.17z <= 625.24
-8.05x + 2.72y + -4.55z <= 363.91
-2.76x + 9.84y + -5.44z <= 930.05
9.47x + 8.85y + -7.81z <= 150.51
9.51x + 2.42y + -8.51z <= 643.04
4.16x + 2.84y + 6.06z <= 366.19
7.9x + 8.01y + 1.88z <= 496.36
-4.67x + 6.79y + 7.66z <= 705.97
-5.29x + -4.42y + -0.35z <= 352.2
-0.79x + 8.05y + 8.19z <= 225.66
-6.22x + 0.84y + 5.75z <= 424.75
0.02x + 2.68y + 0.2z <= 636.98
-2.39x + -1.35y + -8.69z <= 810.91
9.51x + -3.95y + -3.6z <= 634.76
-9.3x + -4.03y + 0.18z <= 675.23
-8.07x + -7.32y + -7.42z <= 980.41
0.18x + -8.63y + -4.52z <= 854.49
-4.9x + -7.46y + 6.22z <= 571.65
2.82x + 5.65y + 9.36z <= 296.08
7.55x + -4.45y + 5.94z <= 187.27
-1.39x + -9.51y + 6.06z <= 710.09
-2.53x + -3.53y + 3.55z <= 162.34
7.61x + -5.22y + 5.91z <= 257.08
2.06x + -1.1y + -6.56z <= 437.61
-5.09x + -4.02y + 5.51z <= 293.71
-6.91x + 2.1y + 0.64z <= 126.63
-1.42x + 6.23y + 8.59z <= 181.56
-9.63x + 9.81y + -5.71z <= 406.22
9.15x + -0.44y + 7.35z <= 945.17
2.9x + 7.77y + -5.83z <= 194.6
0.89x + 6.69y + -3.75z <= 773.19
3.02x + 5.08y + 8.93z <= 712.09
4.12x + 1.85y + 0.53z <= 355.34
2.57x + 6.18y + -0.63z <= 990.49
-4.15x + 2.16y + -2.2z <= 511.23
8.69x + 1.03y + 6.74z <= 266.65
9.36x + 2.23y + 3.54z <= 560.88
1.3x + 8.94y + 8.14z <= 472.0
-8.64x + 8.68y + -4.81z <= 585.02
8.0x + -4.03y + -2.48z <= 264.24
9.55x + -6.48y + -5.18z <= 677.55
-4.18x + 9.78y + -3.83z <= 768.88
3.47x + -4.49y + 0.56z <= 217.84
8.7x + -8.11y + 7.25z <= 532.8
-6.47x + -4.61y + -8.46z <= 364.3
-6.07x + 1.28y + -4.02z <= 523.96
-3.02x + -4.16y + 9.88z <= 550.0
0.59x + 5.57y + 0.46z <= 581.45
-1.3x + -2.21y + -1.4z <= 220.24
1.98x + -5.94y + -8.67z <= 839.22
-3.83x + -2.64y + 7.04z <= 728.59
5.39x + -2.04y + 0.13z <= 296.47
-6.63x + -6.7y + -3.11z <= 827.98
4.69x + 1.77y + -1.36z <= 931.71
8.2x + 7.64y + -0.68z <= 655.55
9.37x + -6.26y + -4.24z <= 851.17
4.1x + 3.24y + 7.48z <= 775.77
-5.49x + 5.56y + -2.85z <= 666.71
-1.22x + 0.16y + 1.43z <= 391.89
-0.71x + -6.93y + -0.77z <= 582.98
6.13x + -7.19y + -3.55z <= 916.0
9.48x + 9.87y + -7.26z <= 606.11
6.29x + 4.23y + 0.64z <= 828.64
8.35x + 3.07y + -3.03z <= 311.15
5.13x + -0.49y + -9.76z <= 524.1
1.2x + 3.91y + 0.05z <= 193.76
2.55x + -6.77y + -7.73z <= 701.52
6.73x + 2.38y + -6.9z <= 551.17
