max -7.21x + 3.78y + -1.01z
7.03x + 6.03y + -4.51z <= 988.42
-2.07x + -3.87y + -5.81z <= 991.06
-2.43x + -8.25y + -8.55z <= 851.56
-7.3x + -9.35y + -3.13z <= 908.56
1.83x + 6.97y + 4.48z <= 527.93
-1.52x + 3.54y + 4.86z <= 129.11
2.99x + -6.65y + -3.88z <= 640.76
2.42x + 2.59y + -1.56z <= 421.54
4.1x + 7.25y + -1.88z <= 592.56
4.35x + 5.9y + 2.44z <= 358.25
0.81x + -1.08y + 1.84z <= 922.29
9.95x + -5.18y + -1.09z <= 985.74
7.52x + -7.87y + -3.1z <= 811.04
-7.44x + -8.18y + -2.72z <= 939.56
-4.08x + -2.46y + -7.76z <= 935.54
-7.28x + 5.69y + -6.92z <= 362.05
3.08x + 9.51y + -5.62z <= 942.88
-5.89x + 8.07y + 4.3z <= 436.41
-0.34x + -1.02y + 4.32z <= 157.64
-4.96x + -4.87y + -2.57z <= 479.48
-1.44x + -6.91y + 6.44z <= 394.59
-9.28x + -7.66y + 1.14z <= 383.65
-7.98x + -9.63y + 5.97z <= 315.25
-6.45x + -1.77y + 3.31z <= 875.68
-0.32x + 2.93y + -8.83z <= 890.23
7.46x + -6.05y + 3.75z <= 499.15
-6.27x + 7.22y + -8.85z <= 964.1
4.34x + 7.89y + -0.82z <= 765.76
8.44x + -6.61y + 2.3z <= 765.93
6.7x + 9.2y + -8.01z <= 335.81
-2.12x + 9.51y + 8.49z <= 152.43
2.17x + 7.14y + -4.94z <= 102.18
-4.02x + -6.41y + -5.79z <= 449.79
8.4x + 7.7y + -0.94z <= 515.06
-8.51x + -2.63y + -4.5z <= 585.69
2.68x + 2.8y + -3.96z <= 291.61
-3.68x + 4.21y + -3.68z <= 655.64
5.17x + 5.39y + 5.68z <= 187.07
2.64x + 8.56y + 3.28z <= 487.64
-9.89x + 1.94y + 3.63z <= 442.1
-5.17x + 7.28y + 8.67z <= 195.38
5.47x + 3.43y + 7.0z <= 117.65
-7.26x + 0.61y + -5.31z <= 337.67
2.29x + -9.12y + -0.09z <= 856.54
8.18x + -9.28y + 2.96z <= 932.46
-9.72x + 5.97y + 1.85z <= 158.68
-8.87x + 4.6y + -9.65z <= 721.03
0.47x + 6.97y + 8.47z <= 949.16
4.61x + -5.54y + 2.59z <= 466.12
2.12x + -5.9y + 0.8z <= 482.55
-1.43x + 6.95y + -1.07z <= 297.04
-2.25x + -8.57y + 2.54z <= 629.11
-5.5x + 0.53y + -1.2z <= 384.46
-2.22x + 9.97y + -7.39z <= 284.33
-1.51x + -6.08y + -8.28z <= 212.21
7.46x + -3.76y + -9.74z <= 232.08
-9.44x + 6.16y + 6.6z <= 980.8
-7.65x + -5.26y + 4.67z <= 116.7
-1.2x + 0.38y + 2.61z <= 664.28
0.43x + 8.83y + 2.86z <= 755.09
-3.27x + 4.19y + -1.81z <= 609.37
-4.67x + -4.28y + -2.44z <= 370.24
-3.35x + 5.74y + -1.8z <= 681.12
-2.65x + -7.19y + -5.3z <= 609.96
1.39x + 0.53y + -4.32z <= 195.74
6.55x + 0.67y + -3.28z <= 584.52
7.05x + -7.37y + 0.57z <= 124.2
-5.73x + -9.44y + 2.27z <= 776.53
3.69x + 3.25y + -7.03z <= 751.31
8.64x + 4.22y + 0.95z <= 170.79
2.73x + -7.86y + 6.92z <= 489.72
9.25x + 5.52y + -7.05z <= 928.68
-8.13x + 4.42y + -0.16z <= 552.61
9.89x + 6.48y + 2.67z <= 174.65
-5.91x + -1.77y + -8.31z <= 609.28
-0.66x + -1.44y + -4.32z <= 481.0
-8.49x + 5.54y + 6.49z <= 291.02
2.36x + -2.71y + -4.07z <= 181.92
-0.12x + 5.53y + -6.83z <= 426.06
0.11x + 9.03y + 8.18z <= 973.06
5.96x + 3.46y + 1.28z <= 409.55
6.48x + -4.66y + 3.09z <= 780.88
2.26x + -7.01y + 1.2z <= 372.73
-5.04x + -0.62y + 5.57z <= 402.44
0.92x + 3.8y + -3.78z <= 885.37
2.33x + 2.62y + 1.29z <= 716.8
2.34x + -6.91y + 1.57z <= 361.71
-2.01x + 2.47y + 4.34z <= 879.95
-3.12x + -1.34y + 8.79z <= 991.12
-0.08x + -3.4y + -0.85z <= 451.95
9.32x + -3.1y + -0.74z <= 231.93
0.72x + -3.69y + -1.67z <= 721.9
-1.76x + 1.77y + -3.75z <= 906.49
0.01x + 6.56y + -9.42z <= 140.79
-9.45x + 3.9y + 9.92z <= 700.11
-9.02x + -5.09y + 9.39z <= 567.48
7.31x + 3.64y + -9.69z <= 246.84
0.16x + -7.38y + 9.27z <= 103.01
6.15x + 4.4y + 1.26z <= 286.65
-7.35x + -5.07y + 1.71z <= 606.09
-6.94x + -4.34y + 5.22z <= 200.16
-2.3x + -1.86y + 3.48z <= 279.8
-6.43x + 5.75y + -7.95z <= 331.12
-9.12x + 3.34y + 8.55z <= 466.65
-5.73x + -5.66y + -4.74z <= 764.23
-4.89x + -0.64y + -8.66z <= 950.07
-2.41x + 5.8y + -2.39z <= 743.69
1.87x + 5.7y + -5.39z <= 515.97
-2.46x + 0.07y + 1.48z <= 834.47
-9.51x + -5.3y + 0.67z <= 867.71
9.96x + 5.09y + -9.13z <= 166.56
9.11x + -1.31y + -0.63z <= 967.09
5.95x + 7.53y + 7.9z <= 146.25
8.86x + 2.46y + 6.38z <= 734.05
5.25x + 6.85y + 1.26z <= 231.63
-8.1x + -9.62y + -1.6z <= 416.73
-7.15x + 0.34y + -1.85z <= 572.99
-5.82x + 7.84y + -1.28z <= 403.38
-7.64x + 7.47y + 8.76z <= 211.84
-4.47x + -3.76y + -5.64z <= 100.04
0.64x + 7.47y + -7.34z <= 256.88
0.78x + 9.68y + -2.43z <= 502.73
-7.44x + 8.78y + 8.56z <= 412.57
7.53x + -7.84y + 0.88z <= 722.05
3.25x + -5.31y + -9.96z <= 427.93
-9.73x + -6.54y + 2.42z <= 421.17
5.3x + -8.82y + -5.99z <= 581.42
8.09x + 4.55y + -6.49z <= 585.3
-8.96x + 4.16y + 7.33z <= 195.47
-5.54x + 9.29y + -5.79z <= 720.56
2.86x + 2.24y + 4.78z <= 694.5
6.52x + 2.38y + 3.85z <= 146.14
8.63x + -0.51y + 7.99z <= 991.3
4.49x + -1.13y + 3.3z <= 701.08
2.38x + -1.78y + -8.06z <= 845.79
-3.0x + 8.91y + -4.6z <= 777.53
3.47x + 6.94y + -4.32z <= 306.12
-7.91x + 6.37y + -3.99z <= 246.18
0.46x + -9.1y + -6.08z <= 783.74
5.17x + -1.61y + -2.71z <= 416.78
8.06x + 5.94y + 9.68z <= 184.06
0.85x + 9.99y + -7.94z <= 478.14
-2.59x + -5.05y + -2.14z <= 971.83
-6.47x + -9.75y + -8.59z <= 805.74
6.21x + -8.51y + -6.46z <= 953.54
-6.26x + 2.17y + 0.36z <= 709.78
0.83x + -4.87y + 8.64z <= 234.82
2.59x + -4.1y + -3.11z <= 960.51
-4.95x + -7.31y + -0.69z <= 143.14
-5.53x + -4.18y + 4.01z <= 189.0
-7.7x + 2.9y + 8.51z <= 538.49
-5.62x + -4.54y + -2.27z <= 861.04
3.91x + -6.92y + 6.42z <= 536.0
1.21x + 7.28y + -6.59z <= 957.14
-5.41x + 2.49y + 1.25z <= 320.12
-9.04x + 7.55y + 0.42z <= 889.85
1.01x + -8.02y + 7.57z <= 918.31
2.34x + -1.47y + -5.85z <= 540.85
0.08x + -6.36y + 3.76z <= 534.48
6.47x + -2.65y + -6.51z <= 491.82
-4.68x + -9.51y + 6.44z <= 405.11
-9.14x + -7.67y + 8.28z <= 943.64
-8.14x + -2.42y + 4.35z <= 163.72
-6.52x + -8.76y + 0.36z <= 237.93
8.67x + 5.72y + 9.38z <= 530.48
-8.5x + 2.64y + -3.87z <= 335.78
7.71x + -4.9y + -1.14z <= 556.2
9.68x + -8.65y + 7.32z <= 183.16
-5.11x + 3.35y + 0.23z <= 504.64
3.93x + -6.29y + -6.14z <= 913.6
2.56x + -9.64y + 6.24z <= 555.89
5.6x + -6.14y + 5.08z <= 998.75
-8.19x + 7.52y + -1.37z <= 931.68
-0.61x + -8.14y + 0.57z <= 584.03
4.89x + 4.64y + -0.86z <= 536.33
-3.87x + -1.67y + 2.9z <= 315.88
1.83x + -8.09y + 9.12z <= 269.43
8.57x + 1.98y + -7.4z <= 574.42
-9.51x + -2.72y + 7.73z <= 231.83
6.01x + 2.44y + 3.18z <= 871.79
1.39x + 7.2y + 7.53z <= 983.73
7.42x + 1.24y + 2.3z <= 925.64
5.83x + 8.58y + 6.72z <= 559.29
6.57x + -9.43y + 6.89z <= 673.04
6.41x + -5.64y + -4.94z <= 581.43
8.57x + 9.37y + 5.57z <= 195.41
0.68x + -2.43y + -6.67z <= 848.41
4.2x + 2.43y + 3.74z <= 231.12
-2.77x + 1.88y + 6.2z <= 804.89
-6.17x + -7.41y + -7.54z <= 571.93
1.78x + -7.73y + -7.29z <= 970.43
0.23x + -8.4y + -4.58z <= 830.21
-5.26x + 5.62y + 3.7z <= 771.03
-6.52x + -4.33y + -1.1z <= 877.01
1.24x + 9.16y + -5.04z <= 522.31
-9.46x + 4.1y + -0.5z <= 651.35
7.97x + -1.86y + 2.03z <= 811.23
4.96x + -3.08y + -5.43z <= 783.03
-9.41x + -5.16y + 3.99z <= 482.81
-8.18x + -1.78y + 8.99z <= 945.22
-7.62x + -2.66y + -9.55z <= 442.72
-9.92x + 4.04y + 4.47z <= 124.05
1.11x + -1.98y + 8.96z <= 447.39
-7.17x + 4.61y + 3.22z <= 715.76
6.96x + -0.63y + 9.88z <= 570.42
8.17x + -5.86y + 9.4z <= 381.56
0.2x + 5.23y + -5.09z <= 556.9
8.87x + -3.2y + -2.11z <= 872.07
-0.02x + 3.29y + 2.38z <= 215.52
2.02x + -7.54y + 0.82z <= 468.22
3.79x + 5.41y + -1.65z <= 464.99
-4.85x + -6.3y + 7.16z <= 181.5
-9.61x + -0.99y + -9.3z <= 555.89
3.78x + -3.1y + -3.3z <= 813.0
1.09x + 4.55y + -4.34z <= 684.6
-0.74x + -9.81y + -7.79z <= 111.86
-9.79x + 5.21y + 7.77z <= 400.6
-0.46x + 1.4y + 5.09z <= 138.81
6.0x + 1.02y + 8.2z <= 440.27
-2.1x + 6.68y + -2.85z <= 771.34
-4.96x + 6.63y + -9.62z <= 513.11
4.75x + -1.07y + -8.19z <= 208.95
-7.6x + 4.27y + 9.72z <= 685.72
9.05x + -1.33y + 6.96z <= 291.79
2.83x + -0.91y + 7.48z <= 731.63
-5.1x + 0.95y + -2.66z <= 334.73
5.1x + 4.09y + 8.79z <= 449.22
-9.31x + 6.54y + 0.36z <= 936.5
3.94x + -2.34y + -5.58z <= 369.2
6.87x + -0.86y + 7.26z <= 307.27
-0.02x + 1.74y + 9.47z <= 727.63
8.81x + 8.4y + -3.81z <= 930.92
5.68x + 5.15y + -5.81z <= 966.13
-3.14x + 5.09y + -3.63z <= 950.67
-3.96x + -2.08y + 4.15z <= 165.49
-7.98x + -3.76y + 7.33z <= 774.66
1.16x + 1.2y + 4.56z <= 684.52
1.0x + -2.27y + -5.66z <= 894.5
-4.58x + 9.44y + 1.79z <= 860.39
-6.67x + 4.8y + -3.52z <= 670.18
2.78x + -3.78y + -6.86z <= 431.48
6.04x + 1.64y + -2.59z <= 613.2
6.44x + -2.3y + -9.81z <= 368.06
-6.3x + 9.31y + 5.24z <= 827.81
-4.37x + 4.15y + -8.36z <= 972.51
-7.39x + 8.07y + 7.9z <= 329.37
0.8x + 5.05y + 5.73z <= 840.83
3.72x + -5.12y + 1.96z <= 409.41
4.19x + 3.16y + -9.55z <= 952.99
-1.52x + -1.47y + -8.98z <= 361.26
-6.7x + 9.27y + -8.41z <= 166.31
-8.71x + -9.07y + -7.07z <= 926.37
3.01x + 9.54y + -8.88z <= 395.41
-7.93x + -0.76y + 9.44z <= 730.76
7.46x + -8.84y + -9.88z <= 993.4
8.12x + -2.41y + 0.95z <= 317.06
-8.51x + -9.13y + 4.51z <= 739.48
-5.57x + 4.44y + 7.37z <= 193.55
4.11x + 2.95y + -5.52z <= 248.34
0.95x + -7.17y + -1.81z <= 716.04
7.45x + 0.64y + -6.53z <= 288.05
-9.94x + 3.93y + 1.23z <= 551.39
9.69x + -6.86y + 6.24z <= 166.23
3.93x + -8.23y + -5.93z <= 445.49
-0.53x + -6.55y + 3.93z <= 847.43
2.44x + -3.11y + 8.53z <= 818.99
5.04x + 7.74y + 0.01z <= 635.54
-0.43x + 2.28y + 5.7z <= 565.94
8.55x + -7.39y + 6.41z <= 640.32
4.93x + 4.17y + 1.84z <= 629.96
8.56x + -5.63y + -4.34z <= 757.28
-3.3x + -2.27y + 4.92z <= 293.74
-3.67x + -5.48y + 9.04z <= 703.26
-7.01x + -6.82y + -8.11z <= 194.95
2.5x + -7.61y + 2.33z <= 899.27
0.09x + -3.34y + -0.43z <= 804.51
6.61x + 5.56y + 4.26z <= 267.99
-7.12x + -4.71y + 3.6z <= 189.74
-1.25x + 2.82y + -8.32z <= 531.18
-5.01x + -6.2y + -4.4z <= 608.64
9.52x + -2.81y + 9.01z <= 966.68
-8.9x + 8.44y + -8.05z <= 718.7
8.73x + -0.78y + -1.65z <= 672.29
1.1x + -4.14y + -9.1z <= 398.61
-0.51x + -8.98y + -2.71z <= 937.01
1.13x + -5.16y + 1.85z <= 920.77
0.91x + 7.81y + 8.5z <= 903.64
-7.61x + -6.36y + -8.92z <= 142.37
-6.46x + -7.64y + -6.33z <= 824.87
7.0x + -3.05y + 2.17z <= 481.44
-5.54x + -2.08y + -8.95z <= 485.22
7.19x + 2.0y + -6.0z <= 903.58
-0.72x + -9.74y + 4.79z <= 536.57
3.91x + -2.93y + 2.56z <= 355.44
-5.82x + -5.67y + 4.0z <= 546.31
-2.58x + 9.11y + 7.75z <= 700.07
-8.37x + -8.45y + 4.13z <= 595.62
5.5x + 0.53y + 5.58z <= 176.8
-1.94x + 8.47y + -1.58z <= 336.61
-1.92x + -3.4y + -4.21z <= 147.71
1.08x + 3.94y + 2.5z <= 348.47
2.68x + 2.28y + 6.95z <= 619.38
-1.13x + 6.5y + -10.0z <= 194.71
-9.13x + 5.24y + 3.64z <= 847.44
2.48x + 2.58y + 8.6z <= 801.82
9.25x + -4.47y + -8.53z <= 169.4
4.95x + 3.49y + 7.3z <= 214.51
-6.03x + -9.26y + -9.03z <= 610.86
-4.58x + -6.16y + -9.63z <= 405.7
6.06x + -9.68y + 8.97z <= 126.41
-4.31x + 6.76y + 1.44z <= 844.54
7.22x + -3.35y + -9.95z <= 683.01
-2.79x + -7.39y + -4.15z <= 381.94
-2.94x + 8.38y + 1.05z <= 432.57
-9.68x + 3.91y + 0.36z <= 296.48
-6.25x + 4.9y + 7.67z <= 978.98
-3.56x + 0.43y + -4.23z <= 196.28
9.13x + 8.97y + 2.92z <= 834.49
-0.49x + 2.34y + 6.27z <= 752.09
-2.72x + -0.12y + -1.69z <= 712.36
7.75x + -0.45y + -1.94z <= 347.26
3.5x + 7.51y + -8.41z <= 751.79
6.55x + 3.61y + -1.76z <= 588.04
-3.85x + -6.62y + -4.29z <= 762.63
-0.02x + 4.12y + -3.38z <= 916.27
2.83x + 3.15y + -7.22z <= 335.23
1.56x + 8.95y + 6.16z <= 797.94
9.95x + 8.09y + 3.38z <= 598.31
8.03x + 7.45y + 9.07z <= 155.43
-1.66x + -8.39y + 0.42z <= 868.28
0.65x + -4.97y + -0.42z <= 255.42
-7.09x + 7.67y + -8.63z <= 429.49
6.57x + -9.44y + 2.92z <= 725.8
8.08x + 7.75y + 7.3z <= 473.09
8.27x + 1.88y + 3.07z <= 171.83
-1.53x + -8.92y + 7.37z <= 880.33
5.02x + 6.12y + 8.45z <= 631.99
-0.78x + 6.67y + -5.47z <= 707.27
9.94x + -6.98y + 9.9z <= 218.09
0.56x + 4.59y + -4.73z <= 594.49
-0.02x + 7.65y + 2.42z <= 536.46
8.33x + -6.63y + -1.14z <= 485.0
-1.23x + 2.5y + 2.9z <= 943.71
-7.91x + -8.38y + 9.17z <= 294.3
1.89x + 6.78y + 4.32z <= 388.17
6.58x + -1.77y + 6.73z <= 144.15
-4.13x + -6.9y + 2.77z <= 285.28
-9.87x + 9.61y + 2.27z <= 855.33
9.26x + -8.23y + -6.11z <= 336.7
6.44x + 9.1y + -6.28z <= 907.56
-4.95x + 3.47y + 3.08z <= 843.3
6.55x + 7.29y + -7.75z <= 198.67
-0.91x + 8.2y + -9.53z <= 453.15
5.3x + 6.79y + -6.21z <= 282.26
2.44x + -0.16y + 1.42z <= 173.37
-8.99x + -8.53y + -2.07z <= 502.85
-0.36x + 1.27y + 5.75z <= 955.78
9.85x + -8.73y + 9.44z <= 214.27
6.57x + 7.06y + 8.68z <= 373.81
-9.11x + -2.04y + -5.7z <= 734.66
-9.94x + -1.29y + -5.21z <= 448.93
-5.37x + 7.04y + -8.27z <= 713.17
6.57x + 9.93y + 4.08z <= 392.7
3.55x + 9.6y + -2.25z <= 696.12
5.76x + 5.52y + -9.75z <= 790.52
-9.81x + 1.73y + 5.79z <= 285.04
-7.9x + -2.11y + 1.11z <= 367.04
0.61x + 6.85y + -9.26z <= 671.75
-2.8x + -5.53y + -4.56z <= 678.47
3.34x + 0.86y + -5.06z <= 139.57
3.04x + -7.37y + -9.19z <= 108.38
-9.78x + 4.48y + 3.86z <= 488.64
-8.76x + -8.32y + 1.73z <= 956.39
9.2x + 0.5y + 3.42z <= 530.12
8.33x + 8.05y + -9.67z <= 201.07
2.06x + -4.31y + -4.8z <= 361.72
-5.82x + 4.21y + 7.66z <= 498.45
8.44x + -5.0y + -6.27z <= 658.21
3.0x + 5.84y + -6.6z <= 325.4
7.22x + -9.78y + 0.48z <= 723.64
4.65x + 7.89y + 2.41z <= 242.22
-8.52x + -5.17y + 3.65z <= 327.62
7.18x + 4.58y + -6.88z <= 451.0
-7.06x + 3.29y + -5.24z <= 548.49
6.95x + 7.61y + 8.0z <= 353.08
3.37x + -9.65y + 0.7z <= 129.23
-3.93x + -6.67y + 3.15z <= 460.96
-3.45x + 9.41y + 6.61z <= 466.69
-5.7x + -2.43y + -4.06z <= 703.94
-1.94x + 1.68y + 7.96z <= 401.18
6.47x + -8.41y + 4.32z <= 993.09
0.45x + -1.63y + -5.97z <= 951.41
-6.39x + -9.22y + 0.01z <= 974.61
-1.83x + -9.57y + 5.24z <= 247.68
3.59x + 2.92y + -7.32z <= 138.18
8.1x + 1.76y + -6.08z <= 590.51
-1.65x + 4.22y + -8.32z <= 720.76
2.27x + 2.32y + -9.63z <= 891.82
-8.64x + 5.16y + -0.23z <= 636.63
-8.05x + -3.68y + -3.13z <= 147.58
-7.7x + -5.52y + -1.26z <= 278.02
1.33x + -7.44y + 3.32z <= 943.0
0.97x + -2.32y + 3.71z <= 162.97
9.2x + -0.46y + 9.07z <= 491.81
5.3x + -3.64y + 4.24z <= 918.67
-7.03x + -1.44y + -7.4z <= 120.09
9.31x + 5.3y + 7.99z <= 899.56
2.28x + 7.04y + -3.08z <= 715.46
-9.06x + -1.66y + -7.08z <= 469.39
4.22x + -2.76y + -7.85z <= 684.32
6.49x + -6.74y + 9.88z <= 758.6
-0.88x + -0.16y + 0.24z <= 682.04
-8.61x + -8.22y + 8.28z <= 113.68
-5.43x + 2.92y + 2.6z <= 984.97
-3.67x + 2.72y + -2.27z <= 324.29
-2.95x + -7.74y + -0.59z <= 110.95
-1.41x + -2.48y + -2.12z <= 465.72
4.03x + -1.93y + -9.02z <= 299.21
6.52x + 1.3y + 8.62z <= 559.84
3.95x + 2.68y + 9.98z <= 749.67
-9.03x + 5.66y + -5.11z <= 729.42
4.67x + 6.92y + -1.88z <= 703.9
-9.05x + -8.31y + 1.75z <= 960.08
3.27x + 8.81y + 7.55z <= 205.46
-9.42x + -0.02y + -5.25z <= 290.77
-5.75x + -2.27y + 8.99z <= 889.45
4.53x + -0.88y + 1.27z <= 489.08
7.27x + -2.18y + -8.31z <= 640.7
3.83x + -5.72y + -8.7z <= 920.69
-0.91x + -3.08y + -6.43z <= 743.74
2.6x + -4.41y + 9.51z <= 484.29
-5.92x + 9.71y + 2.13z <= 398.44
-8.44x + -6.17y + 3.3z <= 944.31
-9.85x + 3.05y + -8.65z <= 784.78
-1.19x + -3.56y + -0.72z <= 802.06
9.9x + -8.37y + 4.78z <= 945.16
9.73x + -7.55y + 4.3z <= 284.0
-5.51x + 5.89y + -9.18z <= 326.07
-5.32x + -4.15y + 5.32z <= 649.35
4.76x + 6.67y + 0.73z <= 296.05
-1.94x + -4.13y + 5.9z <= 926.83
4.32x + -2.79y + 0.2z <= 346.15
-1.77x + -3.02y + 2.66z <= 282.2
-5.76x + -5.83y + 2.28z <= 973.55
9.33x + 1.51y + -4.37z <= 734.07
5.13x + -5.16y + -2.61z <= 445.0
