max -9.19x + -8.95y + 2.64z
-1.91x + -1.06y + -2.61z <= 685.72
4.46x + 3.29y + -9.06z <= 349.93
-0.11x + 1.82y + 2.83z <= 525.62
0.74x + 2.25y + -0.7z <= 493.14
-2.0x + 5.03y + -8.86z <= 101.2
0.6x + 1.93y + -1.4z <= 316.58
-8.27x + -6.66y + -6.09z <= 754.69
5.1x + -0.5y + -5.45z <= 862.66
3.54x + 1.16y + 9.69z <= 252.72
-3.74x + 1.2y + 9.86z <= 228.37
-3.05x + -5.69y + 8.32z <= 409.49
-9.21x + -4.48y + 3.24z <= 941.66
-2.82x + -7.49y + 4.15z <= 528.3
3.66x + -7.9y + 7.58z <= 887.34
-6.92x + -6.09y + 2.87z <= 553.39
-9.15x + 2.45y + -1.19z <= 230.71
-6.11x + -2.81y + 2.72z <= 451.59
-7.85x + 5.75y + -4.87z <= 419.62
-3.0x + 4.22y + -1.61z <= 664.7
0.36x + -2.52y + 9.79z <= 313.41
-5.79x + -4.6y + 5.4z <= 825.96
8.99x + 2.99y + -3.01z <= 384.92
-4.32x + -8.44y + 6.66z <= 933.52
-1.87x + 6.06y + 0.49z <= 642.56
-8.23x + -7.94y + 5.91z <= 951.36
-0.74x + 4.61y + -8.95z <= 139.78
7.75x + -1.66y + 6.57z <= 394.33
-8.18x + -6.47y + 5.43z <= 285.36
-2.01x + 2.29y + -1.46z <= 140.85
9.68x + 0.62y + -5.36z <= 936.44
-8.22x + 0.39y + -3.42z <= 922.13
-1.84x + -0.15y + -9.86z <= 339.52
-2.82x + 3.87y + -1.91z <= 105.48
-3.06x + -1.66y + -5.32z <= 432.8
9.17x + 3.82y + 6.61z <= 722.27
-3.75x + -5.36y + -8.5z <= 901.09
-7.54x + 5.11y + 1.74z <= 540.1
1.83x + -4.77y + 7.66z <= 397.22
1.29x + 1.28y + -9.67z <= 288.35
-3.44x + 4.2y + 1.71z <= 904.52
5.03x + -2.56y + 1.83z <= 886.85
-9.29x + -3.45y + 1.6z <= 700.87
-9.16x + 0.06y + 6.29z <= 139.98
-7.01x + 1.17y + -9.62z <= 104.63
2.96x + 3.58y + -8.88z <= 482.34
-4.9x + 6.28y + -9.69z <= 364.41
8.73x + -0.16y + 2.56z <= 106.81
-7.23x + -8.06y + -0.29z <= 518.18
-1.29x + -4.96y + -1.59z <= 922.8
2.53x + 2.93y + 7.84z <= 435.69
-4.21x + -8.87y + -2.09z <= 799.36
4.47x + 0.82y + -7.52z <= 615.27
3.7x + 3.24y + -3.85z <= 987.16
9.21x + -4.69y + -4.0z <= 884.48
4.66x + 7.37y + 1.24z <= 923.55
-9.76x + 5.5y + -2.47z <= 365.42
7.03x + 2.66y + 4.2z <= 355.37
1.95x + 4.99y + 7.23z <= 125.18
5.17x + 8.3y + 3.16z <= 349.17
-6.1x + -7.86y + 2.79z <= 447.08
5.4x + 4.42y + 2.67z <= 721.83
5.34x + 6.25y + -6.47z <= 524.17
2.96x + -1.85y + -4.31z <= 925.24
-4.61x + -3.44y + 2.02z <= 515.1
-9.7x + -2.8y + -5.69z <= 964.28
-2.28x + 1.15y + 6.93z <= 173.88
-4.21x + 3.09y + -5.72z <= 693.9
-5.82x + -7.46y + -1.43z <= 790.37
-1.96x + -6.81y + 2.69z <= 479.14
4.31x + -5.76y + 9.8z <= 329.73
6.96x + 3.62y + 6.73z <= 283.51
3.24x + -0.46y + -8.42z <= 704.72
6.22x + -2.49y + -7.07z <= 994.28
-4.99x + 2.35y + 4.79z <= 423.78
5.5x + -9.57y + -0.29z <= 486.55
7.16x + 5.09y + -3.85z <= 821.83
-9.02x + 1.9y + -3.63z <= 191.05
-2.74x + 7.16y + 9.5z <= 165.95
-8.56x + -1.85y + 7.68z <= 208.47
2.68x + -3.73y + -3.9z <= 680.36
7.76x + 7.97y + 5.34z <= 805.49
2.49x + -0.56y + 4.61z <= 874.97
-8.73x + -8.82y + -2.46z <= 586.03
9.47x + -3.34y + -4.45z <= 385.64
-4.09x + 4.56y + 4.0z <= 328.18
5.31x + -9.29y + 5.91z <= 915.2
4.38x + -1.17y + 7.06z <= 825.23
-3.18x + -4.65y + 4.94z <= 698.64
-4.15x + -4.39y + -6.75z <= 347.28
0.05x + 9.18y + 2.01z <= 781.8
6.91x + -3.32y + 9.26z <= 187.07
-2.89x + -3.46y + -8.84z <= 804.46
8.53x + 4.69y + -0.32z <= 463.18
4.73x + 3.66y + -4.61z <= 829.36
-5.3x + 9.86y + -7.01z <= 145.64
-9.23x + -5.45y + -6.33z <= 361.12
3.27x + 6.52y + 1.59z <= 742.54
-0.67x + 3.96y + 3.56z <= 226.81
5.94x + -6.38y + -1.17z <= 254.43
2.79x + -8.11y + 1.37z <= 457.88
1.19x + 2.83y + 4.78z <= 646.6
3.12x + -0.15y + -7.91z <= 701.66
0.65x + 5.51y + -1.14z <= 947.37
-3.94x + 9.91y + 1.12z <= 520.58
-2.83x + 7.4y + 3.05z <= 868.75
-1.84x + -0.82y + 8.38z <= 920.79
-6.08x + -5.37y + -2.06z <= 342.29
-0.65x + 7.2y + 0.16z <= 817.49
-9.87x + 7.12y + 4.52z <= 342.68
5.98x + 4.95y + -4.46z <= 569.62
-9.81x + 8.85y + 4.46z <= 542.65
-5.32x + -1.35y + 0.72z <= 442.97
-1.22x + -9.71y + 8.3z <= 687.51
-1.49x + -5.32y + 0.98z <= 294.38
8.76x + -3.44y + 9.81z <= 927.32
-4.17x + 3.01y + -6.94z <= 477.66
-5.35x + -1.94y + 6.48z <= 245.02
-8.76x + 1.48y + 0.65z <= 644.23
7.86x + -2.98y + -2.45z <= 979.25
-0.65x + 1.24y + 1.38z <= 502.8
-8.62x + -9.27y + -2.86z <= 985.0
3.33x + 2.59y + -0.54z <= 956.11
-0.07x + 9.48y + -8.06z <= 877.61
-3.44x + 0.54y + 5.24z <= 458.61
1.75x + -5.67y + -0.55z <= 557.71
-6.46x + -4.54y + 8.97z <= 880.12
4.0x + 5.14y + -9.44z <= 307.41
-1.71x + 3.64y + 5.78z <= 892.07
9.81x + 2.96y + -6.78z <= 948.68
3.17x + 2.43y + -7.73z <= 424.85
-7.81x + 6.66y + 0.01z <= 319.98
-0.13x + 7.15y + 2.18z <= 120.07
3.59x + -2.84y + -3.55z <= 250.24
-7.13x + -8.19y + -7.03z <= 593.03
-2.06x + 4.44y + -5.59z <= 641.64
-8.0x + -5.45y + -9.47z <= 509.25
0.51x + 7.47y + -8.35z <= 232.05
3.96x + 0.89y + 5.14z <= 280.27
1.42x + -6.46y + -8.15z <= 759.44
2.46x + 3.57y + 0.85z <= 809.25
-4.91x + -8.62y + -1.54z <= 328.35
2.12x + -5.7y + -1.57z <= 448.22
1.13x + -5.98y + 9.31z <= 666.41
-7.49x + 2.67y + 5.62z <= 401.9
1.27x + -2.52y + 4.33z <= 699.97
7.16x + -4.03y + -6.27z <= 901.79
-2.24x + 4.77y + 8.88z <= 651.97
-1.2x + -3.49y + -6.59z <= 209.5
-9.83x + -5.28y + 3.32z <= 891.13
-8.33x + -5.83y + -8.03z <= 284.57
7.81x + -8.15y + 7.65z <= 694.99
-3.63x + -7.44y + -7.13z <= 841.33
6.92x + 8.08y + 8.61z <= 695.43
-9.53x + -0.75y + -9.83z <= 256.9
-6.73x + -4.1y + 5.71z <= 377.38
0.91x + 6.53y + -9.54z <= 150.83
-8.43x + -4.54y + -3.14z <= 570.49
6.79x + -1.52y + 7.35z <= 226.29
7.13x + 9.31y + -9.34z <= 221.29
-7.51x + 5.75y + 7.15z <= 822.65
1.72x + 5.41y + -9.16z <= 549.32
0.33x + 9.07y + 3.73z <= 388.46
3.02x + -2.4y + 5.66z <= 297.07
-9.31x + 0.76y + 0.25z <= 696.45
-1.23x + -1.91y + 4.58z <= 419.48
-1.62x + 4.69y + -4.73z <= 545.57
-8.59x + 6.04y + 2.92z <= 363.79
5.04x + 0.13y + -2.5z <= 595.92
-6.31x + 1.73y + 6.21z <= 128.84
7.24x + 4.17y + -0.6z <= 318.39
-3.55x + -5.04y + -8.42z <= 349.21
-7.08x + 2.25y + 3.02z <= 403.75
-0.51x + -4.98y + -3.15z <= 630.57
7.19x + 6.7y + 0.56z <= 953.96
-7.18x + -8.45y + -0.13z <= 590.33
4.62x + 7.9y + 3.02z <= 894.94
7.86x + -6.34y + 8.98z <= 333.63
-4.29x + 0.08y + -7.65z <= 659.96
-8.89x + -8.68y + -5.52z <= 986.64
-5.51x + -5.68y + 4.18z <= 580.97
-0.08x + -6.4y + -1.97z <= 517.35
-3.96x + -5.11y + 9.58z <= 679.89
-1.87x + -1.1y + 8.25z <= 551.11
-1.1x + 3.95y + -3.74z <= 291.25
-4.19x + 5.89y + -5.51z <= 428.21
-4.06x + 4.83y + 3.28z <= 432.22
4.86x + 7.44y + 4.31z <= 708.24
-0.58x + 7.46y + 4.14z <= 615.89
-1.96x + -2.19y + -9.37z <= 885.03
3.68x + 3.12y + -9.28z <= 346.32
-0.09x + -4.81y + -5.56z <= 540.1
2.51x + 3.18y + -2.22z <= 431.57
-1.76x + 1.01y + -5.73z <= 749.75
-5.0x + -6.1y + 7.66z <= 184.06
8.85x + -2.45y + 9.71z <= 727.47
-5.83x + -7.45y + 0.17z <= 436.97
-8.71x + 6.55y + 2.38z <= 355.04
-1.02x + 3.93y + 7.21z <= 877.47
3.98x + 7.28y + 4.91z <= 120.78
9.53x + 6.73y + -5.71z <= 568.76
-3.25x + 1.92y + 6.52z <= 207.09
-3.87x + 3.58y + 2.08z <= 277.67
-2.43x + 1.83y + -4.4z <= 154.72
-9.5x + -0.52y + 2.62z <= 639.97
0.93x + 6.53y + 0.29z <= 977.49
-5.6x + 5.55y + 9.13z <= 286.43
4.98x + 5.39y + -3.0z <= 399.91
-2.2x + -8.32y + 2.9z <= 701.43
-9.91x + -5.77y + -9.23z <= 748.12
6.55x + -4.03y + -6.13z <= 852.12
-5.07x + -9.78y + -1.79z <= 907.27
-4.36x + 0.76y + 0.63z <= 315.32
-2.86x + -1.35y + 8.43z <= 376.27
0.22x + -2.4y + -0.64z <= 518.1
3.64x + -6.82y + -6.24z <= 384.91
3.11x + -6.23y + 7.81z <= 101.1
7.76x + 2.33y + 7.56z <= 215.83
-7.24x + -7.23y + 1.44z <= 306.43
8.56x + 6.96y + -1.81z <= 733.29
6.43x + -9.52y + -7.4z <= 459.9
4.84x + 0.25y + -9.59z <= 218.71
8.9x + 5.55y + -4.02z <= 275.12
0.85x + 4.62y + 3.96z <= 356.4
-2.08x + -8.87y + -8.01z <= 884.63
5.04x + 0.96y + -8.49z <= 162.96
-3.27x + 3.02y + 8.35z <= 591.85
6.29x + 2.56y + 0.6z <= 980.91
2.32x + -5.37y + -5.12z <= 492.89
3.46x + -3.95y + 1.09z <= 211.53
-3.23x + 7.76y + -9.23z <= 252.27
8.4x + -1.56y + -2.32z <= 716.22
-0.4x + 4.32y + 2.32z <= 186.93
1.25x + -0.56y + -8.35z <= 729.07
7.92x + -2.23y + -8.62z <= 584.85
-5.44x + -4.24y + 5.54z <= 973.81
-9.39x + 1.57y + -1.52z <= 359.99
-9.43x + -3.52y + 6.84z <= 108.26
3.07x + 9.45y + 4.43z <= 396.21
4.53x + -1.16y + -0.57z <= 668.46
2.28x + 4.95y + 4.11z <= 896.62
-9.43x + -1.57y + 7.91z <= 746.51
5.19x + -6.97y + 5.19z <= 433.44
8.7x + 1.77y + -0.93z <= 383.19
-2.64x + -0.54y + 6.92z <= 416.1
-8.3x + 7.2y + 7.14z <= 533.14
-8.98x + -3.16y + 8.78z <= 272.35
9.23x + 9.33y + 7.14z <= 368.3
-8.63x + 6.4y + -6.31z <= 695.07
2.92x + -9.28y + -6.3z <= 420.67
-5.43x + -6.37y + 8.52z <= 504.52
-6.44x + 9.18y + 1.51z <= 885.43
-6.74x + 3.07y + -2.62z <= 630.96
4.4x + 8.94y + -8.91z <= 847.92
-3.03x + 4.83y + 5.75z <= 986.67
-3.41x + -6.45y + 1.96z <= 340.5
-2.81x + 3.14y + -7.24z <= 519.39
1.05x + 1.91y + 5.79z <= 206.3
4.97x + -3.87y + -7.18z <= 604.32
4.42x + 7.21y + -3.78z <= 872.86
2.33x + -1.5y + -7.18z <= 645.64
2.08x + 7.96y + -9.02z <= 440.65
-1.85x + 2.23y + 1.47z <= 433.02
6.61x + 5.84y + 5.35z <= 492.81
4.45x + -1.64y + -0.62z <= 710.28
-7.41x + 3.95y + 6.44z <= 663.98
-6.99x + 2.29y + 7.06z <= 474.85
-8.31x + -2.68y + 7.17z <= 444.13
-4.88x + -4.13y + 0.69z <= 282.43
-3.06x + 0.26y + -3.08z <= 240.55
8.89x + -8.91y + -2.13z <= 881.9
9.54x + -5.94y + 4.85z <= 730.98
-1.72x + 9.48y + 3.67z <= 872.58
7.65x + 1.23y + -7.66z <= 389.76
2.21x + -5.17y + 4.33z <= 806.56
3.71x + -5.15y + -8.73z <= 541.37
7.1x + 3.41y + -5.98z <= 332.95
-9.29x + 2.88y + 2.03z <= 477.0
5.06x + 8.63y + -5.18z <= 113.06
-9.59x + 1.56y + -2.3z <= 376.92
0.51x + 2.01y + 0.55z <= 962.76
2.7x + -6.75y + 7.86z <= 261.93
-0.85x + 2.88y + 3.79z <= 333.51
-1.34x + 8.53y + -0.03z <= 800.53
6.51x + 5.47y + -7.47z <= 442.82
-2.46x + -8.36y + 5.55z <= 471.69
8.28x + -0.35y + 6.25z <= 855.45
-4.5x + -4.48y + -9.74z <= 423.84
-1.07x + -3.14y + 3.65z <= 889.63
2.3x + -6.06y + -8.8z <= 814.93
9.75x + -5.83y + 7.75z <= 508.0
0.86x + 6.96y + -6.64z <= 466.18
3.64x + 6.4y + 8.73z <= 675.48
-9.93x + -2.04y + 4.77z <= 441.52
5.01x + -5.75y + -0.09z <= 165.45
6.66x + 0.52y + -7.0z <= 152.39
-1.27x + -4.19y + 9.98z <= 829.28
-3.88x + -9.86y + 7.61z <= 119.6
-1.51x + -6.51y + -8.68z <= 856.58
7.64x + 4.54y + -0.52z <= 502.65
-7.42x + -7.0y + -2.41z <= 540.57
-1.03x + -9.25y + 9.6z <= 724.23
-8.44x + 0.74y + -1.7z <= 498.14
-4.96x + -3.05y + 0.86z <= 368.84
-2.53x + -5.96y + -2.02z <= 718.81
-6.81x + 4.47y + -6.27z <= 112.93
6.2x + 3.93y + -5.56z <= 197.79
8.8x + -2.19y + 5.4z <= 845.34
9.95x + -1.87y + -8.02z <= 231.57
3.26x + -6.15y + -4.39z <= 785.16
-4.19x + 2.59y + 0.31z <= 501.36
2.23x + 3.37y + -5.95z <= 424.03
6.29x + 8.08y + 1.55z <= 901.56
2.6x + -0.08y + 2.36z <= 416.85
-9.7x + 6.16y + -7.85z <= 150.63
1.16x + -6.73y + 0.29z <= 100.63
-6.0x + 2.24y + 7.29z <= 997.46
9.14x + -6.06y + -2.77z <= 149.8
-7.61x + -1.06y + 7.38z <= 780.55
-9.35x + -7.95y + 4.09z <= 496.24
-7.46x + 0.35y + -8.96z <= 269.18
6.75x + 5.63y + -8.43z <= 549.15
2.88x + -5.37y + 4.06z <= 148.89
-3.79x + 6.43y + 2.88z <= 323.2
-1.77x + -9.48y + 1.89z <= 125.25
6.84x + -0.6y + -3.32z <= 151.32
8.1x + 8.62y + -8.86z <= 939.41
5.47x + 3.41y + -5.92z <= 161.09
-9.2x + 4.37y + 0.77z <= 936.29
9.18x + 0.82y + -7.94z <= 237.28
-2.8x + 9.96y + -9.42z <= 836.51
-5.24x + -9.41y + 3.72z <= 630.23
7.49x + -8.71y + 8.58z <= 107.15
-3.18x + -8.39y + -9.29z <= 158.79
-8.07x + 1.77y + 7.59z <= 986.99
7.49x + 8.11y + 4.93z <= 647.26
-2.87x + 9.07y + -6.43z <= 909.6
-2.12x + 4.64y + -1.12z <= 314.5
5.37x + 4.17y + -7.02z <= 794.38
-8.79x + -4.65y + 4.76z <= 180.29
-7.46x + -5.47y + -2.76z <= 252.12
2.43x + -2.8y + 8.82z <= 246.27
7.5x + 8.95y + -5.38z <= 406.71
9.71x + -5.94y + -5.34z <= 153.82
-1.64x + -2.68y + 0.03z <= 943.96
0.61x + -0.81y + 0.14z <= 848.49
7.99x + 7.34y + -0.8z <= 160.16
1.8x + 4.48y + 2.08z <= 355.58
8.08x + -1.39y + 6.86z <= 141.07
1.02x + -2.97y + -8.2z <= 388.46
-7.88x + -6.73y + 5.44z <= 868.71
-9.14x + 0.89y + 3.92z <= 788.82
6.31x + 7.66y + 2.73z <= 374.14
5.21x + -8.44y + 7.08z <= 913.1
-7.22x + 7.37y + 4.39z <= 934.39
4.03x + 9.43y + 0.92z <= 181.22
8.17x + 3.39y + -3.87z <= 185.19
-2.96x + 8.93y + 6.07z <= 299.89
-7.14x + 2.35y + 5.23z <= 458.99
-8.13x + -9.88y + -7.95z <= 876.12
-7.52x + -1.9y + -0.87z <= 851.19
9.79x + -0.35y + 4.32z <= 126.83
-4.28x + 3.03y + -1.14z <= 356.2
-2.68x + -4.89y + -7.68z <= 191.46
3.02x + -0.84y + 1.44z <= 199.36
-7.16x + 2.42y + -5.41z <= 632.45
-8.15x + 3.6y + 6.28z <= 958.48
4.8x + 5.54y + 3.89z <= 369.72
4.68x + -9.88y + -2.5z <= 313.57
-1.17x + -2.01y + 2.89z <= 529.14
-1.94x + -7.53y + -0.99z <= 975.54
-8.97x + 9.28y + 9.34z <= 493.16
4.65x + 8.85y + 4.29z <= 367.72
-1.7x + 9.36y + 5.9z <= 486.22
7.19x + -3.36y + -0.9z <= 714.78
3.62x + -3.76y + 8.77z <= 158.8
-9.25x + 6.28y + -7.67z <= 404.28
2.39x + -7.58y + -4.41z <= 484.71
-3.59x + -1.94y + -7.29z <= 773.01
7.4x + -9.72y + 5.14z <= 693.22
-8.3x + 8.51y + -2.02z <= 832.5
-5.6x + 3.42y + 0.04z <= 128.28
-5.53x + 3.21y + 4.35z <= 981.2
-4.84x + 9.62y + -8.8z <= 570.0
-2.37x + 4.19y + -1.65z <= 319.01
-9.26x + 1.88y + -4.09z <= 448.41
4.39x + 3.7y + 7.79z <= 943.18
-9.23x + 5.83y + -6.46z <= 233.45
-0.98x + 1.86y + -5.19z <= 686.02
-9.97x + -6.33y + -9.5z <= 148.1
7.64x + 4.52y + -1.93z <= 818.4
-5.31x + -1.52y + -6.5z <= 822.12
-1.02x + 3.0y + -9.85z <= 929.94
-9.34x + 6.79y + 5.53z <= 938.3
0.19x + 1.05y + 1.35z <= 197.18
7.71x + -2.5y + -9.79z <= 194.17
1.6x + -2.0y + 5.25z <= 338.21
3.23x + 2.02y + -1.33z <= 199.39
-1.77x + 0.37y + -0.93z <= 972.15
0.99x + 9.08y + -2.87z <= 828.42
6.56x + -9.67y + -4.58z <= 290.43
7.81x + -7.39y + 5.63z <= 484.76
9.54x + 4.48y + 5.07z <= 726.78
8.47x + 7.35y + -6.96z <= 466.0
-2.99x + 0.35y + -4.39z <= 958.92
9.78x + 8.2y + -9.94z <= 557.34
6.02x + 9.09y + 9.5z <= 100.42
4.77x + -2.12y + -4.52z <= 764.05
7.74x + 6.01y + 7.29z <= 224.76
-7.91x + 7.48y + -1.86z <= 387.66
-1.73x + -1.61y + -0.45z <= 903.85
-0.64x + -5.68y + 3.98z <= 257.43
-9.39x + 4.26y + 0.42z <= 328.05
-0.99x + -3.64y + -1.11z <= 761.64
-0.47x + -9.07y + -9.34z <= 481.18
-0.37x + -3.62y + 5.19z <= 106.0
9.22x + 3.93y + 6.53z <= 210.24
