max -3.89x + 5.62y + 2.47z
7.63x + 9.58y + 4.62z <= 875.92
5.9x + -4.71y + -4.86z <= 606.77
0.2x + -8.48y + -6.32z <= 489.14
-3.74x + 4.27y + 0.28z <= 588.37
-1.28x + -1.55y + -2.9z <= 476.84
3.92x + 8.53y + 3.2z <= 781.88
7.84x + -6.4y + 2.62z <= 719.61
-2.53x + -8.15y + -3.49z <= 875.38
0.03x + 6.27y + 4.3z <= 665.4
5.26x + -8.06y + 6.72z <= 217.39
-9.12x + 8.24y + -1.32z <= 496.32
1.75x + 9.76y + 5.74z <= 957.59
5.73x + -6.73y + 2.94z <= 236.78
-8.3x + 1.54y + -9.7z <= 345.4
-3.22x + -9.21y + 0.47z <= 190.79
-5.86x + 5.92y + 5.81z <= 727.16
3.87x + -3.03y + -4.59z <= 643.31
2.1x + -2.51y + -0.98z <= 780.47
-9.08x + -9.73y + 3.47z <= 974.73
-7.8x + -4.62y + 0.11z <= 925.52
-9.58x + -5.03y + 0.07z <= 720.31
-3.14x + -7.04y + -5.52z <= 808.95
-6.49x + -0.21y + -0.81z <= 699.9
-8.13x + -3.15y + -7.73z <= 871.03
-5.21x + 1.23y + -3.81z <= 609.75
-7.88x + -5.32y + -2.24z <= 331.31
-0.82x + -6.79y + -5.48z <= 676.28
2.49x + -6.58y + -7.17z <= 792.84
0.52x + -4.64y + -7.74z <= 372.43
4.32x + -0.01y + -0.6z <= 213.26
6.48x + 1.73y + 5.19z <= 932.55
-2.06x + -2.92y + 8.7z <= 114.03
9.97x + -5.87y + -5.73z <= 668.45
-4.68x + 0.02y + 4.49z <= 925.35
-5.54x + 9.27y + 0.88z <= 154.14
3.75x + 6.2y + -1.41z <= 283.57
7.41x + -6.46y + 3.15z <= 487.49
-1.54x + -9.75y + 0.1z <= 542.13
-3.96x + 5.83y + 6.91z <= 803.5
6.92x + -0.92y + -8.67z <= 213.96
2.01x + -1.29y + -3.76z <= 972.83
1.44x + 8.02y + 7.62z <= 631.46
-8.65x + -6.85y + -2.9z <= 415.71
3.81x + -8.77y + 8.17z <= 635.89
-3.56x + 6.39y + 3.36z <= 154.67
2.06x + -2.07y + 4.63z <= 779.4
3.61x + -4.4y + -1.16z <= 437.6
-4.28x + 4.21y + -5.44z <= 363.87
-0.3x + 1.44y + 3.9z <= 524.21
-5.99x + -9.69y + 5.07z <= 237.14
4.17x + 7.0y + 8.5z <= 541.45
-5.43x + -3.47y + 3.75z <= 129.1
-1.7x + -9.11y + 2.12z <= 493.24
3.64x + -2.27y + 3.92z <= 900.66
7.52x + -4.25y + -6.18z <= 771.3
6.76x + -0.55y + 9.76z <= 671.04
0.75x + 6.1y + 3.89z <= 678.38
-3.93x + 6.11y + 0.47z <= 694.34
-7.27x + -6.62y + 5.03z <= 580.48
9.68x + 6.13y + -5.75z <= 871.13
-9.68x + -5.82y + -1.06z <= 545.82
4.41x + 1.77y + -1.33z <= 585.7
0.79x + -7.0y + -1.44z <= 337.72
-5.58x + -6.79y + 8.29z <= 897.99
5.79x + 0.61y + -0.76z <= 603.26
-9.15x + -0.56y + -1.95z <= 424.98
5.01x + 7.55y + -8.14z <= 279.16
-8.72x + 9.21y + 5.45z <= 228.42
-4.58x + -6.04y + 0.56z <= 625.02
2.53x + 8.46y + 7.37z <= 373.65
4.79x + -2.57y + -7.75z <= 471.18
-6.42x + -9.02y + 8.64z <= 872.78
-7.96x + -1.65y + -7.97z <= 178.99
3.59x + 2.86y + 5.54z <= 535.69
6.29x + -2.89y + 8.81z <= 884.96
0.15x + -6.07y + 3.24z <= 576.6
-4.97x + 3.62y + -7.91z <= 189.97
-5.09x + 3.23y + -4.63z <= 921.78
9.68x + -0.95y + -3.12z <= 146.91
9.81x + 7.33y + -2.85z <= 841.01
-6.28x + 1.47y + 3.03z <= 186.35
5.84x + 4.27y + -3.45z <= 517.09
-1.14x + 2.23y + -9.48z <= 308.29
3.59x + -1.83y + 4.39z <= 852.76
9.4x + -4.73y + -7.79z <= 160.34
9.51x + 2.08y + 9.41z <= 194.86
-7.43x + 8.91y + 2.68z <= 331.2
-9.51x + 7.34y + 5.66z <= 774.84
7.82x + 1.79y + -7.48z <= 328.76
-5.0x + 5.01y + 1.44z <= 690.57
2.27x + -4.46y + 6.15z <= 665.87
-2.89x + 6.31y + 2.84z <= 604.11
8.64x + 2.0y + 9.4z <= 230.65
-4.01x + -9.59y + 3.75z <= 482.64
-2.2x + 6.54y + -6.99z <= 953.45
-5.77x + -0.18y + -4.72z <= 138.42
-9.48x + 5.76y + -5.66z <= 492.53
6.13x + 1.43y + 6.61z <= 638.27
-7.28x + -0.03y + -6.26z <= 362.33
-9.28x + 9.23y + 6.88z <= 325.41
0.77x + 6.17y + -8.69z <= 746.82
-9.83x + 6.25y + -6.52z <= 231.54
4.56x + 9.29y + 3.66z <= 915.22
-4.74x + -8.09y + 1.88z <= 158.67
6.35x + 1.23y + 6.97z <= 225.46
-5.86x + -7.57y + 9.02z <= 682.26
3.7x + -1.04y + 9.58z <= 774.17
4.57x + 9.68y + -2.07z <= 341.64
-3.28x + 3.03y + 9.58z <= 791.62
-2.67x + -9.12y + 4.17z <= 219.46
1.06x + -5.68y + -4.52z <= 329.72
6.06x + 1.73y + 4.57z <= 339.31
-0.56x + -2.04y + 8.33z <= 624.44
-7.9x + -6.44y + -4.08z <= 337.89
-8.7x + 5.27y + -3.53z <= 964.41
-2.57x + 7.83y + -8.3z <= 754.97
9.54x + -6.62y + -0.43z <= 216.53
7.64x + 8.51y + -1.17z <= 209.91
-4.81x + 2.13y + -6.81z <= 712.95
-5.2x + 6.48y + 1.21z <= 525.75
2.38x + -7.79y + -3.41z <= 854.82
4.05x + 3.97y + 5.07z <= 348.79
8.56x + 9.55y + -2.68z <= 951.84
-9.15x + -5.1y + 6.29z <= 732.98
-1.91x + -0.02y + 6.24z <= 280.69
-1.47x + 6.03y + -3.4z <= 473.3
-2.76x + -8.67y + 6.04z <= 692.85
-1.28x + 9.41y + -2.44z <= 226.8
9.16x + 2.31y + -2.32z <= 315.56
3.99x + 2.08y + 7.64z <= 846.18
5.91x + -5.37y + -6.3z <= 340.64
1.36x + 5.21y + -1.81z <= 934.56
-4.64x + -2.61y + -3.47z <= 399.0
-5.63x + 9.92y + 8.94z <= 987.52
6.99x + -6.4y + -0.76z <= 594.07
6.35x + 9.75y + -2.55z <= 603.42
-1.32x + -7.01y + -9.83z <= 324.41
9.39x + 9.98y + 8.33z <= 211.28
-3.35x + -4.59y + 6.62z <= 421.5
-0.44x + 6.53y + 6.42z <= 302.33
4.39x + 4.2y + 0.37z <= 161.67
-8.6x + 3.6y + -5.08z <= 415.42
3.7x + -8.24y + 5.42z <= 718.04
-8.18x + 3.92y + -4.1z <= 906.78
7.03x + 7.55y + -4.92z <= 270.11
-7.33x + -0.08y + -7.84z <= 306.04
-3.95x + -8.2y + -9.7z <= 850.21
-5.13x + 2.94y + -2.2z <= 311.53
-6.37x + 8.93y + 9.9z <= 317.06
0.34x + -7.45y + -3.74z <= 141.52
-8.08x + 0.04y + -9.64z <= 379.57
-3.22x + -2.91y + -6.62z <= 179.39
-9.79x + -1.75y + 7.17z <= 482.45
4.18x + -8.42y + -0.72z <= 689.78
1.41x + 3.63y + 2.79z <= 523.32
-1.89x + 5.68y + -3.46z <= 860.9
9.23x + 8.63y + -9.37z <= 320.71
3.49x + -6.69y + -3.89z <= 172.2
1.88x + -1.9y + -2.26z <= 622.32
-6.76x + 2.54y + -8.45z <= 583.46
1.42x + -7.43y + -7.95z <= 892.5
-7.27x + 1.08y + 0.01z <= 756.48
-9.36x + -0.63y + 8.85z <= 633.63
2.94x + -6.28y + 2.95z <= 941.38
-5.33x + 4.44y + -1.85z <= 131.12
6.03x + 7.06y + -8.08z <= 754.85
3.18x + 4.65y + 2.04z <= 251.18
-7.14x + -8.72y + 3.11z <= 556.4
-4.55x + -3.67y + -9.99z <= 595.57
8.33x + -7.88y + 8.88z <= 198.48
0.65x + -1.87y + 4.87z <= 599.35
9.77x + 4.48y + 7.95z <= 399.2
6.9x + 0.64y + -3.46z <= 656.99
6.22x + 8.15y + 6.52z <= 924.22
-4.86x + 2.09y + -7.33z <= 536.4
7.76x + 5.5y + 9.89z <= 641.67
2.37x + -4.13y + 9.07z <= 113.42
-2.29x + 6.22y + -9.44z <= 674.86
-5.33x + -7.05y + -1.4z <= 361.98
0.64x + -2.51y + -8.23z <= 709.67
9.2x + 6.55y + 4.32z <= 343.53
-9.36x + -0.96y + -7.32z <= 354.35
-9.11x + -7.53y + -0.41z <= 977.05
-8.13x + -5.28y + 2.53z <= 540.16
2.27x + -6.64y + 8.24z <= 617.79
8.09x + 9.7y + -3.15z <= 641.84
-3.21x + -2.08y + 9.91z <= 104.3
6.16x + -2.72y + 8.41z <= 975.17
5.54x + -6.66y + -9.31z <= 746.56
9.54x + 1.58y + 5.69z <= 496.53
8.99x + -9.26y + -4.96z <= 633.8
2.8x + -3.95y + 4.71z <= 971.43
-5.9x + -8.92y + -8.81z <= 665.48
-7.98x + -2.58y + -8.76z <= 383.81
-8.47x + 8.03y + -5.25z <= 272.26
4.2x + 8.82y + 9.08z <= 937.69
-4.15x + 1.69y + -3.57z <= 263.29
-9.48x + 2.55y + -6.23z <= 307.17
-2.38x + -4.26y + -4.39z <= 481.9
0.72x + 9.97y + -1.08z <= 560.87
6.6x + -4.21y + -4.3z <= 945.51
-8.31x + 9.48y + -5.22z <= 302.19
-1.23x + -9.64y + 1.34z <= 981.44
6.13x + -1.54y + 1.43z <= 459.03
3.7x + 3.8y + 6.61z <= 434.06
-6.61x + -9.39y + -4.08z <= 214.45
-1.97x + 8.27y + 1.32z <= 368.29
-8.25x + -1.63y + 6.59z <= 959.59
8.04x + -7.96y + -5.36z <= 895.27
-3.87x + -9.5y + 7.29z <= 639.51
-5.96x + -8.2y + -2.37z <= 648.06
6.37x + 6.06y + -7.88z <= 237.19
4.12x + 5.84y + 1.44z <= 162.1
4.38x + -3.86y + 5.45z <= 468.22
9.43x + 4.34y + 6.77z <= 232.2
1.54x + -9.39y + -8.61z <= 485.24
4.6x + 1.46y + 8.13z <= 400.73
-1.28x + 0.27y + -2.02z <= 756.25
-1.88x + -6.7y + -0.96z <= 499.33
5.38x + 6.49y + 8.83z <= 913.27
-5.78x + 2.03y + -4.46z <= 740.44
7.01x + 5.33y + 1.65z <= 313.67
1.09x + 9.71y + 3.16z <= 111.17
8.52x + 0.78y + -3.21z <= 336.05
-3.4x + 4.04y + -5.35z <= 341.62
8.21x + -5.26y + -9.29z <= 792.42
0.5x + -9.53y + -9.42z <= 744.61
4.57x + 1.43y + 5.2z <= 249.68
-1.47x + 7.21y + -5.58z <= 278.23
0.96x + -1.26y + -5.65z <= 305.43
-3.45x + 1.33y + -6.36z <= 844.93
-1.78x + -6.39y + -5.89z <= 461.62
1.95x + 6.64y + 1.95z <= 727.66
-1.82x + 5.79y + 3.51z <= 281.24
-0.8x + -5.5y + 6.0z <= 903.76
-9.07x + 1.06y + -5.21z <= 144.93
-3.81x + 9.11y + -4.61z <= 738.49
-2.4x + -9.64y + 1.34z <= 282.97
0.61x + 3.04y + -6.03z <= 851.66
-2.0x + 5.56y + 6.61z <= 106.28
-1.57x + 2.45y + 4.04z <= 274.91
9.85x + -2.76y + -2.07z <= 567.75
7.79x + -6.22y + 5.02z <= 132.82
-1.27x + 9.25y + -0.7z <= 368.92
8.85x + 1.29y + 9.39z <= 334.89
8.91x + 6.72y + -6.63z <= 955.62
6.47x + -3.42y + -9.61z <= 997.67
-2.79x + 7.04y + 4.7z <= 611.29
6.43x + 8.61y + -9.33z <= 345.3
-4.45x + 6.16y + 4.37z <= 496.7
-8.99x + -7.3y + -2.85z <= 474.55
8.84x + 3.46y + 4.93z <= 778.31
-8.57x + -9.42y + -4.05z <= 860.93
1.91x + -3.85y + 2.4z <= 133.92
6.45x + 2.14y + 4.64z <= 124.16
-1.29x + 0.72y + 3.34z <= 438.1
-4.8x + 8.86y + 8.22z <= 543.77
7.07x + 5.82y + -7.97z <= 576.77
4.4x + 4.1y + 7.25z <= 216.64
0.69x + -6.47y + 6.14z <= 980.87
-1.62x + 6.61y + 3.13z <= 709.55
-8.28x + -3.28y + -1.84z <= 274.62
4.01x + -0.65y + -5.79z <= 713.39
7.99x + 5.83y + 5.52z <= 347.42
3.43x + 6.11y + 9.03z <= 826.84
-3.26x + 7.18y + 7.21z <= 481.21
-0.81x + 3.75y + 4.13z <= 251.56
-4.79x + -2.83y + 7.66z <= 754.91
-1.91x + 8.41y + 2.33z <= 367.07
5.75x + -7.83y + -1.64z <= 698.63
-3.87x + -3.93y + -5.27z <= 598.63
-5.35x + 1.4y + -4.83z <= 644.02
-3.57x + 3.58y + -0.04z <= 164.84
-5.14x + 7.4y + -6.22z <= 514.33
-3.39x + -4.41y + 9.52z <= 971.33
-0.74x + -1.39y + -9.87z <= 369.68
-8.73x + 9.49y + 2.16z <= 880.59
1.66x + -2.89y + -7.43z <= 707.44
-3.9x + -2.5y + -6.88z <= 936.53
5.07x + 7.92y + -8.8z <= 406.52
1.11x + -7.15y + -9.77z <= 792.05
-0.35x + 1.73y + -6.31z <= 222.06
8.05x + -7.02y + 3.32z <= 277.89
-7.52x + -3.45y + -9.4z <= 851.52
-1.96x + 3.1y + -8.7z <= 854.97
2.64x + -8.32y + -5.13z <= 798.51
2.15x + -4.3y + -7.23z <= 996.47
1.79x + 3.72y + -0.54z <= 647.99
5.63x + 3.25y + -0.72z <= 974.84
-5.33x + -3.21y + -9.97z <= 886.51
-0.79x + -2.27y + 0.57z <= 719.39
-2.41x + -9.16y + -9.83z <= 401.68
0.1x + -7.74y + 8.14z <= 818.9
4.62x + 6.91y + 0.93z <= 436.93
-0.69x + 9.0y + -7.7z <= 425.11
-3.63x + 2.5y + 2.03z <= 232.5
-8.05x + 2.39y + -7.48z <= 512.23
1.24x + -7.46y + -0.87z <= 160.64
7.78x + -5.89y + -2.59z <= 805.78
-2.94x + -6.85y + 3.06z <= 296.72
5.51x + -3.16y + 9.58z <= 756.76
9.24x + -5.28y + -5.23z <= 593.89
8.51x + 4.57y + 6.09z <= 193.5
-9.61x + -0.2y + 9.03z <= 984.79
4.39x + 6.73y + 7.64z <= 976.56
1.05x + 0.02y + 5.15z <= 592.26
-9.19x + 7.52y + 8.68z <= 919.78
-2.07x + 7.88y + 5.11z <= 374.16
-1.26x + -9.32y + 6.79z <= 131.06
-7.53x + 3.71y + -7.51z <= 616.37
-5.92x + 9.52y + 7.82z <= 391.02
-6.09x + 7.4y + -5.64z <= 547.55
8.44x + 1.59y + -9.78z <= 454.45
8.81x + -7.49y + -7.35z <= 241.93
-0.8x + -2.53y + -7.33z <= 522.06
-4.82x + -7.31y + 7.01z <= 633.98
8.04x + 5.74y + 5.09z <= 280.39
-5.8x + 6.8y + 1.55z <= 687.5
7.43x + -9.51y + 2.53z <= 960.36
-4.49x + 4.23y + -3.63z <= 652.94
2.77x + 6.97y + 5.64z <= 969.91
-0.96x + -8.65y + 3.93z <= 404.32
-7.28x + 2.39y + -6.61z <= 879.84
-2.39x + 6.78y + -5.47z <= 102.29
5.05x + -9.72y + -4.75z <= 128.73
-3.11x + -2.15y + -7.56z <= 835.72
7.06x + 4.04y + -3.66z <= 784.01
-0.48x + 5.14y + -5.14z <= 198.82
-1.13x + 7.2y + -4.49z <= 437.32
-6.51x + -7.9y + -8.0z <= 754.78
-9.94x + -3.52y + -7.18z <= 465.78
6.66x + -8.91y + 3.05z <= 661.6
-0.24x + 4.02y + -4.94z <= 380.92
-7.52x + 8.32y + -5.99z <= 622.49
-5.42x + -0.1y + 7.33z <= 638.67
-5.36x + 3.62y + -0.94z <= 339.11
2.55x + -1.92y + -7.35z <= 253.38
-4.69x + -4.14y + -7.45z <= 436.62
-9.67x + -7.51y + -9.72z <= 668.95
7.75x + 7.03y + -2.39z <= 649.86
2.54x + 0.16y + 3.7z <= 750.28
1.1x + -5.38y + 3.83z <= 455.19
1.21x + 4.51y + 6.81z <= 986.83
-4.73x + -7.95y + 2.94z <= 270.98
-3.51x + 4.84y + -4.6z <= 425.88
9.24x + 5.1y + -1.71z <= 526.79
6.68x + 6.95y + -8.13z <= 240.33
-5.02x + 3.94y + 6.69z <= 578.93
7.71x + 9.29y + -7.87z <= 331.44
8.17x + 8.98y + -9.01z <= 736.53
0.6x + -5.13y + 1.61z <= 635.88
-4.78x + 2.61y + 8.59z <= 269.09
-1.23x + -3.83y + -3.94z <= 716.6
-2.6x + -6.38y + 5.68z <= 732.49
-5.58x + -0.69y + -4.89z <= 625.11
5.26x + -4.24y + -3.8z <= 782.91
-3.41x + 1.5y + 9.12z <= 988.26
4.45x + -9.08y + 7.17z <= 150.62
-2.21x + -3.25y + 8.38z <= 347.9
-7.25x + -9.41y + -1.6z <= 893.32
6.97x + 4.33y + -5.53z <= 486.0
9.94x + -4.33y + 0.81z <= 597.76
8.01x + 3.99y + 1.46z <= 859.54
7.81x + -7.83y + -3.27z <= 868.26
-7.52x + -7.55y + 3.12z <= 885.61
5.63x + 9.59y + 5.36z <= 855.69
-2.6x + 5.71y + -3.84z <= 284.69
3.15x + -9.74y + 6.13z <= 524.42
-9.21x + -1.62y + 2.22z <= 630.63
7.57x + -2.33y + -9.69z <= 317.66
-9.41x + -5.43y + -9.5z <= 552.18
-7.08x + 3.28y + -9.79z <= 745.02
3.44x + -5.02y + 6.14z <= 151.72
1.23x + -1.1y + 6.64z <= 840.53
9.85x + -6.77y + 3.26z <= 928.99
8.72x + -0.03y + 3.54z <= 771.1
9.6x + 8.64y + -1.55z <= 800.17
8.54x + 0.27y + -8.09z <= 150.17
2.65x + 8.1y + -4.64z <= 841.0
-0.3x + -3.74y + 2.1z <= 249.26
4.08x + 2.5y + 4.15z <= 252.59
-0.01x + -5.83y + 9.5z <= 975.08
9.11x + 3.52y + -7.83z <= 206.34
1.94x + -5.88y + -8.59z <= 890.62
8.25x + -2.33y + 9.93z <= 957.96
7.67x + 5.02y + -1.92z <= 408.05
5.27x + 0.67y + 4.56z <= 806.14
-7.43x + 7.09y + -8.7z <= 456.53
-4.58x + 3.58y + -9.08z <= 816.05
1.65x + -2.22y + 0.04z <= 805.05
4.9x + 4.5y + -2.52z <= 613.13
4.76x + 9.75y + -1.08z <= 433.76
-9.53x + -8.27y + -2.1z <= 294.23
-9.62x + -2.04y + 6.06z <= 651.52
-7.21x + -0.96y + 4.13z <= 734.77
-9.62x + -0.14y + -3.65z <= 126.16
-3.24x + 6.08y + 5.84z <= 416.69
-4.14x + 5.62y + -1.87z <= 348.18
-3.71x + -5.24y + -4.01z <= 168.12
-0.59x + -9.76y + 0.46z <= 955.22
-6.32x + 6.76y + 9.04z <= 109.18
-5.84x + 1.31y + 3.54z <= 126.12
-5.35x + -9.91y + -5.0z <= 181.3
3.89x + 7.83y + 2.87z <= 792.7
9.66x + -6.07y + 1.97z <= 271.23
-0.21x + 6.41y + -5.01z <= 758.64
1.33x + -1.19y + 6.4z <= 141.53
3.34x + 0.13y + 7.0z <= 190.22
-5.76x + 8.3y + -9.76z <= 812.38
-4.29x + 0.01y + 8.74z <= 617.7
-6.57x + 1.46y + -2.85z <= 224.07
-0.42x + -1.88y + 0.27z <= 521.74
2.96x + 6.93y + -7.77z <= 643.81
7.44x + -5.07y + -6.16z <= 696.5
-9.4x + 5.74y + -2.85z <= 380.02
-1.87x + 3.16y + -2.92z <= 535.66
-5.02x + -0.05y + 8.18z <= 941.73
4.33x + -7.27y + 0.41z <= 633.93
4.44x + 4.11y + -1.83z <= 158.5
-2.72x + 5.09y + -1.35z <= 888.74
-6.29x + -7.76y + -3.77z <= 996.11
2.96x + 9.45y + 1.8z <= 303.38
5.05x + 2.54y + -2.44z <= 803.69
9.49x + 0.31y + 4.45z <= 248.8
-4.12x + 5.27y + -8.23z <= 517.06
-7.86x + 4.1y + -4.93z <= 597.89
7.61x + 5.18y + -3.55z <= 995.39
-3.44x + 4.22y + -6.34z <= 668.64
2.87x + -8.47y + -2.12z <= 652.14
-8.58x + 2.56y + 0.44z <= 765.75
6.65x + 2.32y + -9.39z <= 512.86
-4.08x + -2.61y + -6.88z <= 169.77
1.03x + 9.91y + -9.98z <= 292.62
-2.12x + 8.13y + 5.96z <= 357.61
-0.14x + 5.33y + 2.53z <= 528.92
-3.46x + 8.96y + -0.67z <= 182.46
-0.04x + -5.07y + -1.54z <= 715.15
1.72x + 9.44y + -9.75z <= 795.56
6.54x + -9.71y + -7.86z <= 211.58
8.12x + 6.2y + -3.5z <= 496.88
9.18x + -1.23y + 5.12z <= 680.63
-5.15x + 5.38y + -2.59z <= 258.79
9.92x + 1.4y + 3.92z <= 921.19
-4.9x + -8.78y + 6.24z <= 263.53
3.04x + -1.75y + 8.45z <= 554.34
-0.63x + 5.25y + -9.36z <= 566.47
8.27x + 3.8y + -0.89z <= 972.35
-6.81x + -9.19y + 2.73z <= 995.87
8.28x + 3.76y + 1.81z <= 503.93
-3.86x + 2.36y + 7.16z <= 425.84
-8.27x + -1.42y + -8.85z <= 282.35
-5.18x + -7.59y + -3.53z <= 128.21
-7.22x + 6.4y + 2.88z <= 879.54
7.14x + -4.26y + 8.83z <= 632.21
2.22x + -6.11y + -0.5z <= 635.7
6.54x + 8.15y + 9.8z <= 623.24
4.91x + -4.2y + -3.96z <= 671.88
7.77x + -5.32y + -3.41z <= 972.98
8.57x + -2.27y + 7.05z <= 446.1
-5.15x + 9.7y + -7.39z <= 683.1
-4.67x + 8.38y + 1.97z <= 690.46
4.43x + 6.8y + -1.63z <= 343.17
-4.97x + -6.88y + -2.96z <= 152.3
2.7x + 5.55y + -4.14z <= 769.32
-5.23x + 0.59y + -3.27z <= 755.95
-5.78x + -1.41y + 8.42z <= 527.49
7.47x + 0.68y + 7.4z <= 818.39
8.83x + -5.19y + -0.05z <= 959.13
4.75x + 6.12y + -7.12z <= 196.15
-9.8x + 6.99y + 5.65z <= 263.07
4.37x + 4.75y + -6.28z <= 633.31
5.03x + 8.87y + -2.85z <= 921.23
0.18x + 5.02y + -6.25z <= 370.94
3.67x + -4.07y + -0.98z <= 503.56
1.55x + -2.77y + -5.82z <= 871.7
-9.79x + 6.67y + 3.52z <= 910.74
5.77x + 2.85y + -4.03z <= 182.87
-4.72x + -1.53y + 2.47z <= 365.46
6.33x + -3.41y + -1.97z <= 509.87
