max 9.47x + 1.74y + -4.7z
8.99x + 7.19y + -4.98z <= 512.6
-0.47x + 0.59y + 7.11z <= 696.26
-3.67x + -2.46y + -8.09z <= 392.23
-5.6x + -4.82y + 7.89z <= 669.25
-8.96x + 2.97y + -0.63z <= 916.09
1.79x + -2.0y + -7.25z <= 538.67
-0.43x + -4.95y + 0.78z <= 294.37
9.45x + -1.38y + 3.43z <= 526.75
-3.31x + 9.03y + -3.3z <= 669.08
8.09x + 8.5y + -6.47z <= 327.29
-6.24x + 0.26y + -9.03z <= 729.19
-8.8x + 5.01y + 7.37z <= 504.48
3.6x + -6.73y + -5.77z <= 983.83
3.1x + -2.52y + -2.62z <= 300.04
-6.33x + 0.04y + 4.81z <= 726.5
2.55x + -3.83y + 5.66z <= 623.37
-9.54x + 5.85y + -4.34z <= 281.64
8.95x + -3.27y + -8.12z <= 296.23
-1.4x + -0.88y + -7.01z <= 306.83
5.96x + 0.82y + 3.84z <= 857.99
1.68x + -8.5y + -1.28z <= 537.78
-2.52x + 9.05y + -3.2z <= 368.26
-7.26x + 3.39y + 6.19z <= 320.78
6.03x + -2.03y + 1.18z <= 473.43
-9.33x + -8.21y + -1.69z <= 802.81
-0.89x + 5.09y + 1.01z <= 205.12
-3.26x + 8.04y + 3.05z <= 219.74
-9.91x + -9.07y + 1.15z <= 418.99
0.99x + 7.94y + 5.96z <= 936.63
2.52x + 4.96y + -4.59z <= 201.99
0.4x + 2.85y + 5.1z <= 566.76
2.55x + -3.42y + 1.67z <= 179.86
2.48x + -6.0y + 9.23z <= 653.58
9.82x + -3.85y + -2.35z <= 667.69
2.46x + -1.23y + -5.61z <= 260.41
1.47x + 3.64y + -2.1z <= 903.33
4.32x + 7.7y + -5.65z <= 306.23
-7.82x + 2.06y + 8.61z <= 677.15
-5.9x + 6.36y + -3.22z <= 584.05
9.69x + -3.87y + 6.77z <= 325.76
-6.04x + -3.38y + -7.73z <= 298.41
-8.94x + -2.44y + -5.93z <= 699.67
-5.84x + 7.02y + 4.93z <= 707.27
8.83x + -8.94y + 4.56z <= 589.25
-0.36x + 2.0y + -0.04z <= 424.77
8.65x + 3.95y + -0.22z <= 747.36
-1.31x + 4.12y + -9.33z <= 824.67
6.43x + 3.91y + -2.74z <= 858.27
-2.47x + 7.6y + 9.29z <= 460.93
7.63x + -1.51y + 1.66z <= 731.88
3.52x + 2.66y + 2.1z <= 393.77
0.56x + 8.2y + -8.15z <= 285.2
-0.87x + 3.99y + 7.41z <= 285.94
-6.72x + 9.06y + 9.57z <= 263.85
-4.23x + 3.54y + 6.93z <= 325.57
5.95x + 2.5y + 5.48z <= 577.61
9.99x + -1.9y + 0.35z <= 757.62
9.46x + 4.12y + 3.95z <= 622.51
9.59x + -6.37y + 3.45z <= 162.3
-0.01x + 3.13y + 7.46z <= 613.34
8.07x + -1.26y + 3.59z <= 368.69
-0.17x + -9.91y + -6.29z <= 118.84
-0.18x + 6.14y + 9.61z <= 286.4
1.61x + -8.79y + 3.91z <= 724.31
3.6x + -3.27y + -2.95z <= 415.67
5.39x + -0.82y + 9.24z <= 807.72
4.65x + -5.16y + -7.73z <= 801.08
-0.28x + -7.79y + -0.39z <= 525.01
-0.65x + 2.84y + 8.22z <= 121.71
2.32x + 5.5y + -6.19z <= 594.86
-1.83x + 1.89y + 2.58z <= 408.7
7.89x + 7.51y + -7.33z <= 616.28
8.55x + 1.21y + -0.87z <= 874.08
4.61x + -1.97y + -5.85z <= 653.06
-6.72x + -2.09y + 3.85z <= 977.96
-7.9x + -7.05y + -5.3z <= 199.16
-3.93x + 7.21y + -8.95z <= 546.84
4.83x + 6.95y + -0.79z <= 741.79
4.9x + 6.06y + -5.62z <= 301.26
5.01x + -1.19y + 6.21z <= 243.99
7.81x + -6.63y + -1.71z <= 890.14
7.54x + -5.52y + -6.85z <= 165.83
-4.78x + -2.73y + -7.65z <= 228.44
-1.62x + 4.03y + -9.49z <= 791.21
5.16x + 0.84y + -7.89z <= 542.08
4.21x + -4.32y + -8.89z <= 771.92
-3.56x + -3.77y + 4.32z <= 735.44
-4.24x + -5.34y + 2.64z <= 931.22
-3.6x + 6.84y + 7.97z <= 984.42
1.3x + -5.59y + -8.39z <= 705.07
7.86x + -0.22y + 7.55z <= 610.5
3.78x + 2.45y + 8.4z <= 499.97
-4.56x + -3.71y + -9.17z <= 949.36
8.12x + 2.45y + -9.12z <= 912.48
-4.95x + 2.19y + 0.76z <= 171.67
2.62x + 7.98y + -2.17z <= 693.54
1.66x + 0.54y + 5.54z <= 842.01
-2.73x + 2.97y + 9.73z <= 287.03
-4.15x + 5.03y + -7.82z <= 210.37
5.21x + 2.2y + 3.01z <= 662.84
1.32x + -7.35y + -7.3z <= 454.28
-2.77x + -9.26y + 6.55z <= 875.05
2.76x + -1.34y + 2.36z <= 181.86
3.29x + 8.88y + -4.61z <= 723.18
-4.62x + -0.34y + 4.0z <= 449.18
4.89x + -9.41y + -3.77z <= 108.47
-0.01x + 5.86y + 1.78z <= 273.89
-9.62x + 5.06y + 2.48z <= 224.24
-8.82x + -5.19y + 9.84z <= 208.54
3.16x + 2.58y + -6.6z <= 620.54
8.04x + 0.33y + -4.72z <= 611.95
-4.26x + 6.73y + 4.44z <= 689.36
-8.96x + -4.16y + -9.78z <= 640.21
3.31x + -6.74y + 9.9z <= 508.33
-9.66x + -5.1y + 2.71z <= 673.26
9.09x + -1.57y + -0.06z <= 402.97
-8.24x + 7.15y + -1.65z <= 595.63
0.84x + -4.81y + -2.15z <= 574.28
1.0x + 9.21y + -9.47z <= 252.15
9.39x + -7.57y + 9.67z <= 308.83
-0.99x + -7.18y + 3.16z <= 318.09
8.05x + -9.13y + 6.6z <= 580.16
0.25x + 1.45y + 5.59z <= 143.79
2.77x + -5.75y + 2.77z <= 445.19
4.92x + -7.96y + -2.56z <= 271.53
0.92x + -5.49y + -1.56z <= 402.03
6.66x + 4.09y + -5.09z <= 912.93
1.5x + 9.58y + 0.39z <= 460.15
-5.91x + 8.58y + 1.59z <= 992.35
-6.72x + -0.88y + 0.1z <= 444.95
-9.24x + 6.68y + -3.8z <= 109.11
6.34x + -1.76y + -4.77z <= 249.07
2.18x + -5.2y + -7.87z <= 978.35
1.52x + 9.92y + -6.0z <= 564.48
-7.47x + 1.7y + 6.2z <= 212.1
9.77x + 9.32y + 1.13z <= 450.18
9.96x + -1.82y + -1.01z <= 977.63
-5.61x + -4.94y + 2.81z <= 568.9
-2.35x + -6.0y + -6.93z <= 108.25
-5.52x + 0.46y + 7.99z <= 822.71
-3.4x + 2.14y + -2.91z <= 410.15
1.95x + -5.28y + 2.93z <= 590.37
-2.61x + 3.64y + 7.8z <= 327.14
1.75x + 3.06y + 5.12z <= 976.94
6.15x + 6.63y + 1.03z <= 850.14
6.11x + 6.35y + 1.14z <= 103.45
-7.82x + -0.87y + 0.45z <= 735.78
5.2x + -0.19y + -8.52z <= 378.06
-9.8x + -3.63y + -2.65z <= 315.39
4.72x + 6.53y + 2.67z <= 727.66
-2.48x + 2.66y + -2.49z <= 723.59
6.31x + -6.63y + 2.46z <= 903.17
-7.43x + 2.86y + 7.42z <= 206.81
5.76x + -2.33y + -6.13z <= 970.66
8.02x + -8.81y + -3.84z <= 818.26
3.92x + -3.49y + 3.02z <= 622.81
-3.45x + 3.05y + 8.97z <= 639.77
9.02x + -3.35y + -0.33z <= 501.76
-3.42x + -6.6y + 2.73z <= 257.54
1.86x + 1.81y + -3.89z <= 413.0
3.59x + -4.25y + 2.82z <= 118.2
-4.69x + -2.33y + 0.95z <= 121.01
-9.62x + -2.12y + 9.26z <= 110.19
1.2x + 1.61y + 5.08z <= 124.42
6.19x + -7.68y + -7.09z <= 748.02
9.26x + 0.37y + -9.61z <= 601.3
2.2x + 1.8y + 6.84z <= 273.01
2.95x + -6.35y + 3.45z <= 282.63
-8.09x + 8.0y + 4.15z <= 277.55
-4.91x + 0.53y + 5.46z <= 473.61
2.72x + -5.04y + -8.33z <= 118.78
6.54x + -8.79y + -5.67z <= 336.86
8.6x + 9.86y + 1.17z <= 659.36
-2.68x + -8.26y + 2.25z <= 719.67
-1.99x + -3.07y + -7.26z <= 449.52
-9.81x + 2.12y + -0.36z <= 632.02
-0.51x + 9.85y + -4.87z <= 622.26
-1.34x + 2.24y + -2.66z <= 568.63
9.71x + 2.47y + 4.3z <= 278.94
3.05x + -7.96y + 9.03z <= 446.3
4.55x + -2.44y + -5.16z <= 888.89
-0.62x + 3.9y + 2.55z <= 280.47
-8.32x + -6.68y + -1.77z <= 162.06
2.05x + 9.4y + 5.42z <= 925.02
-5.1x + 6.47y + 8.13z <= 881.6
9.5x + 5.77y + -6.78z <= 933.04
3.49x + 0.67y + -8.65z <= 621.13
-1.0x + -0.77y + -3.53z <= 328.48
1.17x + 5.04y + 7.11z <= 949.08
0.89x + 8.22y + -6.58z <= 786.33
5.99x + -7.02y + 2.91z <= 165.27
-7.2x + -8.61y + 0.09z <= 199.13
-5.8x + 6.22y + -2.64z <= 660.22
-6.9x + -1.78y + 9.56z <= 615.76
1.94x + -1.28y + 6.04z <= 822.23
1.42x + 4.87y + -3.97z <= 661.52
-9.27x + -5.73y + -6.45z <= 571.6
-0.16x + 9.25y + 6.39z <= 372.77
-7.38x + -7.52y + 7.54z <= 161.8
-7.78x + -3.62y + 8.12z <= 588.46
-7.59x + 2.89y + -6.18z <= 170.56
-9.57x + -2.09y + 3.34z <= 265.05
-4.88x + 3.89y + 0.42z <= 120.07
-9.47x + 3.51y + -4.88z <= 618.36
0.74x + -3.95y + -5.34z <= 647.23
4.9x + 9.9y + -6.01z <= 847.76
-1.53x + 6.5y + 7.17z <= 378.07
2.26x + -4.99y + -0.93z <= 322.07
2.04x + 3.18y + -2.66z <= 587.79
-3.69x + 5.47y + 5.42z <= 566.7
-2.6x + -0.61y + -0.07z <= 427.12
-1.28x + -1.3y + -9.48z <= 775.27
4.98x + -9.8y + 1.29z <= 487.92
-4.98x + -1.81y + -6.18z <= 843.32
-0.59x + -9.51y + 1.02z <= 230.95
0.8x + 0.78y + 3.73z <= 140.09
-3.56x + -4.52y + 3.26z <= 843.03
1.91x + 2.73y + 4.77z <= 130.57
4.62x + -2.27y + 5.14z <= 770.27
-9.23x + 8.27y + -1.91z <= 307.09
-0.39x + -1.94y + 1.86z <= 483.9
-7.92x + -1.68y + 0.68z <= 244.94
-9.09x + 4.18y + 8.53z <= 207.26
-4.22x + 7.32y + 3.83z <= 349.09
-1.93x + -7.53y + -6.74z <= 505.04
-5.89x + 1.89y + 3.26z <= 301.21
6.74x + 7.33y + -7.84z <= 776.58
4.15x + 4.49y + -3.76z <= 623.25
3.65x + -9.64y + 4.01z <= 806.77
1.84x + -4.85y + 9.28z <= 489.89
-3.31x + 6.4y + 3.16z <= 724.45
-7.87x + 1.89y + -9.71z <= 834.41
0.77x + 9.13y + 0.65z <= 975.74
9.63x + -1.07y + -7.44z <= 826.42
-9.74x + 1.77y + 9.43z <= 554.45
2.77x + -9.03y + -1.69z <= 181.7
9.19x + -7.75y + 0.95z <= 565.18
3.99x + 5.72y + 1.91z <= 954.22
7.47x + -5.73y + 0.48z <= 224.59
-4.78x + -7.02y + -6.82z <= 515.08
-6.63x + -2.29y + 2.05z <= 765.44
-6.77x + -6.52y + 5.3z <= 177.66
-7.54x + -1.03y + -3.67z <= 104.09
-6.6x + -9.06y + -6.72z <= 102.3
5.44x + 7.87y + 0.67z <= 873.57
0.32x + -5.08y + 2.31z <= 285.88
-5.63x + 2.23y + -8.84z <= 222.99
-9.53x + 6.8y + -9.49z <= 200.09
5.9x + -2.88y + -1.6z <= 836.63
1.31x + 7.08y + 6.73z <= 320.82
4.16x + 7.43y + -8.4z <= 985.92
2.54x + 7.29y + 3.97z <= 860.8
-1.87x + -5.35y + -1.02z <= 921.0
8.03x + 8.69y + 9.96z <= 580.3
-9.5x + 6.66y + -0.87z <= 121.29
-5.55x + 1.83y + -3.18z <= 880.86
-6.48x + 2.59y + 3.98z <= 972.12
-8.91x + 1.69y + -8.74z <= 399.8
-7.13x + 6.45y + 6.76z <= 296.97
-6.87x + 9.42y + -0.89z <= 474.6
-5.59x + 7.8y + 6.84z <= 807.15
4.43x + 1.98y + -0.64z <= 581.48
-5.12x + -1.28y + 2.79z <= 173.06
2.73x + 0.22y + 5.96z <= 823.41
-2.12x + 8.52y + -2.03z <= 277.16
6.68x + -2.56y + 2.02z <= 128.32
-9.1x + -3.03y + -5.04z <= 338.85
4.17x + 1.09y + 5.02z <= 874.36
0.05x + 1.83y + 3.07z <= 722.63
-9.68x + 9.06y + 0.65z <= 421.47
6.92x + -3.03y + 7.0z <= 289.06
-2.29x + 6.09y + -6.32z <= 846.82
-6.28x + -3.01y + -1.72z <= 161.14
-8.12x + 1.49y + -3.6z <= 882.55
-7.98x + 1.76y + 2.31z <= 296.64
1.43x + 0.72y + -7.24z <= 407.5
5.08x + -7.85y + 0.43z <= 249.53
4.94x + -4.66y + -1.69z <= 470.72
4.08x + 1.06y + -4.86z <= 961.1
9.78x + 4.82y + -3.14z <= 907.42
-9.97x + -5.4y + -6.12z <= 524.09
-3.49x + 5.43y + 6.18z <= 844.21
8.39x + 7.41y + 1.48z <= 268.39
2.93x + 5.96y + 5.09z <= 734.38
-9.78x + -2.08y + 6.49z <= 307.87
-7.51x + -9.23y + 2.21z <= 632.23
-8.26x + -9.19y + 7.1z <= 641.99
9.59x + 2.22y + -3.03z <= 426.87
5.25x + -2.27y + 8.53z <= 499.41
-7.17x + 8.1y + -3.59z <= 588.32
0.32x + 7.81y + 9.49z <= 928.47
1.61x + -1.76y + -1.69z <= 324.42
9.29x + 8.31y + 9.79z <= 346.83
9.3x + -2.78y + 0.5z <= 478.05
-1.49x + -7.01y + -7.7z <= 737.73
-0.54x + -9.22y + -3.92z <= 425.83
9.17x + 0.54y + 9.55z <= 344.63
-8.22x + 2.35y + 1.34z <= 456.0
-9.25x + -7.6y + 2.05z <= 104.24
-7.98x + -6.58y + 9.7z <= 943.74
0.77x + 1.06y + -7.15z <= 589.07
10.0x + 0.25y + -8.85z <= 553.22
-5.97x + -0.56y + -2.39z <= 159.46
-6.53x + 0.82y + -2.79z <= 280.9
7.03x + 3.82y + 1.58z <= 683.46
-3.26x + -4.53y + 3.35z <= 179.26
6.51x + -8.07y + 0.33z <= 146.17
4.46x + 6.37y + 6.64z <= 804.1
-6.6x + -1.11y + 3.27z <= 664.05
-6.52x + 4.12y + 0.56z <= 143.02
5.76x + 7.78y + 0.97z <= 481.73
6.23x + -3.74y + -1.35z <= 434.47
-5.59x + 7.68y + 0.41z <= 715.99
-1.92x + -1.02y + -3.69z <= 466.08
1.77x + -9.26y + 3.23z <= 615.01
5.68x + -9.15y + 8.79z <= 284.6
1.08x + 1.68y + -0.89z <= 380.88
6.37x + 8.73y + -3.87z <= 935.42
5.25x + 8.14y + 6.95z <= 645.83
-7.53x + 5.88y + -8.16z <= 834.3
-6.81x + 8.29y + -1.2z <= 643.83
-8.73x + 2.33y + 3.99z <= 622.41
-4.37x + 3.65y + -1.69z <= 106.59
-0.88x + -7.15y + -4.95z <= 355.54
0.73x + -6.21y + 8.03z <= 472.27
9.37x + 5.5y + 7.92z <= 323.44
-2.87x + -4.63y + 0.34z <= 952.16
-9.05x + 9.1y + 2.61z <= 466.85
5.17x + -2.76y + 9.69z <= 189.94
-9.84x + -2.3y + -9.66z <= 557.83
9.56x + -3.54y + 7.33z <= 239.23
-8.46x + -1.62y + -6.8z <= 239.52
-8.52x + 0.58y + -0.85z <= 420.79
0.7x + 2.51y + 1.84z <= 672.87
-6.87x + -4.14y + 7.03z <= 338.3
1.92x + 5.89y + -2.9z <= 494.38
7.83x + -2.13y + -0.58z <= 776.04
2.19x + 4.46y + -9.21z <= 887.38
9.28x + 4.45y + -6.57z <= 241.99
-4.59x + -2.21y + -0.76z <= 592.81
-5.69x + -5.18y + -5.89z <= 858.24
-7.82x + -6.07y + 6.37z <= 813.76
-2.93x + 7.08y + 8.88z <= 106.02
-9.34x + 0.35y + -5.82z <= 685.58
6.44x + -5.76y + 2.11z <= 991.8
1.21x + -4.72y + -7.65z <= 766.96
1.09x + 3.83y + 0.8z <= 718.54
0.95x + -8.51y + 8.45z <= 507.12
-7.77x + -9.78y + 1.13z <= 732.2
-9.7x + 0.97y + -2.77z <= 837.51
-4.7x + 5.19y + 5.55z <= 632.84
4.11x + 2.62y + -7.66z <= 428.71
-4.36x + 7.39y + -0.99z <= 735.66
3.69x + 0.59y + 0.48z <= 273.46
-3.52x + 6.15y + -7.91z <= 548.39
5.0x + 5.58y + -0.14z <= 454.33
-9.59x + -5.51y + -8.31z <= 418.11
7.34x + -9.27y + -2.33z <= 578.55
-7.36x + 5.84y + -6.44z <= 531.01
-5.52x + 7.37y + 3.91z <= 801.69
-2.02x + 1.08y + -1.45z <= 593.47
-3.45x + -0.61y + -2.11z <= 700.8
1.32x + 2.05y + -6.75z <= 552.91
2.64x + -5.14y + 7.96z <= 471.35
-5.25x + -5.76y + 3.37z <= 330.37
-1.0x + 4.78y + 2.49z <= 724.98
2.96x + 7.64y + -2.75z <= 788.98
-1.27x + -4.67y + -1.7z <= 766.5
-9.45x + -4.53y + 0.53z <= 652.87
-0.47x + -9.92y + 1.79z <= 581.24
-0.67x + -9.2y + -4.86z <= 771.55
-7.67x + 8.98y + -5.49z <= 990.33
7.45x + 7.0y + -5.43z <= 604.66
-3.37x + -4.46y + 2.66z <= 766.14
6.38x + 1.58y + 4.01z <= 616.95
3.59x + -9.84y + -5.55z <= 731.77
0.67x + -0.18y + 4.12z <= 925.16
3.97x + -9.87y + 8.73z <= 389.36
3.0x + 1.78y + 9.77z <= 369.14
-9.36x + 5.85y + -0.89z <= 665.58
-1.66x + 2.36y + -5.48z <= 116.52
-6.1x + -7.14y + 9.03z <= 873.52
2.92x + -8.3y + 6.62z <= 660.44
-9.84x + -5.67y + -2.3z <= 637.91
4.24x + -0.71y + -8.72z <= 297.63
-0.65x + -6.31y + 2.07z <= 683.28
8.52x + 6.05y + -7.56z <= 349.26
2.37x + -8.01y + -1.84z <= 429.48
9.75x + 4.47y + 2.28z <= 829.67
-2.04x + -4.21y + 7.02z <= 171.72
2.06x + -8.33y + 3.0z <= 315.28
8.35x + 0.69y + 2.65z <= 339.78
1.57x + -9.9y + -7.68z <= 781.87
-6.06x + -8.66y + -7.99z <= 247.27
2.67x + 1.42y + -8.0z <= 133.13
4.74x + 7.84y + -5.13z <= 473.99
-8.26x + -6.09y + 5.66z <= 949.14
-6.27x + -6.86y + 9.24z <= 666.68
-5.23x + 9.72y + 0.92z <= 380.29
2.43x + 5.52y + 0.37z <= 580.5
-7.52x + 9.6y + 6.8z <= 828.39
-9.16x + 2.08y + -1.69z <= 568.51
-9.48x + -9.12y + -2.79z <= 572.88
-2.11x + 0.68y + -7.84z <= 262.32
-7.27x + -3.55y + -4.24z <= 837.71
-9.89x + -7.59y + -7.92z <= 592.89
-3.27x + -9.88y + 8.89z <= 224.03
2.32x + -5.88y + 4.88z <= 377.04
0.8x + -4.38y + -1.8z <= 997.09
-7.18x + -6.5y + 1.98z <= 798.61
-6.13x + -0.56y + -5.89z <= 936.66
-5.0x + -7.79y + 7.27z <= 419.6
-8.23x + -3.04y + 8.66z <= 274.56
8.95x + -0.08y + -0.07z <= 229.7
2.76x + -3.96y + -3.81z <= 712.1
-4.36x + -6.38y + 3.39z <= 818.2
-5.05x + 4.08y + 7.41z <= 388.37
4.64x + 5.1y + -0.2z <= 327.23
-4.88x + -2.13y + -4.57z <= 506.0
-8.95x + -3.23y + -8.73z <= 667.29
3.91x + 3.16y + 6.62z <= 936.12
-9.95x + 0.85y + -4.73z <= 214.0
-9.15x + -0.03y + -2.48z <= 471.8
-1.19x + -2.37y + 3.42z <= 248.43
-9.19x + 4.06y + 0.81z <= 103.42
9.97x + -8.82y + 6.06z <= 699.2
9.53x + -6.29y + 6.08z <= 816.91
9.95x + -9.16y + -9.03z <= 748.75
7.82x + 0.94y + -1.38z <= 488.77
-2.67x + 5.13y + 1.22z <= 321.37
-1.9x + -0.34y + -7.06z <= 712.61
-9.49x + -8.87y + -9.4z <= 363.28
7.86x + -6.3y + -0.4z <= 685.83
2.76x + -6.32y + -6.77z <= 971.04
2.32x + 8.24y + -2.31z <= 794.25
-8.01x + 3.4y + 9.85z <= 239.35
3.91x + 9.55y + -4.35z <= 914.38
3.78x + 3.6y + 9.72z <= 365.37
9.26x + -1.72y + 4.91z <= 822.28
4.48x + 7.69y + -1.45z <= 288.73
-5.2x + -7.95y + 7.7z <= 557.09
4.73x + -3.46y + -9.91z <= 103.81
-3.49x + 2.4y + -7.74z <= 106.68
-0.32x + -4.85y + 1.34z <= 990.22
-9.29x + -9.98y + -1.56z <= 107.97
-5.31x + -8.8y + 4.51z <= 364.72
4.06x + 6.68y + -1.79z <= 762.2
3.13x + -5.92y + -7.98z <= 984.94
-3.59x + -7.93y + 3.71z <= 728.98
-8.31x + 6.93y + -7.59z <= 457.42
6.23x + 6.52y + -6.84z <= 127.06
-7.61x + 1.4y + -9.37z <= 194.4
2.45x + -5.97y + 3.94z <= 564.09
0.38x + 6.03y + -0.25z <= 169.47
-8.91x + -2.49y + -1.83z <= 343.55
-4.05x + 6.71y + 1.19z <= 985.4
0.71x + -3.76y + -9.4z <= 129.09
4.35x + -0.32y + 3.16z <= 255.97
1.4x + -7.75y + -5.9z <= 327.52
6.99x + 0.55y + -7.28z <= 604.23
-5.15x + 9.28y + 6.0z <= 259.27
2.98x + 8.55y + -1.75z <= 978.5
-9.73x + -9.97y + 3.36z <= 188.65
9.33x + -5.62y + -4.56z <= 274.53
-8.88x + 8.64y + -0.79z <= 792.93
-0.74x + 8.24y + 4.19z <= 366.47
1.0x + 4.34y + -1.13z <= 754.02
-6.27x + -2.43y + 6.53z <= 346.32
-0.33x + 2.96y + 3.77z <= 245.28
-0.71x + -8.76y + -6.05z <= 595.5
5.73x + -1.15y + 3.24z <= 885.03
-1.55x + -9.43y + 7.03z <= 558.87
-6.07x + -3.87y + -0.31z <= 335.54
-4.32x + -4.19y + -9.15z <= 484.03
-8.46x + 9.31y + 6.73z <= 736.21
-1.34x + 0.19y + 5.87z <= 823.14
3.57x + 0.73y + 9.99z <= 247.05
-9.77x + 4.94y + -1.48z <= 575.42
-9.27x + -0.67y + -4.65z <= 109.74
-3.93x + 0.23y + -0.33z <= 373.78
0.11x + 1.03y + -0.47z <= 824.32
-2.73x + -8.75y + 6.09z <= 498.37
-6.06x + -3.46y + 5.84z <= 858.37
-8.96x + -7.2y + -7.54z <= 510.72
7.77x + -6.4y + 5.29z <= 811.72
-6.31x + -7.32y + 7.83z <= 181.7
-8.09x + -6.12y + -2.36z <= 501.87
-9.03x + -6.07y + 2.94z <= 928.39
-0.82x + 2.29y + -7.33z <= 424.92
-6.08x + -3.38y + -3.74z <= 905.89
-0.07x + -8.65y + -9.5z <= 585.99
-3.72x + 1.59y + 2.03z <= 266.21
7.22x + -2.32y + -6.26z <= 685.01
-8.09x + 7.36y + 9.71z <= 342.27
-3.94x + 0.04y + -3.45z <= 427.15
3.0x + -5.19y + 6.56z <= 266.27
1.74x + -4.8y + -7.55z <= 920.61
6.11x + 8.72y + 4.65z <= 513.89
-1.06x + -8.67y + 9.94z <= 206.43
-5.63x + -1.63y + -5.64z <= 785.16
-2.43x + 3.83y + 8.0z <= 347.49
3.2x + 4.13y + 0.38z <= 742.37
-4.7x + 4.28y + -8.06z <= 439.59
8.82x + -9.19y + -9.23z <= 692.45
-2.67x + 4.36y + 2.26z <= 144.6
-0.04x + 5.44y + -8.68z <= 635.74
0.15x + 0.31y + -0.29z <= 452.37
9.1x + -1.96y + 7.33z <= 883.44
7.18x + -9.45y + -8.77z <= 662.48
1.5x + -1.12y + -1.54z <= 225.78
-6.25x + -5.37y + 6.71z <= 289.13
-3.73x + -8.42y + -5.34z <= 103.91
-9.67x + -8.0y + -2.92z <= 399.67
6.51x + -5.73y + 3.88z <= 392.37
