max 7.17x + -0.93y + -4.52z
-9.13x + -4.58y + 0.6z <= 919.83
2.83x + -3.9y + 6.83z <= 583.11
1.55x + -0.17y + -9.32z <= 438.7
-2.22x + 1.65y + 5.09z <= 186.75
-6.03x + -5.88y + 2.14z <= 731.16
-0.41x + 4.37y + -2.27z <= 630.34
4.21x + -1.93y + -0.03z <= 483.3
6.27x + -5.04y + -8.64z <= 333.43
-3.07x + 6.39y + 6.12z <= 932.0
-0.56x + 1.86y + -1.48z <= 377.91
3.65x + -6.13y + 7.39z <= 634.54
-4.57x + 2.46y + -8.55z <= 619.74
-3.81x + 1.11y + 1.59z <= 472.65
6.72x + -5.4y + 2.3z <= 723.37
4.34x + -0.38y + -4.44z <= 225.03
-5.82x + -0.58y + -5.64z <= 634.18
-1.98x + -3.07y + -2.48z <= 959.34
0.46x + 1.37y + -5.28z <= 227.17
0.76x + 9.68y + 0.47z <= 807.09
6.99x + 8.6y + -4.98z <= 747.63
5.62x + -1.38y + 8.37z <= 804.24
8.46x + -9.64y + 3.41z <= 197.56
-5.07x + -9.75y + -1.46z <= 540.07
2.57x + 1.34y + -1.74z <= 270.38
-0.01x + -6.88y + -4.56z <= 965.75
1.55x + -7.22y + 1.35z <= 679.82
5.88x + 1.07y + -8.69z <= 467.83
4.92x + 2.3y + 6.56z <= 133.13
8.5x + -1.95y + 8.22z <= 614.07
3.4x + -6.49y + -9.21z <= 667.31
-6.52x + -0.99y + -2.57z <= 456.52
4.9x + 3.19y + 5.42z <= 783.14
-0.44x + -8.36y + -3.36z <= 269.97
-1.33x + 6.91y + 2.48z <= 533.23
8.56x + 3.62y + -7.19z <= 547.28
-1.0x + -6.4y + 5.99z <= 296.57
-9.56x + -5.04y + -6.22z <= 989.55
-9.45x + -7.68y + 7.51z <= 894.66
9.47x + -2.87y + -1.81z <= 595.97
7.12x + 2.71y + 8.43z <= 678.54
7.88x + -7.0y + 7.8z <= 185.3
3.75x + -2.41y + -9.45z <= 668.92
3.95x + -2.13y + -7.19z <= 342.23
4.8x + 7.56y + 0.84z <= 348.34
-8.57x + -6.5y + -8.87z <= 327.54
9.51x + 2.24y + -0.53z <= 434.62
-4.77x + -4.78y + -2.17z <= 873.04
6.93x + 3.6y + -1.47z <= 853.06
5.03x + -9.58y + -1.79z <= 979.39
6.39x + 5.63y + -7.88z <= 570.32
3.3x + 7.07y + 1.52z <= 360.41
0.12x + -8.67y + 5.27z <= 610.75
9.05x + -7.03y + 7.84z <= 653.34
5.22x + -2.85y + 7.72z <= 936.74
5.79x + 5.85y + -7.3z <= 613.6
5.65x + 1.31y + 6.15z <= 664.66
7.39x + 7.91y + -5.89z <= 510.33
4.45x + 0.6y + -4.78z <= 173.45
3.12x + -7.74y + 6.5z <= 664.33
-3.47x + 1.4y + -8.5z <= 272.65
-8.41x + 3.3y + -2.86z <= 648.49
-3.53x + -9.6y + 1.49z <= 230.19
0.99x + 0.7y + -1.79z <= 930.66
-9.7x + 3.26y + 0.39z <= 901.56
2.54x + -6.48y + 5.3z <= 207.54
7.02x + -9.98y + 3.1z <= 196.25
-4.33x + -8.05y + 2.53z <= 635.04
-4.44x + 2.85y + 7.73z <= 973.94
9.65x + 5.41y + 5.65z <= 155.45
-8.78x + 8.64y + -1.67z <= 133.86
-8.56x + -4.07y + 2.62z <= 970.67
-4.14x + -8.06y + 2.46z <= 216.81
1.1x + -5.58y + -5.71z <= 672.62
-2.86x + -9.53y + -4.42z <= 122.39
-2.76x + 2.91y + 6.99z <= 387.53
-8.6x + 7.27y + 5.97z <= 870.39
6.46x + 6.76y + 2.17z <= 235.59
-9.58x + 6.94y + 9.53z <= 284.21
-0.4x + -3.73y + -7.57z <= 539.28
-3.09x + -6.14y + -0.08z <= 679.54
4.1x + -4.18y + 4.19z <= 204.83
-6.0x + -3.32y + 6.45z <= 238.45
0.72x + 6.94y + -1.7z <= 812.01
-1.44x + -0.88y + -1.73z <= 332.06
6.61x + -4.03y + -1.86z <= 353.12
-2.71x + -3.42y + 6.22z <= 468.96
4.95x + 8.71y + -9.95z <= 668.17
1.66x + -5.51y + -5.09z <= 511.06
5.42x + 3.2y + 6.05z <= 172.8
-3.06x + -1.26y + -2.24z <= 447.1
-4.94x + 2.04y + -5.33z <= 426.62
-0.43x + 6.72y + -1.9z <= 469.83
-4.99x + 7.47y + -7.99z <= 532.63
4.68x + 7.24y + 7.46z <= 737.79
-6.34x + -7.78y + 8.65z <= 985.84
-4.78x + 5.52y + -7.71z <= 306.27
-8.9x + 7.52y + -8.54z <= 528.5
-2.94x + -3.96y + 8.79z <= 852.8
9.62x + 5.08y + 7.3z <= 341.1
2.13x + 7.39y + -5.92z <= 790.92
3.24x + -6.68y + -1.23z <= 862.37
-8.52x + 0.52y + -6.06z <= 265.17
-7.28x + 1.73y + -4.45z <= 909.87
4.32x + -0.6y + -0.39z <= 793.74
-5.59x + -8.16y + -0.94z <= 293.48
-5.55x + -7.93y + 9.98z <= 967.83
8.2x + 7.46y + -6.87z <= 943.87
5.02x + 8.54y + 5.24z <= 462.63
4.94x + -7.68y + 2.48z <= 162.63
-0.92x + 3.64y + 0.95z <= 271.9
2.37x + 1.14y + -1.82z <= 692.36
-3.74x + 5.45y + -0.38z <= 898.03
1.34x + -0.3y + -8.56z <= 219.96
6.36x + -9.87y + 4.98z <= 727.4
2.82x + -4.52y + 5.56z <= 932.59
0.56x + -8.73y + 4.71z <= 782.8
5.37x + -4.07y + 2.2z <= 399.7
-1.67x + 9.21y + 4.45z <= 751.74
-4.18x + 1.81y + -1.49z <= 386.96
-0.22x + 5.19y + -0.94z <= 819.68
-5.99x + -5.42y + -0.69z <= 545.66
-0.24x + -5.74y + 6.32z <= 221.24
-0.39x + -1.3y + 1.3z <= 578.08
-0.39x + -0.31y + 5.76z <= 193.96
7.49x + -6.64y + 5.24z <= 319.43
-0.95x + 2.92y + 9.9z <= 653.39
-4.06x + 6.45y + -6.11z <= 770.04
9.17x + -1.65y + -7.21z <= 453.62
3.62x + 7.2y + 8.44z <= 281.4
2.61x + -0.72y + 3.57z <= 413.5
-9.77x + -3.96y + -4.43z <= 933.82
1.93x + 8.96y + 6.27z <= 477.33
0.27x + 1.71y + -2.13z <= 474.12
9.79x + 7.21y + -7.23z <= 391.91
5.48x + 3.42y + 7.91z <= 692.59
-1.58x + -6.14y + 1.29z <= 573.44
-6.26x + 9.4y + -3.52z <= 220.56
-8.44x + 0.98y + 5.01z <= 911.68
6.78x + -8.18y + -7.16z <= 613.56
-2.54x + 9.26y + 5.34z <= 381.73
-6.56x + -8.65y + -4.73z <= 749.46
-9.87x + -2.83y + -3.44z <= 592.64
0.16x + -7.47y + -3.07z <= 362.75
3.48x + 1.12y + -4.51z <= 723.44
3.2x + 7.73y + 7.46z <= 769.22
1.45x + 8.32y + -0.64z <= 965.97
-2.14x + -5.57y + -9.33z <= 269.65
5.2x + 9.61y + -5.4z <= 943.88
2.3x + -8.13y + 9.34z <= 576.58
-2.06x + 4.4y + -2.95z <= 333.65
-8.18x + -9.61y + 4.08z <= 656.1
-4.32x + 5.34y + -0.47z <= 759.27
9.98x + 7.27y + 5.63z <= 675.7
-1.35x + -8.48y + -7.15z <= 917.85
-3.99x + 9.8y + -4.6z <= 779.29
-7.26x + 2.05y + 0.68z <= 913.37
9.22x + 1.95y + -6.05z <= 944.87
2.03x + -7.7y + 6.4z <= 600.12
-4.76x + -0.91y + 2.38z <= 518.18
6.61x + -6.99y + -5.45z <= 488.68
-3.01x + -7.02y + -9.17z <= 294.13
3.36x + -8.53y + 8.8z <= 276.84
-2.17x + 7.52y + 7.67z <= 753.98
-0.62x + 6.8y + 4.86z <= 907.76
5.01x + 9.9y + -1.6z <= 936.64
-9.84x + 4.26y + -9.66z <= 514.06
-5.45x + -3.77y + -3.45z <= 690.0
2.53x + 7.79y + -8.65z <= 360.87
-8.76x + 7.87y + -6.91z <= 111.44
3.08x + -7.31y + 2.6z <= 928.14
-5.5x + 8.43y + -9.24z <= 957.95
-9.88x + 3.16y + -2.06z <= 375.31
8.48x + 4.98y + 5.79z <= 897.78
3.54x + -1.79y + -7.73z <= 621.31
3.23x + -9.13y + -0.05z <= 357.76
-3.88x + -2.42y + 8.98z <= 525.28
7.99x + 2.34y + 7.8z <= 358.07
-3.23x + 0.31y + -5.16z <= 382.48
-3.37x + 4.57y + -0.96z <= 536.35
-4.55x + -4.98y + 2.67z <= 141.15
7.55x + 2.16y + -9.87z <= 949.78
-0.86x + 6.45y + 6.25z <= 620.25
9.32x + -5.39y + 2.06z <= 532.05
6.2x + -3.65y + 6.95z <= 685.8
2.15x + 8.05y + -4.67z <= 221.01
-2.99x + -6.24y + 9.64z <= 475.32
-6.22x + -1.87y + -0.7z <= 980.1
6.23x + -8.73y + -0.57z <= 884.49
-2.15x + 0.32y + 6.95z <= 211.38
-7.88x + -8.28y + 4.09z <= 508.84
-0.61x + -6.42y + -4.16z <= 192.95
-3.0x + -0.98y + -4.36z <= 101.53
4.85x + -4.41y + 1.01z <= 908.99
2.98x + 4.1y + -1.3z <= 127.88
-7.84x + -4.98y + -9.73z <= 367.75
-6.66x + 7.55y + 8.05z <= 517.97
-4.76x + -9.79y + -3.76z <= 967.55
5.32x + -8.78y + -7.23z <= 281.89
6.93x + 6.32y + 1.76z <= 381.41
7.39x + 6.01y + 0.65z <= 163.43
8.39x + 1.02y + 9.42z <= 775.31
9.71x + -1.76y + -4.77z <= 644.0
4.65x + 4.41y + 3.43z <= 414.9
9.73x + -2.73y + -2.8z <= 208.64
4.76x + -0.96y + -5.21z <= 203.31
1.38x + -4.07y + -3.99z <= 748.1
4.93x + 6.41y + 4.04z <= 715.6
0.16x + -7.67y + 9.52z <= 168.8
-7.59x + -3.21y + -2.57z <= 326.18
7.16x + 4.51y + -8.48z <= 211.0
-9.99x + 7.42y + -9.29z <= 425.22
5.87x + -6.16y + -2.03z <= 912.38
-0.74x + -9.86y + 4.19z <= 146.58
-6.64x + -0.46y + 4.53z <= 874.77
5.57x + -0.53y + -4.67z <= 583.4
-4.32x + 5.05y + 4.19z <= 771.07
-0.87x + -4.64y + 8.33z <= 885.26
1.82x + -4.62y + 8.36z <= 628.27
0.15x + 5.44y + 5.13z <= 958.61
-3.84x + -9.77y + 6.74z <= 162.82
8.28x + -3.58y + -6.34z <= 663.79
4.85x + 5.55y + -6.15z <= 144.87
1.29x + 1.45y + 9.95z <= 605.61
2.19x + 1.34y + 2.51z <= 762.54
-8.56x + 6.31y + -4.41z <= 319.55
-0.62x + -7.82y + 5.7z <= 121.36
3.76x + -5.22y + 1.79z <= 677.63
5.38x + 2.28y + -0.75z <= 722.64
0.22x + -5.16y + -8.81z <= 926.05
6.87x + -2.52y + 7.06z <= 217.17
1.38x + 7.4y + -2.38z <= 483.28
-8.44x + -3.73y + -0.96z <= 266.98
3.58x + 5.81y + -3.09z <= 253.38
-4.42x + 0.83y + -6.45z <= 814.5
-6.46x + 8.5y + -4.31z <= 831.04
-2.75x + 0.16y + 2.12z <= 563.51
7.27x + -2.21y + 8.54z <= 419.65
8.46x + 8.19y + 8.43z <= 236.02
-7.67x + 3.43y + -4.74z <= 996.21
5.78x + 5.05y + 5.32z <= 759.24
8.82x + -1.05y + -0.28z <= 270.34
-9.13x + 4.02y + -4.66z <= 252.8
8.44x + 6.74y + 5.58z <= 197.69
8.7x + 9.8y + -3.49z <= 736.96
-2.49x + 7.22y + 4.39z <= 738.5
2.43x + 9.63y + 6.03z <= 677.9
6.37x + -4.37y + -7.32z <= 694.3
8.76x + -7.97y + -8.31z <= 336.52
-4.48x + -8.63y + -7.46z <= 868.18
4.63x + 7.59y + 5.54z <= 137.36
-9.26x + 6.45y + 7.49z <= 946.58
-1.17x + 8.19y + 2.79z <= 968.5
1.48x + 4.54y + 8.71z <= 406.41
-6.26x + -0.58y + 0.15z <= 564.41
-6.26x + -3.58y + -7.18z <= 604.27
-2.74x + 5.99y + 2.56z <= 943.94
8.91x + -7.69y + 8.62z <= 991.72
-7.18x + -6.98y + 3.13z <= 910.52
1.64x + -5.17y + -3.29z <= 298.19
1.9x + -5.32y + -1.2z <= 837.62
9.71x + -9.94y + 1.29z <= 954.36
1.21x + 3.84y + -8.94z <= 500.07
-8.0x + -1.03y + -7.31z <= 562.63
-7.51x + -7.77y + -0.95z <= 121.15
4.56x + -7.06y + -3.22z <= 158.55
-3.33x + -2.95y + 1.7z <= 544.89
-0.44x + -3.56y + 9.07z <= 284.7
-1.54x + 4.82y + 8.2z <= 492.24
3.99x + 0.44y + -5.33z <= 195.1
1.56x + -7.86y + -9.2z <= 919.06
-1.68x + -9.58y + -4.36z <= 946.4
8.1x + -8.33y + -6.35z <= 252.58
6.08x + 9.22y + 5.25z <= 199.66
1.05x + 0.51y + -5.0z <= 990.51
6.27x + -5.04y + 7.59z <= 558.28
-7.23x + -6.1y + 5.74z <= 668.93
4.47x + -4.34y + -5.14z <= 172.04
2.84x + 6.6y + -1.34z <= 908.11
-3.83x + -9.03y + -4.42z <= 725.51
8.22x + -6.49y + 9.75z <= 828.32
-7.83x + 7.11y + 7.11z <= 417.96
4.17x + -7.01y + -8.56z <= 983.34
7.13x + -8.01y + 4.13z <= 347.07
9.16x + -6.01y + 7.74z <= 216.84
8.35x + -4.34y + -5.28z <= 322.2
3.13x + -8.69y + -6.39z <= 794.85
9.46x + 5.86y + 4.76z <= 944.41
-6.57x + -8.95y + -1.91z <= 355.16
-8.96x + -4.56y + 2.82z <= 512.63
1.15x + 1.06y + -1.63z <= 778.59
1.38x + 1.71y + 2.51z <= 934.3
-1.91x + -7.46y + 9.21z <= 707.63
-4.64x + -3.19y + -3.79z <= 971.46
6.56x + 2.45y + 8.15z <= 671.97
7.73x + 0.13y + 5.03z <= 688.71
-1.75x + -4.76y + -6.05z <= 322.64
4.51x + -1.39y + -3.88z <= 765.48
-2.11x + 3.03y + -0.92z <= 344.54
9.17x + -7.4y + 3.25z <= 575.71
4.72x + 8.13y + -2.68z <= 268.08
6.2x + 7.01y + -1.68z <= 288.48
8.91x + 8.43y + 8.72z <= 508.4
2.79x + 6.22y + -9.06z <= 955.5
4.6x + 8.82y + -1.03z <= 475.82
1.97x + -5.37y + 2.51z <= 188.39
7.8x + 6.32y + -4.75z <= 824.46
-0.76x + 4.35y + 5.22z <= 190.39
1.0x + 4.42y + 0.29z <= 998.43
-9.09x + 1.08y + -8.78z <= 395.83
9.88x + 3.76y + 9.55z <= 874.6
6.76x + 9.98y + -4.49z <= 144.09
7.98x + -1.29y + 1.77z <= 311.86
0.81x + 6.09y + 3.93z <= 157.74
8.09x + 8.4y + -0.88z <= 281.48
-1.48x + -1.09y + -0.04z <= 753.82
-1.46x + -5.82y + 9.07z <= 339.47
-4.46x + -5.44y + -7.59z <= 305.43
-2.59x + -7.09y + -0.18z <= 985.61
2.71x + -5.85y + 6.21z <= 798.53
-7.89x + -2.61y + 9.78z <= 524.55
-4.38x + 8.5y + 5.36z <= 294.48
6.73x + -6.35y + 6.71z <= 700.77
0.45x + -4.83y + 3.28z <= 635.81
2.19x + -3.3y + 9.6z <= 605.24
6.85x + -3.18y + -4.17z <= 503.47
9.41x + 0.51y + -6.32z <= 286.22
1.94x + -4.5y + 3.82z <= 874.96
-8.41x + -1.11y + -6.09z <= 725.98
-2.22x + -8.66y + 4.51z <= 375.83
-6.59x + -4.61y + -5.56z <= 221.9
-7.5x + 7.6y + -4.73z <= 964.34
-6.63x + 0.2y + 8.94z <= 946.89
-8.81x + -6.45y + 7.4z <= 656.13
4.62x + -2.15y + 1.88z <= 881.42
7.26x + -6.39y + 1.74z <= 513.01
2.69x + -9.17y + -6.39z <= 816.42
-9.53x + 8.67y + 0.52z <= 192.97
-0.52x + -4.4y + 4.46z <= 647.9
-8.56x + -8.36y + -2.54z <= 586.25
-7.06x + -6.0y + 0.3z <= 598.0
8.16x + -0.14y + -8.26z <= 746.68
3.64x + -9.83y + -5.38z <= 313.1
8.89x + -0.36y + -3.08z <= 929.4
1.24x + -4.34y + 7.14z <= 495.78
-3.29x + 5.33y + 1.46z <= 806.28
-3.55x + -9.4y + -6.62z <= 446.74
-3.38x + 1.67y + 7.85z <= 400.58
2.28x + 8.87y + 1.89z <= 819.82
9.97x + -9.08y + -9.97z <= 333.61
-2.65x + -0.18y + 0.66z <= 577.99
4.03x + 4.39y + 8.45z <= 376.01
-7.97x + 5.4y + 2.0z <= 981.7
-8.48x + -1.47y + 5.59z <= 622.16
-8.54x + -9.85y + 6.98z <= 299.03
9.23x + 7.05y + 8.66z <= 318.91
5.62x + -1.8y + 3.5z <= 578.64
8.49x + -4.93y + -9.25z <= 446.39
-2.42x + 2.85y + 6.9z <= 884.95
6.39x + -4.6y + 5.58z <= 902.72
3.99x + -3.14y + 2.58z <= 117.69
7.09x + 1.71y + 4.24z <= 328.41
6.14x + 5.77y + 4.13z <= 490.47
2.73x + 2.9y + 1.13z <= 289.5
1.24x + 8.44y + -7.31z <= 978.38
4.05x + -0.59y + -1.09z <= 367.65
-3.83x + 5.01y + -7.91z <= 204.84
9.0x + -6.87y + -1.13z <= 947.1
1.01x + -7.2y + -1.13z <= 101.53
-5.69x + -9.63y + -2.82z <= 269.34
5.62x + 5.26y + -0.11z <= 335.07
-3.63x + -1.55y + -7.92z <= 297.64
3.52x + 4.18y + -6.09z <= 557.6
9.99x + 1.26y + 4.5z <= 785.71
4.18x + 2.16y + -5.0z <= 586.15
-9.89x + -6.58y + -8.14z <= 626.37
-0.97x + -0.89y + -8.42z <= 495.43
-9.62x + -0.71y + -7.36z <= 334.87
-3.38x + 8.41y + -0.09z <= 598.84
-4.14x + 4.57y + 4.6z <= 661.89
-4.97x + 2.1y + 3.24z <= 586.73
5.67x + -1.62y + 5.72z <= 121.82
3.84x + -9.04y + 4.14z <= 887.66
-7.3x + -1.29y + 3.57z <= 919.53
4.65x + -5.22y + 4.41z <= 512.13
6.08x + 9.58y + 2.76z <= 368.12
5.5x + -0.35y + 2.73z <= 660.77
-0.2x + 8.45y + 9.99z <= 323.35
6.07x + 8.8y + 7.42z <= 960.94
1.83x + -5.02y + -7.55z <= 835.68
-2.74x + 9.07y + 1.17z <= 503.26
-0.27x + 5.87y + -7.58z <= 966.72
-2.07x + -1.87y + 7.54z <= 595.19
6.11x + -6.29y + 0.49z <= 688.48
-4.36x + 0.31y + -0.08z <= 605.8
2.97x + 7.6y + -3.88z <= 563.84
2.17x + -3.47y + 3.97z <= 740.79
7.97x + 5.38y + 4.7z <= 922.54
8.67x + 3.24y + 3.42z <= 810.34
-6.51x + 0.33y + 2.35z <= 103.04
3.83x + 1.52y + -8.47z <= 269.12
5.22x + 5.12y + 5.5z <= 916.89
-8.69x + 7.29y + -6.11z <= 320.88
9.5x + -6.25y + 8.25z <= 463.72
6.06x + 2.65y + 6.23z <= 526.78
2.94x + -0.5y + 9.19z <= 202.12
-3.53x + 0.39y + -9.11z <= 793.86
-0.18x + 0.31y + -7.66z <= 659.82
4.86x + -3.49y + 1.6z <= 373.18
-7.33x + -3.37y + 8.3z <= 451.19
1.37x + -9.04y + -6.15z <= 294.98
-0.21x + -2.92y + 7.4z <= 803.96
3.21x + 8.51y + 3.54z <= 689.16
8.87x + -0.77y + -7.62z <= 424.14
-7.23x + 9.62y + -3.17z <= 379.52
7.75x + -3.57y + -3.73z <= 788.17
8.51x + 7.77y + -1.51z <= 759.31
6.59x + -6.54y + 1.48z <= 102.84
3.86x + 9.2y + 2.09z <= 157.11
9.69x + -7.68y + 0.69z <= 150.76
-4.18x + 3.67y + 0.74z <= 749.48
7.21x + 9.71y + 2.39z <= 996.48
4.04x + 7.2y + -1.83z <= 460.91
6.36x + 7.19y + 3.83z <= 754.7
3.45x + 9.12y + -8.15z <= 599.79
-8.8x + -0.06y + -9.86z <= 224.76
9.49x + -2.41y + -1.22z <= 777.51
-9.1x + 6.78y + -8.74z <= 860.52
-6.81x + -0.17y + 5.68z <= 782.88
0.04x + 0.18y + -4.99z <= 919.62
9.34x + 0.27y + 3.87z <= 486.16
-8.37x + -5.32y + 1.99z <= 780.04
-0.15x + -3.13y + -8.93z <= 834.7
-1.17x + 6.53y + 3.68z <= 707.42
6.98x + -9.55y + -3.69z <= 661.3
-1.8x + -9.05y + 9.03z <= 768.24
-0.52x + -6.03y + -6.18z <= 898.54
2.95x + 4.48y + -0.48z <= 298.35
-6.25x + 5.45y + 3.41z <= 422.61
-9.01x + 1.6y + -4.59z <= 422.58
6.72x + 0.1y + -7.57z <= 224.46
-8.32x + 9.53y + 7.53z <= 881.89
8.54x + -4.22y + 6.63z <= 655.07
3.12x + 8.89y + 3.46z <= 872.27
6.25x + -8.04y + -8.54z <= 534.83
7.79x + -0.76y + 1.57z <= 396.01
5.3x + 3.3y + -1.97z <= 814.16
5.93x + -5.92y + 0.22z <= 386.26
-5.61x + -0.17y + 4.47z <= 725.75
6.07x + -6.52y + 1.23z <= 580.93
-1.6x + 0.19y + 4.92z <= 664.91
5.27x + 6.62y + 4.31z <= 214.89
4.37x + 1.07y + 8.32z <= 163.3
-0.41x + 1.46y + 0.66z <= 660.86
-6.31x + -6.16y + -2.29z <= 988.63
-0.94x + -8.16y + -2.44z <= 378.21
-6.44x + -8.74y + 4.85z <= 299.02
3.1x + -5.15y + -3.33z <= 558.1
8.4x + 1.43y + 5.2z <= 687.56
5.37x + -0.5y + -2.0z <= 565.92
3.96x + 4.59y + 6.07z <= 407.6
-4.85x + 6.89y + 5.39z <= 191.51
-0.25x + 6.18y + 9.43z <= 430.97
-6.35x + -6.84y + -9.44z <= 869.03
7.18x + 4.41y + 4.12z <= 611.7
-0.75x + -1.42y + 0.36z <= 545.31
-9.49x + -6.24y + -9.17z <= 452.7
2.07x + -2.37y + 9.51z <= 594.04
-5.96x + 8.11y + 8.92z <= 820.12
-9.1x + 9.32y + 4.62z <= 839.5
-1.51x + -3.87y + 4.84z <= 185.71
4.53x + -9.76y + 2.03z <= 196.53
-7.53x + 9.78y + -1.04z <= 866.56
8.58x + 1.37y + 4.97z <= 463.63
-2.35x + 4.47y + 4.78z <= 322.05
-8.36x + -1.76y + 9.36z <= 593.94
7.12x + -1.29y + -0.41z <= 676.96
6.22x + 2.93y + 3.77z <= 439.69
-2.2x + 8.28y + -2.5z <= 448.36
-0.37x + -0.82y + -2.64z <= 464.47
8.35x + -5.75y + -8.05z <= 412.23
8.08x + -5.22y + -7.08z <= 272.44
-2.8x + 0.12y + -1.5z <= 245.42
1.21x + 2.92y + 7.39z <= 931.21
-5.16x + -1.73y + -2.21z <= 592.85
-4.66x + 5.97y + 8.59z <= 430.62
5.83x + -0.85y + -8.05z <= 872.16
-1.28x + 8.87y + -0.15z <= 362.85
-0.79x + -6.29y + -5.34z <= 660.23
-6.55x + 3.61y + 1.51z <= 834.86
6.62x + -6.89y + -6.46z <= 328.27
-3.27x + 3.04y + 0.43z <= 707.01
-5.67x + -1.16y + -8.92z <= 218.36
-2.23x + 6.18y + 4.21z <= 783.56
4.68x + -0.37y + 7.31z <= 545.11
-5.89x + -3.42y + -3.32z <= 215.48
0.1x + 9.46y + 7.24z <= 663.36
4.37x + -0.71y + 7.56z <= 133.99
5.82x + -9.04y + 0.89z <= 208.73
-8.32x + -9.09y + -3.05z <= 288.27
-9.6x + -5.92y + -7.72z <= 293.5
4.62x + 5.86y + 1.8z <= 543.2
5.33x + -0.54y + 0.97z <= 258.58
-5.0x + 1.69y + 1.67z <= 605.13
2.23x + 7.65y + -6.57z <= 777.07
-1.9x + 8.17y + -0.26z <= 284.7
6.28x + -8.79y + 5.86z <= 941.86
8.52x + 8.27y + -2.45z <= 448.29
-7.6x + -6.33y + -6.7z <= 505.59
-1.28x + 0.34y + 0.79z <= 231.08
-5.36x + 4.46y + 5.96z <= 192.96
0.51x + -0.94y + -2.14z <= 131.0
5.19x + 1.86y + -2.1z <= 118.06
-2.87x + 4.35y + 6.85z <= 628.38
-7.23x + 7.0y + 7.06z <= 708.79
-3.96x + -9.57y + 1.79z <= 908.57
2.11x + -5.42y + -4.74z <= 823.45
4.44x + 6.24y + -8.72z <= 722.16
-1.79x + -5.62y + -0.06z <= 965.69
-3.09x + -5.07y + 7.56z <= 913.85
8.57x + -6.81y + 9.67z <= 118.04
5.77x + 0.47y + -3.88z <= 761.58
-6.57x + -5.49y + -3.9z <= 178.32
-0.75x + 8.51y + 2.87z <= 985.37
-7.59x + 5.05y + 0.5z <= 316.24
9.41x + -3.96y + 5.18z <= 858.42
-5.48x + 7.08y + -2.44z <= 703.01
7.69x + -1.14y + 0.1z <= 477.53
0.99x + 9.47y + 7.07z <= 619.36
9.86x + -9.37y + 9.56z <= 306.06
9.54x + 6.02y + -7.28z <= 546.74
-0.11x + -8.12y + -0.83z <= 480.33
5.17x + -8.61y + 2.62z <= 817.68
-1.89x + -5.15y + 1.16z <= 145.37
-4.8x + -6.13y + -3.17z <= 784.65
-3.91x + 8.35y + 4.15z <= 455.76
8.07x + 0.18y + 8.53z <= 670.06
-7.18x + -1.89y + -1.0z <= 152.97
9.84x + 6.06y + -5.83z <= 180.6
-0.03x + 7.09y + -6.26z <= 147.12
-6.42x + 0.71y + -0.62z <= 975.17
8.33x + 5.81y + -0.52z <= 928.63
-0.67x + -7.1y + -8.37z <= 575.75
8.23x + -2.37y + 3.1z <= 562.02
8.53x + -8.64y + -4.55z <= 820.72
-4.19x + 7.48y + 8.87z <= 722.24
-0.47x + -9.91y + -8.69z <= 543.58
-5.83x + -0.05y + -6.16z <= 523.11
-6.31x + -5.5y + -2.0z <= 371.15
-0.24x + -7.06y + 7.18z <= 769.11
