max -7.92x + -0.77y + -8.39z
-3.71x + -8.57y + -3.44z <= 792.4
-2.52x + 1.09y + -9.92z <= 749.27
-9.75x + 4.56y + 4.57z <= 721.49
5.08x + 6.4y + -5.4z <= 888.89
-7.91x + -4.64y + 6.21z <= 448.54
7.46x + -0.71y + 3.41z <= 510.4
0.63x + -0.94y + -3.37z <= 311.3
-3.42x + 8.57y + 1.62z <= 656.93
-9.22x + 3.4y + -8.78z <= 245.37
8.06x + -5.19y + -6.89z <= 141.69
-6.22x + 4.8y + -8.41z <= 902.74
-6.83x + 1.98y + 5.41z <= 982.86
7.52x + 1.44y + -8.09z <= 277.32
-1.08x + 2.38y + 6.74z <= 956.45
6.96x + -1.61y + -5.42z <= 917.33
2.08x + -5.28y + -0.16z <= 816.64
-7.67x + -0.29y + 4.28z <= 809.83
-9.45x + -2.2y + 9.37z <= 125.94
-0.32x + -3.89y + 8.89z <= 522.92
-2.67x + -2.42y + 2.79z <= 952.37
0.2x + 3.26y + -2.72z <= 802.83
4.22x + 9.94y + 8.96z <= 684.51
3.17x + -7.81y + 6.49z <= 258.14
2.25x + 6.77y + -2.39z <= 103.32
-9.86x + 3.88y + 4.94z <= 343.82
8.38x + -7.78y + 1.87z <= 171.57
-3.96x + 1.48y + 2.78z <= 638.58
-0.7x + 1.75y + -6.44z <= 518.58
-8.46x + -7.18y + 1.9z <= 648.7
-3.91x + -9.54y + -2.84z <= 880.5
-2.1x + -4.75y + 2.23z <= 395.46
-2.33x + -8.41y + 5.97z <= 714.98
-5.06x + -8.78y + 1.05z <= 896.75
-3.58x + -8.95y + -8.41z <= 129.38
-5.96x + 0.94y + -8.58z <= 480.03
8.58x + 7.31y + 1.46z <= 992.08
-1.2x + 6.77y + 7.51z <= 358.97
0.35x + 0.43y + -6.12z <= 164.18
5.15x + -4.44y + 0.66z <= 714.14
-9.81x + -2.77y + -5.71z <= 853.89
-0.64x + 3.62y + 0.16z <= 121.74
-4.73x + 1.36y + 9.49z <= 634.77
5.52x + 9.19y + 6.78z <= 716.14
4.19x + -6.91y + 3.61z <= 743.84
4.57x + 3.96y + 9.92z <= 888.69
-6.73x + 3.64y + -7.54z <= 864.73
9.57x + 3.73y + 0.41z <= 127.3
-9.61x + 1.47y + -1.4z <= 693.87
1.27x + 0.01y + 2.58z <= 517.34
9.78x + 8.93y + 4.19z <= 114.65
-4.6x + 7.78y + 5.29z <= 585.47
-9.04x + 0.99y + -6.04z <= 833.05
-2.33x + 5.95y + 1.38z <= 273.61
2.01x + -8.92y + -9.1z <= 531.68
-0.21x + 1.98y + 5.84z <= 266.25
-6.16x + 2.97y + 0.94z <= 663.42
4.04x + 4.52y + 1.82z <= 658.15
-1.66x + -4.34y + -9.32z <= 672.92
-9.85x + -4.96y + 6.82z <= 953.09
-3.76x + 7.43y + -9.46z <= 819.73
0.71x + 1.01y + -1.45z <= 954.71
8.98x + -0.81y + 2.37z <= 782.9
7.46x + 6.09y + -5.03z <= 443.22
-3.13x + 2.42y + -9.97z <= 393.25
8.91x + -8.38y + 1.76z <= 862.98
1.79x + 8.43y + -3.89z <= 652.0
-3.11x + 1.62y + -4.65z <= 502.68
3.59x + 7.5y + 6.61z <= 179.93
6.39x + 2.92y + -1.77z <= 269.33
6.5x + -6.46y + 9.91z <= 836.62
0.35x + 3.7y + -3.42z <= 147.09
-2.64x + 7.26y + 6.4z <= 996.86
9.39x + 5.23y + 6.87z <= 532.07
-1.65x + -7.66y + -4.98z <= 980.69
-5.69x + -1.42y + 2.87z <= 943.9
-4.07x + -6.32y + -7.4z <= 306.67
-4.76x + -4.97y + 1.39z <= 700.07
-7.11x + 1.21y + -1.34z <= 797.12
-7.25x + -0.53y + -0.55z <= 180.67
-3.44x + -5.36y + -3.51z <= 678.02
-2.25x + -5.6y + -4.82z <= 709.0
6.92x + 3.22y + 7.23z <= 517.93
3.38x + -0.79y + -7.82z <= 886.56
4.97x + -9.72y + 8.34z <= 571.78
-1.88x + 8.59y + -3.69z <= 321.83
-9.72x + 9.85y + -2.01z <= 589.85
-4.7x + -9.48y + -4.98z <= 882.64
-2.61x + -0.51y + -3.9z <= 386.24
-6.92x + -9.27y + -0.92z <= 567.76
-0.64x + -8.91y + 7.32z <= 252.48
8.82x + -5.36y + 4.13z <= 452.15
5.32x + 0.02y + -2.74z <= 476.41
-1.78x + -3.64y + 6.86z <= 735.88
7.63x + -9.39y + 3.88z <= 375.82
3.01x + 1.45y + -1.99z <= 970.66
4.76x + 3.29y + 5.33z <= 893.94
-4.97x + -3.05y + -6.08z <= 152.58
0.81x + 7.06y + 6.71z <= 248.28
6.73x + 0.31y + 4.25z <= 178.15
0.73x + 9.34y + -2.98z <= 260.7
4.69x + -1.25y + 3.42z <= 634.6
6.96x + 2.34y + -9.79z <= 240.2
8.03x + 6.7y + 5.21z <= 416.64
6.26x + 8.61y + 9.05z <= 956.92
-1.84x + -0.98y + -8.63z <= 375.83
2.8x + 3.82y + 9.63z <= 464.93
-3.0x + 9.62y + -2.13z <= 544.04
-5.5x + -2.31y + -5.83z <= 773.19
-3.96x + -9.79y + -0.16z <= 865.75
-6.44x + -0.48y + -8.82z <= 567.56
8.58x + -1.91y + -4.13z <= 543.95
9.51x + -0.86y + -2.73z <= 798.58
-0.4x + 3.28y + 0.84z <= 835.69
-8.1x + -3.16y + 4.44z <= 680.16
5.81x + 2.15y + 6.62z <= 384.68
-7.89x + -4.01y + 1.54z <= 438.26
6.74x + 9.17y + 4.15z <= 665.62
-0.89x + -2.23y + 2.67z <= 520.52
-6.36x + 0.31y + -1.44z <= 118.07
3.52x + -10.0y + 6.33z <= 860.11
3.77x + 5.04y + -9.8z <= 373.47
-5.35x + -0.44y + 9.36z <= 502.8
1.34x + -3.36y + -0.22z <= 315.63
4.46x + 3.4y + -7.87z <= 393.51
8.06x + 3.83y + -2.95z <= 637.57
-4.54x + 3.92y + 9.63z <= 815.49
0.69x + 7.92y + 3.01z <= 836.0
-2.95x + 6.54y + 7.29z <= 875.64
-9.89x + 8.6y + -6.31z <= 453.18
-3.98x + 0.02y + -1.5z <= 604.64
-2.84x + 0.15y + -6.97z <= 521.45
-8.45x + 5.07y + 9.85z <= 839.55
2.97x + 6.2y + -6.01z <= 507.03
-2.51x + 7.53y + 3.49z <= 101.02
5.22x + 6.52y + 4.09z <= 322.27
-1.38x + 2.0y + -8.44z <= 891.35
0.04x + -6.02y + 5.32z <= 631.97
-2.09x + 5.3y + -2.74z <= 733.78
-7.05x + -1.9y + -2.68z <= 966.88
-6.03x + 0.46y + 7.19z <= 518.73
8.67x + -7.06y + 6.89z <= 881.86
7.94x + 3.23y + -8.25z <= 985.87
5.04x + -5.21y + -3.71z <= 788.91
-3.91x + 1.83y + 5.4z <= 413.04
0.54x + -7.86y + -6.39z <= 285.89
-7.9x + 4.81y + 6.93z <= 994.12
3.01x + -9.0y + 4.73z <= 952.02
-7.24x + 4.57y + 0.55z <= 929.16
-1.32x + -8.71y + -1.46z <= 783.61
-1.18x + 9.43y + -5.38z <= 802.69
6.57x + 1.56y + -2.11z <= 435.39
9.71x + 3.86y + 0.07z <= 656.81
-2.67x + -2.54y + 4.46z <= 681.65
2.98x + 9.77y + 2.82z <= 609.15
7.51x + 8.13y + -9.29z <= 502.12
-5.07x + 7.97y + 5.19z <= 409.94
2.21x + -6.32y + 8.36z <= 485.9
-9.56x + 2.24y + -4.44z <= 753.38
-6.45x + -5.75y + -1.26z <= 223.77
5.46x + 5.75y + 6.83z <= 359.09
-0.15x + -6.6y + -0.18z <= 764.7
5.54x + -8.35y + -8.76z <= 626.35
2.18x + -2.28y + -8.7z <= 140.6
-7.69x + 9.31y + -1.63z <= 374.5
-9.75x + 4.52y + 9.88z <= 858.92
-9.06x + 7.02y + 9.34z <= 710.68
-9.22x + -8.04y + -5.86z <= 431.76
8.31x + -8.43y + -6.47z <= 250.48
8.3x + 7.37y + 3.61z <= 241.59
-8.03x + -5.62y + 1.91z <= 324.7
2.9x + -3.04y + -5.65z <= 283.0
4.3x + -4.69y + -3.53z <= 580.42
7.64x + 9.41y + -6.65z <= 889.19
0.63x + 7.62y + 6.15z <= 754.15
-9.69x + 2.12y + -7.53z <= 863.47
-3.37x + -7.19y + -2.68z <= 460.46
-1.01x + 1.08y + 4.94z <= 659.72
-1.71x + 6.21y + -7.17z <= 663.28
5.79x + -0.25y + -3.15z <= 344.18
7.27x + 3.97y + -6.37z <= 719.18
-6.96x + -6.4y + 8.98z <= 191.52
2.49x + -2.27y + -8.98z <= 255.62
-5.0x + -4.58y + -5.11z <= 985.8
9.9x + 6.94y + -8.09z <= 549.64
-2.59x + -3.24y + 2.69z <= 169.11
4.19x + 2.35y + 3.89z <= 236.08
4.55x + -7.24y + 6.94z <= 463.83
-9.49x + 0.46y + 4.92z <= 797.94
9.8x + 8.69y + -5.45z <= 194.31
9.6x + -6.95y + -8.07z <= 792.69
-0.36x + -8.12y + 1.95z <= 341.93
-6.1x + -7.04y + 7.28z <= 229.5
6.85x + 9.78y + -6.67z <= 643.7
2.39x + 0.32y + 9.08z <= 698.2
6.23x + -2.07y + 5.86z <= 913.0
7.97x + 4.6y + 1.05z <= 700.26
6.96x + 1.04y + 8.0z <= 701.64
-1.78x + 0.63y + -4.16z <= 967.87
-10.0x + -8.54y + -0.42z <= 871.12
8.01x + 2.72y + -5.68z <= 851.34
-2.04x + -8.01y + -9.31z <= 326.25
7.97x + 8.65y + 8.47z <= 702.64
4.71x + 5.07y + -6.31z <= 207.69
5.9x + 8.27y + -2.76z <= 800.81
-4.6x + 2.13y + 4.98z <= 801.09
4.38x + -7.23y + 2.62z <= 442.44
0.61x + -8.61y + -9.83z <= 921.85
3.24x + 3.78y + -6.67z <= 354.66
-0.3x + -1.15y + 3.15z <= 706.98
6.85x + -6.93y + 9.39z <= 433.92
9.16x + -5.81y + 5.93z <= 528.29
-3.77x + 2.15y + 5.57z <= 107.3
-2.76x + 7.08y + -8.03z <= 268.32
2.04x + 4.49y + -3.16z <= 387.85
0.62x + 5.91y + -5.45z <= 306.63
1.19x + -5.74y + -1.0z <= 393.64
-5.13x + -2.64y + 2.26z <= 330.53
8.91x + 9.98y + 3.11z <= 665.58
-2.57x + -5.41y + -1.47z <= 516.28
-0.25x + 4.19y + -6.46z <= 826.96
1.21x + -3.93y + -2.71z <= 282.51
-8.6x + -4.62y + -5.99z <= 313.45
4.61x + -9.24y + -6.72z <= 158.42
-7.16x + 6.31y + -6.92z <= 745.03
5.22x + 3.27y + 5.05z <= 113.17
4.22x + 9.3y + 4.1z <= 748.75
-6.14x + 5.24y + -9.41z <= 960.5
-9.19x + -9.52y + 7.6z <= 693.43
1.81x + 8.16y + 9.6z <= 784.12
0.68x + -8.0y + -3.97z <= 679.39
9.99x + -6.41y + 2.46z <= 792.84
-6.91x + 6.31y + 6.67z <= 786.75
-0.57x + -3.53y + 8.45z <= 514.59
-1.13x + -7.55y + 9.84z <= 945.5
3.04x + -4.5y + 0.47z <= 114.57
