max -6.2x + -9.19y + 2.76z
-2.25x + 8.85y + -2.18z <= 662.03
-4.97x + -9.71y + 2.67z <= 574.22
8.31x + 1.71y + 4.84z <= 420.24
-6.82x + -1.03y + 0.53z <= 698.96
-2.79x + 1.87y + 1.53z <= 816.61
0.93x + 1.36y + -5.12z <= 867.37
2.64x + -7.66y + 2.9z <= 414.22
-1.84x + -7.92y + 6.67z <= 868.76
4.07x + -4.69y + -6.62z <= 563.03
-1.42x + 1.95y + -8.4z <= 777.54
2.52x + -8.45y + -1.48z <= 396.51
-4.88x + -8.66y + -5.28z <= 786.89
8.03x + 4.73y + 9.41z <= 441.17
2.32x + -4.65y + -7.14z <= 734.24
1.04x + -9.4y + -7.16z <= 374.29
-5.09x + -6.6y + 6.38z <= 772.74
-6.9x + -6.92y + 3.12z <= 756.74
-1.54x + -0.86y + 8.34z <= 356.77
-3.14x + -4.85y + -5.44z <= 256.44
2.64x + -0.57y + 0.8z <= 228.2
-9.24x + -0.39y + 7.77z <= 987.02
-9.75x + -2.84y + 8.02z <= 328.1
-5.0x + -7.86y + 5.71z <= 204.29
7.47x + 9.06y + 0.89z <= 774.63
-6.54x + 5.18y + 4.25z <= 847.06
5.5x + -0.82y + -4.72z <= 144.16
7.37x + -2.23y + 4.83z <= 918.86
-6.34x + -1.66y + -4.14z <= 787.25
1.3x + -5.35y + -8.35z <= 951.25
-3.3x + -4.18y + 0.39z <= 638.61
-4.08x + 2.37y + -4.33z <= 140.2
-2.18x + -3.59y + -9.76z <= 895.61
-6.52x + -6.53y + -9.61z <= 801.58
4.01x + -5.5y + 9.52z <= 303.29
9.89x + 3.32y + 9.79z <= 543.56
9.77x + -9.08y + -0.05z <= 574.81
-5.31x + -0.24y + -6.16z <= 638.87
3.83x + -3.2y + -1.92z <= 534.02
-2.97x + -8.56y + 7.64z <= 464.55
-3.03x + 5.68y + -0.35z <= 502.93
5.8x + 2.01y + 9.84z <= 184.6
-6.4x + 8.16y + -6.79z <= 125.32
0.41x + -5.53y + 9.34z <= 786.25
-0.14x + -5.19y + -8.31z <= 877.26
-2.44x + 9.78y + 4.12z <= 266.32
-4.24x + 2.5y + 2.64z <= 544.34
-3.81x + -9.95y + -7.37z <= 465.04
3.09x + -7.17y + -1.96z <= 712.36
7.89x + 0.97y + 4.08z <= 321.96
4.24x + -3.6y + 3.61z <= 442.33
-6.13x + -7.32y + 7.71z <= 786.68
3.56x + -4.25y + -2.45z <= 831.31
-1.68x + 5.3y + -8.06z <= 246.04
6.72x + 3.86y + 7.51z <= 737.51
6.88x + -5.05y + 5.67z <= 172.06
-8.26x + -3.91y + -7.49z <= 589.63
2.6x + 1.54y + 7.72z <= 346.29
-3.2x + -8.48y + 6.71z <= 109.58
-8.92x + 0.26y + -9.0z <= 650.78
-9.01x + -1.4y + -8.72z <= 123.1
-6.42x + 2.02y + -2.14z <= 511.21
-8.02x + 4.12y + 9.97z <= 206.36
-6.91x + -2.87y + 7.98z <= 263.6
0.83x + -2.24y + -3.67z <= 580.88
7.23x + -9.96y + -0.77z <= 796.79
5.37x + -1.23y + -7.85z <= 976.63
4.7x + -0.56y + -5.43z <= 105.52
1.84x + 3.29y + -7.36z <= 599.02
-9.17x + -8.77y + 5.7z <= 551.74
-6.93x + 5.82y + 4.94z <= 460.4
7.7x + 7.8y + -2.55z <= 431.45
-8.87x + -7.25y + -5.63z <= 262.0
1.01x + -3.98y + -0.64z <= 871.73
-2.2x + -2.36y + -2.33z <= 707.34
-5.05x + -7.61y + -8.69z <= 467.09
9.6x + 0.09y + 6.99z <= 665.05
-5.38x + -2.51y + 6.52z <= 322.03
-1.04x + -0.57y + -4.88z <= 567.59
0.07x + -3.03y + -5.86z <= 690.8
-5.77x + -4.58y + 0.13z <= 637.28
-5.92x + 4.99y + -7.12z <= 298.33
-4.81x + 8.92y + 5.59z <= 721.42
8.82x + -8.7y + 5.73z <= 305.97
-6.02x + 9.42y + -2.67z <= 112.37
-3.44x + 7.94y + 8.77z <= 403.32
-1.19x + -9.48y + -2.52z <= 604.29
9.4x + -1.04y + -2.64z <= 362.57
-5.6x + -4.33y + -5.64z <= 724.45
-1.57x + -4.54y + 9.1z <= 191.78
-0.2x + -9.51y + -9.68z <= 175.42
-9.28x + 7.72y + -8.78z <= 753.54
-5.5x + -2.33y + 5.35z <= 724.62
6.24x + -9.84y + -3.03z <= 850.98
-2.36x + -4.52y + 8.33z <= 139.52
9.83x + 4.75y + 3.15z <= 343.79
-5.04x + 3.43y + 5.66z <= 636.08
8.59x + -0.4y + 6.33z <= 363.24
-4.22x + 7.37y + 6.85z <= 564.55
8.55x + -4.92y + -1.52z <= 380.85
4.91x + -5.96y + 4.59z <= 406.84
3.72x + -9.28y + 5.17z <= 267.21
3.15x + 0.57y + -1.07z <= 193.2
9.93x + -6.83y + 6.22z <= 159.85
-2.07x + -7.86y + 2.8z <= 204.32
4.13x + -3.41y + -3.6z <= 878.91
0.88x + 3.79y + -9.26z <= 665.59
-3.06x + 4.47y + -8.87z <= 926.01
0.25x + -0.17y + 9.29z <= 384.03
0.35x + 9.46y + -8.29z <= 620.52
-4.64x + 5.46y + 5.82z <= 184.03
-4.24x + -3.31y + 9.07z <= 945.1
-2.7x + -7.73y + 3.83z <= 441.54
-0.38x + -9.12y + -3.68z <= 558.59
0.46x + -5.34y + -2.55z <= 620.97
-0.05x + 9.95y + -4.03z <= 880.38
-2.74x + 2.71y + 0.66z <= 440.76
9.16x + -9.58y + 1.98z <= 687.22
2.18x + 6.96y + 4.73z <= 581.0
-2.25x + 7.16y + 4.01z <= 599.6
2.4x + 0.56y + 3.66z <= 836.28
-1.16x + 2.84y + -1.19z <= 542.64
0.45x + -6.42y + -6.11z <= 919.93
-9.92x + -5.56y + 6.47z <= 342.67
-4.96x + -2.15y + 5.98z <= 352.24
1.86x + -9.85y + -7.98z <= 390.45
-5.3x + -4.38y + -1.84z <= 427.27
8.19x + 4.1y + 7.46z <= 907.51
-7.24x + -8.46y + 4.1z <= 199.02
7.56x + -0.7y + -3.66z <= 176.68
-0.48x + -2.36y + -1.54z <= 507.8
1.44x + 0.83y + 8.81z <= 733.6
-1.46x + -2.19y + -9.9z <= 554.99
4.45x + -5.39y + -3.39z <= 426.97
-6.31x + 9.26y + -7.01z <= 345.56
7.66x + -5.14y + -1.58z <= 728.49
-4.43x + 8.29y + -2.01z <= 604.49
6.23x + 8.71y + 0.72z <= 455.83
-7.42x + 6.81y + -1.72z <= 506.14
0.13x + -3.24y + 4.17z <= 865.33
-5.34x + -7.76y + -0.21z <= 695.22
-7.28x + -9.31y + -2.89z <= 163.12
-0.41x + -7.67y + 3.57z <= 413.71
0.39x + -2.98y + -9.33z <= 537.04
7.99x + -5.49y + 4.8z <= 397.57
4.32x + 3.78y + -9.13z <= 680.42
5.98x + -9.52y + 0.43z <= 125.92
0.2x + 1.68y + -9.05z <= 480.91
-9.85x + -1.22y + 3.97z <= 105.64
9.62x + -3.04y + -8.55z <= 392.39
-0.46x + 0.49y + -2.12z <= 692.49
-2.35x + -0.67y + 4.38z <= 111.06
6.87x + -9.6y + -4.49z <= 401.92
-8.05x + 6.76y + 8.79z <= 179.0
-1.79x + -1.25y + 0.47z <= 661.98
8.89x + 9.1y + 0.78z <= 497.04
8.0x + 9.3y + -1.68z <= 969.74
1.44x + -1.41y + 5.53z <= 844.42
-8.4x + 2.15y + 8.16z <= 140.27
3.31x + -4.37y + 8.51z <= 195.9
4.89x + 1.8y + -7.78z <= 186.37
5.91x + -4.47y + -0.48z <= 196.52
-2.7x + -6.92y + 7.41z <= 729.66
-0.56x + 8.92y + 6.33z <= 776.04
-6.44x + -3.8y + -4.58z <= 834.7
-2.63x + 7.23y + -1.77z <= 831.01
-8.2x + 6.87y + -4.17z <= 348.91
4.1x + -6.05y + -5.37z <= 524.17
6.79x + -2.74y + -7.83z <= 820.2
-3.95x + 8.54y + 2.93z <= 732.12
6.99x + -3.99y + 4.35z <= 462.49
9.02x + 9.17y + 3.99z <= 501.88
-7.16x + 4.81y + -7.17z <= 196.03
-4.68x + 2.86y + -4.94z <= 845.81
8.3x + 1.87y + -0.96z <= 245.53
-8.63x + 0.39y + 1.58z <= 268.35
6.15x + -6.79y + -4.28z <= 636.88
9.45x + -6.97y + 1.68z <= 937.14
8.89x + 4.92y + -9.45z <= 247.77
8.69x + -4.42y + 2.09z <= 450.73
-6.29x + 4.3y + -6.61z <= 221.94
5.51x + -4.18y + 3.16z <= 465.91
6.72x + 1.0y + 0.96z <= 309.48
6.58x + 1.41y + 5.73z <= 334.82
-2.58x + -5.31y + -2.25z <= 396.1
-8.89x + 5.37y + 6.43z <= 225.48
9.61x + 1.35y + -2.16z <= 171.07
4.19x + 2.63y + 7.78z <= 897.92
4.22x + 1.01y + 0.4z <= 882.09
-1.72x + -2.94y + -1.74z <= 894.7
-1.38x + 4.58y + -9.06z <= 538.85
0.97x + -0.45y + -7.24z <= 167.94
-8.7x + 5.46y + 8.51z <= 198.39
5.07x + -6.24y + -9.32z <= 779.41
-2.08x + 3.99y + 8.85z <= 371.35
-3.65x + 8.97y + -7.93z <= 690.92
4.44x + -6.22y + -9.23z <= 911.35
-9.94x + 8.92y + 8.41z <= 393.44
-2.52x + 6.6y + -4.94z <= 927.31
0.34x + -0.64y + 8.08z <= 961.48
3.64x + 2.33y + 0.95z <= 954.86
-4.61x + 4.94y + 5.44z <= 384.64
4.65x + -3.01y + 5.0z <= 561.73
-7.39x + -3.58y + 1.97z <= 383.25
-8.22x + 7.2y + 5.69z <= 950.31
4.58x + 4.99y + 8.39z <= 143.64
-3.88x + -0.11y + 9.25z <= 170.39
-8.88x + 1.58y + -9.56z <= 341.18
7.75x + -7.16y + -7.23z <= 305.48
-8.84x + 3.91y + 3.15z <= 991.6
2.55x + 6.58y + 5.58z <= 367.66
-5.3x + -0.62y + -6.66z <= 110.51
3.2x + -5.02y + 8.97z <= 622.98
-8.8x + -9.66y + 6.67z <= 113.21
-9.41x + -8.37y + 4.73z <= 607.53
-5.84x + 4.1y + -0.61z <= 193.54
7.46x + 7.84y + -5.64z <= 571.13
-4.47x + -2.29y + 1.82z <= 406.88
-3.91x + 6.01y + 1.52z <= 928.51
2.18x + -2.61y + -0.39z <= 405.86
-1.16x + -4.23y + 1.12z <= 694.36
1.38x + -9.36y + -5.31z <= 682.9
-4.27x + -6.13y + -8.5z <= 157.28
6.27x + 5.75y + 3.99z <= 751.72
-4.23x + 2.03y + -6.83z <= 584.45
1.18x + -8.16y + 0.66z <= 180.04
7.79x + 4.84y + 8.51z <= 833.33
5.81x + -3.06y + -2.35z <= 492.43
-7.74x + 8.82y + 4.76z <= 532.32
-8.09x + -9.97y + 7.39z <= 739.87
2.26x + -8.09y + 3.24z <= 447.82
9.34x + -1.98y + -6.84z <= 164.64
-4.84x + 1.5y + 6.65z <= 236.28
1.54x + 0.99y + -7.34z <= 589.17
5.63x + 5.72y + 4.71z <= 385.63
-8.0x + 2.42y + 0.55z <= 195.68
-1.34x + -1.06y + 4.53z <= 294.46
-7.2x + -0.73y + 3.65z <= 254.85
-2.83x + -2.92y + -0.85z <= 926.73
6.7x + 8.25y + 9.41z <= 358.82
6.22x + -7.09y + 3.76z <= 279.84
7.13x + 6.14y + 8.5z <= 982.47
5.12x + 9.35y + 3.17z <= 508.44
2.09x + -3.8y + -0.29z <= 348.99
-1.36x + 0.38y + -5.73z <= 135.65
0.78x + 8.85y + 0.06z <= 643.6
-6.82x + 7.19y + -1.96z <= 733.81
3.61x + -7.98y + -0.32z <= 441.67
1.68x + -8.9y + -0.61z <= 212.99
-1.51x + -8.57y + 2.68z <= 774.55
-4.48x + 4.27y + -0.67z <= 769.06
-3.91x + 0.94y + -3.1z <= 594.22
-9.55x + -0.77y + 9.35z <= 149.68
-7.01x + 6.75y + -5.59z <= 268.17
-2.64x + 4.72y + -9.37z <= 660.47
2.49x + 9.38y + 1.25z <= 429.37
-5.33x + 2.33y + -7.65z <= 667.23
-2.73x + 8.64y + 2.2z <= 406.25
-8.51x + -1.84y + -3.52z <= 815.45
3.2x + 4.34y + -0.13z <= 885.04
-9.52x + -6.86y + -3.16z <= 566.47
8.58x + 8.92y + -5.21z <= 720.95
-4.03x + -6.62y + 7.08z <= 536.9
0.5x + -7.05y + -2.81z <= 837.33
7.42x + 2.21y + 7.26z <= 938.55
6.42x + -0.77y + 8.58z <= 293.19
-3.14x + -7.21y + -7.02z <= 558.53
1.54x + -3.24y + 9.42z <= 333.2
-6.26x + 7.08y + -6.55z <= 927.62
9.1x + 8.85y + 5.63z <= 310.1
4.86x + 8.46y + -7.61z <= 819.0
7.54x + -1.35y + -8.05z <= 244.69
4.38x + 7.39y + -1.76z <= 844.25
-4.26x + -8.28y + 8.21z <= 180.14
1.38x + -6.34y + -9.03z <= 415.47
6.62x + 3.09y + -3.52z <= 124.16
4.31x + 9.5y + 9.39z <= 101.61
-4.76x + -9.19y + 4.82z <= 939.34
-8.19x + -5.42y + -0.63z <= 487.71
-8.97x + 6.98y + -5.1z <= 685.81
-6.45x + 6.03y + -8.64z <= 994.91
-7.43x + -1.23y + 0.36z <= 421.36
-3.96x + -3.09y + -8.39z <= 898.79
-1.38x + 0.83y + 5.87z <= 640.99
-8.8x + -6.01y + -6.47z <= 482.05
9.5x + 7.16y + -6.82z <= 334.67
4.52x + -0.63y + -0.63z <= 697.0
-5.12x + -8.91y + 5.84z <= 381.24
6.18x + -5.4y + 1.99z <= 150.68
8.34x + 8.39y + 9.82z <= 328.87
9.1x + -2.64y + -7.18z <= 382.0
1.98x + -6.22y + 5.68z <= 377.56
4.73x + 0.77y + 5.6z <= 738.78
-8.44x + 7.18y + 8.2z <= 669.3
-8.49x + -5.98y + 3.93z <= 121.56
8.4x + 2.7y + -5.64z <= 546.21
-9.15x + 5.53y + -3.56z <= 723.85
-7.43x + -3.05y + -5.04z <= 187.03
-8.48x + -5.45y + -4.76z <= 201.39
-5.65x + -3.64y + 6.7z <= 218.6
9.43x + -6.72y + 7.88z <= 632.56
-2.75x + -6.13y + -5.61z <= 729.33
3.22x + 7.89y + 3.59z <= 801.79
4.09x + 3.66y + -1.3z <= 719.44
-3.48x + 2.23y + 6.12z <= 292.62
3.16x + -2.06y + 0.56z <= 140.66
1.94x + -8.31y + 7.29z <= 337.6
-6.96x + -8.03y + -0.33z <= 420.53
-2.1x + -2.36y + -7.88z <= 443.51
6.21x + -6.32y + 4.55z <= 332.31
-2.7x + -8.01y + -2.28z <= 687.56
-8.52x + 2.48y + 6.04z <= 888.28
9.19x + -5.16y + 8.83z <= 947.02
-2.03x + -3.64y + -5.24z <= 443.51
3.09x + -8.98y + -1.35z <= 377.01
0.98x + -1.1y + 7.85z <= 111.42
6.26x + 3.01y + -1.78z <= 920.85
7.54x + -9.24y + 6.54z <= 634.75
-7.67x + -9.32y + 3.02z <= 593.51
0.59x + 8.45y + 7.69z <= 894.72
8.32x + 4.71y + -4.57z <= 662.52
0.48x + 1.45y + -8.99z <= 438.24
-0.65x + 9.46y + 8.51z <= 586.24
8.8x + 0.41y + 1.76z <= 979.61
-5.64x + -0.37y + 9.78z <= 594.24
-6.63x + 0.15y + -5.83z <= 766.78
9.01x + 3.16y + 6.8z <= 925.96
-1.75x + -3.52y + 8.3z <= 590.78
-5.36x + 0.82y + 0.59z <= 834.34
0.93x + 5.23y + 1.39z <= 945.59
8.1x + -8.3y + 7.66z <= 550.98
-0.61x + -0.71y + -4.3z <= 153.5
-1.13x + 4.02y + -6.41z <= 952.51
1.33x + -1.44y + -5.24z <= 530.91
-5.05x + -6.36y + 3.94z <= 322.81
-8.87x + 8.6y + -5.36z <= 789.67
-5.27x + 9.98y + 6.69z <= 359.68
-1.53x + 1.86y + -1.21z <= 406.6
-5.56x + -3.63y + -7.0z <= 257.43
-1.61x + 7.1y + -6.29z <= 519.83
-0.28x + -7.59y + -3.35z <= 897.15
-1.27x + 7.7y + 8.86z <= 606.06
8.57x + 3.05y + 9.02z <= 902.81
-1.08x + -3.65y + -0.27z <= 809.64
2.79x + 9.51y + -9.23z <= 934.56
2.16x + 3.77y + 1.29z <= 528.88
-9.46x + -4.33y + 9.21z <= 288.27
7.69x + 7.25y + 8.64z <= 906.21
6.91x + 3.77y + -2.92z <= 716.95
-9.89x + -0.98y + 8.17z <= 150.92
0.72x + 9.28y + -4.64z <= 112.84
-9.65x + 4.97y + 7.9z <= 521.33
-6.93x + 2.89y + 2.58z <= 988.62
-4.87x + 2.16y + 8.81z <= 103.58
-3.65x + 2.87y + -3.03z <= 579.48
2.81x + 0.89y + 0.91z <= 723.96
6.44x + -9.61y + -1.0z <= 380.36
-9.94x + -0.76y + -8.78z <= 701.9
-1.31x + 5.01y + 9.0z <= 561.56
8.6x + 8.51y + -1.09z <= 412.73
0.13x + 5.88y + -8.83z <= 131.94
-1.09x + 6.06y + -2.9z <= 684.15
8.79x + -6.56y + -5.16z <= 458.38
2.93x + -4.37y + -4.09z <= 407.46
-0.63x + -6.91y + -1.9z <= 284.74
-4.02x + -7.54y + 1.49z <= 705.72
9.88x + 0.67y + 7.79z <= 328.5
-5.12x + 3.19y + -5.42z <= 288.51
7.56x + 2.47y + 8.11z <= 938.32
8.69x + 1.5y + 6.21z <= 321.93
-5.54x + -0.88y + -7.95z <= 762.18
7.35x + -7.15y + 4.43z <= 357.94
1.97x + 9.07y + -8.94z <= 237.39
-7.71x + 1.27y + 3.1z <= 933.49
8.17x + -3.16y + -0.43z <= 679.32
-2.83x + -7.45y + -4.84z <= 205.95
3.15x + -6.21y + 3.71z <= 177.9
-4.05x + 5.29y + -0.32z <= 540.29
-8.51x + 6.09y + 4.72z <= 113.65
-8.47x + -0.59y + -9.56z <= 498.51
5.43x + -1.05y + 0.16z <= 241.12
6.65x + -1.28y + -3.17z <= 344.52
4.27x + 0.31y + -1.41z <= 991.68
-5.98x + 8.42y + -2.26z <= 903.5
-1.82x + -4.54y + 9.2z <= 675.23
-2.45x + -5.06y + 0.9z <= 739.93
6.95x + -9.37y + -3.98z <= 232.31
-2.65x + 7.43y + -2.03z <= 801.12
0.5x + 1.17y + -5.86z <= 974.02
0.49x + 5.16y + -8.22z <= 245.31
7.89x + -8.65y + -3.24z <= 891.35
-0.92x + -9.11y + 4.04z <= 893.71
1.34x + 7.08y + -1.15z <= 215.33
3.53x + -1.38y + 0.95z <= 729.27
-4.51x + -7.34y + 5.41z <= 501.11
2.71x + 1.73y + 9.75z <= 754.59
-7.9x + 9.14y + 5.58z <= 339.98
-1.24x + -3.11y + -8.83z <= 908.34
-6.02x + -7.35y + -6.97z <= 726.58
2.03x + 3.96y + 8.66z <= 835.76
-2.41x + -0.49y + 1.53z <= 505.92
4.02x + 8.77y + 9.03z <= 403.43
-7.59x + -5.01y + -4.0z <= 561.28
-1.7x + 0.5y + 0.66z <= 445.15
-0.2x + 7.86y + 7.37z <= 708.58
0.81x + -9.11y + 0.27z <= 122.2
7.08x + -0.24y + 6.85z <= 983.46
-3.99x + -5.78y + 1.3z <= 530.92
5.23x + 4.44y + -8.54z <= 641.99
0.82x + 4.5y + -6.92z <= 582.92
5.07x + 4.53y + 8.65z <= 667.39
-9.16x + 1.81y + -5.12z <= 256.95
-3.67x + -0.27y + 0.08z <= 141.78
1.27x + 8.93y + -9.74z <= 100.79
7.6x + 7.54y + -5.63z <= 839.75
2.81x + -5.1y + -0.08z <= 875.72
4.01x + 6.38y + 8.52z <= 398.26
6.29x + -1.48y + 0.35z <= 968.28
5.18x + 7.73y + 1.12z <= 600.18
4.8x + 5.41y + -0.61z <= 745.21
4.74x + -6.91y + 8.08z <= 603.03
-9.98x + -4.92y + 7.5z <= 656.52
8.58x + 4.19y + 3.46z <= 171.71
2.83x + 6.18y + -5.49z <= 323.76
9.76x + 2.76y + -0.73z <= 708.9
-1.44x + 3.38y + 9.28z <= 934.3
-7.56x + -5.04y + -8.57z <= 796.22
4.62x + -5.74y + 2.09z <= 471.53
-4.3x + 6.01y + 6.98z <= 809.21
4.09x + -9.46y + 4.58z <= 370.5
6.76x + 0.17y + -4.4z <= 857.21
-9.75x + -1.56y + -4.49z <= 233.19
1.52x + -5.56y + 7.18z <= 486.47
-6.71x + -9.36y + -0.75z <= 278.26
7.12x + -1.02y + 4.32z <= 969.06
-1.03x + -1.75y + -7.17z <= 653.24
5.15x + 0.14y + 0.47z <= 119.01
7.15x + -9.63y + -3.44z <= 487.67
-1.92x + 2.23y + 1.8z <= 576.18
-6.44x + 0.31y + -2.21z <= 167.2
2.57x + 1.59y + -7.94z <= 160.91
5.08x + -9.39y + -9.17z <= 274.18
-6.03x + 9.87y + -0.69z <= 747.86
3.29x + 5.13y + 9.7z <= 728.67
-4.51x + 0.48y + -0.18z <= 360.75
-5.36x + 2.14y + 6.01z <= 918.26
-0.92x + -4.97y + -8.35z <= 579.75
-2.62x + 3.75y + 3.79z <= 325.14
0.25x + -5.4y + 6.57z <= 263.05
-0.98x + 9.36y + -3.97z <= 653.59
-4.34x + -4.0y + -2.82z <= 902.56
-2.69x + 1.49y + -9.25z <= 922.67
-1.31x + -9.94y + -7.21z <= 616.52
-8.87x + 3.42y + -1.23z <= 455.18
-5.46x + -3.43y + -9.28z <= 775.45
-5.79x + 0.44y + 2.24z <= 441.26
-1.99x + 1.37y + -1.71z <= 917.19
-4.69x + -4.45y + 9.15z <= 391.19
5.23x + 0.38y + -1.4z <= 382.37
-1.44x + 3.39y + 2.5z <= 441.08
1.84x + 8.5y + 7.19z <= 136.52
-3.79x + -6.44y + 5.75z <= 438.27
3.16x + 4.7y + -8.01z <= 849.62
-5.34x + 1.64y + 0.5z <= 140.98
1.98x + -0.73y + 3.77z <= 681.57
9.21x + 5.11y + -6.34z <= 113.11
7.82x + 9.61y + -6.99z <= 894.47
2.93x + 7.03y + -7.91z <= 456.11
-9.24x + -9.77y + -1.16z <= 913.51
-6.35x + 1.22y + -8.87z <= 648.65
-8.73x + -1.24y + -9.34z <= 614.23
9.43x + -3.15y + -4.2z <= 748.44
-2.55x + 8.98y + 2.4z <= 531.69
8.09x + -6.21y + 1.25z <= 465.18
0.88x + 8.65y + -7.16z <= 271.1
-8.74x + 3.42y + 9.72z <= 873.04
-9.21x + 1.99y + -1.45z <= 326.37
-4.8x + -9.38y + 4.2z <= 896.49
3.89x + -0.89y + 6.24z <= 173.7
-9.72x + 9.42y + 4.25z <= 252.18
-1.69x + 5.2y + -4.18z <= 956.2
-9.61x + -7.41y + 6.32z <= 892.51
9.15x + 3.24y + -3.62z <= 783.75
8.62x + -0.83y + -4.95z <= 800.37
2.57x + -9.82y + -5.84z <= 820.7
-4.36x + -1.21y + 1.79z <= 114.06
-7.48x + 6.03y + 0.1z <= 895.6
2.65x + -7.33y + -9.35z <= 693.83
-0.24x + -6.65y + 8.57z <= 699.35
4.0x + 3.54y + 4.91z <= 296.31
4.94x + 3.08y + 6.25z <= 935.92
-0.78x + -3.76y + -0.08z <= 566.38
-9.47x + 1.7y + 9.63z <= 946.96
0.25x + 2.52y + -5.48z <= 230.02
6.98x + -1.32y + 0.64z <= 138.54
-9.9x + 5.19y + -8.24z <= 361.65
7.22x + -2.35y + 2.2z <= 760.97
9.74x + 4.46y + 7.25z <= 883.48
-8.34x + 4.53y + 4.89z <= 142.16
9.34x + 1.5y + -9.61z <= 616.95
1.17x + -4.06y + 0.03z <= 560.35
