max -8.87x + -2.53y + 1.18z
1.92x + 1.44y + 2.05z <= 928.97
-3.64x + -3.18y + 4.15z <= 541.79
9.03x + 4.75y + -2.81z <= 147.64
-2.32x + 5.32y + -7.56z <= 772.76
-2.14x + 5.28y + -6.54z <= 115.21
2.03x + 2.34y + -7.38z <= 508.64
-8.27x + -1.42y + 2.75z <= 486.97
7.73x + 2.99y + -6.75z <= 867.22
2.87x + 1.06y + 7.49z <= 370.83
-7.86x + 9.25y + -5.98z <= 936.2
-7.48x + 5.65y + 1.5z <= 306.64
-6.17x + -5.4y + -1.66z <= 146.06
-2.48x + 2.06y + -4.35z <= 617.24
-9.82x + 0.56y + -3.58z <= 719.48
0.86x + 2.39y + -4.52z <= 798.7
7.28x + 9.73y + 3.18z <= 416.34
3.28x + 2.62y + 9.61z <= 543.73
-6.26x + 0.92y + -5.72z <= 781.97
-7.41x + 6.48y + 9.43z <= 542.71
-0.48x + -6.41y + -2.28z <= 418.04
-2.58x + -6.15y + -1.49z <= 574.84
3.46x + -3.44y + 4.07z <= 640.17
-2.32x + 6.62y + -4.81z <= 944.64
6.48x + -2.26y + -9.47z <= 626.03
-7.1x + -0.05y + 9.2z <= 500.09
-3.46x + -6.01y + 0.01z <= 981.29
9.3x + -8.35y + 8.58z <= 703.14
0.9x + -0.32y + 2.57z <= 642.45
-0.44x + -9.91y + -7.38z <= 691.57
-7.85x + 9.42y + -0.62z <= 965.16
4.48x + -3.33y + -4.54z <= 115.35
-2.36x + -1.22y + 1.44z <= 799.19
6.24x + 5.72y + -4.42z <= 784.67
-3.07x + -5.82y + -4.09z <= 949.63
8.87x + -2.57y + -4.61z <= 482.37
-7.3x + -5.66y + -3.79z <= 744.04
-5.84x + -8.82y + -8.03z <= 708.56
3.16x + 7.77y + -0.73z <= 824.14
1.4x + 7.65y + 5.47z <= 989.06
-1.15x + -4.83y + -4.5z <= 723.97
-5.27x + -9.98y + -0.9z <= 805.36
-7.21x + 8.66y + 3.69z <= 961.07
-7.41x + 2.06y + -4.87z <= 776.25
-9.56x + -1.58y + 9.72z <= 461.64
5.71x + 2.1y + 5.24z <= 186.98
-3.24x + 6.01y + 8.47z <= 109.33
-0.42x + 3.06y + 4.93z <= 961.55
-9.1x + 4.69y + -7.9z <= 357.4
1.11x + 5.58y + 9.32z <= 545.82
-8.28x + -2.01y + 0.74z <= 295.96
1.26x + -4.9y + -2.74z <= 749.62
-6.53x + -4.89y + -0.13z <= 316.6
2.85x + -8.41y + -6.49z <= 751.64
8.35x + -6.4y + 2.0z <= 984.28
-0.33x + 0.13y + -0.47z <= 100.89
-0.66x + -6.36y + 8.84z <= 314.89
-2.89x + -0.42y + -1.5z <= 946.1
-6.89x + -9.36y + 8.34z <= 693.19
-1.67x + 8.27y + 2.69z <= 217.75
-3.23x + 8.19y + -1.1z <= 107.12
7.39x + -4.55y + 6.36z <= 990.56
8.66x + 6.01y + 0.81z <= 341.45
9.58x + -3.19y + 4.05z <= 631.06
0.04x + -9.17y + -1.88z <= 283.21
7.88x + -4.27y + -2.19z <= 480.24
1.03x + -3.14y + -9.64z <= 264.16
1.84x + -4.33y + 9.53z <= 726.09
6.42x + 3.7y + -5.72z <= 856.61
9.95x + 4.2y + -9.67z <= 999.45
-8.57x + -7.73y + -7.19z <= 932.85
5.48x + -1.85y + 3.08z <= 161.82
7.97x + 2.02y + -0.49z <= 267.22
8.73x + 4.75y + 5.6z <= 530.14
4.35x + 2.51y + -4.63z <= 908.81
-8.4x + -0.55y + 5.25z <= 933.86
-1.08x + -2.19y + -2.61z <= 448.65
-0.92x + -5.66y + -0.89z <= 750.94
-5.63x + 7.19y + 4.23z <= 529.34
-0.24x + -0.97y + -9.42z <= 477.45
-1.46x + 8.31y + -5.03z <= 847.01
-8.41x + 8.45y + -8.77z <= 812.88
3.97x + -0.09y + 1.97z <= 997.95
-1.3x + -5.81y + 1.8z <= 924.18
0.43x + 9.91y + 7.91z <= 287.51
4.37x + 7.18y + 4.81z <= 854.61
3.39x + -0.74y + -1.02z <= 874.65
0.61x + 8.87y + 4.55z <= 537.55
8.67x + 7.81y + -6.71z <= 141.04
-4.49x + 3.69y + 6.88z <= 200.01
3.35x + -6.0y + -9.51z <= 715.97
5.1x + 4.71y + -0.19z <= 656.77
9.1x + -4.46y + 2.69z <= 710.57
3.39x + -5.28y + 1.55z <= 199.93
6.59x + -2.02y + 0.94z <= 830.98
7.09x + 8.82y + 6.16z <= 292.74
-6.52x + 5.18y + 8.38z <= 626.31
-7.69x + -6.72y + 8.36z <= 546.62
-3.07x + -3.36y + 1.69z <= 758.46
-3.77x + 0.1y + 8.18z <= 946.7
7.67x + 9.47y + -8.38z <= 892.25
3.79x + -8.03y + -1.15z <= 975.52
8.41x + -2.79y + 0.73z <= 561.52
2.18x + 3.11y + -3.17z <= 907.46
3.59x + -5.88y + -3.23z <= 237.88
-9.32x + 4.08y + -5.73z <= 346.81
-1.92x + -3.12y + 3.48z <= 979.27
8.41x + 8.69y + 4.14z <= 973.05
0.65x + -4.36y + 1.35z <= 955.66
2.2x + -8.63y + 7.13z <= 931.34
-6.93x + 5.35y + 1.9z <= 994.15
5.57x + -6.86y + -3.36z <= 384.15
-2.4x + 6.16y + -7.68z <= 188.27
-7.38x + 4.15y + 7.83z <= 762.03
-4.27x + 0.54y + 2.42z <= 183.57
4.98x + -5.34y + 8.62z <= 479.79
9.32x + 5.57y + 0.63z <= 985.6
-0.25x + -4.14y + -5.9z <= 309.21
-1.95x + 2.62y + -4.79z <= 879.99
-7.63x + -5.8y + 9.36z <= 925.78
2.22x + -8.6y + -5.85z <= 394.72
-1.94x + 9.04y + 1.79z <= 320.15
7.92x + -8.75y + -8.98z <= 758.35
7.08x + -3.7y + -1.08z <= 996.9
1.45x + -4.35y + 3.73z <= 983.8
4.37x + -9.08y + 4.45z <= 267.21
-3.33x + 1.22y + -5.65z <= 823.75
-5.24x + 6.06y + 8.83z <= 175.26
2.15x + -0.47y + -8.25z <= 483.14
-0.11x + -7.86y + 1.97z <= 219.63
-0.28x + -4.55y + -6.3z <= 860.58
9.29x + -8.8y + 5.07z <= 660.11
-6.66x + 1.55y + 5.84z <= 217.05
4.69x + 4.14y + -7.53z <= 547.47
-6.57x + -2.96y + 2.68z <= 924.97
-3.8x + 7.24y + 1.99z <= 768.77
-1.84x + 4.62y + -5.19z <= 406.29
9.12x + -6.59y + -2.73z <= 848.21
-1.18x + 3.21y + -1.54z <= 343.18
2.66x + 4.53y + -2.99z <= 879.59
5.07x + -9.86y + -3.07z <= 202.08
-1.31x + -0.38y + -4.25z <= 263.94
2.57x + 7.7y + 4.05z <= 317.32
-9.37x + 1.92y + -3.6z <= 379.24
-3.6x + 8.0y + 3.94z <= 355.13
1.78x + 5.16y + -7.55z <= 508.06
7.63x + -3.92y + -3.23z <= 419.27
0.02x + -2.92y + -2.84z <= 369.1
-4.76x + 1.59y + 2.21z <= 840.36
8.89x + -9.7y + -6.8z <= 678.29
-5.44x + 5.04y + 7.2z <= 783.6
-3.12x + -0.97y + 4.77z <= 471.84
9.89x + 7.51y + -8.65z <= 794.53
-1.86x + 9.69y + 4.09z <= 318.08
-6.85x + -8.06y + 1.42z <= 654.33
-8.48x + -5.1y + -5.32z <= 842.95
-8.31x + 6.11y + 8.93z <= 775.94
-2.76x + -9.49y + -9.32z <= 627.6
-1.55x + -1.58y + 2.67z <= 520.89
6.47x + -9.6y + -5.24z <= 579.69
-9.19x + 1.15y + 2.36z <= 664.75
9.15x + 3.98y + -4.89z <= 579.37
-4.19x + -9.17y + 7.88z <= 209.0
-2.68x + 0.21y + 6.75z <= 371.7
-8.86x + -9.29y + 7.92z <= 428.58
7.36x + -6.23y + -1.3z <= 934.75
-8.42x + -6.51y + 1.28z <= 694.61
6.19x + 5.27y + 5.86z <= 576.19
5.79x + -8.89y + 2.31z <= 979.96
-2.51x + -3.05y + -0.8z <= 426.94
-7.82x + -9.75y + 7.9z <= 582.96
5.26x + -5.42y + 5.61z <= 755.4
-6.03x + 3.31y + -6.85z <= 163.36
6.8x + -1.85y + 8.38z <= 990.31
-3.68x + -1.0y + 5.44z <= 312.28
-7.79x + -3.73y + 4.54z <= 665.81
2.52x + -5.63y + -2.85z <= 895.5
-6.52x + -9.44y + 1.23z <= 600.24
-7.24x + 0.25y + 7.57z <= 729.97
1.59x + 4.73y + -9.33z <= 239.61
5.08x + -9.33y + 1.38z <= 653.71
-0.44x + 6.41y + -1.77z <= 447.34
-3.84x + 0.85y + 4.04z <= 667.47
-3.81x + -3.69y + -6.07z <= 562.88
6.3x + 5.32y + 9.93z <= 997.32
3.19x + 6.81y + 1.8z <= 964.06
-5.25x + -8.01y + 6.26z <= 597.85
-6.8x + 3.5y + 2.33z <= 691.55
8.77x + -4.6y + -9.76z <= 385.66
2.98x + -3.95y + 2.48z <= 716.32
-2.37x + -1.42y + 9.18z <= 963.52
-1.29x + -0.23y + 9.94z <= 545.69
-6.59x + 2.16y + -7.52z <= 213.61
7.42x + -9.04y + 0.49z <= 393.28
-6.8x + 0.2y + 4.01z <= 899.36
0.06x + 8.64y + 7.08z <= 478.85
-8.07x + 9.63y + 2.38z <= 963.63
-6.4x + -9.72y + -1.64z <= 922.46
-8.92x + 4.42y + 4.94z <= 647.92
-5.52x + -3.79y + 7.34z <= 503.67
5.83x + -3.52y + 4.93z <= 337.65
-6.45x + 4.13y + -5.09z <= 303.99
-1.44x + 9.45y + -4.21z <= 382.1
3.27x + -8.09y + 6.6z <= 776.18
3.73x + -5.89y + 3.13z <= 548.64
-8.5x + -3.77y + 0.96z <= 472.51
-0.99x + 6.06y + 5.28z <= 103.62
8.01x + -8.08y + 6.74z <= 839.97
5.02x + 2.69y + -9.96z <= 677.21
-9.67x + 8.47y + -0.71z <= 825.73
8.62x + 8.63y + -7.2z <= 339.28
-0.25x + 3.96y + 4.93z <= 810.52
-0.37x + -8.08y + -3.01z <= 342.35
1.63x + -9.03y + -0.32z <= 353.24
8.55x + 5.73y + 3.07z <= 585.29
-4.29x + 1.94y + 5.3z <= 412.42
-9.82x + 9.34y + -8.83z <= 234.19
3.68x + -1.65y + -9.81z <= 523.22
-5.73x + 3.86y + -2.96z <= 851.49
-1.04x + -3.36y + -2.76z <= 236.68
-7.22x + -9.63y + -5.95z <= 533.84
-2.97x + -6.47y + 6.79z <= 699.3
7.46x + -7.04y + 5.36z <= 660.86
7.67x + 8.0y + 3.05z <= 261.13
3.73x + 6.79y + 5.44z <= 818.68
-0.54x + 7.4y + 2.3z <= 866.17
-0.87x + 6.55y + -9.35z <= 422.49
1.32x + 6.03y + 3.39z <= 127.65
9.22x + -9.39y + 2.79z <= 597.83
0.27x + -7.97y + 3.64z <= 175.56
9.0x + 4.02y + -6.8z <= 690.82
-1.05x + 8.34y + -2.75z <= 610.42
-2.65x + -2.78y + 0.99z <= 819.7
1.77x + -0.09y + 1.08z <= 580.9
3.54x + 0.12y + -1.76z <= 683.43
2.99x + -4.81y + 5.9z <= 578.47
-0.04x + -7.31y + 5.84z <= 564.29
-1.09x + 9.94y + -7.95z <= 691.77
-5.83x + -1.97y + -4.16z <= 618.87
5.06x + -5.83y + 1.29z <= 632.06
5.8x + 4.84y + -3.34z <= 955.04
-8.67x + 7.12y + 2.96z <= 507.65
0.69x + -9.29y + -9.26z <= 366.59
9.18x + -6.9y + -0.84z <= 228.24
1.33x + -6.53y + 7.3z <= 627.02
5.98x + 5.92y + -1.99z <= 590.56
-0.78x + 8.33y + -7.93z <= 400.64
-0.82x + 6.46y + -5.95z <= 254.89
-1.49x + -5.47y + -2.25z <= 609.07
-5.51x + -6.47y + 7.98z <= 692.7
-1.5x + 3.94y + 0.01z <= 991.28
1.02x + 1.01y + 2.85z <= 491.73
-6.6x + -6.14y + 7.46z <= 729.31
7.0x + 4.98y + -9.51z <= 559.94
4.25x + -2.87y + -2.9z <= 779.14
2.57x + 7.9y + 3.21z <= 776.34
-9.6x + 8.81y + -7.75z <= 815.17
-1.67x + -3.61y + -7.38z <= 847.9
-8.08x + 5.03y + 7.49z <= 949.49
7.57x + -1.72y + -4.9z <= 541.49
-7.71x + 5.07y + 5.72z <= 508.2
-4.77x + -6.13y + 6.95z <= 168.92
-9.13x + 0.72y + 1.14z <= 507.48
-2.81x + 3.94y + -0.67z <= 181.85
9.76x + 7.36y + 4.67z <= 159.99
3.78x + -9.08y + 6.24z <= 980.46
1.81x + -9.37y + -9.43z <= 860.61
5.46x + -6.74y + -3.38z <= 526.03
0.16x + 2.56y + 9.49z <= 166.58
5.77x + -0.8y + 9.26z <= 872.4
1.41x + 2.37y + -9.53z <= 686.23
-0.59x + 1.69y + -3.23z <= 730.96
-4.61x + 3.43y + 9.52z <= 412.22
-7.28x + 4.32y + -4.52z <= 232.55
-2.98x + 9.71y + 6.5z <= 667.48
1.04x + 1.07y + 5.15z <= 712.89
6.23x + -1.34y + -4.03z <= 839.47
-8.73x + -6.42y + -5.85z <= 567.24
-6.8x + -7.2y + 9.02z <= 186.16
-9.61x + -2.38y + 4.96z <= 697.44
-3.49x + -3.78y + -9.9z <= 891.27
4.45x + 6.99y + -2.15z <= 394.05
6.54x + -7.6y + 7.47z <= 778.42
-6.17x + -4.53y + 5.04z <= 910.69
-8.64x + -4.22y + -7.82z <= 974.31
9.02x + 6.78y + -4.85z <= 915.26
3.99x + -8.35y + 5.16z <= 672.5
9.39x + -3.45y + 0.57z <= 757.81
-7.12x + 7.91y + 7.73z <= 774.95
4.56x + 7.28y + 8.69z <= 854.83
-4.85x + 2.53y + -9.9z <= 369.81
-8.51x + 8.28y + 4.26z <= 245.04
6.7x + 5.39y + 2.93z <= 731.46
-6.46x + -1.27y + 4.45z <= 649.27
4.87x + 1.05y + 4.53z <= 254.03
-5.84x + -3.19y + -1.61z <= 796.79
8.04x + -7.02y + 0.09z <= 886.44
1.25x + 3.08y + -8.27z <= 586.92
-3.17x + -1.34y + -2.63z <= 536.81
3.93x + -9.6y + 7.03z <= 871.87
5.22x + -9.38y + 6.68z <= 216.97
6.56x + -8.23y + 6.1z <= 937.45
-2.52x + -0.75y + 9.22z <= 471.32
0.76x + 4.01y + 0.54z <= 463.04
4.37x + 9.92y + -2.94z <= 469.03
-6.75x + 3.64y + 9.05z <= 191.7
2.12x + -3.83y + 5.63z <= 137.16
6.09x + 3.51y + -3.94z <= 884.53
-5.09x + 1.08y + -6.63z <= 891.55
5.42x + 3.3y + -6.46z <= 913.5
-8.84x + -8.04y + -5.39z <= 715.83
-2.19x + -6.84y + 3.29z <= 583.74
1.28x + -9.16y + -1.33z <= 149.64
-6.16x + -7.07y + 0.13z <= 616.6
8.25x + -7.31y + 0.6z <= 374.63
-7.55x + -0.77y + -7.43z <= 990.36
-2.49x + 0.22y + -5.78z <= 646.4
-1.78x + -4.68y + 9.53z <= 555.02
9.24x + -0.18y + 3.35z <= 577.42
-4.3x + 2.71y + 1.47z <= 679.56
2.46x + -6.4y + 0.18z <= 872.69
5.05x + 9.59y + 3.66z <= 322.26
6.66x + 0.91y + -3.66z <= 496.28
4.18x + 1.43y + 2.89z <= 168.15
1.82x + -3.52y + 6.47z <= 509.42
-5.18x + -2.15y + 0.27z <= 563.69
-2.36x + -9.22y + 4.8z <= 951.15
9.54x + -5.7y + 5.63z <= 301.36
2.43x + -7.95y + -2.16z <= 790.85
9.6x + 6.73y + 6.71z <= 554.29
-4.6x + -5.56y + -0.87z <= 883.97
-5.04x + 8.15y + 7.64z <= 328.21
1.46x + -6.17y + -8.72z <= 414.02
-6.98x + -5.45y + -6.8z <= 277.13
-2.47x + 3.54y + 3.79z <= 419.55
-8.6x + 4.84y + 3.58z <= 579.07
6.9x + -2.73y + -0.78z <= 612.3
-9.1x + 9.93y + 3.85z <= 492.73
9.65x + 9.84y + 8.13z <= 932.25
0.87x + 5.66y + 6.53z <= 621.15
-5.06x + -8.35y + 4.19z <= 472.54
8.4x + -7.19y + -3.53z <= 475.45
-4.95x + 3.64y + 4.39z <= 746.27
-6.81x + 1.24y + -0.82z <= 898.59
-6.7x + -1.18y + 3.8z <= 322.94
-9.32x + -5.31y + -4.06z <= 209.99
7.97x + 5.68y + 9.73z <= 924.42
-7.9x + 6.08y + -1.5z <= 964.62
-5.48x + -7.48y + -1.51z <= 145.13
-3.99x + 5.82y + 1.94z <= 373.95
9.88x + -3.37y + -6.13z <= 619.11
-5.38x + 2.31y + 4.53z <= 373.77
9.29x + 7.55y + 0.35z <= 766.29
-4.8x + -1.21y + 9.15z <= 212.71
-7.35x + -3.02y + 9.92z <= 901.14
-3.28x + -8.73y + -0.8z <= 588.22
2.53x + 4.97y + -8.71z <= 767.58
2.32x + 0.65y + -1.69z <= 978.42
7.88x + -4.91y + -9.2z <= 300.84
-6.68x + 1.65y + -7.96z <= 430.96
-3.35x + -6.79y + 6.22z <= 253.62
5.58x + 5.75y + -8.27z <= 789.98
-8.84x + -5.57y + 7.52z <= 106.81
-0.26x + -4.76y + -2.84z <= 650.66
-0.85x + 9.91y + 3.74z <= 598.22
-2.69x + 6.39y + -4.52z <= 666.67
-8.4x + -2.61y + 2.31z <= 463.51
-7.22x + 8.14y + 4.38z <= 710.76
8.19x + -6.2y + 5.15z <= 155.5
-7.61x + -8.95y + 1.15z <= 337.27
-3.25x + -7.37y + 7.87z <= 113.71
7.28x + -7.11y + 9.16z <= 292.13
-4.43x + 4.74y + -2.62z <= 350.81
-2.79x + -6.85y + 4.93z <= 220.99
5.36x + -2.77y + 9.18z <= 738.01
5.56x + 6.72y + 7.19z <= 570.18
0.83x + -1.82y + 4.36z <= 196.48
-3.4x + 5.08y + 9.63z <= 173.75
6.29x + 0.43y + 9.25z <= 852.6
-0.5x + -3.1y + 8.04z <= 732.09
9.68x + 4.31y + 7.04z <= 508.08
-3.36x + 5.26y + -6.86z <= 903.97
-3.82x + -6.28y + 2.67z <= 630.55
0.45x + -9.33y + 8.31z <= 194.11
1.98x + 0.35y + -5.73z <= 335.74
-5.94x + -4.11y + 7.21z <= 181.02
-5.31x + 0.71y + -1.7z <= 828.41
-1.36x + 4.57y + -4.18z <= 889.42
-4.76x + -9.35y + 0.86z <= 551.21
9.27x + -8.43y + 5.86z <= 620.31
-8.64x + 8.33y + 7.95z <= 453.26
7.28x + 9.71y + -4.63z <= 537.85
-9.09x + -0.64y + -0.33z <= 950.18
5.42x + 2.16y + -7.18z <= 591.6
-3.03x + 1.04y + 8.04z <= 919.22
5.19x + 2.55y + -1.16z <= 569.76
1.62x + 1.01y + -4.42z <= 800.22
7.16x + 5.89y + -2.88z <= 779.48
-3.45x + -4.58y + -4.27z <= 888.57
8.45x + -8.54y + 8.12z <= 751.41
-0.9x + 4.56y + 2.76z <= 208.33
3.17x + 9.32y + 4.37z <= 708.92
-2.19x + -2.24y + 3.66z <= 295.76
-4.69x + -0.35y + 2.25z <= 877.9
-4.98x + 4.32y + 6.2z <= 590.08
-7.7x + 4.49y + 7.13z <= 353.97
-7.85x + 9.75y + 1.56z <= 536.41
0.23x + -5.35y + -4.89z <= 448.97
1.13x + 1.45y + 2.4z <= 946.94
-5.96x + 8.55y + -0.06z <= 385.69
9.67x + 9.36y + -4.11z <= 385.63
-7.73x + 4.66y + 4.51z <= 220.32
8.35x + 0.62y + 7.93z <= 528.29
2.58x + 8.37y + -6.89z <= 454.21
-5.66x + -7.42y + -4.84z <= 250.46
8.82x + 5.88y + 9.58z <= 991.65
3.04x + 2.36y + -3.22z <= 348.52
-6.74x + -1.27y + 2.64z <= 621.78
-7.89x + 2.4y + 5.02z <= 594.75
2.01x + 1.64y + 4.16z <= 775.89
-3.08x + -5.59y + -4.13z <= 552.77
4.28x + -9.79y + -8.91z <= 727.52
-1.39x + 8.39y + -8.12z <= 990.43
2.86x + -4.46y + 7.35z <= 829.53
4.39x + -6.07y + 2.15z <= 404.97
1.45x + 5.31y + 4.67z <= 587.18
0.95x + 0.38y + -1.36z <= 208.64
8.27x + 7.79y + 9.41z <= 267.53
-3.42x + -9.45y + -6.15z <= 224.95
9.34x + 9.86y + -0.77z <= 658.32
-7.18x + -2.02y + 4.69z <= 935.68
3.42x + -0.18y + 0.79z <= 788.7
-1.19x + 1.49y + -6.57z <= 807.71
9.67x + 7.41y + -5.73z <= 898.72
4.56x + -5.95y + 4.46z <= 745.2
8.25x + -1.91y + 8.23z <= 695.94
-5.01x + -5.91y + -5.28z <= 949.6
7.62x + -1.15y + -3.17z <= 537.91
-8.59x + 8.77y + 8.93z <= 813.84
-6.18x + -9.62y + -0.46z <= 274.16
1.61x + -1.18y + 7.34z <= 614.6
7.12x + 4.67y + -4.54z <= 759.89
-7.56x + -6.59y + -9.28z <= 402.77
6.14x + 6.32y + 7.19z <= 830.62
3.91x + 6.35y + -2.25z <= 853.03
-7.76x + -9.59y + 5.48z <= 757.27
0.35x + 2.09y + -4.46z <= 686.05
-2.15x + -3.31y + 0.4z <= 566.12
-1.76x + 1.85y + -7.15z <= 219.43
-2.43x + 8.61y + 0.97z <= 578.25
4.42x + -7.1y + -5.56z <= 713.42
1.21x + 3.74y + -5.84z <= 834.0
5.79x + 4.3y + -6.49z <= 106.86
-9.2x + 3.86y + 9.22z <= 793.17
-5.28x + -7.46y + -2.63z <= 559.72
8.88x + -1.28y + 7.3z <= 971.26
-2.57x + 5.44y + -3.43z <= 987.67
6.47x + 4.72y + -1.44z <= 292.14
7.91x + 6.9y + -0.94z <= 755.09
5.05x + 7.19y + 3.09z <= 550.56
4.42x + -7.49y + 5.98z <= 577.6
-1.79x + -6.66y + -6.2z <= 646.93
7.77x + 1.89y + 9.71z <= 998.64
7.28x + -1.73y + -5.09z <= 400.33
-4.45x + 4.17y + -4.23z <= 167.53
6.72x + 8.73y + 6.92z <= 643.89
0.27x + 5.68y + 0.04z <= 739.72
4.01x + 2.5y + -7.19z <= 945.71
7.84x + 4.86y + -4.64z <= 207.76
0.35x + -8.1y + -6.1z <= 594.59
8.57x + -0.26y + 8.86z <= 334.99
-8.11x + 0.93y + -3.43z <= 319.96
5.68x + -2.38y + -1.92z <= 351.7
-4.67x + -4.88y + -1.05z <= 562.7
-1.89x + 0.25y + 1.67z <= 715.7
-4.88x + 1.75y + -9.33z <= 525.83
6.33x + -2.96y + 0.55z <= 997.82
1.17x + 4.87y + -1.59z <= 687.33
4.09x + -0.15y + 9.59z <= 990.97
7.61x + 2.93y + 5.17z <= 592.77
-8.02x + -2.68y + -3.75z <= 162.28
9.95x + -2.34y + -6.58z <= 147.56
6.03x + -5.23y + -8.23z <= 491.22
-7.12x + -1.86y + -3.33z <= 318.27
-0.97x + -5.56y + -9.41z <= 431.9
7.59x + -2.43y + -1.95z <= 154.88
-1.23x + -0.93y + 2.89z <= 193.24
-9.17x + 5.87y + 9.7z <= 255.68
-4.61x + -7.66y + -7.55z <= 629.65
5.62x + 1.19y + -2.2z <= 531.19
-9.9x + 7.7y + 5.79z <= 626.26
-2.44x + 7.96y + 9.97z <= 916.95
7.57x + -5.03y + 4.25z <= 837.09
0.05x + 5.1y + 6.13z <= 817.77
-8.18x + -6.73y + 5.08z <= 321.94
