max 0.77x + -8.0y + 2.98z
-0.68x + -3.89y + 1.06z <= 486.11
-6.56x + 4.71y + 2.21z <= 998.45
-0.66x + -6.65y + -2.57z <= 125.02
-0.95x + -2.71y + -3.73z <= 522.81
-8.08x + 4.86y + 9.68z <= 551.71
3.91x + 3.26y + 8.84z <= 839.58
2.24x + 3.65y + 6.41z <= 225.69
5.21x + -4.98y + -9.57z <= 149.58
9.02x + -1.29y + -4.83z <= 793.03
8.03x + 9.18y + -2.72z <= 102.11
3.22x + -9.03y + 0.69z <= 693.57
-9.77x + 3.07y + 8.07z <= 756.18
-7.46x + 1.41y + 1.87z <= 630.03
-6.74x + 9.61y + 2.28z <= 671.75
-0.19x + 4.7y + -4.81z <= 844.0
-0.73x + 4.93y + -1.68z <= 616.38
2.99x + 2.58y + -4.95z <= 103.08
3.18x + -5.85y + -2.15z <= 391.11
-1.96x + 6.71y + 6.28z <= 642.12
8.93x + 8.65y + 3.16z <= 637.83
-1.51x + -4.31y + -3.96z <= 895.87
-0.25x + -8.66y + -5.27z <= 210.91
2.5x + -8.8y + 6.64z <= 382.64
3.16x + -5.57y + -6.93z <= 515.41
1.8x + -7.45y + -2.63z <= 722.59
5.13x + 6.95y + 2.04z <= 327.94
-0.26x + -5.24y + -7.92z <= 872.24
0.61x + 8.51y + 4.75z <= 598.26
-3.02x + 3.36y + 5.59z <= 445.37
-6.22x + -1.25y + -9.8z <= 308.81
-0.46x + 4.07y + 8.67z <= 912.19
-9.37x + 0.32y + 5.43z <= 430.26
-4.18x + -0.1y + -3.49z <= 186.22
-1.31x + -8.15y + -1.76z <= 408.23
2.36x + -0.91y + -8.24z <= 530.32
0.19x + -0.38y + 6.94z <= 238.88
7.73x + -8.27y + -1.57z <= 127.2
-6.73x + -8.78y + -1.15z <= 848.21
-1.34x + -1.56y + 6.98z <= 898.03
9.84x + -3.43y + 3.47z <= 702.82
7.16x + -3.25y + 4.76z <= 718.54
-8.03x + -5.86y + 1.72z <= 243.99
9.5x + -9.36y + 0.53z <= 518.25
-9.62x + 2.77y + 3.09z <= 332.11
1.64x + 8.11y + 8.62z <= 577.27
-7.77x + 0.09y + 5.76z <= 578.42
2.44x + 0.47y + 7.99z <= 234.96
-8.58x + 3.63y + -3.47z <= 271.89
-6.32x + 0.79y + -4.15z <= 554.91
3.64x + 9.42y + -2.49z <= 887.91
-8.13x + -5.08y + 6.54z <= 712.87
-4.54x + 3.52y + 6.17z <= 484.92
-1.95x + 5.97y + 8.81z <= 890.05
8.69x + 9.06y + 2.41z <= 296.9
-1.51x + -6.51y + 9.8z <= 836.85
-9.96x + 1.03y + -4.35z <= 879.48
0.9x + -8.48y + -9.85z <= 500.05
5.81x + -2.22y + -7.94z <= 569.67
9.87x + 5.22y + 1.54z <= 949.61
-5.58x + -1.04y + -1.61z <= 945.43
-9.86x + 6.8y + 0.65z <= 893.12
5.84x + 3.34y + -5.74z <= 930.51
-9.02x + -9.96y + -8.81z <= 285.61
7.08x + 2.97y + 3.03z <= 345.65
3.88x + -9.92y + -9.13z <= 216.12
7.03x + -9.61y + -5.54z <= 525.06
5.18x + -1.07y + -3.33z <= 587.45
8.22x + -9.8y + 4.43z <= 501.14
9.02x + -7.5y + -9.19z <= 118.82
8.91x + -0.04y + -6.97z <= 864.63
7.98x + 2.01y + 2.3z <= 405.81
6.99x + -3.31y + 9.69z <= 120.19
-8.1x + -6.76y + 7.02z <= 973.94
7.32x + 2.02y + -6.12z <= 233.2
3.75x + -8.75y + 1.04z <= 164.1
-10.0x + 5.07y + 2.26z <= 333.55
9.86x + 5.83y + -4.52z <= 843.58
-5.64x + -0.79y + 2.15z <= 714.67
-5.65x + 3.51y + 4.91z <= 414.37
-5.81x + 3.05y + -5.03z <= 429.99
-4.51x + 6.51y + 9.62z <= 868.05
2.44x + 6.89y + 2.16z <= 476.29
3.5x + -2.93y + 0.33z <= 167.19
6.79x + -6.81y + -2.66z <= 100.87
9.08x + 2.71y + -6.05z <= 544.86
-4.15x + -5.88y + -8.88z <= 265.67
-4.61x + -8.41y + -5.99z <= 407.69
5.11x + -7.16y + -2.07z <= 645.55
-1.12x + 7.38y + 0.59z <= 875.33
9.58x + -2.15y + -7.48z <= 843.93
4.39x + 1.75y + -9.91z <= 235.29
-4.88x + 6.06y + 5.16z <= 624.13
3.07x + -6.82y + 3.51z <= 434.59
-0.47x + -2.09y + -0.54z <= 435.98
4.35x + -2.08y + -8.94z <= 394.02
7.04x + -6.5y + -7.3z <= 823.91
7.72x + 9.06y + 9.94z <= 942.3
7.18x + 4.21y + -2.13z <= 421.59
-9.25x + 0.39y + 1.07z <= 494.46
0.14x + -2.9y + 4.46z <= 809.19
-9.28x + 6.51y + -7.03z <= 829.27
7.54x + -3.16y + 2.28z <= 569.3
-8.62x + 6.68y + -6.95z <= 846.46
-2.22x + 6.24y + 0.16z <= 242.91
4.9x + -3.37y + -1.15z <= 599.11
-8.6x + -6.79y + 1.86z <= 350.16
-8.22x + -4.5y + 8.93z <= 805.42
8.41x + 9.36y + -6.45z <= 613.65
3.69x + 5.96y + -9.35z <= 376.53
5.12x + 0.16y + -5.02z <= 838.7
-4.24x + 1.99y + -7.54z <= 179.29
-1.15x + -4.6y + -4.06z <= 754.37
-4.39x + -1.22y + -0.95z <= 989.52
-2.1x + 6.91y + -9.09z <= 564.15
3.11x + -7.34y + 1.64z <= 864.99
-0.74x + 6.34y + -1.24z <= 373.19
1.17x + 0.63y + 9.93z <= 663.67
2.17x + 8.02y + 5.64z <= 235.77
-2.88x + 3.47y + 3.79z <= 206.34
0.63x + 5.34y + -1.56z <= 638.05
-8.27x + 5.41y + 7.77z <= 326.75
5.21x + 7.11y + -3.06z <= 575.72
3.25x + 9.85y + 8.69z <= 998.42
0.33x + -2.34y + 8.51z <= 871.37
-1.34x + 7.82y + -6.26z <= 172.97
-8.81x + 6.69y + -4.99z <= 712.6
3.6x + -3.62y + -9.73z <= 959.52
-9.74x + 0.8y + -5.76z <= 918.84
-7.87x + 2.5y + 5.53z <= 346.38
4.54x + 9.76y + 9.03z <= 731.84
6.87x + -1.11y + 5.65z <= 132.85
3.71x + 3.52y + 1.03z <= 779.45
9.67x + 4.34y + -2.31z <= 902.38
4.45x + 6.18y + -7.91z <= 113.68
4.44x + 4.78y + 1.0z <= 335.23
-5.35x + -2.0y + -1.53z <= 901.32
5.02x + 5.65y + -6.8z <= 968.07
-2.13x + -5.63y + -1.98z <= 619.21
-7.14x + 4.5y + 9.79z <= 706.32
-7.45x + 2.68y + -5.52z <= 877.05
4.04x + -3.35y + -6.37z <= 857.83
6.58x + -7.17y + -9.83z <= 448.46
5.89x + 8.87y + -6.66z <= 638.34
-7.27x + 7.85y + -7.6z <= 559.31
-3.68x + 0.25y + 8.59z <= 494.8
-5.37x + -4.35y + 0.29z <= 341.17
3.27x + -7.56y + 4.58z <= 818.63
0.7x + 4.73y + -9.41z <= 785.65
-2.94x + -2.92y + -3.0z <= 702.33
-2.36x + -4.08y + -8.29z <= 638.58
7.1x + 9.84y + 4.27z <= 511.34
5.21x + 3.5y + 4.82z <= 340.12
-7.81x + -1.52y + -5.63z <= 221.35
-9.8x + -0.23y + 4.07z <= 147.77
1.64x + 9.43y + 4.14z <= 506.38
3.7x + -1.88y + 5.59z <= 931.09
-9.58x + -2.22y + 2.98z <= 782.86
-0.4x + -5.5y + -9.92z <= 436.41
-6.76x + 2.67y + -0.87z <= 880.57
-4.48x + -2.72y + 7.77z <= 685.15
-0.3x + 6.05y + -5.36z <= 930.79
5.71x + 9.82y + 9.12z <= 345.7
-1.86x + 9.34y + 6.6z <= 909.51
-1.78x + 6.16y + -5.88z <= 797.05
-5.46x + 1.85y + -4.77z <= 816.69
-7.97x + -5.77y + -1.37z <= 553.75
-4.97x + -6.5y + 9.42z <= 373.34
8.2x + 6.18y + 0.68z <= 806.04
-4.85x + 4.42y + -8.04z <= 364.06
2.35x + -1.29y + 1.96z <= 330.91
-6.21x + -3.14y + -7.44z <= 486.07
2.03x + -7.1y + 4.65z <= 851.88
-6.94x + 7.26y + 8.06z <= 375.07
-9.93x + 5.71y + -9.58z <= 623.45
-1.13x + 2.22y + 6.49z <= 661.06
9.65x + 4.3y + 1.17z <= 371.33
-6.0x + -3.35y + 8.19z <= 653.68
-3.07x + 2.27y + -4.92z <= 338.52
-6.51x + -4.06y + 2.32z <= 239.9
-4.65x + 6.47y + 4.31z <= 748.25
-3.59x + 4.39y + 1.73z <= 153.45
8.03x + -2.13y + 3.86z <= 681.75
-1.96x + 8.89y + 3.43z <= 949.43
-5.95x + 2.97y + 8.6z <= 776.61
-6.48x + 6.6y + 8.85z <= 529.82
1.21x + 2.37y + 5.28z <= 817.95
-8.46x + -3.6y + -2.79z <= 262.06
3.06x + -0.86y + -9.06z <= 924.43
-9.29x + -5.45y + -1.99z <= 207.99
-2.89x + 7.42y + 5.42z <= 126.56
-9.62x + 9.19y + -7.8z <= 770.87
-8.46x + -7.99y + 1.26z <= 312.13
-7.89x + 5.6y + 3.92z <= 344.61
-7.67x + 0.49y + 2.64z <= 506.82
-8.94x + -3.35y + -8.89z <= 157.1
4.31x + -9.33y + 5.07z <= 990.43
-0.39x + -0.34y + 9.42z <= 291.57
5.33x + 0.69y + -0.23z <= 990.18
4.54x + -4.28y + 9.46z <= 439.28
-2.24x + 8.92y + 5.06z <= 469.24
-0.69x + -8.26y + 3.07z <= 299.19
-8.8x + -5.15y + -8.34z <= 563.95
-9.03x + 5.2y + -4.68z <= 983.65
9.09x + -2.65y + 9.08z <= 693.39
2.59x + -3.99y + 5.35z <= 322.15
4.54x + 3.81y + -8.64z <= 772.56
9.82x + -3.54y + -6.19z <= 178.85
-5.67x + -6.21y + -5.76z <= 460.19
1.51x + 2.1y + -6.71z <= 748.78
2.01x + 7.8y + -2.64z <= 227.62
-2.16x + 8.8y + -6.75z <= 425.71
1.37x + -7.0y + 0.61z <= 597.87
1.33x + -8.88y + 8.61z <= 780.36
-4.7x + 6.71y + 7.1z <= 942.78
8.87x + 9.74y + 1.01z <= 221.59
-0.49x + 9.92y + 9.72z <= 903.57
9.73x + -4.49y + 3.54z <= 169.77
5.3x + -9.49y + 3.56z <= 781.47
-2.1x + 3.68y + -0.05z <= 922.07
-6.57x + -1.84y + 9.74z <= 796.42
7.38x + 8.92y + -7.39z <= 462.2
-8.66x + 0.04y + -0.72z <= 281.75
-0.85x + -8.81y + -2.36z <= 298.11
1.9x + 8.13y + -4.69z <= 571.08
4.71x + 4.31y + -1.3z <= 547.77
9.47x + 8.98y + 5.71z <= 243.02
-6.3x + 5.24y + -0.73z <= 388.55
6.9x + 9.0y + 5.38z <= 776.89
0.47x + 7.54y + -8.79z <= 965.2
-9.19x + -2.54y + 9.52z <= 419.82
3.13x + -5.87y + 3.9z <= 326.33
-8.58x + 8.8y + 0.82z <= 707.33
-3.11x + 9.28y + -0.97z <= 488.8
6.87x + 1.59y + 7.66z <= 546.11
3.98x + -3.23y + -9.15z <= 452.43
7.5x + 3.84y + -1.13z <= 419.98
3.2x + -8.12y + -9.61z <= 837.37
-5.19x + -8.92y + -0.2z <= 394.48
8.03x + 6.92y + 6.43z <= 177.29
-3.3x + 1.07y + -8.89z <= 395.71
2.75x + 9.02y + 0.46z <= 138.47
-1.05x + 9.3y + -5.66z <= 194.66
3.41x + 2.16y + 1.8z <= 939.2
2.31x + 4.15y + -8.14z <= 850.96
-8.36x + 5.72y + -0.31z <= 741.42
-7.63x + -8.99y + 8.99z <= 727.8
-7.3x + 2.84y + 7.59z <= 737.62
-3.41x + 9.12y + 5.85z <= 790.33
-7.57x + -9.84y + -7.4z <= 345.08
-6.75x + -0.99y + 9.39z <= 567.02
-5.33x + 6.35y + 5.54z <= 110.91
6.42x + -3.58y + 6.83z <= 371.77
-4.95x + 4.28y + -7.55z <= 589.7
8.58x + 1.33y + -3.18z <= 707.52
-4.44x + -9.27y + -6.16z <= 247.9
-7.78x + -3.66y + 9.71z <= 893.86
-3.78x + -4.61y + 1.11z <= 338.23
-3.9x + 1.62y + -8.78z <= 923.75
7.68x + 5.41y + 3.1z <= 262.89
-5.43x + -8.71y + -9.71z <= 797.19
-9.73x + 8.4y + 7.07z <= 857.17
3.9x + 5.6y + 1.73z <= 879.59
-9.58x + -7.48y + -0.33z <= 334.89
-3.2x + -2.42y + 0.94z <= 773.28
-9.58x + -8.84y + 4.34z <= 606.32
-0.16x + -7.27y + 4.85z <= 640.89
-3.77x + -9.11y + -7.31z <= 780.53
2.25x + 3.34y + -1.98z <= 656.5
-4.08x + 5.34y + -5.3z <= 556.64
0.46x + 3.02y + -1.58z <= 453.26
2.6x + -5.8y + 8.53z <= 629.03
8.81x + 8.86y + -2.87z <= 811.43
-8.64x + 5.49y + -6.34z <= 460.45
2.77x + -6.78y + -8.25z <= 281.51
0.71x + 0.67y + -1.28z <= 454.16
-1.74x + 6.39y + 0.94z <= 824.48
4.27x + 8.2y + -6.66z <= 859.47
-8.57x + -5.49y + -2.08z <= 818.51
3.27x + 1.4y + -3.48z <= 699.73
-2.22x + -6.5y + 4.5z <= 694.71
-0.87x + -9.78y + -6.87z <= 429.21
6.48x + 8.34y + 0.66z <= 296.18
2.54x + 0.2y + 3.26z <= 954.01
4.51x + 1.36y + -9.05z <= 166.94
-1.6x + -1.23y + 6.27z <= 850.28
-8.41x + -7.86y + -3.34z <= 381.56
3.11x + -3.52y + 2.99z <= 690.09
-2.18x + 7.32y + -0.73z <= 709.06
-3.9x + 1.81y + 2.79z <= 486.87
-1.03x + -5.59y + 6.56z <= 379.34
-4.6x + 5.2y + -6.95z <= 608.94
-8.68x + -3.9y + -2.36z <= 994.41
-3.21x + 8.14y + -9.32z <= 617.99
1.04x + -9.71y + 2.73z <= 698.94
4.12x + 9.31y + -6.25z <= 388.29
8.66x + 1.23y + -8.0z <= 694.34
4.72x + 1.95y + -8.29z <= 142.97
-4.64x + 3.64y + 4.14z <= 761.82
6.7x + 1.2y + -5.35z <= 250.52
2.76x + 3.66y + 1.15z <= 712.04
1.65x + -0.38y + 4.61z <= 292.59
-3.09x + 4.21y + -9.0z <= 119.72
-5.33x + -9.66y + -1.42z <= 309.54
-5.11x + -9.14y + -9.21z <= 302.65
3.03x + -8.29y + 6.97z <= 418.88
3.14x + -2.8y + -6.77z <= 195.71
0.61x + -2.28y + -5.35z <= 996.49
4.23x + -5.44y + -1.84z <= 618.79
1.5x + -0.76y + 6.76z <= 929.21
4.48x + 7.35y + 0.36z <= 677.81
-8.99x + -6.82y + -3.2z <= 366.27
-6.91x + 3.19y + -4.48z <= 523.93
9.21x + 7.15y + 6.18z <= 552.85
-4.75x + -0.44y + 3.77z <= 522.07
7.09x + 4.72y + -5.3z <= 718.76
-7.68x + 6.57y + 7.37z <= 311.46
-2.41x + -1.86y + 5.46z <= 418.45
0.18x + -9.79y + 7.73z <= 676.17
5.47x + 0.57y + 6.76z <= 403.75
0.3x + -3.25y + 9.86z <= 970.95
-4.73x + -7.1y + -3.04z <= 776.63
-3.38x + 4.62y + 6.33z <= 322.51
-7.09x + 5.16y + 9.7z <= 502.43
-1.17x + 0.69y + -0.41z <= 415.15
-2.7x + -3.25y + 4.48z <= 173.45
-5.65x + -8.19y + -3.58z <= 166.28
-8.68x + -7.54y + -2.08z <= 946.06
-5.4x + -7.72y + 9.49z <= 722.46
8.43x + 4.58y + -4.52z <= 720.39
4.45x + -6.97y + 3.75z <= 830.92
7.27x + -0.37y + -5.66z <= 600.98
4.04x + 5.98y + 3.35z <= 376.32
-4.09x + 8.24y + -7.72z <= 797.24
6.6x + 6.16y + -3.67z <= 967.28
-0.64x + 6.64y + 7.95z <= 347.9
-0.67x + -0.07y + -0.89z <= 850.14
-9.31x + -5.69y + 2.52z <= 780.56
6.13x + -5.83y + 3.8z <= 198.46
0.01x + -0.03y + -1.9z <= 592.86
8.71x + 5.1y + -0.15z <= 184.13
0.81x + -5.87y + 1.03z <= 328.71
-4.27x + -7.13y + 0.8z <= 288.65
9.03x + -8.8y + 8.29z <= 419.08
0.36x + 3.63y + 6.97z <= 160.42
0.78x + -0.27y + 4.34z <= 935.91
-2.36x + 9.35y + -7.19z <= 311.01
-2.01x + -4.84y + 2.47z <= 788.79
-5.54x + 1.99y + -4.14z <= 972.19
-1.51x + -5.7y + 9.17z <= 928.06
-2.93x + -1.86y + -1.14z <= 959.07
0.55x + -5.49y + 9.03z <= 907.3
9.55x + -1.07y + 9.81z <= 382.34
7.43x + -4.87y + -5.64z <= 748.67
-6.97x + 1.11y + 7.22z <= 614.1
9.4x + -6.31y + -4.0z <= 515.49
-3.68x + 8.39y + -4.48z <= 823.53
-0.6x + 2.93y + -5.14z <= 646.83
6.38x + 3.05y + 4.64z <= 852.8
8.94x + -4.46y + -0.09z <= 369.21
0.58x + -6.05y + 9.2z <= 964.27
-5.09x + -1.46y + 3.93z <= 717.01
-2.32x + -2.89y + -1.9z <= 197.79
-1.63x + -7.04y + -4.82z <= 637.74
-1.39x + 5.07y + 0.42z <= 710.43
6.46x + -2.57y + -3.43z <= 689.09
-7.1x + 3.66y + 2.36z <= 327.07
4.87x + -2.08y + 3.38z <= 901.33
-5.31x + 6.27y + -7.97z <= 856.97
-0.09x + 9.2y + 6.14z <= 874.02
-2.17x + -6.11y + -9.77z <= 279.68
-9.97x + -0.61y + -3.27z <= 893.81
3.41x + -0.19y + 0.7z <= 390.39
-1.15x + 7.12y + -1.31z <= 429.57
-4.71x + 2.78y + -9.32z <= 639.73
3.18x + -7.56y + -0.85z <= 484.27
-2.35x + -3.98y + 2.29z <= 322.08
-0.78x + 5.87y + -8.78z <= 412.38
1.16x + 4.04y + 8.87z <= 128.21
-3.55x + -5.99y + -2.51z <= 154.96
-3.22x + -3.2y + -8.02z <= 305.18
-6.14x + -6.82y + 0.61z <= 266.73
7.0x + 8.11y + -1.31z <= 695.02
5.26x + 7.53y + 5.16z <= 355.83
7.68x + -4.31y + -4.24z <= 357.83
-2.37x + -6.97y + -0.22z <= 527.94
7.2x + 3.41y + -5.21z <= 974.89
9.59x + -7.27y + 4.89z <= 850.32
-2.99x + -9.62y + -7.05z <= 618.39
4.23x + 1.6y + -1.39z <= 885.94
7.17x + -6.1y + 7.98z <= 320.81
5.71x + -6.6y + 7.59z <= 439.3
-9.26x + 0.99y + -7.19z <= 694.72
8.04x + 6.35y + 6.41z <= 660.84
7.61x + 5.64y + -0.94z <= 337.05
1.53x + 6.13y + -5.93z <= 798.8
-5.83x + 9.53y + -3.44z <= 222.4
5.51x + -3.34y + -5.88z <= 829.03
-6.2x + -1.43y + -4.17z <= 641.01
-6.42x + 2.81y + 6.24z <= 666.96
1.43x + -7.88y + 2.55z <= 441.7
1.88x + -4.93y + -7.84z <= 362.26
-3.89x + 7.18y + -7.24z <= 487.75
9.95x + -7.29y + -1.66z <= 671.56
2.9x + -8.38y + -6.71z <= 292.29
1.48x + 7.11y + 7.76z <= 367.66
-7.72x + -2.63y + 7.99z <= 592.57
-9.9x + -5.9y + 2.44z <= 722.64
-7.58x + 7.24y + -3.38z <= 917.65
-1.02x + -8.95y + -3.76z <= 854.83
-8.39x + -2.28y + -1.53z <= 457.57
3.65x + 5.17y + 1.28z <= 365.17
3.64x + 0.99y + -1.49z <= 538.91
-8.93x + 5.51y + 0.2z <= 677.88
-9.85x + -2.81y + 1.82z <= 427.44
-0.86x + -1.35y + -7.68z <= 872.99
-5.19x + -1.15y + -8.51z <= 874.91
3.36x + -5.87y + 2.45z <= 152.63
9.73x + 1.87y + 6.75z <= 567.98
-5.7x + 0.24y + 8.34z <= 854.01
-1.92x + -9.87y + -8.74z <= 594.32
-8.24x + -2.41y + -5.26z <= 978.76
-2.48x + -4.85y + 0.52z <= 780.49
-3.39x + -4.93y + 4.02z <= 273.06
-2.92x + -0.36y + -8.28z <= 544.35
-5.84x + -7.52y + -9.32z <= 194.73
-9.58x + -6.35y + 9.3z <= 485.73
-6.19x + -0.83y + -9.48z <= 802.55
6.67x + -4.95y + 4.79z <= 800.81
1.01x + 9.47y + -2.44z <= 307.15
9.88x + 8.2y + -1.78z <= 682.66
7.2x + 0.13y + -6.2z <= 178.4
-9.77x + 0.42y + 8.7z <= 431.26
3.62x + 7.82y + 4.22z <= 287.18
-2.54x + 7.13y + -4.22z <= 272.14
2.78x + 8.17y + -7.67z <= 978.31
-8.46x + 2.95y + -9.26z <= 344.15
-8.62x + -9.23y + -8.46z <= 336.24
2.28x + -1.21y + -7.63z <= 878.43
-0.85x + 0.25y + 8.04z <= 463.76
-9.6x + 6.58y + -2.99z <= 519.52
0.23x + 5.4y + -0.51z <= 494.21
6.43x + 6.45y + -3.9z <= 484.98
-0.83x + 8.23y + 7.96z <= 272.58
8.32x + -7.7y + 4.77z <= 157.78
4.11x + 8.27y + 1.21z <= 292.72
-6.18x + 8.11y + 3.14z <= 900.36
1.78x + -8.67y + -9.31z <= 553.65
2.94x + 5.7y + -5.66z <= 501.75
9.77x + -5.8y + 6.93z <= 284.91
4.93x + -5.3y + -1.2z <= 289.39
-7.91x + -2.22y + -1.99z <= 582.49
9.74x + -0.82y + -2.58z <= 283.93
-1.34x + -9.32y + 2.93z <= 637.87
-6.73x + -3.78y + 4.8z <= 881.95
0.13x + 5.06y + 4.51z <= 177.55
-5.38x + 1.74y + 4.78z <= 482.48
-3.22x + 2.17y + 9.43z <= 512.2
9.0x + -2.76y + 2.1z <= 512.62
-1.17x + 8.02y + 7.75z <= 842.17
9.89x + -8.14y + 1.58z <= 212.7
6.67x + 7.64y + 0.7z <= 241.66
0.74x + -2.86y + -1.16z <= 617.35
-1.99x + 9.87y + -3.74z <= 276.1
5.13x + -9.48y + -0.49z <= 677.28
