max 7.72x + -4.04y + 3.37z
-8.39x + 6.89y + 1.38z <= 615.45
7.44x + -8.39y + -8.93z <= 484.58
4.56x + -7.4y + 8.13z <= 772.97
8.84x + -2.93y + 2.93z <= 323.99
-4.94x + 0.42y + -2.05z <= 625.37
-5.93x + 3.72y + 3.1z <= 150.46
7.71x + -8.7y + -0.2z <= 737.28
9.84x + 9.44y + -9.31z <= 205.2
0.53x + 4.58y + -9.08z <= 928.87
0.4x + 0.04y + -7.17z <= 302.95
5.26x + -9.25y + -5.56z <= 720.85
-0.95x + 1.23y + -7.09z <= 702.19
-7.21x + -6.33y + -1.06z <= 195.24
0.63x + 2.78y + 8.43z <= 329.34
-5.79x + -2.4y + -0.25z <= 389.13
9.22x + 7.55y + -0.86z <= 132.58
0.33x + -2.74y + 6.83z <= 811.44
-8.94x + 0.96y + -9.83z <= 809.7
-1.36x + -9.17y + 7.45z <= 352.53
-8.98x + 9.83y + 2.22z <= 826.93
6.17x + -0.1y + -4.28z <= 447.33
2.32x + -2.27y + 1.77z <= 272.46
-1.06x + -1.62y + 4.38z <= 252.72
9.99x + 8.99y + 2.23z <= 347.54
-6.58x + -1.68y + -2.24z <= 190.79
-0.71x + -5.04y + 4.78z <= 944.21
1.38x + -5.75y + -3.99z <= 144.65
-7.49x + 2.83y + -0.92z <= 341.52
7.62x + -3.83y + 9.6z <= 599.61
3.7x + 1.11y + -4.9z <= 145.43
5.2x + -3.15y + 3.81z <= 174.42
-4.01x + -2.24y + -6.31z <= 106.02
-6.96x + 5.33y + -2.33z <= 777.0
2.46x + 4.17y + 8.42z <= 538.61
-7.17x + -1.7y + -5.71z <= 985.97
8.39x + -0.61y + -0.47z <= 164.02
2.87x + -9.95y + 6.15z <= 690.36
-8.73x + 6.01y + 3.31z <= 285.36
8.3x + 1.81y + 5.79z <= 726.61
3.46x + -9.4y + -7.64z <= 718.78
-0.24x + 1.3y + 2.46z <= 247.07
0.96x + 7.65y + 7.11z <= 871.65
-7.8x + 1.31y + -3.53z <= 840.5
5.94x + -9.82y + 0.27z <= 578.85
-6.82x + 6.96y + 6.43z <= 150.14
8.22x + 7.22y + 9.18z <= 828.42
-4.67x + -9.79y + 6.6z <= 196.12
-1.68x + -8.38y + -5.81z <= 670.36
-0.01x + 8.92y + 0.77z <= 292.18
1.57x + -2.25y + -1.17z <= 845.95
-8.31x + -5.05y + 7.52z <= 839.41
-7.47x + -9.66y + -3.62z <= 881.75
3.75x + -2.94y + 3.44z <= 792.11
3.79x + 8.45y + 9.62z <= 748.27
9.91x + 1.98y + -5.27z <= 536.75
8.75x + 6.32y + -7.39z <= 973.15
-6.77x + -7.49y + -6.98z <= 701.82
-2.1x + -3.23y + 9.24z <= 358.31
-5.43x + -3.96y + 6.24z <= 328.62
-8.18x + -8.35y + -5.25z <= 508.98
-8.89x + 0.9y + 6.7z <= 224.94
-9.09x + 6.64y + 7.74z <= 712.42
4.71x + 5.61y + 5.8z <= 275.88
-2.46x + 0.16y + 1.65z <= 380.14
-8.08x + -6.56y + -3.06z <= 388.6
-2.01x + -0.45y + -8.74z <= 873.72
-3.03x + -2.49y + -1.35z <= 521.67
-1.2x + 9.85y + -1.51z <= 526.26
2.49x + 0.6y + -8.94z <= 142.36
2.74x + 6.88y + 5.01z <= 453.78
4.65x + 0.26y + 5.38z <= 667.51
8.95x + -1.09y + -7.61z <= 134.33
6.25x + 1.06y + -4.28z <= 618.86
-2.81x + -2.63y + 1.03z <= 530.68
5.71x + 9.51y + -5.17z <= 302.25
-8.66x + 5.87y + -0.58z <= 865.16
8.2x + 9.1y + -9.68z <= 978.98
-3.43x + -0.01y + 6.27z <= 733.73
0.77x + -1.84y + -2.23z <= 914.54
4.59x + 1.8y + -0.4z <= 837.13
2.45x + -9.89y + 6.83z <= 271.67
8.82x + 0.55y + -8.76z <= 489.69
-3.23x + -2.93y + 5.83z <= 854.6
0.85x + 1.4y + 2.9z <= 637.46
4.64x + 6.02y + -4.76z <= 836.38
1.8x + 1.84y + -3.69z <= 491.11
-5.06x + 5.49y + 2.8z <= 334.76
2.02x + 3.93y + -7.19z <= 425.42
5.08x + -4.85y + 2.61z <= 416.66
-1.21x + 0.65y + 4.3z <= 182.36
-5.77x + 4.19y + 7.57z <= 463.84
3.17x + -2.39y + 3.51z <= 614.14
3.19x + 7.96y + 9.23z <= 572.78
-6.71x + 6.44y + 4.5z <= 817.74
1.64x + 9.49y + 5.15z <= 188.27
1.38x + -0.42y + -1.49z <= 411.24
-2.52x + 7.57y + 5.82z <= 290.06
0.41x + 2.02y + -9.73z <= 706.77
-7.74x + 1.61y + -1.47z <= 673.78
5.29x + 9.75y + -8.79z <= 516.4
-9.28x + 5.42y + -8.82z <= 403.95
3.72x + 7.86y + 0.15z <= 860.2
1.98x + 2.51y + 5.19z <= 803.75
-0.48x + 9.68y + 0.43z <= 975.55
1.56x + -3.11y + 3.16z <= 114.53
-9.78x + -2.28y + -8.0z <= 649.41
-9.43x + 9.91y + 9.91z <= 271.28
-7.27x + 7.33y + -4.76z <= 884.57
-4.53x + 7.13y + 0.02z <= 672.36
3.94x + 0.31y + 6.86z <= 807.07
-8.03x + -7.49y + -3.61z <= 769.58
-8.83x + 4.34y + -1.9z <= 810.3
-4.07x + 0.29y + -9.93z <= 770.45
7.28x + 7.24y + -3.81z <= 848.16
5.63x + -7.85y + -9.46z <= 480.1
9.59x + 8.42y + -0.88z <= 399.36
5.71x + 8.17y + 4.36z <= 568.73
-0.06x + 5.69y + -4.65z <= 731.54
-9.63x + -7.57y + -0.86z <= 614.47
3.99x + -4.9y + -6.99z <= 775.5
-5.09x + -4.26y + 6.23z <= 742.53
-0.06x + 7.88y + -5.3z <= 170.84
1.65x + 5.26y + -3.89z <= 402.36
-4.0x + 5.75y + -7.24z <= 192.15
1.6x + -9.16y + 6.51z <= 350.55
3.84x + 5.61y + 1.18z <= 309.12
-6.15x + -7.49y + -7.53z <= 679.56
-4.89x + -6.42y + 6.02z <= 520.71
-7.87x + -7.47y + -8.7z <= 992.13
-2.04x + -5.86y + -8.85z <= 510.39
-9.67x + 8.21y + -3.93z <= 586.53
-2.9x + -7.84y + -8.6z <= 478.53
-4.04x + -6.78y + -7.36z <= 277.78
-8.77x + 2.28y + -2.82z <= 878.08
-9.97x + -6.23y + -0.3z <= 663.8
1.19x + 1.99y + -1.46z <= 906.05
9.11x + -7.7y + 6.78z <= 794.45
0.78x + -9.57y + -5.12z <= 765.7
9.05x + 6.14y + -3.71z <= 282.95
5.98x + 9.62y + -9.1z <= 933.65
5.75x + 5.73y + 9.12z <= 393.36
1.52x + 0.88y + -6.23z <= 308.58
-5.26x + 2.56y + 1.27z <= 741.36
8.82x + 9.82y + 1.22z <= 334.93
-3.4x + 0.26y + 2.31z <= 518.49
-9.2x + -8.4y + 8.04z <= 220.77
-0.57x + 9.13y + 4.91z <= 413.07
-7.22x + -8.8y + -4.5z <= 563.95
-5.29x + 4.41y + -5.33z <= 893.27
-6.73x + -1.99y + 3.18z <= 642.19
7.49x + 9.99y + 1.45z <= 909.41
4.78x + -3.27y + 0.97z <= 647.65
9.83x + 0.28y + -1.06z <= 755.94
2.12x + -3.94y + -0.15z <= 893.68
6.19x + -2.84y + 3.66z <= 114.27
3.14x + 8.98y + -5.5z <= 227.23
-7.05x + -7.63y + 8.51z <= 878.32
8.81x + 8.8y + 1.9z <= 161.6
6.83x + 5.77y + -3.16z <= 942.86
-7.33x + 5.09y + -8.6z <= 287.85
5.05x + -2.58y + 0.11z <= 714.31
4.44x + -9.77y + 6.77z <= 902.88
2.19x + -9.62y + 2.12z <= 595.18
9.26x + -7.71y + 6.21z <= 628.05
1.45x + 5.22y + -5.76z <= 232.18
3.21x + 1.17y + 4.78z <= 671.83
7.5x + -2.54y + -4.4z <= 279.11
-0.74x + -3.31y + 1.87z <= 422.89
0.25x + -4.59y + 0.18z <= 162.7
-1.79x + 1.01y + -2.13z <= 996.94
-9.2x + 8.82y + -0.12z <= 288.83
6.28x + -8.2y + 3.78z <= 791.08
-9.02x + 2.87y + -8.81z <= 833.06
-3.93x + 5.71y + 9.45z <= 257.06
5.54x + -5.41y + 5.0z <= 305.02
2.42x + 7.25y + 3.99z <= 178.11
-5.64x + 3.44y + -0.96z <= 186.96
1.91x + -6.47y + -9.95z <= 527.19
6.04x + 9.12y + -9.33z <= 755.63
8.98x + -0.89y + -7.88z <= 687.43
-2.57x + -2.35y + -0.22z <= 147.18
1.63x + -0.37y + 7.62z <= 273.98
-7.31x + -6.94y + 6.5z <= 556.98
-7.31x + 0.46y + 7.77z <= 522.47
-7.26x + 3.92y + -8.12z <= 729.85
-8.99x + -6.41y + -8.83z <= 736.13
0.14x + -3.05y + 0.56z <= 529.26
-2.62x + -3.27y + -9.62z <= 172.05
-6.74x + 0.67y + -1.28z <= 365.21
-0.55x + 1.18y + -4.87z <= 459.28
-7.1x + -9.1y + 7.61z <= 676.25
4.34x + -8.18y + 0.74z <= 918.35
-7.34x + -8.99y + 5.78z <= 772.6
-7.17x + 8.32y + -0.73z <= 940.02
-1.73x + -1.2y + 1.53z <= 225.35
9.15x + 0.67y + 5.41z <= 577.0
-9.29x + 3.82y + -2.51z <= 258.4
-3.39x + 9.26y + -5.75z <= 794.3
-4.13x + 9.08y + -1.32z <= 357.06
-4.17x + -9.5y + 5.93z <= 796.62
2.82x + -8.82y + -4.84z <= 866.38
9.49x + -2.22y + 6.8z <= 266.13
5.93x + 7.04y + 2.76z <= 213.1
-6.35x + 2.49y + -3.12z <= 462.42
3.76x + 8.33y + -3.54z <= 217.0
-1.59x + -6.97y + 5.86z <= 245.29
-0.6x + -8.94y + -6.46z <= 172.07
7.47x + -5.62y + -1.05z <= 647.68
-7.98x + 8.24y + 3.39z <= 408.03
-3.68x + -9.34y + 2.82z <= 794.62
-4.92x + 3.58y + -8.04z <= 245.16
-9.86x + 5.46y + 4.55z <= 773.35
-5.66x + 5.8y + -9.16z <= 190.36
-6.9x + -3.78y + -4.47z <= 855.8
-5.25x + -3.71y + -0.31z <= 216.98
7.05x + 0.56y + -9.21z <= 151.34
-1.67x + -5.16y + 0.54z <= 271.39
-2.42x + -4.82y + -6.81z <= 480.2
-9.09x + -4.49y + 3.43z <= 541.99
-3.86x + -0.7y + -8.75z <= 136.71
5.45x + -0.16y + -5.12z <= 806.97
5.58x + -7.83y + 7.96z <= 237.03
-8.16x + 5.9y + -2.17z <= 698.33
-7.34x + -0.13y + 4.56z <= 875.34
0.27x + 3.75y + -5.42z <= 294.27
-7.93x + -1.17y + -3.07z <= 156.28
1.48x + -0.72y + -5.01z <= 705.24
-7.05x + 5.4y + -7.98z <= 204.49
0.64x + -7.56y + -5.7z <= 807.95
4.93x + 0.19y + -6.29z <= 536.51
-2.58x + -6.6y + -1.3z <= 197.71
3.7x + -2.29y + -5.01z <= 611.07
2.17x + 1.51y + -3.58z <= 586.12
3.97x + -2.82y + -3.78z <= 212.39
7.94x + -2.05y + -1.63z <= 880.6
-0.72x + -4.09y + 2.58z <= 389.07
3.57x + 3.89y + 9.95z <= 786.72
0.2x + -3.22y + -2.28z <= 540.17
3.14x + 4.11y + -2.06z <= 300.96
-6.29x + -8.84y + 6.43z <= 755.01
2.64x + -7.76y + 2.66z <= 752.29
-2.54x + 0.27y + 9.53z <= 546.55
-3.55x + -6.9y + -3.7z <= 266.95
-2.06x + -1.56y + 3.65z <= 594.91
-8.13x + 1.22y + -8.33z <= 547.65
8.74x + 1.18y + -7.66z <= 136.17
9.78x + 9.76y + -8.8z <= 229.8
5.15x + -6.56y + 3.14z <= 728.65
-8.11x + -1.32y + -6.3z <= 779.24
3.47x + 9.96y + -9.19z <= 993.13
-5.97x + -9.17y + -2.05z <= 776.43
-6.56x + -9.15y + -4.03z <= 784.24
7.64x + 5.69y + 4.36z <= 513.34
7.26x + -3.87y + 2.75z <= 700.57
-3.59x + 8.29y + -6.88z <= 561.19
9.28x + 8.74y + 1.55z <= 432.58
-5.04x + 6.98y + 9.74z <= 750.41
-4.01x + 8.92y + 6.24z <= 551.73
6.14x + 4.73y + -5.76z <= 287.24
8.56x + 4.83y + 7.04z <= 171.66
-1.37x + -3.38y + 9.69z <= 414.31
6.46x + -7.02y + -0.64z <= 718.86
-2.6x + -1.39y + -3.46z <= 638.83
-6.22x + -0.48y + 3.27z <= 938.04
1.27x + 5.92y + 9.33z <= 558.11
8.16x + 5.5y + 7.06z <= 297.39
-1.3x + -5.4y + 4.1z <= 792.79
-7.21x + 3.39y + -6.16z <= 105.89
-4.75x + -4.92y + -2.74z <= 627.04
2.16x + -3.95y + 6.65z <= 977.69
8.72x + -3.6y + 3.48z <= 258.28
-6.58x + 7.5y + -7.23z <= 301.51
0.59x + 1.05y + 1.07z <= 116.94
9.2x + -0.67y + 1.13z <= 822.52
5.59x + 0.92y + -8.22z <= 171.62
0.92x + 2.51y + -7.44z <= 955.91
3.38x + 2.8y + -7.74z <= 764.59
8.32x + -5.76y + -2.86z <= 440.66
-7.02x + -6.3y + 8.03z <= 560.73
9.36x + -5.05y + 3.56z <= 575.2
-7.31x + -3.46y + 1.76z <= 615.12
-9.42x + 0.71y + 6.89z <= 375.99
2.26x + -0.85y + -0.2z <= 169.85
-5.21x + 8.72y + 0.73z <= 651.48
-4.6x + -9.87y + -2.67z <= 703.91
-1.7x + -5.04y + -4.92z <= 324.17
-1.93x + -3.66y + 0.32z <= 758.8
8.01x + 8.29y + 9.78z <= 456.51
5.04x + -1.06y + 7.58z <= 238.09
1.17x + -8.28y + -0.78z <= 964.36
1.42x + -7.75y + 8.46z <= 706.9
-1.44x + -2.2y + -8.5z <= 441.43
9.86x + -0.84y + -2.04z <= 230.48
-9.34x + 5.42y + 6.9z <= 980.95
5.87x + -9.53y + 5.48z <= 834.76
-6.91x + -8.95y + -5.77z <= 523.45
-1.41x + 9.44y + -1.93z <= 398.63
-3.27x + -2.37y + 8.38z <= 222.2
-2.13x + -4.04y + -9.73z <= 680.97
9.97x + 9.43y + 3.33z <= 944.92
-5.49x + -8.64y + -7.04z <= 587.92
7.8x + -4.45y + -0.3z <= 460.76
1.96x + 8.45y + 4.87z <= 747.84
2.78x + -3.0y + 4.01z <= 602.91
3.45x + 5.72y + 2.06z <= 297.64
8.35x + 9.66y + -3.16z <= 104.91
5.45x + 5.61y + 7.31z <= 671.39
-9.19x + 5.25y + 0.56z <= 564.59
-1.07x + -4.37y + 7.25z <= 604.24
3.13x + 9.81y + 5.64z <= 979.24
4.96x + 5.84y + 0.11z <= 213.74
-5.33x + 2.75y + 2.66z <= 617.32
-6.72x + 8.8y + -3.27z <= 674.25
8.81x + -8.07y + -8.92z <= 735.37
5.4x + -5.59y + -9.38z <= 544.33
-3.26x + -3.19y + 6.23z <= 639.0
-8.75x + 4.35y + -9.05z <= 810.01
1.33x + 8.88y + -9.5z <= 909.08
0.62x + 1.44y + -4.28z <= 213.66
-2.71x + 7.44y + 9.76z <= 170.75
-7.04x + -3.15y + 0.82z <= 648.46
-3.77x + -3.56y + 9.77z <= 623.04
-6.24x + -7.56y + -4.78z <= 635.9
6.91x + -9.01y + -0.95z <= 964.69
-3.74x + -8.44y + 7.08z <= 454.99
7.11x + -4.26y + -4.2z <= 861.91
6.83x + -9.61y + 4.14z <= 107.5
2.18x + -3.08y + 6.43z <= 332.95
2.67x + -7.1y + -3.84z <= 681.94
-3.37x + -9.56y + -2.55z <= 568.54
-3.24x + -2.23y + -1.1z <= 215.54
-1.6x + -1.73y + 4.05z <= 605.34
6.19x + 7.55y + -9.27z <= 319.44
4.61x + 7.02y + 6.37z <= 153.36
-0.2x + -2.58y + -0.71z <= 419.28
6.45x + -5.05y + 9.77z <= 768.79
-0.32x + -4.21y + -7.12z <= 185.36
7.6x + -6.64y + 6.93z <= 979.54
1.54x + 8.21y + -3.63z <= 726.94
3.65x + -4.36y + 1.18z <= 804.38
2.19x + 5.26y + -9.57z <= 864.41
7.13x + 7.47y + -5.4z <= 556.96
9.02x + 6.31y + 2.52z <= 177.11
9.39x + 4.47y + -2.51z <= 819.89
2.83x + -6.88y + 1.56z <= 428.05
7.96x + 6.74y + -4.91z <= 885.04
-8.4x + 1.18y + -3.07z <= 689.94
-4.61x + -3.11y + -7.04z <= 914.59
-8.84x + -8.75y + 7.89z <= 211.68
-9.87x + 6.74y + 7.5z <= 557.87
-1.01x + 4.98y + 7.42z <= 949.63
4.75x + 8.82y + -1.53z <= 876.81
-2.5x + 3.62y + -3.43z <= 348.8
6.82x + -4.07y + -1.7z <= 864.2
-4.15x + 2.95y + -0.9z <= 802.94
-1.43x + -6.21y + -8.19z <= 712.91
-1.86x + -1.41y + -6.77z <= 230.5
1.65x + -0.37y + 5.4z <= 659.4
1.75x + 1.37y + 3.14z <= 623.2
-5.46x + 2.74y + 1.01z <= 390.16
8.69x + 6.83y + -1.91z <= 744.49
4.79x + -1.95y + 4.51z <= 501.55
6.87x + 0.23y + 1.04z <= 706.03
-9.48x + -6.4y + 6.09z <= 563.16
-0.5x + -7.84y + -9.17z <= 562.82
-7.05x + 7.24y + -5.45z <= 650.79
-8.42x + 7.57y + 3.86z <= 156.95
4.71x + -8.9y + 1.64z <= 132.39
2.92x + 6.55y + -6.23z <= 528.67
8.85x + 0.64y + 0.4z <= 208.86
6.28x + -9.17y + 2.67z <= 133.15
5.55x + 4.69y + 3.31z <= 341.96
-9.46x + -2.46y + 1.17z <= 970.89
0.34x + 1.79y + 4.39z <= 978.66
-0.08x + -2.7y + -9.14z <= 971.27
1.63x + 0.85y + -2.98z <= 908.43
-3.29x + -1.84y + -5.06z <= 903.45
3.51x + -9.12y + -6.22z <= 598.38
-3.58x + 8.24y + 0.98z <= 676.41
-5.32x + 9.98y + -4.12z <= 145.74
9.93x + 7.31y + -7.53z <= 186.92
-8.21x + -8.62y + -6.05z <= 742.04
-8.07x + -6.58y + -3.84z <= 717.02
-6.12x + 4.56y + 3.49z <= 142.26
-6.98x + -6.65y + 4.48z <= 916.87
8.94x + 0.34y + 7.42z <= 379.9
5.56x + -4.18y + 1.3z <= 177.12
-1.69x + 0.41y + 9.33z <= 649.71
4.19x + 6.02y + -8.47z <= 719.04
-3.02x + 1.65y + -5.59z <= 792.18
5.21x + 6.22y + 2.48z <= 684.48
9.07x + -3.34y + -6.14z <= 611.1
2.27x + -4.8y + 8.93z <= 858.8
-3.4x + 2.39y + -6.95z <= 892.75
-5.86x + -7.99y + -9.62z <= 637.23
-0.86x + -0.27y + -3.14z <= 834.14
1.83x + -8.5y + 8.91z <= 912.64
-2.56x + -0.78y + 6.0z <= 926.54
-4.51x + 9.59y + -2.35z <= 972.47
5.24x + 8.25y + -8.83z <= 640.69
-6.74x + 6.03y + -7.76z <= 932.56
7.27x + 0.53y + 5.24z <= 135.23
-9.69x + 4.4y + -7.31z <= 856.38
-5.99x + -7.59y + 3.17z <= 161.1
-0.23x + -1.14y + 9.07z <= 762.36
9.28x + -7.82y + -0.85z <= 885.95
7.7x + 3.07y + -8.58z <= 393.79
-5.68x + -4.04y + 8.22z <= 796.64
-5.13x + 6.87y + 1.1z <= 505.81
-6.75x + 4.75y + 2.17z <= 709.62
5.67x + 1.68y + -8.81z <= 566.28
0.58x + -2.48y + -6.3z <= 541.98
6.03x + -1.94y + 7.05z <= 729.19
-1.5x + -1.42y + 7.75z <= 731.8
-6.0x + 8.48y + 8.11z <= 254.74
7.18x + 2.32y + -1.44z <= 338.18
9.93x + -5.86y + -7.61z <= 559.51
0.46x + 0.64y + -2.1z <= 972.59
-5.54x + -7.88y + -6.4z <= 965.71
-4.34x + 2.4y + -7.37z <= 524.13
4.49x + -8.82y + -8.3z <= 255.93
-3.55x + 2.73y + 2.93z <= 811.4
-0.69x + -3.88y + -5.55z <= 326.02
-8.8x + 6.15y + 3.24z <= 277.97
-0.75x + -5.02y + -1.74z <= 812.99
4.11x + -6.04y + -8.7z <= 320.26
1.97x + 2.6y + 0.12z <= 749.19
5.53x + -5.96y + 4.07z <= 734.31
-8.1x + -9.83y + 2.91z <= 757.05
-0.78x + 9.51y + 9.79z <= 412.53
-5.36x + 9.42y + 4.77z <= 945.9
2.68x + -6.55y + -3.89z <= 200.55
-0.26x + -2.96y + -2.17z <= 929.9
2.31x + 8.52y + -7.36z <= 360.0
-4.64x + -5.43y + 8.72z <= 724.16
5.38x + 3.65y + -5.83z <= 682.09
-5.24x + 1.75y + 6.5z <= 831.65
-0.39x + -9.74y + 5.46z <= 907.35
4.98x + 8.82y + -5.8z <= 755.41
-0.84x + 5.48y + -5.22z <= 922.86
7.75x + 3.58y + -1.55z <= 120.77
7.59x + -7.51y + 7.99z <= 643.81
9.79x + 3.02y + 4.68z <= 754.51
4.34x + -9.19y + -8.04z <= 381.7
-0.89x + -2.19y + -7.62z <= 447.23
-0.76x + -8.13y + 1.85z <= 489.88
1.3x + -4.59y + 8.67z <= 754.11
-2.14x + -1.32y + 8.25z <= 650.39
8.18x + -2.44y + 3.79z <= 980.19
2.76x + 5.67y + 4.03z <= 776.31
7.83x + 6.48y + -3.58z <= 466.5
-5.94x + 1.62y + -8.38z <= 591.7
4.52x + 9.38y + 2.04z <= 211.59
8.55x + 2.15y + -5.91z <= 979.94
1.43x + 8.18y + -5.41z <= 791.25
5.39x + 9.14y + 3.44z <= 938.57
1.47x + -3.81y + -7.18z <= 818.5
3.76x + -0.92y + -0.37z <= 456.39
-2.77x + -1.1y + 2.38z <= 238.91
8.51x + 5.72y + 1.95z <= 354.72
4.5x + 6.94y + 7.74z <= 669.53
6.75x + 5.62y + 8.72z <= 105.06
3.38x + 1.9y + -5.76z <= 790.11
-8.8x + 4.58y + 2.87z <= 400.42
-8.97x + 7.19y + 6.5z <= 858.09
2.71x + -6.63y + -9.52z <= 807.18
1.87x + 5.41y + 1.75z <= 738.46
-7.94x + -6.2y + -4.65z <= 662.73
-2.05x + 8.5y + 4.52z <= 101.32
-4.99x + 7.52y + 5.58z <= 653.32
-7.68x + -9.89y + -0.97z <= 399.59
6.63x + -3.4y + 6.4z <= 125.43
-6.34x + -2.39y + 3.67z <= 199.4
-0.23x + 2.35y + -2.52z <= 382.9
-0.96x + 6.22y + 7.71z <= 220.3
-5.87x + 0.87y + 7.75z <= 949.62
1.68x + -6.66y + 2.27z <= 567.83
-4.82x + 0.42y + 2.43z <= 385.83
-9.07x + -9.21y + -2.46z <= 250.5
-9.29x + 1.7y + -8.13z <= 937.33
-5.85x + -1.79y + -9.98z <= 461.96
1.77x + -1.67y + 4.33z <= 701.36
2.09x + 2.64y + 8.27z <= 840.98
-5.38x + 5.77y + 6.77z <= 670.64
-4.43x + -9.02y + 8.23z <= 166.0
3.16x + -0.77y + 0.1z <= 220.49
-1.6x + 9.21y + 0.9z <= 476.65
-7.6x + 7.39y + -7.14z <= 385.25
-8.24x + 2.84y + -9.83z <= 276.87
9.33x + -6.73y + 6.34z <= 241.78
-3.39x + -8.97y + -5.96z <= 359.3
3.44x + 1.79y + 6.72z <= 468.99
4.45x + -10.0y + -9.02z <= 608.14
-7.84x + -4.44y + 7.68z <= 209.04
-0.53x + -1.53y + 9.47z <= 788.72
-4.58x + 2.89y + -0.59z <= 205.97
3.42x + -6.96y + -7.64z <= 854.28
-0.82x + -3.38y + -8.52z <= 268.75
-5.72x + -4.22y + 7.45z <= 181.48
-1.16x + -9.71y + -0.49z <= 830.01
6.24x + 9.64y + -0.14z <= 661.29
-4.02x + -3.99y + 8.09z <= 868.65
5.5x + -1.42y + 0.03z <= 636.21
-2.65x + -4.0y + 6.92z <= 534.16
-3.39x + 7.8y + -3.77z <= 862.5
1.01x + 0.97y + 6.66z <= 765.54
0.52x + 7.51y + 4.69z <= 155.32
1.46x + 5.36y + 9.19z <= 412.15
