max -8.18x + 6.72y + 2.9z
1.87x + -9.67y + 6.09z <= 880.06
5.51x + -6.77y + -5.45z <= 360.75
-1.2x + 9.48y + 7.56z <= 258.15
-0.3x + 6.87y + 9.8z <= 598.23
-6.0x + 5.97y + 5.29z <= 667.25
1.8x + -6.12y + -0.34z <= 660.79
-7.46x + -3.75y + -6.58z <= 482.43
4.2x + -3.22y + 6.2z <= 219.03
8.73x + 1.35y + 4.19z <= 329.97
1.27x + -7.5y + 8.67z <= 779.72
2.89x + -7.1y + 0.43z <= 706.79
0.84x + 3.33y + -3.1z <= 563.33
1.16x + -3.73y + -7.25z <= 604.09
-1.42x + 7.33y + -3.47z <= 180.0
1.76x + -4.67y + 2.83z <= 104.34
-7.73x + -0.36y + -0.43z <= 790.6
-2.25x + -1.42y + 9.83z <= 578.55
4.41x + 3.11y + -6.75z <= 610.1
-4.53x + 7.13y + -7.03z <= 353.01
6.37x + -8.87y + 1.85z <= 447.64
4.94x + 2.21y + 7.13z <= 391.21
-8.36x + -7.78y + -6.85z <= 962.12
3.0x + 8.6y + 2.03z <= 714.91
-7.41x + -1.76y + -9.53z <= 322.29
5.87x + -0.47y + 7.75z <= 868.02
-2.12x + -1.69y + -4.58z <= 243.01
5.2x + 8.66y + -4.0z <= 556.49
9.9x + -1.26y + 8.32z <= 175.95
4.12x + -1.62y + -7.44z <= 128.46
7.49x + -2.48y + 8.55z <= 649.19
7.51x + 0.11y + 1.45z <= 872.11
1.05x + -2.37y + 9.12z <= 679.29
-4.61x + 5.0y + -5.99z <= 696.13
3.9x + 2.71y + 9.65z <= 138.92
8.97x + 2.67y + -5.39z <= 765.65
6.43x + 4.52y + 9.73z <= 467.07
6.56x + 2.28y + -0.76z <= 211.88
5.33x + -3.57y + -8.63z <= 868.81
-9.65x + -7.2y + 6.74z <= 683.74
5.01x + -7.52y + 7.94z <= 571.16
-7.88x + -4.43y + 1.0z <= 181.38
-0.42x + -2.71y + -0.53z <= 594.45
0.61x + 3.28y + 4.1z <= 332.55
5.48x + 2.52y + -9.83z <= 506.82
-0.93x + -7.75y + -0.21z <= 817.31
-0.81x + -1.84y + -0.22z <= 558.19
-7.44x + 4.19y + 0.64z <= 627.05
4.91x + 3.48y + 7.6z <= 828.45
1.11x + -5.64y + 1.3z <= 815.25
-8.19x + -4.9y + 5.17z <= 926.81
-2.55x + -0.41y + 6.41z <= 480.7
5.88x + 8.26y + -2.47z <= 310.03
0.66x + -3.84y + 2.52z <= 370.86
-1.7x + -8.82y + 9.44z <= 954.22
-4.77x + 7.96y + 8.48z <= 182.56
-1.19x + -8.9y + 2.96z <= 308.49
-7.1x + -5.81y + 6.06z <= 276.31
9.64x + -7.66y + 0.59z <= 507.19
6.6x + -8.1y + 0.62z <= 272.85
2.43x + 9.28y + 8.07z <= 299.21
2.29x + 8.25y + 8.0z <= 218.35
-6.88x + 8.63y + 9.98z <= 958.31
5.61x + 1.65y + -0.9z <= 697.62
-6.56x + -7.26y + 6.46z <= 211.21
-7.51x + -2.42y + -4.86z <= 308.72
-3.68x + -7.07y + -1.39z <= 579.04
3.17x + -9.71y + 9.68z <= 826.07
7.06x + 2.73y + 2.72z <= 377.75
-4.75x + -7.85y + 6.81z <= 679.47
2.14x + -4.54y + -9.16z <= 768.24
-3.87x + 7.68y + 6.49z <= 545.31
1.06x + 6.42y + -6.95z <= 388.2
-1.72x + 1.37y + -6.62z <= 796.07
7.32x + -7.91y + 3.37z <= 381.83
5.16x + 9.35y + 2.96z <= 872.6
7.58x + 1.42y + 5.61z <= 888.76
8.6x + 6.32y + 0.7z <= 102.59
9.05x + 6.81y + -3.2z <= 599.18
-2.83x + -7.0y + 2.04z <= 613.22
2.1x + -7.69y + 2.82z <= 287.71
-3.16x + 2.67y + 3.19z <= 833.68
-9.4x + -5.49y + -5.67z <= 310.23
-9.02x + 6.8y + 9.74z <= 460.33
-3.71x + 7.57y + 1.92z <= 717.75
2.45x + 2.35y + 5.43z <= 989.33
-4.07x + -0.78y + 0.81z <= 646.37
8.53x + -0.64y + 8.45z <= 290.12
-4.39x + 6.31y + -1.9z <= 801.49
9.46x + 5.91y + 7.45z <= 222.36
8.68x + 4.23y + -7.46z <= 317.93
-1.08x + 0.58y + 4.69z <= 696.54
-1.82x + 3.84y + 7.81z <= 809.89
-7.38x + 0.54y + -1.78z <= 912.08
4.23x + -3.24y + -1.45z <= 172.59
-6.12x + -6.72y + 6.72z <= 873.13
2.59x + 9.88y + -2.6z <= 420.84
-8.73x + 8.28y + -0.13z <= 794.18
3.89x + -0.3y + 1.53z <= 240.59
7.76x + -5.23y + 2.7z <= 708.92
5.5x + 4.54y + -2.43z <= 233.29
-1.95x + -4.37y + -9.46z <= 226.6
-8.6x + 5.68y + -1.99z <= 848.43
6.36x + 8.95y + -0.6z <= 412.77
6.57x + -4.73y + 6.56z <= 643.11
-6.02x + -7.97y + -2.97z <= 940.27
-8.94x + 0.59y + 0.72z <= 174.41
7.58x + -3.14y + 4.6z <= 790.55
-7.53x + -1.99y + -9.96z <= 227.07
6.54x + -3.79y + 3.57z <= 557.5
-6.8x + 0.82y + -4.48z <= 762.64
7.24x + -8.3y + -3.36z <= 874.86
-2.86x + -2.68y + 1.46z <= 103.54
-3.05x + 6.59y + -9.6z <= 516.99
-4.3x + -6.29y + -2.87z <= 231.64
-0.9x + 5.49y + 9.58z <= 532.4
5.79x + 4.5y + 9.35z <= 210.45
2.56x + -0.72y + -0.16z <= 316.27
-8.03x + 7.49y + 9.86z <= 504.82
-3.61x + -3.88y + -0.83z <= 643.66
-7.12x + 0.23y + 7.86z <= 139.23
6.72x + -0.18y + -1.57z <= 521.37
-7.61x + -2.0y + -0.98z <= 442.2
1.33x + 0.34y + -1.75z <= 720.05
-3.03x + 5.72y + 4.14z <= 791.22
-4.69x + -2.71y + -9.38z <= 448.43
-6.25x + 4.77y + -5.01z <= 448.28
-7.1x + -3.47y + -9.84z <= 922.83
7.04x + 6.32y + -0.19z <= 121.52
8.69x + 9.43y + -4.32z <= 908.8
9.81x + 1.69y + -2.7z <= 320.78
2.71x + 0.02y + -8.55z <= 332.75
-3.58x + -6.29y + 9.21z <= 565.12
-5.56x + 4.63y + 5.7z <= 107.45
-9.36x + -7.42y + 6.79z <= 891.34
-1.09x + 0.75y + 0.57z <= 340.74
-5.08x + -7.31y + 4.02z <= 337.61
0.97x + 0.35y + -9.94z <= 757.68
-2.92x + -4.32y + 9.19z <= 596.38
-3.56x + -2.82y + 8.72z <= 289.57
-0.62x + 0.83y + -8.89z <= 796.56
-7.47x + 4.45y + 0.32z <= 538.92
-3.91x + 8.3y + 9.45z <= 438.4
-4.38x + -4.99y + -7.63z <= 709.74
0.09x + -6.43y + 0.32z <= 812.98
6.11x + -4.89y + -4.69z <= 312.61
-1.15x + -5.74y + 0.39z <= 320.56
0.11x + -7.61y + 8.55z <= 474.47
-2.32x + 8.42y + 9.62z <= 593.54
-4.6x + -0.41y + 2.24z <= 406.09
-0.06x + 8.14y + 8.59z <= 722.2
-0.15x + 5.68y + 4.7z <= 673.28
6.25x + -6.52y + 5.27z <= 356.79
-1.83x + 5.72y + 7.29z <= 789.62
2.57x + 5.33y + 6.08z <= 671.95
6.17x + -8.45y + -1.19z <= 594.23
1.94x + -6.17y + -2.96z <= 559.41
4.88x + -4.59y + -7.49z <= 631.21
2.56x + -3.87y + -4.9z <= 388.77
-5.05x + -0.14y + -9.15z <= 533.94
-8.96x + 5.63y + 2.03z <= 477.06
2.02x + -9.55y + -2.3z <= 997.7
6.25x + -7.51y + -3.52z <= 496.92
-2.43x + 2.66y + -8.62z <= 388.52
-8.3x + 0.9y + 1.75z <= 539.75
5.35x + -2.67y + -8.62z <= 168.33
5.78x + -1.29y + 9.58z <= 183.96
0.89x + 4.58y + 3.94z <= 179.57
1.45x + 6.94y + -5.09z <= 980.01
-8.9x + 8.9y + -7.8z <= 619.56
8.39x + -9.48y + 6.7z <= 817.44
-8.29x + -8.11y + -0.23z <= 642.79
-0.94x + -3.57y + -2.39z <= 894.82
2.56x + -1.33y + -2.8z <= 871.67
-9.73x + -7.05y + 3.89z <= 128.13
7.45x + 8.48y + -9.68z <= 178.61
-3.74x + 7.07y + 9.93z <= 940.47
-7.22x + 3.1y + 9.83z <= 542.43
0.89x + -4.49y + 6.48z <= 475.08
-0.61x + 0.6y + -0.71z <= 540.14
1.49x + 6.36y + -3.17z <= 913.49
4.44x + 2.63y + -6.15z <= 535.47
-0.65x + 7.35y + -2.08z <= 114.49
-9.35x + -0.3y + 5.92z <= 776.94
2.05x + -7.54y + 4.59z <= 896.36
4.3x + -2.6y + -2.91z <= 129.68
6.63x + -2.95y + 9.98z <= 646.06
3.52x + 8.67y + 0.7z <= 235.28
1.95x + 4.61y + 4.58z <= 595.34
-1.95x + 5.57y + 5.84z <= 971.66
-0.25x + 3.87y + 1.14z <= 389.57
-7.19x + 9.2y + -2.54z <= 191.29
5.95x + 1.88y + 6.42z <= 752.62
0.94x + 5.1y + 5.34z <= 510.17
-0.96x + -9.46y + -9.47z <= 262.13
-5.25x + 9.01y + -4.2z <= 889.33
-4.58x + -2.84y + -2.16z <= 867.57
7.66x + -4.96y + -0.16z <= 390.47
4.52x + 9.19y + -3.89z <= 868.88
-2.47x + 5.4y + 1.52z <= 689.0
2.33x + 9.98y + 1.31z <= 327.66
-1.15x + -8.04y + 1.89z <= 825.31
-1.24x + -4.82y + -8.41z <= 367.07
8.79x + 4.65y + 0.96z <= 279.13
7.82x + -8.33y + 8.82z <= 335.65
-9.28x + 6.55y + -0.92z <= 911.41
4.05x + 1.55y + 7.02z <= 289.28
-7.09x + -2.75y + 1.1z <= 951.93
2.01x + 5.94y + 0.28z <= 695.59
-1.09x + 1.95y + 2.9z <= 329.7
2.93x + 2.57y + 1.8z <= 295.34
9.78x + -1.89y + -0.9z <= 932.4
-5.52x + 7.4y + -5.41z <= 989.87
4.0x + -8.39y + 5.38z <= 219.46
-1.92x + 8.37y + 8.38z <= 369.53
3.5x + 1.61y + 2.7z <= 500.43
7.82x + -7.86y + -5.31z <= 860.01
3.77x + 2.28y + -0.56z <= 814.06
8.87x + -5.14y + -3.02z <= 473.94
-6.68x + 6.59y + -3.88z <= 985.68
-9.03x + 1.36y + 2.65z <= 476.21
0.82x + 1.89y + -5.17z <= 217.44
2.77x + 1.42y + -0.36z <= 993.81
-2.25x + 4.95y + 4.92z <= 655.09
-7.76x + -3.04y + -0.62z <= 583.92
-4.94x + 9.83y + 6.97z <= 584.73
-6.34x + 4.23y + -9.21z <= 805.81
-5.64x + 7.65y + 8.68z <= 934.96
-0.31x + 3.62y + -9.13z <= 172.01
-6.24x + 6.69y + -5.9z <= 221.78
8.51x + -1.12y + 4.75z <= 288.55
-3.42x + 1.14y + 3.78z <= 707.94
-6.54x + -0.76y + 6.28z <= 921.61
7.62x + -9.02y + 5.76z <= 178.7
9.19x + 9.33y + -4.82z <= 229.76
7.61x + -5.82y + -7.04z <= 406.51
2.08x + -1.47y + -7.59z <= 393.73
-0.59x + 9.65y + -5.06z <= 707.25
0.25x + 8.71y + -4.53z <= 153.91
-3.51x + 5.22y + -2.69z <= 350.43
-6.31x + 3.84y + 9.66z <= 998.57
-0.58x + -9.11y + -8.19z <= 164.13
3.7x + 9.47y + 2.55z <= 148.97
-9.04x + 0.22y + 5.7z <= 529.76
-4.92x + 5.43y + 4.8z <= 707.4
-3.69x + 9.09y + 1.9z <= 169.38
-6.54x + -2.81y + -7.94z <= 526.99
-6.54x + 2.42y + -1.23z <= 180.61
9.45x + 1.47y + -7.94z <= 690.72
3.93x + -6.01y + 4.55z <= 914.3
1.52x + 2.69y + -3.54z <= 655.03
7.47x + 8.26y + -3.2z <= 260.91
0.3x + 2.5y + -6.31z <= 561.92
-9.04x + -0.77y + 2.17z <= 127.85
1.37x + -4.27y + 8.19z <= 525.37
-6.05x + -9.74y + 0.04z <= 216.83
8.52x + -6.36y + -9.73z <= 737.0
1.36x + -0.61y + -5.33z <= 440.25
6.99x + 8.95y + -4.28z <= 604.52
7.05x + -9.4y + -2.0z <= 588.6
-6.63x + 8.23y + 5.91z <= 454.8
-7.26x + 6.06y + 7.37z <= 509.65
1.12x + -9.96y + -9.01z <= 829.98
-8.01x + -5.84y + -9.49z <= 538.62
8.72x + -3.29y + 2.78z <= 617.73
-8.52x + 5.67y + -9.94z <= 189.33
8.34x + 4.72y + 4.47z <= 702.78
-8.43x + 3.21y + -2.86z <= 679.27
-0.29x + 1.88y + 7.45z <= 101.25
9.45x + -9.11y + 5.77z <= 411.91
4.21x + -6.0y + 8.96z <= 171.48
6.31x + -4.95y + -2.13z <= 850.38
-5.22x + 3.52y + 0.4z <= 633.3
-2.2x + 5.71y + -7.88z <= 206.13
-6.0x + 9.8y + -9.71z <= 120.75
-9.51x + -1.13y + 6.76z <= 269.68
5.59x + -7.28y + 7.99z <= 789.63
-1.28x + -1.29y + -1.33z <= 665.51
8.0x + 4.71y + -6.51z <= 580.98
3.47x + -6.86y + -9.55z <= 235.08
7.09x + 2.01y + -7.29z <= 119.82
