max 5.36x + 8.96y + 6.0z
2.82x + 1.94y + 3.49z <= 286.04
3.14x + 1.16y + -9.55z <= 951.3
-6.04x + -7.75y + -0.49z <= 160.14
8.63x + 0.27y + -8.72z <= 534.65
8.82x + -2.48y + -7.34z <= 541.86
4.3x + -9.29y + 5.46z <= 219.92
5.05x + -5.4y + -7.62z <= 856.75
4.41x + 7.16y + 2.58z <= 472.1
8.71x + -1.64y + -2.54z <= 651.4
-4.54x + -0.36y + -9.1z <= 480.21
6.62x + -6.14y + -2.39z <= 220.19
-2.24x + 3.74y + 5.33z <= 485.76
-0.94x + 1.14y + -3.21z <= 404.91
-4.41x + -4.71y + 1.18z <= 960.08
2.62x + 9.53y + -1.34z <= 935.36
1.91x + -1.22y + -3.67z <= 715.55
1.69x + 9.71y + 6.33z <= 487.54
-6.1x + -2.48y + -2.9z <= 784.96
-8.94x + 5.63y + 1.16z <= 428.35
2.71x + 0.77y + 7.64z <= 803.96
6.45x + 5.26y + 1.89z <= 584.97
4.37x + -5.74y + 2.13z <= 282.42
-8.34x + 8.43y + 4.91z <= 853.07
-8.89x + 6.9y + -8.53z <= 657.37
-5.76x + -2.86y + 5.89z <= 491.05
5.94x + -7.72y + -4.4z <= 723.84
-0.16x + 4.51y + 9.69z <= 953.68
1.7x + 6.55y + 3.69z <= 208.0
3.86x + -8.14y + 4.04z <= 660.34
-1.48x + 6.16y + 3.52z <= 574.57
-1.76x + -9.45y + 4.76z <= 616.9
-1.11x + 4.53y + -3.29z <= 741.72
-0.13x + 1.75y + -8.83z <= 783.19
-9.95x + 9.28y + -3.41z <= 887.27
-6.83x + 4.37y + -4.85z <= 805.36
4.28x + 9.97y + 4.63z <= 507.87
1.74x + -6.1y + 9.15z <= 245.44
2.3x + -6.08y + -2.95z <= 530.98
1.87x + 8.26y + 7.97z <= 954.81
-8.6x + -3.7y + 8.55z <= 434.51
0.73x + 0.01y + 2.44z <= 274.47
9.52x + 4.26y + 7.91z <= 198.98
3.08x + 3.94y + 7.14z <= 932.02
7.45x + 6.94y + 8.72z <= 717.29
-0.42x + 9.51y + -1.0z <= 732.02
-9.19x + 7.35y + 7.74z <= 821.79
-9.0x + 9.72y + 8.48z <= 311.64
-5.52x + -8.0y + -2.02z <= 797.55
-2.03x + 0.38y + -7.92z <= 726.14
-1.8x + -8.02y + -8.62z <= 975.13
7.08x + -3.47y + -8.22z <= 710.57
-8.76x + 7.74y + -2.07z <= 297.37
-1.81x + -2.11y + -9.52z <= 150.65
-4.68x + -2.59y + 5.65z <= 668.59
7.55x + -5.61y + 8.72z <= 657.3
9.04x + 9.88y + 5.02z <= 965.96
4.01x + 9.3y + -9.43z <= 487.78
-0.37x + -8.37y + -3.67z <= 952.32
-5.76x + 4.31y + 7.63z <= 365.45
-6.49x + -4.29y + -7.26z <= 282.0
9.85x + -2.81y + 0.68z <= 617.01
-8.5x + 9.85y + -3.92z <= 883.5
2.58x + -4.51y + 9.89z <= 266.98
6.37x + -2.76y + 9.4z <= 465.4
-1.11x + 4.91y + 1.6z <= 234.73
-4.18x + -5.37y + 2.81z <= 724.95
-2.64x + -6.77y + 5.18z <= 624.43
-7.32x + -7.04y + -8.65z <= 724.75
-6.37x + 3.24y + 1.83z <= 910.47
-2.73x + 8.91y + 8.81z <= 304.07
8.0x + 9.4y + 7.41z <= 811.11
1.97x + -3.12y + -1.88z <= 475.05
-7.46x + -6.95y + -7.98z <= 755.29
9.76x + -3.65y + 3.33z <= 954.1
-0.93x + -8.42y + 0.5z <= 875.76
6.5x + 1.34y + 6.08z <= 589.15
-4.26x + 7.02y + -8.6z <= 810.92
-6.32x + -4.01y + -3.87z <= 573.35
7.25x + 0.92y + 5.24z <= 579.93
3.52x + -3.12y + -3.38z <= 267.65
-3.9x + -3.7y + 9.92z <= 666.99
-2.54x + -7.54y + 1.73z <= 114.26
9.61x + -1.8y + -9.06z <= 749.05
5.56x + -0.88y + -5.8z <= 521.0
-2.49x + -1.93y + -7.41z <= 147.75
-9.33x + -1.28y + -3.07z <= 538.21
0.43x + -3.09y + -7.97z <= 138.17
-0.34x + 2.94y + -9.95z <= 264.24
-1.19x + 6.84y + -0.29z <= 335.51
1.5x + -1.85y + 7.79z <= 897.26
4.1x + 6.28y + 0.15z <= 129.14
-0.96x + -6.98y + -7.63z <= 368.49
0.93x + -6.46y + 2.54z <= 104.92
-6.82x + 1.15y + 2.81z <= 821.23
9.57x + 5.95y + -8.91z <= 135.35
-4.06x + -3.13y + -2.37z <= 279.92
-7.08x + 3.3y + 3.68z <= 316.54
-9.43x + 3.84y + -5.73z <= 141.4
-9.12x + -0.44y + 1.3z <= 240.47
9.53x + 3.17y + 8.26z <= 889.9
4.91x + 9.5y + -2.49z <= 865.41
5.55x + -7.81y + 2.98z <= 726.02
-4.49x + 2.03y + -7.88z <= 530.99
-9.44x + 5.52y + 8.91z <= 252.23
2.23x + -2.44y + 2.21z <= 218.28
-0.73x + -8.19y + -1.46z <= 815.31
1.86x + 6.99y + -3.62z <= 296.97
-3.63x + 8.81y + -5.16z <= 644.63
-7.78x + 6.3y + -1.98z <= 610.54
-6.98x + -4.33y + -2.64z <= 194.34
-5.62x + -5.64y + 8.03z <= 264.76
-6.74x + 2.16y + -5.63z <= 222.65
1.54x + 8.34y + -7.09z <= 833.9
-4.09x + 8.6y + 8.1z <= 623.42
-2.61x + -3.19y + -3.84z <= 300.66
5.94x + 8.09y + -1.47z <= 414.29
8.25x + -2.12y + 6.03z <= 928.08
1.06x + -5.96y + 7.43z <= 690.25
0.92x + 1.94y + 6.27z <= 809.77
2.87x + -2.15y + -1.88z <= 380.1
3.36x + -6.51y + 6.49z <= 849.36
-6.49x + 5.9y + 3.29z <= 815.06
6.19x + 8.4y + 4.71z <= 207.3
-7.73x + 6.96y + 6.66z <= 664.59
-8.82x + -5.53y + -6.09z <= 584.8
5.3x + 3.83y + -2.66z <= 616.94
-9.4x + 4.31y + 0.47z <= 104.57
-1.69x + 2.2y + -5.03z <= 483.18
-5.89x + -3.68y + 5.46z <= 472.99
4.95x + 0.44y + 9.02z <= 862.61
2.78x + 4.83y + -3.8z <= 276.43
3.06x + -7.02y + 2.85z <= 679.47
-2.88x + 1.81y + -3.95z <= 442.72
-9.85x + 8.61y + -9.63z <= 515.59
-5.98x + 3.46y + -7.86z <= 968.52
-8.61x + -6.35y + 3.95z <= 755.34
9.58x + 1.96y + -1.1z <= 741.52
-2.53x + 3.29y + -9.78z <= 299.37
4.48x + -6.78y + 0.59z <= 282.24
8.24x + -8.09y + 1.51z <= 566.4
6.48x + -0.09y + -5.29z <= 421.92
-4.15x + -7.35y + 6.72z <= 844.93
-6.49x + -1.04y + 2.99z <= 663.1
3.37x + 2.65y + 6.98z <= 816.24
7.45x + -4.54y + -7.39z <= 772.65
8.57x + 7.45y + -5.22z <= 512.57
-9.31x + 3.52y + -5.53z <= 808.3
4.46x + 7.79y + -8.7z <= 834.91
-1.97x + -0.72y + 2.15z <= 972.21
3.89x + -3.18y + 3.56z <= 838.72
9.29x + -5.39y + -6.76z <= 128.64
-5.55x + -8.38y + -3.08z <= 568.3
6.02x + 9.21y + -2.31z <= 470.7
1.56x + -9.98y + 4.95z <= 408.33
-4.49x + -8.85y + 9.58z <= 396.6
-1.47x + 5.86y + 1.47z <= 849.42
-3.17x + -9.12y + -4.65z <= 399.09
7.46x + -9.75y + -2.62z <= 779.8
3.65x + -8.9y + -8.44z <= 685.41
-2.64x + -3.69y + 5.12z <= 120.15
-3.89x + 0.6y + 7.84z <= 313.74
-0.36x + -5.76y + -3.79z <= 725.27
5.13x + -7.79y + 1.06z <= 644.82
-5.67x + 1.12y + 8.49z <= 888.79
-0.98x + 7.96y + -9.36z <= 981.13
-4.99x + 4.31y + -6.81z <= 567.23
0.24x + -5.63y + -8.16z <= 138.47
-5.0x + 0.73y + -8.65z <= 508.99
9.37x + -3.4y + -9.19z <= 653.69
2.91x + -5.47y + 4.07z <= 592.92
7.72x + -4.35y + -6.32z <= 403.18
-1.38x + 0.7y + -8.49z <= 138.06
-3.72x + -5.13y + -1.13z <= 174.32
1.45x + -1.64y + 5.41z <= 281.0
2.3x + -7.1y + -5.0z <= 465.98
9.15x + -8.23y + -0.92z <= 813.89
-6.43x + -9.26y + 0.73z <= 563.15
-7.15x + -0.5y + 9.17z <= 419.49
-6.89x + -9.17y + 6.52z <= 651.54
-6.89x + 0.28y + 2.39z <= 651.98
0.25x + -5.82y + 3.05z <= 217.98
-8.4x + 8.34y + -6.3z <= 974.57
-0.3x + -0.55y + -4.96z <= 352.57
-6.85x + -3.79y + -3.27z <= 718.8
-4.85x + -4.82y + -5.01z <= 899.4
2.38x + 7.74y + -4.35z <= 323.77
-4.33x + 4.23y + 6.58z <= 534.99
2.64x + 9.15y + -8.36z <= 460.88
7.48x + 9.73y + -3.99z <= 570.81
-5.22x + -4.17y + 3.91z <= 116.79
2.9x + -8.02y + -2.77z <= 819.56
3.34x + 4.76y + -6.2z <= 161.39
-2.85x + 9.32y + -6.13z <= 757.19
0.32x + -9.19y + 4.36z <= 398.21
1.67x + -8.58y + -7.86z <= 311.73
-4.97x + 1.19y + 7.91z <= 400.67
0.63x + 9.27y + -9.49z <= 264.02
-6.49x + 3.68y + 7.12z <= 533.82
6.41x + 8.86y + -2.57z <= 438.37
-2.13x + -6.43y + 8.8z <= 549.85
-2.86x + 2.64y + -1.36z <= 317.31
-6.56x + 5.31y + 9.05z <= 882.31
9.26x + -0.48y + -8.74z <= 306.09
-1.66x + 4.13y + -5.82z <= 107.62
2.61x + -6.6y + 2.82z <= 110.1
4.62x + -0.83y + -8.35z <= 571.85
-4.17x + 2.33y + -4.19z <= 837.16
-3.4x + 1.32y + -0.57z <= 649.36
-5.15x + -6.82y + 4.42z <= 543.75
1.87x + -8.98y + -5.69z <= 998.55
3.68x + 3.27y + -9.26z <= 776.51
-8.91x + 5.55y + -9.51z <= 793.56
4.19x + -5.55y + 9.88z <= 327.47
1.96x + -0.96y + -8.73z <= 828.95
-1.68x + 3.43y + 5.45z <= 737.26
0.35x + 0.64y + 5.76z <= 641.4
5.21x + -6.24y + -2.37z <= 235.28
8.86x + 9.73y + 7.15z <= 564.06
-9.71x + 1.6y + -1.98z <= 187.88
1.95x + 3.19y + 6.75z <= 803.15
-7.77x + 7.68y + 5.01z <= 524.49
-8.52x + 4.76y + 6.03z <= 418.03
-4.72x + 3.22y + -9.48z <= 148.94
8.81x + 9.46y + 2.5z <= 434.14
1.73x + 1.79y + -4.98z <= 820.64
5.52x + -3.66y + 7.34z <= 702.28
-9.42x + -8.41y + -2.34z <= 193.05
-4.5x + -9.43y + 8.05z <= 943.85
5.5x + 9.57y + 7.64z <= 665.44
1.17x + -9.37y + 5.6z <= 646.38
1.62x + 4.74y + 8.89z <= 385.21
6.96x + 8.57y + 2.57z <= 239.09
-4.14x + -5.58y + 1.51z <= 662.81
-1.04x + 9.17y + -8.37z <= 174.94
-3.9x + -7.82y + 2.47z <= 978.79
-1.97x + 1.65y + 3.96z <= 739.14
-3.52x + -2.12y + 3.91z <= 454.77
-9.59x + -2.7y + -3.24z <= 453.99
-4.68x + -0.72y + -6.49z <= 439.17
-9.92x + -6.29y + -4.78z <= 508.99
3.14x + -1.84y + 5.71z <= 597.46
7.72x + 5.59y + 4.97z <= 680.37
-1.65x + -6.02y + -2.22z <= 165.72
-6.79x + -8.71y + -8.78z <= 182.77
0.74x + 7.12y + 7.52z <= 141.81
-8.25x + 8.77y + 2.0z <= 476.86
-6.35x + -4.93y + -2.31z <= 446.37
-3.32x + 2.06y + 4.51z <= 776.6
-4.45x + -2.2y + -1.14z <= 875.12
-7.1x + -4.29y + 1.59z <= 326.01
4.08x + 6.2y + -5.89z <= 415.08
-8.37x + -2.34y + 2.0z <= 975.51
8.55x + 4.37y + 0.22z <= 925.15
-5.96x + 8.78y + 1.79z <= 653.85
-7.44x + 1.79y + -4.92z <= 934.28
8.56x + 5.14y + -2.72z <= 772.8
8.68x + -9.85y + -3.95z <= 392.79
-9.21x + 5.71y + -5.95z <= 671.98
-5.8x + 4.64y + 4.43z <= 314.82
-0.88x + -4.27y + -5.01z <= 191.94
8.14x + -4.62y + 8.18z <= 732.69
-1.41x + -1.91y + -1.39z <= 996.52
-4.53x + -3.23y + 1.96z <= 696.22
7.55x + 9.16y + -4.86z <= 776.34
2.78x + 1.56y + -4.03z <= 631.92
1.79x + 2.36y + 3.27z <= 780.36
-4.72x + 7.78y + -7.39z <= 706.12
6.36x + 8.13y + -4.94z <= 450.09
-1.63x + -5.02y + -8.21z <= 218.11
-8.71x + 4.72y + 3.66z <= 901.91
-6.7x + -2.97y + -5.75z <= 717.68
1.31x + -1.17y + 9.43z <= 619.07
-7.56x + -2.27y + -7.49z <= 931.08
-3.48x + -0.58y + -3.13z <= 760.34
-1.0x + 3.94y + -9.81z <= 136.19
-2.67x + 4.97y + -0.66z <= 132.92
5.94x + 8.09y + 2.47z <= 259.1
0.68x + 0.8y + -6.94z <= 718.94
-9.89x + 3.89y + 9.53z <= 949.73
1.44x + -2.02y + 0.37z <= 697.6
7.11x + 0.79y + 9.7z <= 898.14
1.54x + 4.06y + -6.85z <= 445.58
3.48x + -7.11y + 7.26z <= 237.82
5.23x + 7.16y + 1.78z <= 676.47
8.06x + -8.11y + 0.2z <= 664.39
2.24x + -9.79y + -1.72z <= 722.38
-4.73x + 9.0y + -6.4z <= 371.86
-7.08x + 3.15y + 5.4z <= 734.65
-8.69x + 6.85y + -0.38z <= 850.62
-5.26x + -2.63y + 4.51z <= 333.54
-2.01x + 5.34y + 1.05z <= 220.65
-2.82x + 2.52y + -9.84z <= 603.83
8.27x + 7.55y + 8.95z <= 197.18
6.33x + 7.65y + 9.94z <= 657.2
1.24x + -9.74y + -6.69z <= 549.19
8.34x + 1.64y + -4.99z <= 301.45
1.36x + 9.45y + 1.59z <= 470.4
3.34x + 5.35y + 1.44z <= 839.68
6.02x + -9.12y + -7.7z <= 960.93
-0.55x + 2.05y + -4.55z <= 771.37
7.63x + 3.94y + 3.41z <= 193.06
-1.92x + 6.85y + -6.76z <= 645.64
0.85x + 4.74y + 6.8z <= 972.9
6.24x + -2.2y + 7.37z <= 644.36
4.11x + -9.66y + 8.83z <= 569.34
-8.81x + 4.62y + -4.79z <= 232.15
6.89x + -9.4y + -9.29z <= 614.36
7.64x + 6.9y + -9.32z <= 676.39
-7.25x + 8.35y + 4.61z <= 470.07
8.33x + 4.84y + -2.58z <= 575.69
3.1x + -1.79y + -9.68z <= 405.17
2.64x + -4.57y + -9.86z <= 735.52
-3.58x + 9.28y + 5.71z <= 822.58
8.45x + 3.92y + -1.29z <= 284.6
-7.9x + 7.65y + 4.04z <= 210.05
-9.65x + -3.08y + 0.88z <= 648.42
7.58x + -1.07y + 9.1z <= 973.19
-2.87x + -5.83y + -7.84z <= 859.96
-1.05x + 5.8y + 2.58z <= 985.8
-9.69x + 5.24y + 5.91z <= 167.64
-5.51x + -7.21y + -5.44z <= 966.77
-5.97x + -0.35y + -5.79z <= 767.27
-3.76x + 7.32y + 7.42z <= 249.37
-5.71x + -7.48y + 6.14z <= 102.68
6.47x + 4.99y + -6.72z <= 773.59
-0.65x + 9.71y + 4.41z <= 492.33
-0.29x + 7.04y + -3.6z <= 190.25
-9.54x + -6.75y + -2.67z <= 247.22
0.14x + 3.84y + 9.15z <= 244.09
-9.43x + -4.58y + 9.28z <= 133.06
0.4x + 8.27y + 6.71z <= 604.8
-3.1x + 0.88y + 4.68z <= 411.62
-8.46x + -5.73y + 3.73z <= 311.6
9.23x + 4.14y + -1.88z <= 262.06
5.33x + 2.73y + -6.62z <= 366.27
-6.38x + -8.78y + -3.42z <= 439.03
8.09x + -0.12y + 5.65z <= 211.3
9.14x + 6.29y + 9.92z <= 573.18
2.47x + -6.76y + -2.84z <= 498.0
4.05x + 8.21y + -7.07z <= 949.09
-3.85x + -0.91y + -3.11z <= 862.03
9.73x + -7.49y + 3.17z <= 193.35
-0.49x + 3.87y + 1.83z <= 429.54
-7.08x + -8.99y + 7.29z <= 949.3
3.02x + -0.06y + 8.03z <= 148.45
-2.76x + -1.35y + 2.64z <= 720.79
6.5x + -9.37y + -1.4z <= 694.06
-6.24x + 2.27y + 8.29z <= 478.42
-7.49x + -2.73y + 3.08z <= 919.31
-0.91x + 1.3y + 8.54z <= 560.01
-0.51x + 3.76y + 2.72z <= 227.93
-0.4x + -1.98y + -1.38z <= 978.03
-2.67x + -7.82y + -4.29z <= 807.42
6.2x + -4.8y + 6.52z <= 404.75
-7.83x + -1.7y + 8.38z <= 874.64
-9.16x + 9.21y + 5.97z <= 725.7
3.03x + -1.36y + -8.61z <= 163.98
-6.94x + 1.68y + 3.04z <= 919.37
-4.8x + 7.73y + -8.45z <= 342.55
6.31x + 4.08y + 4.35z <= 318.04
-7.87x + -8.44y + 7.92z <= 890.77
8.92x + 6.54y + -9.4z <= 897.69
-7.75x + -4.65y + 3.38z <= 894.73
-1.72x + -6.14y + -1.36z <= 821.99
6.54x + -7.53y + -0.52z <= 169.32
3.99x + 6.41y + -9.83z <= 781.68
-0.67x + -6.06y + -4.73z <= 213.33
3.93x + -8.62y + -9.09z <= 510.12
-6.31x + 2.25y + -9.36z <= 674.8
0.1x + 1.96y + -0.19z <= 959.31
5.73x + -9.99y + 5.15z <= 170.23
1.1x + -5.41y + 4.07z <= 970.22
-1.82x + 6.01y + -5.65z <= 361.86
-8.79x + -5.26y + -2.01z <= 540.92
-10.0x + -6.97y + -7.65z <= 487.87
-1.5x + -2.88y + -5.52z <= 241.76
5.98x + -6.64y + 1.18z <= 506.08
-8.77x + 6.87y + -2.55z <= 313.61
7.15x + -2.71y + -5.45z <= 256.83
-9.13x + -5.75y + -2.24z <= 212.71
3.41x + -3.3y + 2.35z <= 627.92
4.45x + 1.16y + 7.9z <= 451.2
6.96x + -8.82y + 3.14z <= 199.03
-7.28x + 5.83y + -1.67z <= 129.71
2.63x + -3.92y + 3.16z <= 464.37
7.69x + 7.19y + -3.8z <= 721.81
-3.1x + -3.3y + 0.82z <= 400.99
-6.99x + 1.19y + -9.89z <= 298.28
7.51x + 4.65y + 1.13z <= 164.42
-3.93x + -3.73y + 6.61z <= 673.64
-4.75x + -3.97y + -1.77z <= 449.77
5.71x + -0.46y + -8.42z <= 112.26
-8.45x + 7.31y + -7.49z <= 885.91
8.65x + 1.86y + -1.26z <= 811.23
-5.51x + 6.76y + -3.94z <= 977.52
7.63x + 9.06y + 4.96z <= 355.32
8.8x + 7.54y + 8.15z <= 228.45
7.77x + -0.69y + 1.5z <= 843.83
4.37x + -3.01y + -2.73z <= 283.12
-7.7x + -8.22y + -7.64z <= 776.52
-9.91x + -9.64y + 8.84z <= 374.56
1.29x + 9.17y + -5.9z <= 427.23
-5.38x + 2.0y + -2.76z <= 770.37
7.15x + -9.84y + -2.33z <= 721.89
3.77x + -7.26y + 7.6z <= 135.35
3.22x + -5.83y + 0.03z <= 830.19
4.21x + -0.41y + -3.0z <= 964.41
7.93x + -7.4y + -3.66z <= 501.62
-3.79x + -9.6y + -8.75z <= 784.34
-8.15x + -8.54y + -4.71z <= 193.49
9.49x + -1.66y + -8.86z <= 200.64
-3.51x + 1.11y + -9.9z <= 369.12
-5.11x + -9.4y + 9.29z <= 555.01
-8.27x + 6.59y + -3.12z <= 167.81
-5.76x + -7.52y + 1.57z <= 138.08
5.99x + -9.83y + 6.32z <= 227.75
9.36x + 2.48y + 1.29z <= 474.53
-9.4x + 9.65y + -3.29z <= 730.51
9.3x + -7.4y + 8.39z <= 445.9
4.01x + -9.25y + -0.89z <= 265.74
7.55x + 7.88y + -9.56z <= 992.91
-3.53x + -7.8y + -8.77z <= 220.75
-8.81x + -9.29y + -9.21z <= 889.06
-5.84x + 7.8y + -9.26z <= 465.82
7.41x + -2.71y + -5.06z <= 104.14
2.39x + -8.6y + 8.13z <= 860.11
-1.2x + 5.24y + 8.16z <= 371.53
1.66x + 8.62y + 8.45z <= 517.62
2.25x + 2.29y + 5.18z <= 624.61
3.89x + -0.24y + 7.26z <= 971.21
-9.29x + 4.27y + -9.58z <= 394.54
5.26x + 3.05y + 8.51z <= 301.63
-6.61x + 4.38y + -0.4z <= 320.05
-7.08x + 5.22y + 4.72z <= 594.35
-0.52x + 9.58y + 3.35z <= 881.66
-0.94x + 9.78y + -6.71z <= 778.34
-8.37x + 5.03y + -7.05z <= 738.17
6.76x + -4.29y + -8.57z <= 788.47
3.01x + -1.83y + 8.94z <= 164.51
4.94x + 4.83y + 8.62z <= 704.23
-4.42x + 6.86y + 8.99z <= 208.3
4.93x + -4.08y + 6.49z <= 873.45
-4.09x + 2.08y + -7.76z <= 235.58
-1.46x + -9.8y + -0.98z <= 126.25
-2.95x + 5.19y + -3.45z <= 264.06
-4.99x + 3.17y + -7.31z <= 256.04
-8.29x + 6.91y + 2.33z <= 182.53
8.21x + 1.23y + -1.56z <= 292.74
2.77x + -6.61y + -5.41z <= 655.72
9.24x + -2.99y + 8.1z <= 309.25
-0.71x + 1.22y + 5.31z <= 512.43
1.87x + 1.14y + 8.99z <= 927.82
6.18x + 4.83y + 1.61z <= 728.8
-8.2x + 1.75y + 5.77z <= 370.97
7.49x + -6.28y + 0.59z <= 719.42
-2.91x + -8.48y + -3.8z <= 119.69
-1.74x + 4.84y + 3.26z <= 550.34
-2.47x + 0.11y + -3.43z <= 704.68
7.15x + 9.25y + 7.86z <= 470.89
9.7x + -8.18y + -9.83z <= 553.52
5.94x + -4.49y + 7.54z <= 579.28
-3.36x + 7.7y + 5.79z <= 525.23
2.38x + -8.26y + 4.97z <= 111.48
-7.17x + 2.83y + -7.72z <= 690.84
4.59x + 8.02y + -8.43z <= 871.29
4.5x + 4.26y + 4.37z <= 914.75
4.99x + -0.62y + 6.89z <= 393.72
-1.71x + 7.01y + 2.86z <= 596.59
-9.98x + -6.03y + 9.52z <= 769.5
8.72x + 0.44y + -3.31z <= 982.48
0.23x + 7.73y + -6.62z <= 562.95
4.5x + 9.7y + 5.71z <= 375.57
-4.97x + -4.21y + -2.52z <= 193.55
-2.65x + -9.6y + -8.46z <= 489.4
6.16x + -5.51y + -7.56z <= 292.49
-0.41x + -7.17y + 3.91z <= 156.16
-4.61x + -2.62y + -2.47z <= 361.79
-9.43x + -8.39y + 3.14z <= 465.36
1.89x + 9.19y + -4.35z <= 195.49
8.2x + -7.28y + 4.1z <= 541.74
3.66x + -0.79y + 7.13z <= 660.29
-4.88x + -1.52y + -8.17z <= 535.8
1.34x + 2.89y + -6.19z <= 679.31
-7.85x + -5.19y + -9.37z <= 973.55
6.98x + -3.19y + -3.68z <= 341.11
2.16x + 9.38y + 3.11z <= 749.66
0.51x + 7.7y + -8.64z <= 340.34
4.21x + -5.37y + 4.99z <= 783.41
-9.5x + 6.03y + 6.42z <= 683.15
-1.01x + 3.38y + 3.6z <= 411.82
-4.9x + 2.58y + 3.15z <= 440.27
0.39x + 6.93y + 5.38z <= 859.97
-1.07x + 1.57y + -8.31z <= 879.07
-8.67x + 4.05y + -8.61z <= 466.09
-0.92x + 2.88y + -5.3z <= 882.51
-8.11x + -0.13y + -1.67z <= 849.16
-2.45x + -5.5y + -9.64z <= 304.21
4.41x + -5.02y + -1.72z <= 815.56
4.64x + -6.02y + 9.34z <= 514.25
1.63x + -4.24y + -4.68z <= 505.59
-7.08x + 3.9y + -3.45z <= 328.8
-3.25x + 1.76y + 8.44z <= 904.99
4.56x + -3.58y + -7.02z <= 339.35
-5.6x + -9.86y + 4.2z <= 430.64
9.56x + 1.26y + -3.27z <= 116.08
6.04x + -9.66y + -6.56z <= 888.55
5.03x + 2.38y + 1.83z <= 126.34
-8.67x + 3.74y + -0.02z <= 706.41
7.95x + 0.27y + -3.39z <= 397.14
5.09x + 5.53y + -7.06z <= 419.95
-6.73x + 3.89y + 8.17z <= 835.57
8.13x + 8.8y + -2.08z <= 769.39
9.19x + 5.81y + -5.27z <= 104.31
-6.74x + -7.07y + -0.65z <= 922.23
-5.74x + 3.03y + -7.31z <= 774.61
-2.06x + 8.69y + 4.8z <= 816.34
6.85x + 0.68y + 6.55z <= 350.79
8.13x + 0.14y + -3.35z <= 448.42
-0.06x + -6.04y + 0.7z <= 534.12
-7.15x + 9.8y + -3.4z <= 888.3
5.12x + 7.96y + 2.74z <= 987.04
5.51x + -8.92y + -2.54z <= 566.02
6.19x + 7.49y + -5.57z <= 176.1
-3.68x + -1.87y + -1.92z <= 240.97
-2.61x + 9.36y + 3.72z <= 361.46
-4.39x + -2.76y + 1.1z <= 769.4
-3.68x + 0.3y + 9.03z <= 920.24
-0.99x + 4.12y + -4.82z <= 401.53
9.16x + -5.22y + 6.24z <= 580.48
8.33x + 0.82y + -3.07z <= 473.22
