max 4.55x + -7.4y + -9.62z
-8.89x + -8.37y + -0.82z <= 555.45
3.07x + 3.84y + 8.86z <= 432.64
8.62x + -1.48y + -5.07z <= 181.2
2.13x + -0.5y + -7.88z <= 758.37
-6.42x + -2.88y + 6.3z <= 131.02
6.19x + -0.52y + -3.52z <= 738.48
7.45x + -6.03y + 2.67z <= 261.34
4.79x + 7.6y + -3.36z <= 375.81
3.64x + 8.0y + 1.41z <= 240.89
-7.07x + -9.04y + 6.49z <= 147.43
-7.43x + 9.43y + 2.11z <= 466.57
5.44x + 3.19y + 0.53z <= 155.81
5.44x + -1.86y + -9.86z <= 968.17
0.21x + 6.79y + 5.49z <= 809.49
1.86x + -2.31y + -1.57z <= 821.96
6.54x + 4.81y + -5.73z <= 129.17
-3.32x + -7.62y + -6.02z <= 944.77
1.12x + -9.57y + 3.27z <= 611.02
9.66x + 8.88y + 0.94z <= 165.38
-3.59x + -8.76y + -9.48z <= 218.01
4.76x + 9.9y + -9.48z <= 597.01
9.64x + 0.18y + -5.91z <= 780.99
-7.2x + -9.75y + 0.94z <= 234.93
0.05x + -5.62y + -2.41z <= 712.01
7.6x + 0.75y + 7.81z <= 848.66
-5.63x + -9.0y + -0.16z <= 230.53
8.21x + -4.79y + 3.93z <= 887.16
-8.31x + -6.77y + 1.74z <= 340.79
-8.92x + 5.93y + 8.43z <= 479.2
8.92x + 0.98y + -1.77z <= 909.89
5.58x + -2.94y + 5.23z <= 957.37
-5.54x + 9.78y + -6.88z <= 334.45
4.07x + 7.77y + 6.2z <= 500.06
-8.65x + -9.08y + 6.72z <= 524.62
5.59x + -2.52y + 0.74z <= 555.29
-0.98x + 6.96y + -4.73z <= 690.18
-9.72x + -6.23y + 1.32z <= 154.62
-5.56x + -8.98y + 6.78z <= 893.87
1.36x + -8.91y + 2.51z <= 758.73
4.97x + -5.39y + -4.4z <= 624.44
4.12x + -6.55y + -4.64z <= 952.06
4.17x + 9.59y + 7.36z <= 681.95
-9.33x + -8.94y + 2.52z <= 495.74
-5.93x + 7.7y + -2.2z <= 743.64
-8.44x + -3.31y + 9.46z <= 728.1
0.54x + 7.09y + 1.45z <= 670.12
-3.12x + -8.37y + -7.2z <= 348.83
8.02x + 7.74y + -0.87z <= 597.13
-9.37x + -7.45y + 0.57z <= 494.08
-8.37x + -7.21y + -3.11z <= 707.78
8.23x + 7.78y + 8.9z <= 792.25
0.29x + 6.63y + -4.94z <= 375.48
7.21x + -1.44y + 8.41z <= 983.79
-7.36x + -0.78y + 2.65z <= 679.85
-8.68x + -9.04y + 9.79z <= 266.63
9.2x + 6.7y + -8.56z <= 750.1
-8.59x + -9.75y + -4.21z <= 518.94
-9.67x + -4.45y + 2.77z <= 455.16
4.68x + -1.46y + 2.74z <= 413.17
7.62x + 0.28y + 0.12z <= 869.67
-3.85x + 3.48y + -2.29z <= 410.77
0.21x + 9.76y + -2.2z <= 628.21
8.25x + 7.02y + 1.8z <= 175.78
-0.77x + -8.57y + -0.85z <= 452.72
9.95x + -8.13y + 5.71z <= 286.27
6.42x + -6.04y + 3.26z <= 730.75
3.69x + 1.14y + 2.94z <= 340.48
9.02x + 6.43y + 0.79z <= 609.05
-1.77x + 1.42y + -2.83z <= 382.65
-4.01x + -4.44y + -7.77z <= 270.25
8.32x + -3.82y + 0.12z <= 651.01
-3.79x + -3.07y + -0.99z <= 598.15
4.18x + -1.95y + 7.44z <= 898.82
5.27x + 2.26y + -9.58z <= 417.08
2.35x + -1.71y + 9.08z <= 787.8
8.06x + 6.64y + 2.97z <= 161.45
-4.57x + -7.28y + -5.7z <= 491.45
7.62x + -4.94y + 9.96z <= 329.05
-4.03x + -6.95y + -0.33z <= 900.17
-7.61x + -1.82y + 7.6z <= 313.38
6.29x + 4.72y + -1.74z <= 258.89
9.1x + 2.9y + 3.45z <= 687.05
7.5x + 3.68y + -1.93z <= 284.99
-6.95x + 9.59y + 3.99z <= 986.72
0.46x + -2.42y + -5.49z <= 798.65
4.74x + 6.18y + 6.89z <= 701.49
-7.3x + -6.7y + 1.33z <= 388.12
-6.57x + -4.09y + -1.53z <= 197.57
5.81x + -2.37y + -2.72z <= 181.47
-2.76x + 0.1y + 8.84z <= 280.46
-7.56x + -2.31y + 6.57z <= 254.12
2.66x + -0.42y + -7.44z <= 738.79
5.28x + -8.86y + 9.8z <= 313.43
-3.21x + -8.32y + 9.0z <= 524.55
5.69x + -1.95y + -4.46z <= 543.83
5.44x + -2.45y + -1.75z <= 731.18
4.03x + -5.22y + -5.93z <= 530.08
-9.25x + 6.25y + -3.87z <= 602.42
1.82x + 8.14y + -9.72z <= 638.62
4.67x + -5.1y + 2.2z <= 667.59
-8.2x + 1.95y + -2.76z <= 621.67
7.18x + -0.81y + -5.79z <= 420.13
7.36x + 7.1y + 4.99z <= 824.92
5.97x + -1.88y + 8.09z <= 973.83
-4.44x + -0.01y + -7.57z <= 574.9
-3.58x + -2.51y + 6.67z <= 232.58
0.66x + 9.04y + 2.15z <= 389.78
6.84x + 1.01y + -9.88z <= 528.53
-7.83x + -9.34y + -9.66z <= 647.44
-2.38x + -6.33y + -2.62z <= 614.23
-6.28x + 2.22y + -7.5z <= 441.85
9.67x + -5.27y + 7.15z <= 227.68
6.82x + -6.3y + 0.2z <= 831.59
-6.43x + 1.71y + 4.41z <= 506.8
8.72x + 7.37y + 6.62z <= 140.81
7.62x + 7.63y + 3.11z <= 554.11
6.15x + -3.62y + 0.42z <= 531.95
7.35x + 9.77y + -9.6z <= 898.05
-4.58x + -8.51y + -9.05z <= 883.32
-9.36x + 9.77y + -7.28z <= 632.04
2.54x + -1.85y + -6.65z <= 922.33
-6.35x + 8.78y + -8.33z <= 771.1
-6.42x + -8.4y + 0.72z <= 438.72
-6.61x + 1.66y + -5.35z <= 182.93
-4.0x + 4.06y + -9.82z <= 255.57
4.12x + 7.53y + 0.29z <= 803.77
-3.03x + 1.43y + -7.47z <= 131.54
8.62x + -3.17y + 0.76z <= 929.57
-3.45x + 8.76y + 0.33z <= 507.93
-8.41x + 6.86y + -0.22z <= 607.79
-5.56x + -1.97y + -2.66z <= 620.84
3.92x + 9.86y + 2.82z <= 333.41
6.56x + -9.22y + -5.93z <= 446.02
9.64x + -8.43y + 0.97z <= 702.86
2.53x + 8.37y + -8.06z <= 314.19
-1.29x + 6.77y + -5.56z <= 762.63
0.72x + 8.98y + -5.35z <= 809.8
-6.53x + -3.7y + -4.17z <= 435.92
-7.39x + 0.67y + -2.73z <= 170.52
-9.87x + -2.86y + 1.66z <= 662.36
6.03x + -8.39y + 0.09z <= 605.42
5.38x + -6.51y + 8.01z <= 429.85
2.52x + -9.17y + -9.45z <= 182.0
5.35x + 6.26y + -4.74z <= 712.2
-2.88x + -6.58y + -3.85z <= 957.08
-3.17x + -9.81y + 0.36z <= 256.49
-5.63x + -3.62y + 0.85z <= 348.69
1.22x + 1.49y + 1.84z <= 576.79
3.49x + -8.62y + -8.53z <= 499.63
3.14x + -2.5y + -5.89z <= 306.5
7.36x + 2.17y + -8.4z <= 840.94
-3.01x + 2.82y + 2.47z <= 567.91
-5.54x + 3.97y + 0.5z <= 662.25
-4.58x + -6.12y + -9.47z <= 939.84
-2.53x + -9.13y + 7.94z <= 351.11
0.38x + 6.53y + -5.29z <= 194.01
6.45x + 2.11y + -3.11z <= 491.58
-9.48x + -4.71y + -3.4z <= 389.28
5.15x + -7.61y + -1.0z <= 286.51
2.39x + -9.18y + -5.73z <= 640.59
7.42x + 0.97y + 0.12z <= 246.5
8.01x + -9.51y + -0.82z <= 493.34
0.04x + -3.27y + -8.14z <= 818.4
4.92x + 7.77y + -9.45z <= 343.84
9.56x + -9.98y + -2.28z <= 316.82
6.97x + -0.03y + 6.18z <= 526.37
-6.74x + -5.99y + 6.1z <= 633.41
-0.11x + 2.17y + -4.07z <= 395.35
6.85x + 2.47y + -7.32z <= 214.66
0.55x + -6.15y + 2.48z <= 515.2
-8.86x + 7.01y + 4.19z <= 129.43
1.88x + -4.96y + 3.99z <= 751.64
-6.61x + 9.81y + 2.63z <= 496.96
-1.3x + -1.94y + 7.5z <= 846.96
3.29x + 1.77y + -5.42z <= 284.71
-1.06x + -8.73y + 1.9z <= 591.94
-0.73x + -5.44y + 8.78z <= 454.66
6.68x + -8.04y + 0.54z <= 426.33
7.66x + -8.99y + -9.84z <= 940.25
6.7x + 4.64y + -9.06z <= 879.37
-8.13x + 8.49y + -1.84z <= 622.69
0.47x + -0.23y + -8.08z <= 275.68
-0.52x + 5.52y + -2.41z <= 248.98
7.05x + 9.71y + -0.2z <= 313.64
-4.67x + -8.08y + 4.29z <= 374.48
0.87x + -3.47y + 7.55z <= 184.14
5.57x + 1.83y + 6.55z <= 684.96
-7.29x + 5.46y + -6.5z <= 872.54
-5.8x + 5.32y + -9.17z <= 858.7
-0.15x + -0.03y + 1.32z <= 349.14
1.67x + -5.92y + -6.76z <= 376.22
2.99x + 3.44y + 8.21z <= 616.86
-1.11x + 7.24y + 3.37z <= 560.61
4.22x + -4.66y + -1.22z <= 332.36
-2.07x + -6.16y + 3.43z <= 883.26
-7.26x + -4.44y + 4.71z <= 448.96
2.47x + 4.29y + 9.98z <= 473.72
7.36x + 7.68y + -6.93z <= 812.45
-6.22x + -2.19y + 6.53z <= 710.88
-1.23x + -4.46y + 5.83z <= 463.27
3.11x + 2.54y + 7.7z <= 815.15
6.6x + 4.18y + 1.72z <= 309.14
6.4x + 6.73y + 3.98z <= 467.24
0.06x + 5.56y + 2.55z <= 266.03
6.87x + 7.0y + -0.16z <= 429.65
-8.53x + 7.34y + -7.77z <= 795.73
-4.43x + 8.23y + 1.61z <= 456.24
1.36x + 5.77y + 9.13z <= 425.48
1.65x + 2.37y + 0.47z <= 214.31
-3.03x + -2.73y + -0.59z <= 899.68
-2.8x + -7.42y + 0.97z <= 953.14
-7.12x + -5.4y + -6.47z <= 671.89
-4.74x + 6.88y + 3.56z <= 637.62
-6.5x + -9.1y + -5.78z <= 344.49
-5.29x + 5.46y + 2.73z <= 943.76
9.22x + -9.68y + 6.22z <= 211.29
-8.87x + -5.04y + 4.66z <= 737.68
0.78x + 1.28y + 4.41z <= 436.09
5.14x + 7.81y + -7.22z <= 508.9
2.52x + 5.99y + 4.62z <= 399.86
5.35x + 8.73y + -0.11z <= 980.98
-6.57x + 8.09y + -2.76z <= 210.31
3.64x + -0.75y + 6.54z <= 854.01
1.59x + 1.96y + -3.87z <= 926.88
1.47x + -2.11y + -6.39z <= 491.59
5.84x + -7.86y + -7.41z <= 160.97
-9.18x + -7.19y + 7.51z <= 926.88
3.41x + -1.12y + 8.96z <= 934.11
-7.84x + 3.57y + 0.02z <= 290.7
0.05x + 6.43y + 4.35z <= 347.93
4.05x + -4.86y + -6.06z <= 317.44
0.95x + -7.24y + -7.09z <= 914.3
5.42x + 3.3y + -5.28z <= 187.62
-3.56x + 7.95y + -2.91z <= 255.98
5.42x + 7.76y + -5.96z <= 890.59
-8.88x + -4.29y + 6.33z <= 983.11
1.25x + -1.16y + -1.23z <= 257.04
-6.29x + 8.91y + 6.18z <= 925.84
0.03x + 5.75y + -7.61z <= 943.3
-7.55x + 5.56y + -9.61z <= 652.84
-1.07x + 4.59y + -6.05z <= 500.85
7.53x + -7.06y + 6.68z <= 131.79
0.74x + 5.97y + -5.11z <= 122.75
2.81x + -4.6y + 0.93z <= 555.26
-1.28x + -9.57y + -9.33z <= 988.26
-2.49x + -3.87y + 4.95z <= 450.58
-2.76x + 8.35y + 3.1z <= 289.73
5.3x + -5.13y + 7.04z <= 420.02
7.65x + -5.75y + -5.82z <= 441.14
8.54x + 3.56y + 0.44z <= 509.06
1.65x + 1.45y + -7.5z <= 651.93
5.62x + -9.25y + -2.9z <= 864.54
-2.8x + 8.14y + 8.5z <= 587.13
-0.4x + 9.93y + -0.59z <= 535.56
9.32x + -8.78y + -9.51z <= 897.76
3.01x + -5.91y + 0.6z <= 665.56
-0.86x + -2.1y + 2.98z <= 331.7
-2.55x + 7.75y + -2.62z <= 561.52
-3.67x + -8.08y + 3.69z <= 970.94
-8.23x + 3.66y + -9.75z <= 610.86
-9.68x + -3.88y + -9.72z <= 398.49
-0.83x + -0.62y + -0.36z <= 373.29
5.91x + 8.25y + 2.7z <= 970.02
6.19x + -7.19y + -4.81z <= 220.78
0.68x + 4.97y + -9.67z <= 319.22
-9.22x + 4.57y + 7.57z <= 951.77
7.26x + -8.95y + -2.7z <= 860.76
-3.85x + 4.44y + -8.1z <= 511.41
-5.1x + 8.25y + -0.24z <= 700.6
-3.58x + -6.92y + 5.12z <= 865.17
-7.44x + 5.81y + -9.99z <= 570.93
7.03x + 8.15y + -6.17z <= 393.66
9.56x + 4.77y + -3.63z <= 454.0
2.32x + 7.33y + 0.01z <= 961.0
-6.77x + 4.7y + 3.08z <= 625.45
7.6x + -9.01y + 4.69z <= 155.4
-3.12x + -5.63y + 3.24z <= 960.69
8.06x + 4.64y + 2.83z <= 623.91
5.36x + 4.42y + -7.16z <= 204.42
-0.08x + -0.31y + -3.12z <= 707.34
-6.62x + -9.75y + -2.82z <= 505.01
-3.07x + -5.91y + 7.34z <= 299.43
-5.55x + 4.88y + 6.64z <= 120.23
-0.39x + 0.07y + 1.5z <= 587.91
9.36x + 1.9y + 6.33z <= 456.02
-6.46x + -4.49y + 8.32z <= 848.01
-0.83x + 9.17y + 5.38z <= 921.71
-7.51x + 0.45y + 1.64z <= 822.94
0.3x + 9.87y + -6.09z <= 964.83
8.09x + 7.56y + -5.86z <= 598.48
-9.32x + -4.44y + 0.15z <= 689.47
-9.16x + -1.92y + 2.96z <= 526.62
-0.92x + 9.01y + 6.34z <= 236.62
6.93x + 1.6y + 9.44z <= 399.34
5.84x + 2.72y + -1.38z <= 513.66
1.56x + 0.47y + -7.26z <= 912.97
-2.56x + 9.98y + 1.79z <= 370.45
-8.98x + -0.86y + 4.67z <= 871.56
-4.09x + 2.43y + -3.6z <= 256.18
6.14x + 4.88y + -4.17z <= 894.84
0.1x + 1.1y + -5.34z <= 479.79
4.58x + 8.64y + 2.87z <= 193.06
-3.86x + 2.95y + 1.2z <= 590.43
0.16x + -1.44y + -1.57z <= 975.99
-7.34x + 9.46y + -8.66z <= 104.97
-1.87x + 8.79y + 4.22z <= 327.85
-4.94x + -9.47y + -7.21z <= 749.42
-9.27x + 6.47y + -8.82z <= 916.16
2.98x + -5.92y + -3.32z <= 786.85
-6.17x + 0.06y + -1.64z <= 786.18
-8.34x + 2.39y + 1.13z <= 572.57
4.64x + 7.51y + -7.11z <= 513.86
6.81x + -4.07y + -8.56z <= 805.93
7.23x + -6.41y + -5.46z <= 704.21
9.39x + 0.02y + -4.52z <= 998.42
-9.11x + 9.67y + 6.92z <= 420.66
6.47x + 6.49y + -3.57z <= 518.63
2.06x + -1.32y + 4.22z <= 334.02
-4.66x + -2.96y + -2.51z <= 300.23
-7.02x + -2.35y + -2.3z <= 838.41
-1.48x + 3.93y + -6.26z <= 261.11
-7.07x + 1.79y + -9.01z <= 248.7
-2.01x + -9.7y + 3.56z <= 762.41
1.1x + -6.2y + -1.49z <= 683.62
4.12x + 9.41y + -1.37z <= 837.45
9.35x + -0.49y + -6.82z <= 271.14
1.45x + -8.8y + -5.59z <= 717.73
-2.92x + 4.2y + 3.15z <= 345.47
5.0x + -0.87y + -5.94z <= 200.5
0.73x + -8.13y + 9.33z <= 811.79
8.24x + 9.78y + -3.35z <= 103.77
-9.19x + -7.01y + -0.06z <= 834.52
-7.48x + -6.5y + -0.72z <= 352.89
-0.37x + 7.35y + 8.7z <= 143.93
1.58x + 8.05y + -2.92z <= 794.27
2.82x + -6.8y + 2.96z <= 578.19
-2.44x + 4.51y + -1.94z <= 496.58
-8.37x + -4.45y + -7.85z <= 283.59
-8.26x + 5.28y + 4.66z <= 177.09
4.28x + -6.13y + -9.34z <= 767.22
9.41x + 2.12y + 2.33z <= 903.11
8.4x + 3.6y + -8.66z <= 678.41
6.09x + 7.38y + 9.54z <= 768.97
-5.61x + -0.59y + -4.11z <= 496.75
-2.92x + 8.53y + -2.19z <= 544.15
-2.29x + 5.81y + -3.43z <= 736.27
2.84x + -8.16y + -2.8z <= 277.7
5.93x + -8.21y + 7.28z <= 640.67
1.62x + 4.1y + 6.59z <= 485.06
-9.23x + 8.3y + 6.04z <= 890.34
-3.84x + 7.05y + -3.06z <= 510.23
2.96x + 1.61y + 8.16z <= 320.11
-9.93x + -6.98y + -9.79z <= 608.19
-1.72x + 4.34y + 3.1z <= 510.33
-6.85x + 5.17y + -3.34z <= 754.16
9.8x + -6.09y + -6.26z <= 728.6
3.28x + 9.53y + 0.83z <= 406.92
-8.2x + 1.73y + -7.05z <= 158.67
2.75x + -9.89y + 9.87z <= 357.33
7.29x + -9.61y + -4.99z <= 158.79
-7.4x + 5.77y + -2.83z <= 319.02
5.39x + -2.53y + -2.09z <= 620.44
0.56x + -3.18y + 1.48z <= 331.95
-9.67x + -8.25y + -1.21z <= 632.03
-0.2x + -1.56y + 5.39z <= 292.66
2.79x + -9.99y + 3.9z <= 971.56
6.09x + -7.93y + -6.45z <= 304.63
-8.31x + 1.43y + 4.42z <= 918.61
-3.75x + -1.1y + -9.3z <= 858.64
-9.6x + -3.02y + -1.37z <= 161.76
-5.91x + 5.16y + 2.53z <= 796.97
2.81x + -3.23y + -5.75z <= 375.49
9.49x + 5.04y + -9.13z <= 699.81
6.56x + 5.75y + -8.08z <= 919.62
-8.87x + -4.54y + 2.46z <= 480.58
6.04x + 8.61y + -1.99z <= 145.98
6.27x + 7.96y + -2.85z <= 205.55
2.7x + -1.65y + 7.91z <= 435.28
1.39x + -5.59y + -1.27z <= 172.78
1.38x + 8.87y + 1.54z <= 721.32
3.74x + -7.87y + 8.25z <= 547.21
-6.41x + -2.33y + 1.87z <= 497.36
-4.61x + -0.34y + -1.14z <= 576.21
-6.36x + 6.06y + -6.94z <= 292.98
1.12x + -8.51y + 4.31z <= 984.99
2.83x + 8.92y + -1.05z <= 963.61
-7.28x + -9.42y + 7.23z <= 241.56
0.15x + -1.95y + 6.14z <= 283.95
-9.2x + 7.95y + 7.5z <= 856.72
3.77x + 0.02y + -9.67z <= 895.51
6.27x + 7.04y + 9.62z <= 549.83
8.31x + 4.35y + 7.88z <= 491.26
4.94x + 8.81y + 4.19z <= 909.61
-7.51x + 0.99y + 7.7z <= 870.3
6.42x + 1.53y + 7.62z <= 994.28
-7.5x + 0.52y + -9.92z <= 535.71
-4.7x + -0.68y + -2.62z <= 568.65
-9.12x + 1.63y + 5.36z <= 395.05
-4.66x + 4.22y + 8.67z <= 178.91
3.33x + 8.7y + -4.02z <= 205.55
2.18x + 1.83y + -0.93z <= 844.8
3.8x + -2.14y + 2.84z <= 739.85
-7.07x + -0.62y + -3.46z <= 943.31
-2.65x + -2.08y + -2.34z <= 845.41
8.3x + 3.28y + -1.63z <= 287.64
6.41x + 0.94y + -7.82z <= 255.61
-6.65x + 8.07y + 8.41z <= 573.17
-5.24x + 6.28y + -2.98z <= 275.32
-7.73x + -6.5y + 8.39z <= 472.11
-2.69x + -1.56y + 3.66z <= 901.72
6.18x + -6.89y + -6.62z <= 282.86
5.24x + -4.78y + -0.98z <= 566.02
-5.43x + 6.0y + -4.37z <= 852.63
-2.26x + -2.91y + 9.36z <= 644.21
-0.11x + -2.98y + 5.21z <= 589.98
6.26x + -6.45y + -7.45z <= 490.85
5.05x + 1.24y + -5.81z <= 196.78
-9.96x + 1.1y + -6.64z <= 808.98
-0.66x + 5.19y + -8.01z <= 338.01
-6.07x + -7.43y + 9.13z <= 399.16
-8.91x + -9.15y + 9.4z <= 270.95
8.3x + -5.42y + -0.56z <= 411.87
-0.29x + 6.72y + 1.94z <= 493.67
