#convex solver is unbounded  but os tool has solution INFEASIBLE 

# convex result: UNBOUNDED os tool result: INFEASIBLE
max -4.22x + 1.66y
2.48x + 0.9y <= 179.86
4.82x + -0.78y <= -577.6
7.39x + -5.0y <= 435.27
0.16x + -1.3y <= -556.68
-2.36x + -9.38y <= 296.3
5.98x + -8.96y <= 757.57
-1.11x + -9.87y <= 392.14
3.09x + -8.39y <= -716.74
6.65x + -6.18y <= -521.23
-2.29x + -4.98y <= 221.7
3.37x + -1.74y <= 584.33
8.66x + 1.76y <= -162.11
-6.41x + -4.44y <= -124.73
7.77x + 1.44y <= -540.62
5.19x + 0.67y <= 473.68
7.05x + 3.22y <= 684.61
2.06x + -8.93y <= -255.65
-1.26x + -0.99y <= -176.42
8.78x + -1.11y <= 774.96
8.07x + -1.11y <= 900.51
3.9x + 0.06y <= 213.57
-4.09x + -6.76y <= -208.42
0.77x + -6.96y <= 947.49
3.19x + 0.03y <= -975.54
5.66x + -7.51y <= -274.6
4.62x + 1.31y <= -590.34
8.4x + 4.59y <= 454.04
7.34x + -8.3y <= -358.79
7.99x + 4.97y <= -294.12
-4.41x + -3.44y <= 262.71
-7.94x + -5.94y <= -775.23
-4.76x + -7.86y <= -279.05
4.31x + -9.67y <= -542.5
4.44x + -2.33y <= 162.54
5.18x + -6.66y <= -817.89
-3.25x + -2.5y <= 581.53
-1.01x + -5.21y <= 182.27
4.35x + -2.52y <= -259.71
2.33x + -3.49y <= -856.52
4.12x + 1.15y <= -812.3
4.8x + -6.74y <= -691.87
-2.05x + -7.49y <= -581.77
-9.78x + -8.76y <= 697.99
9.85x + -8.83y <= -104.91
-5.45x + -8.93y <= -122.94
8.37x + 0.64y <= -699.6
9.5x + -7.15y <= -162.15
5.78x + 2.23y <= -424.09
2.48x + -3.85y <= 655.84
-0.09x + -0.24y <= -633.85
-1.11x + -1.85y <= -792.82
6.31x + -4.44y <= 499.22
9.23x + -9.49y <= -403.99
-7.94x + -5.85y <= -224.95
4.5x + -0.8y <= 367.21
2.51x + -5.07y <= 946.5
9.31x + -4.38y <= -191.49
3.68x + 0.44y <= -412.91
3.47x + 1.63y <= 467.53
3.85x + 2.41y <= -764.76
2.88x + -1.95y <= 668.41
7.28x + -8.53y <= -109.13
0.01x + -4.21y <= 494.04
-3.21x + -3.48y <= -847.46
0.26x + -9.97y <= -795.72
6.3x + 2.14y <= -641.1
2.82x + -7.11y <= 236.29
3.17x + -3.24y <= 955.77
-5.35x + -9.27y <= 834.46
3.58x + 0.85y <= -503.01
-5.65x + -3.73y <= 349.63
7.03x + -8.41y <= -567.45
5.34x + -6.46y <= 346.18
-1.17x + -1.77y <= -737.09
4.54x + 2.22y <= 614.05
-8.52x + -6.36y <= -204.89
-1.77x + -4.49y <= -427.83
7.04x + -4.57y <= 748.99
8.45x + -9.12y <= 125.62
4.34x + -7.98y <= -531.8
-1.69x + -4.93y <= 567.44
5.21x + -3.51y <= 406.36
6.88x + -6.51y <= -875.11
-1.93x + -2.45y <= 152.07
-1.35x + -3.2y <= -871.25
3.28x + -9.06y <= -505.25
-4.02x + -7.61y <= 983.66
-4.22x + -5.48y <= -992.74
8.98x + 1.1y <= 562.96
-6.42x + -6.56y <= -108.55
7.81x + -4.83y <= -963.07
4.56x + -0.34y <= -448.59
8.88x + -2.78y <= 132.35
-1.0x + -4.71y <= 678.74
9.68x + 1.86y <= 787.56
-8.79x + -9.71y <= 623.54
7.95x + 4.5y <= -886.76
8.24x + -0.65y <= 995.03
3.56x + -6.25y <= -390.32
-3.13x + -3.83y <= -588.98
8.32x + -7.01y <= 835.64
7.51x + -6.07y <= -755.37
5.24x + -0.22y <= 308.63
5.34x + -3.45y <= 317.31
6.91x + -8.72y <= 795.82
9.99x + -2.77y <= 945.88
-1.79x + -9.98y <= -515.4
-6.66x + -5.72y <= 366.7
-6.9x + -7.69y <= 791.5
1.48x + -0.9y <= -225.53
8.24x + -6.01y <= 679.17
0.52x + -4.98y <= -174.48
1.89x + -3.52y <= 615.75
0.69x + -6.82y <= -915.16
9.1x + 1.63y <= -326.11
5.66x + 3.34y <= 298.22
2.68x + -7.44y <= -870.3
8.8x + -3.76y <= -267.7
-4.26x + -8.75y <= 704.54
-5.69x + -6.31y <= -735.64
-0.96x + -9.07y <= 137.27
2.87x + -9.76y <= -368.16
1.33x + -1.75y <= 423.87
6.25x + 1.77y <= 616.54
-7.73x + -9.31y <= -236.21
-2.39x + -7.8y <= 472.85
9.57x + 5.87y <= -351.85
-7.27x + -5.75y <= -268.26
-2.99x + -8.96y <= -672.14
0.96x + -9.54y <= 496.19
2.83x + -6.28y <= -157.42
-0.6x + -2.25y <= 247.13
-3.05x + -4.35y <= -230.32
-1.33x + -2.73y <= 515.35
7.63x + 2.8y <= -695.46
-5.17x + -7.34y <= -393.9
5.96x + -1.52y <= -669.35
-5.16x + -9.7y <= 432.35
2.24x + 0.97y <= -714.14
4.29x + -4.76y <= 261.38
6.08x + 0.01y <= 586.75
5.68x + 1.14y <= 355.34
1.14x + -7.14y <= 414.97
6.75x + -5.46y <= 950.77
4.36x + 0.86y <= -600.62
8.58x + 5.09y <= -582.95
1.41x + -2.04y <= 288.97
-1.46x + -7.9y <= -359.54
2.11x + -1.23y <= -802.52
9.12x + -7.29y <= 821.96
7.46x + 3.27y <= -190.46
2.02x + -6.13y <= 537.53
-4.96x + -9.34y <= -280.26
-4.83x + -4.39y <= 320.09
3.77x + 2.01y <= -185.81
-4.95x + -7.65y <= -898.86
-6.9x + -9.15y <= 481.17
4.38x + -0.83y <= 290.58
3.94x + -2.17y <= -774.14
-7.77x + -6.24y <= 698.06
8.58x + 5.06y <= -441.99
5.19x + -1.31y <= -758.24
-0.92x + -6.05y <= 868.02
-9.09x + -6.91y <= 241.58
6.55x + -5.14y <= -644.58
4.89x + -4.82y <= 838.43
-6.98x + -8.5y <= -481.47
4.16x + -9.56y <= -359.98
4.7x + 1.29y <= 766.21
4.52x + -9.19y <= 294.42
7.82x + -0.07y <= -715.75
6.41x + -5.28y <= -530.45
-0.11x + -7.76y <= -239.95
6.77x + -9.16y <= -400.81
-2.19x + -6.95y <= 309.04
-5.19x + -9.57y <= 663.95
6.33x + -9.32y <= 965.79
5.35x + 0.6y <= -815.02
-1.32x + -4.24y <= 606.61
8.59x + -5.08y <= 482.26
7.31x + -0.11y <= 710.92
5.1x + -5.15y <= -584.91
-4.59x + -7.75y <= -194.36
-5.34x + -5.55y <= 505.89
7.62x + 4.65y <= -691.69
-0.15x + -7.36y <= 473.7
0.18x + -6.67y <= 656.48
2.66x + -1.86y <= 241.81
-5.78x + -7.79y <= 617.81
8.68x + 2.8y <= -957.53
5.55x + -5.13y <= -278.81
2.04x + -1.43y <= -995.68
0.41x + -5.2y <= 367.32
6.9x + -7.74y <= 164.34
-2.49x + -2.15y <= -405.66
0.91x + -8.89y <= -981.7
-9.31x + -7.23y <= -533.38
0.56x + -1.09y <= -806.81
-6.74x + -6.94y <= -974.13
4.16x + -9.08y <= -859.6
1.19x + -9.9y <= 490.36
7.05x + -1.56y <= 261.55
5.87x + -5.68y <= 517.56
-0.14x + -1.46y <= -366.28
1.69x + -2.12y <= -140.24
4.86x + 0.8y <= -288.02
0.14x + -0.88y <= 124.42
-4.35x + -6.82y <= 511.17
7.2x + -0.64y <= -162.09
-0.85x + -1.31y <= -868.46
1.46x + -2.94y <= 576.61
9.84x + 4.8y <= 943.71
1.73x + 0.31y <= 283.36
3.63x + -1.73y <= -291.55
6.69x + -3.79y <= 830.3
5.21x + -0.53y <= 545.59
3.02x + -1.89y <= 619.62
9.2x + 5.68y <= -895.74
6.52x + -6.72y <= -318.01
-0.49x + -8.4y <= -200.68
-4.97x + -8.7y <= 978.25
5.53x + 2.13y <= -158.36
-5.95x + -4.62y <= -382.0
-7.84x + -7.9y <= 758.56
0.95x + -6.98y <= -494.21
6.81x + 2.34y <= -610.89
-2.28x + -7.99y <= 285.58
6.85x + -6.95y <= 910.78
-0.58x + -1.33y <= -251.08
9.65x + 0.52y <= -731.17
6.5x + -2.89y <= -676.1
9.59x + -8.77y <= -588.29
3.37x + -0.99y <= 345.84
1.51x + -2.8y <= 777.11
7.47x + 4.76y <= 162.47
5.69x + -4.2y <= 317.34
0.6x + -8.06y <= 515.64
4.28x + -0.43y <= -302.96
3.31x + -0.25y <= 149.4
-8.28x + -5.52y <= -938.84
-5.25x + -6.8y <= -114.67
9.44x + -1.36y <= -724.77
-7.44x + -9.56y <= 861.92
-7.59x + -7.5y <= 114.0
4.02x + -0.67y <= -890.77
7.22x + -2.04y <= -945.99
2.07x + -8.29y <= 116.89
0.73x + -7.81y <= 630.31
-3.13x + -4.78y <= -592.12
5.54x + -6.36y <= -914.03
-2.58x + -9.98y <= 176.21
9.96x + 1.63y <= 537.68
1.77x + -5.74y <= -900.16
4.95x + 1.24y <= -573.85
5.19x + 0.48y <= 791.2
8.85x + 3.77y <= 164.05
-9.39x + -7.94y <= -332.28
-2.16x + -6.26y <= 570.37
9.03x + -7.81y <= -109.77
1.23x + -7.24y <= -499.77
-4.29x + -5.53y <= 743.9
8.98x + 3.03y <= -962.8
3.65x + -7.33y <= 483.75
1.93x + 0.34y <= -834.84
3.88x + -7.72y <= -382.99
2.92x + -6.62y <= -412.34
4.19x + 0.86y <= -262.66
-0.35x + -4.1y <= 659.19
-0.22x + -2.5y <= 469.65
-2.0x + -4.17y <= -870.01
1.43x + -8.05y <= -370.14
7.53x + -9.05y <= 537.38
7.45x + 2.26y <= 804.93
7.26x + 3.28y <= -642.57
9.08x + 0.1y <= -197.3
8.89x + 0.95y <= -821.55
-8.45x + -8.13y <= 798.2
-0.43x + -3.08y <= 184.52
7.97x + -3.89y <= 900.37
4.85x + -8.06y <= -181.05
0.63x + -9.49y <= 422.05
3.72x + -7.61y <= -530.82
4.04x + 1.41y <= 385.53
-0.02x + -2.23y <= -203.68
5.09x + -0.48y <= 463.26
-0.74x + -1.29y <= -869.46
-5.44x + -4.29y <= -745.34
-5.64x + -4.95y <= 738.55
6.74x + -9.79y <= 428.76
3.78x + -9.97y <= 292.34
-3.23x + -6.31y <= 451.66
9.15x + 4.01y <= 689.65
-0.09x + -1.83y <= 863.55
5.31x + -5.89y <= -654.65
9.04x + 4.67y <= 812.93
-0.12x + -7.45y <= -797.18
-1.39x + -9.7y <= 538.36
5.5x + -5.58y <= -440.96
-2.06x + -6.68y <= -500.31
1.0x + -1.06y <= 912.25
-5.49x + -8.37y <= -477.4
4.97x + 0.7y <= -828.55
2.08x + -7.12y <= -151.26
-5.53x + -7.38y <= 593.88
-0.78x + -4.71y <= 586.97
7.95x + 4.01y <= 760.95
7.2x + -8.98y <= 332.66
-3.01x + -2.14y <= -695.28
2.71x + -0.82y <= -226.52
1.02x + -9.23y <= -709.82
6.79x + -7.35y <= -346.41
7.57x + -1.26y <= -169.05
3.74x + -5.34y <= -362.29
-2.84x + -3.49y <= 606.22
-8.37x + -7.03y <= 934.66
8.42x + 4.23y <= 261.67
9.14x + 4.38y <= 978.64
6.76x + 3.28y <= 352.1
-2.95x + -3.96y <= -934.39
-0.28x + -9.82y <= -107.78
-1.05x + -1.54y <= -740.03
-2.63x + -5.44y <= 551.05
4.34x + 0.04y <= 242.72
-5.52x + -8.7y <= 414.02
3.93x + -9.58y <= -178.13
-0.9x + -6.53y <= -439.8
9.64x + -2.1y <= -961.75
5.33x + -5.22y <= -826.93
-2.97x + -5.81y <= -895.99
-8.57x + -6.21y <= 686.22
8.5x + -9.04y <= 932.3
9.35x + -0.56y <= -802.02
4.88x + 2.7y <= 281.45
-4.45x + -5.57y <= -537.25
1.54x + -9.47y <= 713.3
3.27x + -4.69y <= 360.61
-6.68x + -7.38y <= -557.78
9.85x + -1.9y <= -186.17
6.42x + -1.14y <= 991.49
8.86x + -8.22y <= -229.11
-5.96x + -4.0y <= 445.71
6.61x + -5.48y <= 350.62
9.72x + -3.08y <= 289.32
0.24x + -8.23y <= 506.56
-1.83x + -4.67y <= 897.9
-0.32x + -0.92y <= 203.39
6.68x + -2.27y <= -811.69
#-----------------program end-----------------
