#result not equal
# convex result: (15.38232,17.87768) os tool result: None
max 71x + 43y
55.23138338682605x + -87.2675343580484y <= 21103
-63.84400222585551x + -25.575302927759864y <= 28018
-22.440745058534134x + 87.0342077998884y <= 80019
-59.1861445509394x + -18.438134254835987y <= 97944
-0.1987315925932478x + 58.09416785258438y <= 65495
64.5589960193661x + -51.60730444506345y <= 23328
73.78772853637315x + -20.53601792496289y <= 73324
-78.80356736964092x + -52.93329654440346y <= 36141
-69.23200042729664x + -38.464329626876584y <= 79772
27.23285693529718x + -10.915824925902129y <= 43521
-87.88689054234229x + -41.322105568522474y <= 2877
99.94266172750577x + 19.917884207905544y <= 54376
3.467549015682579x + 59.62051510629388y <= 16687
13.224797416550288x + -0.7673329049685833y <= 92308
29.495113465685165x + 41.41892752160189y <= 99410
-88.91812025013257x + -90.80758939582799y <= 63605
25.694340880814636x + 84.0847308311906y <= 11424
50.86990819420501x + -5.528547948178215y <= 58365
96.93714018145758x + 0.5516956414975454y <= 42026
-64.0782284554301x + -83.8603407368993y <= 87267
-56.98107026497239x + 37.24204592235651y <= 38350
-9.921544412862616x + 97.40244283035804y <= 22291
-15.59677938737569x + -13.593913063439317y <= 56229
-86.2291250828543x + 48.17800712409445y <= 61861
-96.85421187748855x + 7.914077527363887y <= 13715
-72.89319520057838x + 43.96649836822087y <= 61005
63.475907278186526x + -96.1817037345838y <= 53044
-70.27550369011277x + 11.255632858358268y <= 56328
32.2164869602577x + 90.02782558838061y <= 90681
94.14530246294092x + 29.329986316322476y <= 79384
-35.59768533568271x + -78.37964362151928y <= 44361
-58.28248942087002x + -24.62114605245054y <= 94770
-76.0731895475104x + 21.840252419198137y <= 46651
-4.703220602725594x + -16.647307329252143y <= 11617
35.57434132360581x + -51.05410695102657y <= 36134
75.75815567979106x + 70.57852841052681y <= 92286
47.74181275599824x + 40.39475450585135y <= 47505
-81.51501428750059x + -38.378215845640185y <= 81053
73.96428593972098x + -29.187041648285827y <= 51162
-74.61615961726535x + -97.58017184548878y <= 56657
35.71212077683265x + -61.81029622124874y <= 55975
-60.288714260024044x + -87.3633732904516y <= 93812
-95.9692875114881x + 76.2256782048668y <= 95469
2.4721050323092157x + 47.317296263722795y <= 98757
79.07895198938971x + -34.03688901894422y <= 95208
23.083364931002933x + -37.90279661597633y <= 16397
-71.98275088797996x + 89.00263947950694y <= 95419
26.218217765840322x + 34.31098747467513y <= 18377
-25.539115642800937x + 36.34873969523301y <= 61559
80.87836758010368x + -45.44683012986654y <= 78506
15.473415253753473x + 93.58447522241741y <= 38683
16.059813618928587x + 14.187447160769182y <= 82505
-20.471824248106785x + 17.031348552579644y <= 18654
22.74078080444491x + -71.32713320949972y <= 85458
90.05587754510293x + -38.718066645017515y <= 55218
32.86475899751588x + 24.851858994313687y <= 80151
80.26888098969019x + 83.5672988152401y <= 25488
63.792865513214934x + -0.7003439499365385y <= 18695
80.28376316235207x + -7.924251698878976y <= 46651
-45.470260767849545x + 35.24094610770575y <= 60539
-26.832710647964817x + 65.87201543610368y <= 11843
80.1530501948375x + 50.40645417712787y <= 29249
17.765473660959557x + -39.16550288696812y <= 71581
-33.430674933532x + -62.28831239607329y <= 46029
-7.1951724684981855x + -84.61868326824869y <= 8256
34.83894818179988x + 87.75638485008866y <= 9226
10.264896730191836x + 84.90447299435311y <= 53099
-86.66685281314386x + -22.905683047351005y <= 41203
-50.24210076627431x + 45.271801555237346y <= 70013
-68.7473010368874x + 59.90166370529451y <= 59192
75.86047071360997x + -86.76973038203788y <= 94952
56.226926467478165x + -6.366479517916844y <= 6832
-7.496810507415134x + 76.32903975758865y <= 69230
-29.75875847858643x + -55.57440261073721y <= 47200
-74.18883973318833x + 46.702369529178924y <= 78801
-87.61489130235505x + 95.77523191886746y <= 4138
-7.180815485005198x + -5.285000592235306y <= 19208
-90.79670571545384x + -12.125711795644207y <= 60340
89.3618143218855x + -49.26526511911049y <= 67318
31.173068645614848x + -74.88045586622611y <= 83587
27.517496559870906x + -10.378431480222574y <= 99655
99.43187788044895x + -50.17991030025166y <= 19303
-69.14664160594053x + 51.47925342087319y <= 33151
94.32576470518993x + -56.603487539455074y <= 60323
-4.410153987092059x + 79.11345084322139y <= 33023
-8.536450784118472x + 92.689456521599y <= 70642
13.462948824592686x + 68.89763437028134y <= 8041
-61.6208294352343x + -56.36374650453794y <= -1609
-50.6507780823483x + -52.638403748931985y <= 33449
18.00491861684945x + 42.08513671248886y <= 95449
-33.003346192901944x + -72.56089344853504y <= 96447
-63.780603373282x + -37.526077755701756y <= 85569
86.35902810502608x + -4.988937981693681y <= 44101
-72.36725199151803x + 14.372099733493783y <= 54164
-26.484406663861407x + 57.801424598104546y <= 82707
70.63571096520226x + -52.93713010173333y <= 48346
-34.5960054288138x + -56.49678185726445y <= 78192
-24.608024537612778x + -98.30701441105418y <= 13664
-36.76069818480896x + -33.21489668137683y <= 90751
-84.91911497702165x + 44.21280666632467y <= 38990
42.48014432314798x + 54.492738952118174y <= 44691
-99.02320543745826x + 48.823357012187216y <= 32654
11.811943656486463x + -57.9931971658022y <= 6876
70.15229210115572x + -57.411821745068515y <= 37740
39.86763084047337x + -80.00274962857054y <= 22078
46.556242662492565x + 27.74097388981056y <= 97861
6.259778309963821x + -20.874409523812233y <= 47672
6.67809360493689x + 70.69181035691429y <= 16989
12.383151166170165x + 30.663812072652632y <= 21540
-55.9888743865876x + -41.363647523603y <= 21253
94.36837606413377x + -49.73400014328271y <= 83784
19.929985481817596x + 26.058091208351115y <= 31762
55.481312845420604x + -9.61297485592496y <= 14727
-75.53824000886678x + 42.91807792988004y <= 35610
99.72847475807839x + 15.92915749983726y <= 9858
1.9064760737385882x + 45.06416499935361y <= 7697
-57.06634705649583x + 61.12826697124788y <= 86368
-44.72026999640335x + 54.88761265282605y <= 87536
89.37067531528427x + 53.540843475428915y <= 27470
90.72461072358462x + 71.12278343728102y <= 29598
59.30150380935436x + 31.95685856082278y <= 4902
-6.616244123929491x + 25.639627357041732y <= 54865
-30.87447248237254x + 59.06060187792147y <= 26305
-87.7122887974664x + 94.04590313348228y <= 22991
12.196115567073832x + 96.15875152991765y <= 99961
-47.40974881379416x + 27.043635991901866y <= 25026
32.45717644619077x + -0.9844776399946511y <= 94706
-93.77133700449625x + 8.967340153693385y <= 44853
4.680573627408279x + 68.86060277223856y <= 33314
95.44489035885184x + 32.12555426348945y <= 90752
-27.57064503915656x + 65.42044604302978y <= 62305
34.280905224621705x + 13.551859221626799y <= 10442
68.09113997324533x + -81.54151233235149y <= 85379
-43.41462875944622x + 29.275690660259556y <= 80378
62.815680446764986x + -0.6094962305084977y <= 86866
-99.13281608737299x + 21.34929950340272y <= 9969
74.67218939778337x + 76.43967671390135y <= 63598
-14.571186307662344x + -46.89477335608729y <= 51384
59.355696090505205x + 87.52201274756143y <= 49121
45.54519459423227x + 7.158308904493666y <= 51998
17.629342610434946x + 55.71767139009842y <= 38825
18.230976978689625x + -84.17462711226058y <= 65297
-44.41300744395031x + 35.22088684276858y <= 61426
91.13407810902427x + -42.23259805535204y <= 97312
82.93542167726798x + 7.621689666314978y <= 2644
52.57546463579342x + -72.04776777979825y <= 99246
89.6762508412285x + 88.50068492221072y <= 63794
-39.693654133349x + -50.91019686451874y <= 91364
38.91581873123002x + -24.142609285168476y <= 58106
-83.67433801172058x + 43.326070242836096y <= 51868
84.63027360994462x + 14.79798820289922y <= 79267
-73.82846185339255x + 23.58180216411327y <= 44214
99.0358894240608x + 16.41947880107297y <= 46548
-51.78703307974397x + -91.71876743268832y <= 12492
-88.53128906386772x + 91.74480001599605y <= 84482
-96.33178320499066x + 78.51599897411162y <= 62853
69.06274710134582x + 63.594812216069045y <= 83536
42.46710186406065x + 98.16797049517382y <= 17527
63.869274363190215x + 91.35805249729404y <= 75143
-48.52735638182493x + -47.313215346645876y <= 19187
-81.47240683149136x + 26.024850421515808y <= 89047
42.32295882183544x + -56.09072880792143y <= 55229
13.247053207318388x + -53.89449301233922y <= 40631
90.8981125197204x + -88.51352802907013y <= 5990
74.97718295452057x + -3.4575111580198694y <= 9445
69.67298677862499x + -29.9519925069297y <= 46136
22.548404118778137x + 84.65794765257777y <= 61186
-95.13597726615973x + -10.608699854775509y <= 99424
-73.80358554908362x + -88.5300953162y <= 28266
-71.12444051574418x + -63.528128290332766y <= 8335
0.8124473430925576x + 33.64950361305597y <= 83466
89.57939054018706x + 35.914108470815876y <= 2020
-69.92433849920073x + -22.828514111657782y <= 35477
-48.92619646216849x + 47.67243631132956y <= 55445
-64.76738349616028x + 0.26240429239470586y <= 59965
-6.3729872747686755x + -10.334243595118366y <= 61117
-19.58381926682074x + -78.78296275425068y <= 84973
63.43799935313734x + 5.703330064306854y <= 36424
18.365572731180407x + 96.55339237850205y <= 87943
-78.30770605717628x + -56.467679166472976y <= 41769
-62.54503431914142x + -11.904219432940778y <= 55913
-21.50032419196289x + 79.90173124822564y <= 95162
-13.875191748413258x + -17.08751521543212y <= 76458
-88.90833641271632x + 5.970205433708145y <= 98004
-26.713895020078667x + -96.10186060681083y <= 7693
41.47563310660192x + 82.83099048261235y <= 67211
-26.00468435091112x + -76.60638157376196y <= 9400
51.732133676549864x + 18.715592820624735y <= 45525
19.983834869502132x + -97.44267189735545y <= 86457
69.6588499664052x + -2.1674138668420113y <= 61654
-3.1419863093572076x + -22.90257496648198y <= 19847
54.76133047928326x + -50.51859178293307y <= 83979
-50.9416147501196x + -87.46727794716931y <= 95885
-91.26659394468007x + 85.08535816441085y <= 51435
73.36145072478726x + -7.347674045283384y <= 85322
-93.24360314357874x + -4.5235469396791075y <= 19648
55.40064629369081x + -7.342894174767281y <= 25150
-38.033618008227535x + -68.56558214675883y <= 80948
-55.5318584113788x + -96.58645956851983y <= 37081
-93.72649196274536x + 39.24790262359744y <= 74983
98.77067051574778x + -75.27784245975158y <= 14127
-50.688555107687435x + 55.23189770067293y <= 49441
-64.43726729585033x + 45.23433060081345y <= 36053
59.03334448843657x + -20.3675022105039y <= 14883
-19.581851606189645x + -42.96206441298145y <= 54999
68.92219151095716x + -5.110323174411178y <= 60580
-42.525956725565536x + 64.38959420153773y <= 45306
90.55920075892175x + -24.819178200988688y <= 9789
8.09621394945988x + 31.515563766035285y <= 41966
77.24613981417866x + 46.54412359721164y <= 7621
95.31432847665019x + 51.40304766983459y <= 97502
80.88572844021681x + 27.684483540249033y <= 64303
53.30227601198277x + 14.436968977246536y <= 82873
-69.63876636382136x + -48.516581014286466y <= 22860
-75.15220030884711x + -98.47553286777624y <= 3187
-90.33050462518125x + 83.0743265611861y <= 95442
-0.2384144256293581x + 35.77081233050865y <= 43403
79.2396427485335x + -82.35308560514892y <= 96242
-88.41126531918817x + -83.80329787333523y <= 1952
-23.788404390893916x + -45.499383198557794y <= 19463
90.17444600487627x + -2.537307605239249y <= 44072
66.83025674080525x + 62.0347704779075y <= 3256
80.8781908617361x + -46.00185386155542y <= 43378
96.60486752022393x + 0.07182857288310629y <= 69871
84.0453509784027x + -67.55682461271542y <= 74532
7.627589340608807x + 52.69097415389325y <= 2504
-97.62577475385868x + -66.01456906145918y <= 59056
-25.66113417570935x + 78.76976784658564y <= 12717
-3.1519496894886885x + -19.898816792760286y <= 52128
-56.475602073023026x + -83.98147211542361y <= 97361
98.86970745718875x + 53.76131374007613y <= 54596
94.79517311730748x + -80.86754820669881y <= 62046
85.71273942446967x + -23.17370126451779y <= 88122
-56.66234526049412x + 37.98395850546797y <= 10002
8.871247960021165x + 37.92113368983374y <= 65434
-29.308633849088437x + -62.9245280169001y <= 88429
-76.63942977831577x + 35.57614898416966y <= 94072
69.90357746205498x + -96.88783183431539y <= 36390
-44.92430658228066x + -25.039705238703732y <= 30317
-20.921639185258286x + 60.04221958558071y <= 44339
87.47642778940124x + -97.13210077530834y <= 22231
-46.633692682026705x + 16.578302837205626y <= 53834
-56.68629495820747x + -20.254424939037392y <= 33923
-67.83732788720707x + -79.57318751263705y <= 82359
-64.46452726100884x + -17.26479243657802y <= 81312
94.93093254645984x + 50.137602988026515y <= 75193
-94.8094835509518x + -53.118686416381976y <= 30552
-1.7692254924218247x + -90.92414110044001y <= 86366
-70.11813393484513x + 11.116971757224263y <= 48334
75.26536381524323x + -9.471624684630655y <= 63349
-94.602134584252x + 29.28354854634628y <= 13145
-95.18344939637305x + -75.1151436407086y <= 60582
36.91233133116444x + 92.11144252900962y <= 66629
27.62512206711098x + 43.30327133430683y <= 79639
-98.19103232372002x + -94.11718034649003y <= 84300
12.414909704503202x + 64.2361844834457y <= 62839
21.41050093971512x + -97.2928194192733y <= 29146
64.02217850954938x + 30.376117273136686y <= 49196
52.58035691274566x + 36.22113673931261y <= 52719
-14.31428398824039x + -79.21457801424717y <= 93663
53.05976229633313x + 17.199885418676544y <= 4146
70.42617135492145x + -78.29275991997342y <= 90513
-29.275806490992707x + -39.54616462607423y <= 97425
-98.31873990158377x + -72.82745499947698y <= 45668
-84.15296334093962x + 96.10708152097371y <= 97251
-6.577304096147387x + 20.47702729551868y <= 77012
-60.64677837586259x + 40.80109956901168y <= 78478
-50.706982773796774x + 92.32444673809931y <= 42451
-9.058794860931684x + 3.370405919390194y <= 56353
96.71946981722039x + 14.096566657392657y <= 36051
-17.56905962291249x + 57.45514233573317y <= 37154
-84.71295397347514x + -48.82390090329769y <= 97814
-19.622415953024714x + 20.581153683598274y <= 24235
-64.4073358717732x + 31.120963215661078y <= 54397
-79.03554512581456x + 46.518307131123805y <= 50593
45.757543322120824x + 18.556352998275827y <= 5367
14.963575731509621x + -33.797102717402865y <= 67417
-57.38714785148025x + -31.213771726267353y <= 8207
12.46061341746018x + -24.20135906694712y <= 50288
-66.05167345957412x + -40.262480787898824y <= 98525
96.1401777319825x + -40.98594115681517y <= 55646
-52.22530663235479x + 99.651804794405y <= 87533
48.3929569202609x + 46.15658293403894y <= 43807
-67.0056178148578x + -54.10531531709795y <= 60169
0.33541178057927823x + -81.86567528359829y <= 33953
-54.963118572045786x + 3.4799458402723644y <= 48988
31.510832211694833x + 88.03118450850855y <= 42089
-64.25957791655156x + -59.7413956925211y <= 46919
-76.32695623317913x + 40.5419604779662y <= 1740
34.76362355225976x + 85.01358263390847y <= 68976
40.489584811301285x + 66.23599957080418y <= 56572
27.95905958075724x + -27.621453889210642y <= 33373
95.31094381101116x + 48.39379175491547y <= 19491
3.441060455027497x + -48.661581506692265y <= 44580
-14.62256705466389x + -98.13676181065718y <= 20262
78.23272414366872x + -58.76029883041794y <= 17756
22.812503069136582x + 95.75116134215415y <= 21815
-4.028111338960855x + -64.64175405893586y <= 59060
-14.929132283676935x + 51.22207008137531y <= 7625
-55.928296793442065x + -72.93557810841943y <= 84617
-47.314272285863915x + 84.13628515176075y <= 40685
40.4485343870692x + -40.60588388358391y <= 98200
56.71273017759938x + -79.3570115299462y <= 59605
53.435638114272365x + 15.496662586283634y <= 30979
47.30824739618211x + 50.19791212552681y <= 39104
-82.32097876909901x + 98.28214902669103y <= 46219
-12.395791096782133x + 98.830678478028y <= 47160
-11.265749568329284x + -99.30805344566622y <= 91025
42.63894465025706x + 70.55016505665995y <= 41194
87.21896828959086x + -30.547231525262248y <= 8155
-81.61502962514811x + -80.34773568363022y <= 11047
31.501753309077486x + 23.50355401998847y <= 59093
-13.812108414728101x + 79.97134285990833y <= 72761
63.03521274241402x + -84.71711166297804y <= 2926
13.257230783007572x + 34.55580956924328y <= 7017
72.1893693517045x + 2.2464786529394587y <= 45173
60.462180946311804x + -50.766599297398415y <= 80504
-18.61137778566055x + 62.44858611930337y <= 44323
83.31484192981114x + -3.100518909930855y <= 8598
19.42809217767345x + 60.92814645351723y <= 48708
25.60166408901803x + 76.21438183553232y <= 2529
-37.21274578024201x + -62.59023001952468y <= 47278
-89.85606086268807x + 2.9532516442500594y <= 45110
16.653726937144825x + 19.670868488782673y <= 59349
-46.613079081734995x + 70.96962154911526y <= 62478
-0.3518383067212767x + -72.5717024957992y <= 62170
82.73792052385778x + 31.368762898477826y <= 32318
-80.53550738521871x + -85.45406711436199y <= 62599
97.02307413972332x + -8.705855694064837y <= 52350
25.779237402169116x + 66.02853312037377y <= 21071
-65.06137536201493x + 85.36437452982716y <= 43177
-42.33074176603389x + 81.11891780656421y <= 74559
-9.854610130879408x + -15.747323435885747y <= 27725
21.737335803741402x + -23.53012759178877y <= 53510
-39.58133689390222x + 96.80245004775477y <= 75603
23.09288020825086x + 58.08834739298911y <= 49809
-50.3744855350537x + 12.07514323899781y <= 17895
-51.90537135322091x + 25.265406244246734y <= 45143
5.443888291899924x + -18.79841710706995y <= 14900
-46.66828664033056x + 49.75402713300494y <= 60265
7.57797840165513x + -17.610063691636938y <= 97344
63.09764283988372x + 70.29154964080558y <= 16222
-20.25605536786452x + -83.67239128134749y <= 35400
30.04572522203074x + -70.95835498418867y <= 42117
5.154938252910483x + -42.21527073047038y <= 7474
30.691328240815864x + 24.039772986363218y <= 78203
68.81276877276463x + 97.27269695359934y <= 43090
-17.65455109274629x + -79.21685336553847y <= 61348
-29.46240706652486x + -52.72727008071227y <= 82067
13.768885193021546x + -12.651359464094057y <= 95154
46.11598955171911x + 98.13066820725751y <= 12291
43.74479956378971x + 26.430404913176318y <= 47477
-60.775727416386324x + -71.38508728352882y <= 83345
-38.18419548788463x + 87.98839758779769y <= 62958
-73.62831544969337x + -7.150695768522056y <= 4607
-80.73831150836344x + -26.48808379170353y <= 22897
65.8828111187984x + 69.59499225432143y <= 22226
31.816825824475217x + -97.52462451831647y <= 37282
-17.178683161234744x + 80.10919099280602y <= 43906
17.507764220366923x + -78.6126186800677y <= 95935
1.8380175867147415x + 0.8616706308701509y <= 69123
8.363767619991762x + -61.55661777699735y <= 93176
-43.01473987732904x + 28.429525761572194y <= 62514
-31.824397730605398x + 33.18676275389325y <= 27620
-97.98241438414159x + -77.90931537310277y <= 26040
-16.42351599792005x + -24.89324327978339y <= 32982
60.38922050837462x + -38.46705020049082y <= 3111
25.67866620878631x + -3.7503465445934268y <= 93851
-29.911597914206325x + -29.749445199596394y <= 72358
19.289515585617494x + 18.844489671431603y <= 10161
8.233599808166673x + -84.561945568845y <= 99154
77.3009224425586x + -11.475112824350674y <= 63837
1.079527480996461x + 76.01843177103098y <= 99155
11.66347335220128x + 62.771214459039754y <= 10829
98.82494700841141x + 52.222428185221816y <= 82215
-30.361927064049127x + -76.44147122877713y <= 86802
44.44462192409344x + -76.19710012556368y <= 82305
-20.13988416910142x + -74.4118303056739y <= 56726
-71.27495605488306x + 52.381828371375775y <= 23117
39.071238154061405x + -1.1856106528998396y <= 4397
79.21953785779195x + 39.03217108456775y <= 36646
-85.81896257526907x + -41.72880014036136y <= 67606
29.373048146863425x + -15.147177696076682y <= 54113
-91.05289669345065x + 19.66068543388279y <= 25105
62.78144162918679x + -46.255770449038124y <= 45521
-59.37003680288324x + -13.282221560122707y <= 97107
82.6059877043906x + -83.24480028414155y <= 89068
8.122344619689017x + -7.6832222464013y <= 46843
-37.10194337490134x + -24.497757148857602y <= 11263
-39.41231008096106x + -20.139966649305748y <= 29128
-24.84957501847984x + 66.90809756402231y <= 31788
41.329591917003086x + -72.67403713106258y <= 18292
18.584330564940316x + -4.347286248424126y <= 70166
68.08845133044571x + 19.296617030793556y <= 61017
55.79674476652019x + -8.630255759354185y <= 8938
-34.02398405990421x + -62.1570498349314y <= 54476
-38.80772665260466x + 97.11714631828724y <= 32224
50.52298437207571x + 28.62385206327795y <= 33563
76.34727713373798x + -94.3218905112038y <= 39325
-96.10957121515568x + 47.23110490409471y <= 68171
