#convex solver has no solution but os tool has
# convex result: None os tool result: (6.81555,11.87268)
max 1x + 2y
-8.3175x + -0.5299y <= 551
5.5914x + -9.0446y <= 728
-7.7368x + -0.5816y <= 740
-1.2647x + -3.4505y <= 774
-7.948x + -3.5129y <= 125
-9.3247x + 9.13y <= 885
8.4519x + 0.4688y <= 777
9.333x + 1.4353y <= 490
-4.7316x + 1.503y <= 256
-6.927x + -0.0277y <= 863
-4.6053x + 5.1716y <= 802
0.1969x + -1.8931y <= 639
4.9912x + -1.8372y <= 150
-8.2119x + 3.9634y <= 641
4.146x + -7.9843y <= 118
-0.6945x + 8.0671y <= 878
4.0483x + 9.6501y <= 332
3.2967x + -9.3698y <= 737
7.6717x + -3.7804y <= 155
-7.0539x + -0.7457y <= 143
5.6247x + -3.5395y <= 458
-0.6234x + -9.7688y <= 899
0.8018x + 7.0298y <= 563
5.5101x + -3.3371y <= 778
9.3748x + 6.0997y <= 667
-9.5144x + -6.2958y <= 148
3.5638x + -7.4073y <= 263
-6.9761x + -5.3486y <= 676
8.3675x + 5.9089y <= 770
6.2856x + -7.2055y <= 424
-5.4015x + 0.345y <= 433
-9.8421x + -7.4992y <= 858
-5.8311x + -6.757y <= 607
-7.2788x + -4.1104y <= 350
7.4665x + 6.7209y <= 997
8.7604x + 1.7617y <= 422
-8.242x + -8.302y <= 813
-1.0727x + 2.2355y <= 609
9.0161x + 9.2638y <= 767
-4.3773x + -9.4509y <= 796
7.4844x + -9.4259y <= 525
-4.7295x + -4.703y <= 606
-6.6002x + -5.5388y <= 225
-2.8247x + -5.8339y <= 243
-7.1486x + -8.481y <= 136
-5.0981x + 4.4021y <= 685
-2.4437x + 2.2445y <= 966
-7.5365x + 7.7953y <= 818
-0.2474x + -3.559y <= 208
3.1121x + -2.2836y <= 713
-3.3541x + -9.8889y <= 741
4.2023x + -8.2837y <= 372
5.5608x + -7.2194y <= 239
-8.9162x + 5.6469y <= 373
4.4127x + -0.236y <= 954
-7.7797x + -2.7726y <= 871
9.978x + 0.5065y <= 576
-1.5211x + 4.8849y <= 466
-0.3258x + 5.9841y <= 480
9.7772x + 3.8107y <= 610
5.3409x + -5.9388y <= 507
-0.9057x + -7.0311y <= 159
-1.5973x + -2.846y <= 731
-2.854x + 8.3941y <= 373
7.0758x + 8.7493y <= 436
3.6507x + 3.2592y <= 300
-8.605x + 0.9996y <= 911
5.6298x + 2.2361y <= 991
3.0457x + 8.6143y <= 362
2.4401x + -6.622y <= 184
1.5817x + -1.133y <= 936
-3.4328x + 8.585y <= 125
4.2816x + 1.8643y <= 702
-2.1507x + -3.1772y <= 596
-4.8557x + 4.5439y <= 905
-2.2202x + -5.9547y <= 784
0.9329x + 5.6109y <= 468
-2.2284x + 8.8909y <= 415
9.3513x + 6.1403y <= 233
-6.542x + 9.8442y <= 977
8.5818x + 6.9612y <= 731
1.7495x + 1.5174y <= 359
-0.9905x + -8.6455y <= 741
-4.8199x + 0.7251y <= 516
9.1625x + 4.2386y <= 891
2.6225x + -2.482y <= 757
-9.5045x + 0.245y <= 406
-8.0731x + -6.7083y <= 100
-1.2741x + -0.6109y <= 801
9.6861x + 8.6398y <= 968
-8.178x + -4.7136y <= 580
2.4375x + -7.8265y <= 366
6.5743x + -1.2876y <= 278
-7.1976x + 0.61y <= 284
-4.7383x + 4.9859y <= 682
8.0775x + -1.8845y <= 507
9.8567x + 8.209y <= 293
-9.5819x + 0.503y <= 411
-4.7337x + -7.9648y <= 161
6.1705x + 6.0152y <= 251
4.5027x + -7.5799y <= 255
7.3671x + 3.3547y <= 289
-6.4445x + 8.5048y <= 963
7.4069x + -3.6409y <= 965
9.2504x + -5.7774y <= 918
-6.4818x + 0.9385y <= 909
-8.3378x + -7.9923y <= 110
3.7952x + 6.1966y <= 823
-3.9353x + -7.5656y <= 693
-7.176x + 0.4434y <= 794
4.9703x + 4.3617y <= 309
-7.3241x + 2.3374y <= 322
-3.4884x + -7.1265y <= 350
2.5549x + -1.353y <= 389
4.9941x + -2.1624y <= 158
-2.548x + -6.7609y <= 159
-8.3629x + -9.4378y <= 166
8.5959x + -3.5177y <= 778
4.443x + -9.3517y <= 304
-5.7088x + 9.4815y <= 630
7.9943x + 3.5978y <= 886
2.1177x + -5.3458y <= 492
-5.8479x + -2.0795y <= 524
-9.9949x + -3.0968y <= 434
-0.8537x + 0.5693y <= 226
4.9058x + -7.689y <= 683
-1.6743x + 3.4331y <= 421
-7.6785x + 8.749y <= 569
-6.514x + 0.2876y <= 470
-6.9226x + -6.9575y <= 649
-2.8945x + -3.6821y <= 417
1.8798x + -3.9017y <= 672
0.6919x + 4.0915y <= 998
2.1337x + 2.6135y <= 758
4.3592x + -0.135y <= 534
3.3673x + -3.7605y <= 913
-3.0261x + 3.6179y <= 338
-0.5576x + -1.0446y <= 449
3.8619x + 4.6811y <= 284
-0.572x + 5.3314y <= 922
-8.8755x + 8.2571y <= 817
-8.1703x + 5.8534y <= 259
-9.1745x + -5.8499y <= 715
-5.2046x + 7.5474y <= 172
1.6099x + -9.9119y <= 762
-4.5061x + 3.4718y <= 521
5.3826x + 0.8293y <= 889
0.2196x + -6.4076y <= 261
5.1478x + -7.12y <= 219
-1.2097x + 7.9074y <= 888
2.4838x + 8.7426y <= 825
0.4194x + 2.7556y <= 386
2.1875x + -9.8695y <= 979
-1.7456x + -9.7466y <= 174
-6.1397x + -6.8627y <= 957
-5.8314x + 8.8456y <= 489
8.1802x + -0.794y <= 592
9.8825x + 6.5391y <= 510
-0.2389x + -1.1612y <= 632
-6.2211x + 7.1161y <= 907
-6.7108x + 4.6349y <= 754
-7.8166x + -8.9165y <= 554
6.1438x + 3.2309y <= 171
7.9451x + 3.3617y <= 930
8.1142x + -2.8849y <= 717
2.3551x + 9.5854y <= 936
-6.3254x + 5.1861y <= 803
4.8596x + -9.281y <= 843
7.4505x + -8.4031y <= 183
4.4713x + 7.8993y <= 878
9.6197x + -5.768y <= 452
-7.0351x + -9.084y <= 860
7.506x + -0.4814y <= 107
8.2106x + -1.7769y <= 263
1.0905x + -3.6881y <= 346
4.3415x + 3.9874y <= 347
-2.9188x + 9.0311y <= 626
-8.1049x + 8.395y <= 995
4.3902x + -6.807y <= 640
-1.9088x + 1.1293y <= 365
7.16x + -1.1814y <= 797
-9.697x + 9.5924y <= 426
6.9268x + 4.6148y <= 102
-9.3199x + 3.1774y <= 920
-0.4687x + -7.8032y <= 480
6.1818x + -8.122y <= 978
-1.1233x + 2.6097y <= 106
-8.2667x + -8.9908y <= 250
-4.5974x + -9.0488y <= 881
1.793x + -4.4767y <= 415
9.9004x + 7.6563y <= 750
-5.5761x + 0.0046y <= 661
1.4364x + -6.2162y <= 474
-5.2903x + 5.9738y <= 820
8.4326x + 0.3647y <= 327
-3.8746x + 2.915y <= 150
-1.3069x + 7.5875y <= 283
0.1744x + 5.2581y <= 302
8.0366x + -4.2665y <= 669
5.6073x + 6.746y <= 330
1.6039x + 9.2813y <= 377
-4.7732x + -0.3257y <= 566
8.9685x + -0.0895y <= 543
4.6397x + 2.6101y <= 490
9.1583x + 0.5647y <= 264
8.4758x + -1.2778y <= 236
-5.2456x + -0.6351y <= 559
-2.9322x + -8.5403y <= 916
-9.3558x + 1.8372y <= 762
-5.0169x + -5.836y <= 437
3.4062x + -8.4713y <= 255
9.5396x + -8.9268y <= 239
0.5272x + 1.5898y <= 219
1.8633x + 1.4749y <= 894
0.3565x + -2.3397y <= 690
8.1246x + -1.0212y <= 660
8.7266x + 8.3812y <= 325
8.6919x + -5.4362y <= 237
6.7786x + 2.3851y <= 502
8.9397x + -3.5317y <= 239
-4.5356x + 5.8296y <= 788
-8.8917x + 4.5698y <= 258
4.0386x + 0.3541y <= 559
5.1856x + -7.3584y <= 673
-1.8876x + 1.3285y <= 330
-0.0695x + 5.1198y <= 854
8.7232x + 8.4817y <= 568
-2.2548x + -9.1046y <= 293
9.1809x + -5.3705y <= 505
8.4383x + 4.3622y <= 669
-6.2449x + -4.3493y <= 360
-2.8553x + 2.0246y <= 611
-1.2401x + 7.0234y <= 308
-7.3652x + 5.1538y <= 487
-1.826x + -4.7197y <= 782
-8.4013x + -4.2978y <= 695
-3.4391x + -4.7039y <= 630
6.0237x + 1.7994y <= 746
3.5742x + -9.8357y <= 267
3.7647x + -9.9998y <= 753
7.6692x + 6.0253y <= 504
4.9577x + 5.4162y <= 957
0.2919x + 6.3285y <= 247
8.2699x + -8.9334y <= 543
-2.9464x + -5.161y <= 129
2.7286x + -3.0599y <= 666
-8.8637x + 8.192y <= 865
-2.2183x + 4.3864y <= 562
4.6533x + 8.3091y <= 686
-5.172x + -1.8675y <= 416
-6.2069x + -5.1425y <= 154
-4.5256x + 6.301y <= 876
-3.1417x + 0.2635y <= 193
2.9183x + -6.2204y <= 502
3.455x + -9.0619y <= 464
3.5575x + -6.1052y <= 983
3.2069x + -3.1736y <= 880
-5.517x + -5.5892y <= 585
-8.8033x + -8.006y <= 947
-7.8891x + 4.5777y <= 764
-0.9036x + 9.531y <= 107
2.4014x + -7.7705y <= 269
9.9897x + 9.7603y <= 498
-7.9591x + -2.2993y <= 470
0.4183x + 4.4923y <= 404
-0.1919x + 5.1704y <= 635
-1.2103x + 3.2645y <= 816
-2.2044x + 6.8859y <= 738
-8.1246x + 0.4285y <= 488
7.3284x + -2.1216y <= 674
0.1526x + 4.4467y <= 500
-8.9024x + -2.2981y <= 996
3.5759x + -9.7905y <= 813
-0.8304x + -3.9827y <= 922
-2.3499x + -0.2959y <= 489
-4.4201x + 4.3889y <= 160
8.8133x + -3.1374y <= 558
3.5001x + 8.3674y <= 708
-8.3757x + 1.0277y <= 867
7.7957x + 5.0775y <= 905
-3.488x + -5.4529y <= 507
0.7895x + 1.7235y <= 242
-2.2498x + -8.4064y <= 334
-5.5293x + 1.6303y <= 105
-2.5256x + -7.958y <= 890
5.9835x + -3.8889y <= 792
-4.5205x + -2.6403y <= 674
-5.6812x + -2.2131y <= 858
-5.9113x + 2.0281y <= 242
2.8188x + 2.1602y <= 345
-7.6446x + -8.69y <= 243
-8.3248x + -5.8905y <= 789
5.5561x + -0.1124y <= 678
-8.6672x + 5.4058y <= 286
-3.1241x + -8.0336y <= 116
-4.2725x + 4.1069y <= 573
-8.823x + 9.9619y <= 775
7.0302x + -0.3078y <= 243
-1.0998x + 6.9305y <= 258
-8.2976x + -7.5897y <= 829
7.6928x + -4.0395y <= 789
4.5003x + 6.9336y <= 218
0.3776x + -7.6335y <= 946
-4.6922x + -3.3624y <= 334
-9.5512x + 6.2129y <= 736
9.338x + -2.5126y <= 199
6.2322x + -2.3865y <= 257
6.2206x + -9.0111y <= 457
-1.7651x + 6.5281y <= 531
0.4526x + -3.3089y <= 987
-8.1272x + -6.5899y <= 592
3.8878x + -2.472y <= 267
5.8933x + 7.242y <= 814
#-----------------program end-----------------
