#convex solver has no solution but os tool has
# convex result: None os tool result: (0.56844,10.91948)
max 1x + 1y
7.1482x + 7.8771y <= 387
3.2225x + 7.8355y <= 579
0.9849x + -4.1396y <= 693
-5.1259x + -9.1673y <= 456
-6.1235x + -1.4838y <= 364
-3.7349x + 1.3215y <= 762
4.8226x + -0.5705y <= 745
-3.7622x + 4.7309y <= 284
-8.2531x + 5.4931y <= 489
6.0473x + 8.9345y <= 482
-9.8935x + -6.5689y <= 144
-3.4599x + 2.7657y <= 876
0.075x + 5.9283y <= 467
3.3429x + 1.0778y <= 688
2.2279x + -7.8497y <= 329
1.7022x + 3.9914y <= 666
9.3577x + -6.6166y <= 258
-7.0532x + 2.9492y <= 880
-2.0971x + 8.6572y <= 313
1.4157x + 1.3097y <= 133
-6.7091x + -6.5255y <= 742
-3.1285x + 4.2763y <= 626
-5.9987x + -9.8826y <= 879
-3.9898x + 7.3058y <= 808
1.961x + 0.8815y <= 382
6.7835x + 9.3951y <= 423
5.1106x + -9.8946y <= 681
3.34x + 6.4666y <= 985
4.9192x + -5.2028y <= 119
6.2729x + 8.4125y <= 368
-7.683x + 2.3091y <= 819
9.0783x + -4.5664y <= 199
5.8354x + 3.9531y <= 600
8.7629x + -1.3402y <= 998
-3.523x + -4.3422y <= 407
-9.6579x + 0.0602y <= 530
1.6132x + 3.4979y <= 808
-0.6439x + 1.4761y <= 951
-9.8543x + 5.7933y <= 183
-7.9863x + 8.7739y <= 278
7.3982x + 6.3115y <= 282
-3.6143x + -6.195y <= 618
3.8826x + 4.2197y <= 982
-6.7091x + -5.3029y <= 995
-4.9123x + 3.431y <= 558
-4.274x + -0.1462y <= 981
0.4281x + 6.2292y <= 870
4.8391x + 3.2572y <= 781
-4.9103x + -0.1096y <= 302
-5.8001x + 0.7173y <= 128
7.6162x + 9.3988y <= 142
8.796x + 2.3867y <= 836
4.061x + -6.4224y <= 634
-6.9339x + -0.0715y <= 298
-9.8137x + -4.2346y <= 401
-6.5866x + -3.1774y <= 384
-4.3057x + 6.0976y <= 494
-7.9323x + 7.1824y <= 776
2.7273x + 2.5151y <= 351
-2.1584x + 6.0972y <= 693
8.7746x + 8.7285y <= 794
5.655x + -8.2834y <= 479
-3.8935x + -3.4385y <= 138
4.8605x + 2.8984y <= 610
-4.2355x + -3.8938y <= 507
-1.21x + 4.0821y <= 989
1.9988x + 0.4907y <= 996
-7.0495x + -5.402y <= 214
-0.4598x + -7.7735y <= 473
6.7042x + 7.539y <= 291
7.9231x + 3.9992y <= 431
8.2346x + 9.5346y <= 193
-4.9372x + 0.6271y <= 260
-8.4463x + -8.6672y <= 134
9.7231x + -9.8287y <= 515
-6.3383x + 9.5288y <= 711
-8.7411x + -7.2848y <= 971
7.343x + -1.1799y <= 961
-5.7236x + -2.6776y <= 842
4.9798x + -5.0715y <= 921
-7.2023x + -7.2792y <= 594
-9.8315x + 3.4609y <= 885
-3.4865x + 1.9656y <= 774
-8.6789x + -0.682y <= 936
-9.418x + -8.5934y <= 564
6.0478x + 8.4564y <= 756
3.5725x + 9.8642y <= 875
6.9991x + 2.3777y <= 221
5.6497x + 5.2647y <= 579
-0.8619x + -1.5715y <= 346
-4.8466x + -7.3615y <= 263
-8.4694x + -2.3175y <= 315
-6.7566x + -6.342y <= 161
-1.1152x + -7.0045y <= 478
4.4695x + 1.9474y <= 902
7.7187x + 2.8151y <= 418
-5.0062x + 0.674y <= 648
2.7681x + 6.0993y <= 401
6.768x + -6.2011y <= 627
-0.1142x + 6.0027y <= 959
-9.8619x + -9.0065y <= 843
-5.5934x + 5.0572y <= 931
-0.13x + 2.139y <= 456
0.3932x + -8.1516y <= 499
1.3073x + 1.7479y <= 716
-0.3804x + 3.6138y <= 203
4.9161x + 9.1261y <= 899
-9.2847x + -7.199y <= 232
-7.58x + 3.8246y <= 376
-7.2046x + -1.0594y <= 895
3.1516x + 2.2779y <= 169
8.2634x + -0.7831y <= 694
-7.6653x + -0.9168y <= 178
4.9828x + 3.2954y <= 285
-5.2896x + 9.0692y <= 489
2.3372x + 8.6318y <= 714
-2.9994x + 0.1348y <= 386
3.0718x + -2.1955y <= 577
-8.5346x + 0.571y <= 404
-1.5928x + -9.894y <= 104
-9.7902x + 7.3573y <= 919
1.2737x + -0.3645y <= 168
2.2123x + -3.7033y <= 451
-9.8155x + 1.6225y <= 564
-0.2484x + 3.3865y <= 458
-6.5851x + -8.3554y <= 335
-4.2101x + -8.6342y <= 947
8.9355x + -8.1433y <= 738
-7.7563x + -0.8668y <= 130
-8.5331x + -0.0107y <= 773
-7.5638x + -9.0608y <= 833
-3.7609x + -7.882y <= 844
-8.7919x + 2.7942y <= 317
-4.5626x + -6.9106y <= 553
6.2673x + -1.4897y <= 686
3.1775x + -3.4351y <= 123
-6.2456x + 2.3031y <= 371
-6.1074x + -6.7266y <= 676
6.9883x + 6.8826y <= 451
-7.9837x + -5.6991y <= 586
6.5711x + 7.4827y <= 745
0.2527x + -9.9046y <= 944
-0.2996x + -7.4701y <= 988
6.1926x + 6.8372y <= 566
3.3037x + 2.8904y <= 938
5.4443x + 9.4732y <= 383
3.771x + 8.7126y <= 350
6.37x + 9.6572y <= 970
-4.1868x + 1.3094y <= 642
4.8927x + 6.7122y <= 251
-3.0581x + 3.4838y <= 599
-4.807x + 2.6636y <= 261
-0.5038x + 7.5019y <= 463
-8.6054x + -6.5734y <= 998
3.3511x + -9.0395y <= 717
0.4575x + 1.5309y <= 430
5.5566x + -0.617y <= 838
-7.5287x + -4.8475y <= 330
3.277x + -8.994y <= 863
1.2471x + 4.7588y <= 936
0.3954x + -6.115y <= 219
7.664x + 4.6767y <= 809
8.3262x + -2.9341y <= 908
8.0769x + -2.9027y <= 900
4.757x + 8.9887y <= 152
0.0281x + -4.0636y <= 935
2.6579x + 4.7942y <= 378
4.066x + 0.3583y <= 664
3.5303x + -0.3542y <= 336
6.1834x + -5.2637y <= 983
-3.9949x + 2.529y <= 343
-4.6264x + -8.3959y <= 381
9.5061x + -4.5571y <= 630
-6.2664x + -9.501y <= 578
-9.0183x + 2.1692y <= 297
-6.0343x + 3.2524y <= 488
-5.3691x + 7.4656y <= 382
-8.5108x + 5.0868y <= 855
-5.4794x + -0.1168y <= 395
-5.6304x + -6.3975y <= 203
0.0364x + -4.0641y <= 630
-0.8026x + -4.6387y <= 323
-0.9797x + -5.6672y <= 781
9.64x + 1.1102y <= 387
-6.7581x + 6.2724y <= 376
8.6954x + -1.4895y <= 101
1.8409x + 1.4835y <= 441
-9.7021x + 8.6276y <= 845
-2.1279x + -8.5752y <= 617
2.6038x + 9.4179y <= 542
1.9901x + -9.5804y <= 513
1.1113x + -9.8556y <= 555
6.6054x + -7.5899y <= 134
-2.2181x + -2.4767y <= 796
9.5051x + -5.9924y <= 856
-0.5277x + 9.3717y <= 845
2.8208x + -5.5361y <= 240
-4.3173x + 4.5277y <= 979
2.7021x + -3.4114y <= 780
-3.8196x + -7.7109y <= 745
1.7061x + -0.9012y <= 369
7.6574x + 2.9964y <= 809
-8.7717x + 7.5768y <= 517
-6.404x + -5.3449y <= 532
-0.4367x + 7.5884y <= 394
-9.8917x + -7.4776y <= 121
0.6493x + 2.8652y <= 754
-9.219x + 6.7927y <= 283
-9.8421x + 8.8754y <= 386
2.892x + 9.3892y <= 694
7.5964x + 4.689y <= 644
2.1305x + -7.7249y <= 648
6.604x + -6.7966y <= 662
-7.097x + -3.5597y <= 493
4.9465x + 1.9709y <= 386
8.3567x + -4.4342y <= 803
-6.158x + 5.5355y <= 244
3.4674x + -5.0779y <= 635
-7.578x + -9.6006y <= 912
0.1306x + -6.5907y <= 120
-9.7366x + -6.6548y <= 954
6.08x + 0.4986y <= 780
8.4673x + -2.9025y <= 222
-4.0153x + -5.5475y <= 216
-2.1925x + -7.4334y <= 134
-4.0608x + -0.7025y <= 196
9.3382x + -3.5105y <= 421
1.4343x + -1.9523y <= 758
-4.4887x + 7.5291y <= 460
-8.1559x + -8.4996y <= 144
-7.2929x + 9.6424y <= 999
3.9572x + -8.9573y <= 873
6.2416x + -1.7033y <= 333
4.1825x + 0.7517y <= 768
-0.6067x + -7.838y <= 744
0.8742x + 2.3699y <= 671
1.8532x + -1.3169y <= 331
-4.8167x + -0.319y <= 397
-5.0639x + 0.3892y <= 669
9.3943x + -7.1532y <= 207
-2.3153x + 8.3225y <= 212
-3.4673x + -0.1169y <= 525
-5.7087x + -2.5869y <= 724
-4.417x + -2.5384y <= 589
-9.0868x + -9.1993y <= 163
8.8647x + 0.4619y <= 376
-2.5385x + -9.1297y <= 605
-3.657x + 4.4555y <= 944
-3.3957x + -2.5246y <= 468
-7.5467x + 5.4328y <= 950
8.0455x + 8.7246y <= 642
-5.7273x + -7.3768y <= 587
0.9266x + -7.4713y <= 978
-1.6488x + -7.813y <= 865
1.4064x + -2.8289y <= 534
-5.5432x + 4.3751y <= 909
8.6513x + 6.9985y <= 572
0.9439x + -1.7686y <= 994
-0.0796x + -4.8912y <= 296
6.7073x + 6.2099y <= 433
7.1313x + 7.2312y <= 148
3.1257x + 9.9948y <= 419
8.1415x + -1.6159y <= 422
-4.8404x + 9.2893y <= 310
1.1756x + 0.6977y <= 329
-9.6682x + 6.4616y <= 437
2.3589x + -0.913y <= 356
4.2747x + -3.0352y <= 527
-7.344x + -3.9809y <= 942
-8.1633x + 0.8582y <= 144
-3.1938x + -3.1703y <= 856
-6.1749x + -7.0161y <= 920
9.8215x + -3.8715y <= 432
2.1639x + -7.4312y <= 653
8.7515x + -1.894y <= 480
9.1989x + -9.2016y <= 271
9.4036x + 5.5165y <= 514
-2.2168x + 3.8048y <= 978
2.9322x + -9.6305y <= 529
-9.7206x + 9.4067y <= 378
8.8961x + 1.3176y <= 278
4.4576x + 0.1673y <= 889
-3.7756x + 7.8318y <= 720
8.9292x + 4.1022y <= 968
-4.0358x + -6.4766y <= 717
3.7372x + 7.1963y <= 196
0.9675x + -1.3405y <= 796
9.7833x + -4.2817y <= 404
0.0311x + -8.5423y <= 751
3.9539x + 7.2119y <= 611
-5.8305x + -7.235y <= 834
1.5479x + 9.8908y <= 703
3.8598x + 8.6282y <= 741
1.6543x + -4.9014y <= 149
-1.7587x + 6.5405y <= 314
-4.1657x + -1.4185y <= 277
8.1142x + 4.9462y <= 187
8.9155x + 8.9754y <= 940
5.0058x + -9.2405y <= 769
-3.9745x + -3.1027y <= 897
6.3774x + 2.2241y <= 782
9.9745x + 1.987y <= 544
2.1205x + -3.6545y <= 202
0.6953x + -0.1684y <= 202
3.8245x + 4.822y <= 151
2.5452x + 5.6577y <= 549
4.2037x + -7.5806y <= 924
-9.3048x + -0.6274y <= 319
-4.7328x + 6.8338y <= 905
3.3515x + -6.1786y <= 532
6.852x + -5.5848y <= 671
2.7795x + -5.1413y <= 839
-9.0703x + 9.1995y <= 718
4.0663x + 7.9093y <= 621
9.4557x + -1.7329y <= 625
7.2983x + 9.8926y <= 264
-5.9587x + 0.8052y <= 963
9.7212x + -5.7268y <= 434
-2.8532x + 8.0056y <= 154
2.016x + -7.8904y <= 250
-0.6106x + 2.6342y <= 835
1.9261x + 1.5938y <= 722
0.4056x + 7.3812y <= 202
2.7757x + -7.5486y <= 414
-5.1684x + 0.8825y <= 868
8.7632x + -9.6477y <= 972
-7.9496x + 0.4633y <= 787
-7.666x + -6.0805y <= 769
6.5249x + -9.9347y <= 353
6.0301x + 2.9206y <= 245
-7.9319x + -3.469y <= 923
-6.7509x + -7.8521y <= 936
2.4941x + -3.4356y <= 824
-2.8394x + 7.7315y <= 734
-2.5035x + -3.0438y <= 519
7.0247x + -7.4759y <= 991
3.2075x + 0.0297y <= 475
6.6739x + -1.426y <= 252
-1.3291x + -4.253y <= 322
-4.411x + 3.9087y <= 101
8.8478x + -9.204y <= 146
-6.6971x + -4.6392y <= 304
-5.7492x + 0.4931y <= 415
1.9814x + -4.933y <= 121
6.2589x + -7.1034y <= 679
5.2231x + -9.2881y <= 199
8.5679x + -4.0775y <= 492
2.0373x + -0.851y <= 983
-3.9486x + -0.5207y <= 503
2.7539x + -0.2938y <= 834
-4.3325x + -8.0499y <= 484
6.7115x + 4.2921y <= 773
7.34x + -1.1551y <= 444
1.1252x + 8.1864y <= 527
2.673x + 4.4124y <= 783
-6.9834x + -1.7459y <= 553
-0.0037x + -1.048y <= 593
-5.6453x + -2.8861y <= 162
-7.854x + -5.3711y <= 404
-0.864x + -6.8196y <= 253
0.1713x + -8.6821y <= 931
-4.4329x + -2.9389y <= 640
-1.5967x + 3.75y <= 827
9.7727x + -9.7992y <= 267
4.6554x + -3.1516y <= 665
-0.8501x + -7.4282y <= 770
0.2155x + -4.1456y <= 754
9.8827x + 3.1829y <= 889
4.1217x + 4.0054y <= 319
-4.5402x + -3.7177y <= 585
-7.9757x + -0.3015y <= 509
8.145x + 1.2761y <= 378
5.4138x + -9.1459y <= 180
-7.2722x + 8.8809y <= 610
-4.56x + 8.2195y <= 787
3.5612x + 5.9785y <= 840
0.3335x + 7.4606y <= 563
-3.7455x + -3.5122y <= 667
-4.2181x + 7.7555y <= 538
1.4153x + 7.2594y <= 643
6.6878x + 3.6997y <= 928
-3.5649x + -1.5086y <= 370
-9.9906x + 8.5518y <= 978
-4.3258x + 4.6961y <= 464
-6.09x + 6.5668y <= 341
-8.8499x + 7.7457y <= 756
7.2773x + 6.0912y <= 188
8.8514x + -5.6858y <= 944
-3.6982x + 5.6088y <= 307
1.6107x + -9.9857y <= 207
6.2131x + -0.6386y <= 959
7.498x + 8.3264y <= 784
6.2403x + 8.2232y <= 484
-7.5138x + -8.7723y <= 502
-4.162x + -0.7121y <= 684
-0.5308x + 0.9846y <= 973
-8.576x + 3.2591y <= 685
5.6174x + 0.0724y <= 471
-7.2136x + -0.6987y <= 529
3.9622x + -5.5241y <= 262
4.806x + -8.8012y <= 453
8.4406x + -2.9547y <= 550
1.642x + 9.0705y <= 946
-3.4882x + -4.2022y <= 878
8.1846x + -7.0178y <= 528
-6.3705x + 1.6222y <= 296
9.4665x + -3.1463y <= 643
-0.1176x + 9.1748y <= 823
6.9004x + -2.9286y <= 254
-0.774x + 3.2747y <= 901
-1.4783x + -7.2364y <= 358
-6.3085x + -0.8358y <= 751
-3.9495x + 9.0783y <= 388
-6.6252x + 7.8758y <= 890
-8.4248x + 5.3702y <= 665
6.0281x + 6.2245y <= 319
8.1519x + 7.7185y <= 647
1.3537x + -1.9665y <= 145
6.8179x + -3.3812y <= 169
-4.4033x + -3.2463y <= 754
4.0306x + 2.3464y <= 930
3.2431x + -1.2299y <= 536
5.3439x + -0.4993y <= 478
-0.7008x + -1.4786y <= 484
9.9461x + 2.6526y <= 381
-8.7851x + -7.1118y <= 319
-2.4164x + 9.1464y <= 905
0.6376x + -4.9277y <= 987
8.1671x + -2.5192y <= 234
-5.437x + 3.0339y <= 919
2.5607x + 5.9684y <= 932
-0.3182x + 1.8658y <= 578
-9.3062x + 8.0817y <= 870
-0.052x + -5.7669y <= 938
-2.3177x + 5.2902y <= 119
-6.1796x + 2.8906y <= 835
0.117x + 2.5068y <= 773
3.0704x + 4.2346y <= 967
7.7415x + 1.5025y <= 655
6.3768x + -4.7833y <= 223
-9.485x + -3.914y <= 678
0.2006x + -5.0035y <= 168
-2.0858x + 6.0698y <= 276
3.7756x + -4.8675y <= 294
7.3799x + 3.2259y <= 900
8.663x + 0.506y <= 954
-2.7154x + 6.3352y <= 460
-5.8369x + 0.8104y <= 702
6.638x + 1.7627y <= 207
-4.463x + -5.2279y <= 700
-3.5782x + 6.7469y <= 572
9.9923x + 3.0807y <= 826
-2.7821x + 9.8966y <= 418
-0.3779x + 5.8886y <= 153
8.7142x + -1.9315y <= 393
-9.9945x + 3.2157y <= 536
0.0461x + -1.5642y <= 851
-5.9601x + -6.6997y <= 705
-8.7476x + 9.3569y <= 374
-2.5424x + -9.2525y <= 131
-0.9449x + -9.0414y <= 211
-2.9158x + -0.8858y <= 570
-7.67x + 8.6849y <= 812
1.063x + 6.2269y <= 663
8.399x + -5.4718y <= 963
8.4044x + -5.1466y <= 435
-7.0802x + 2.4335y <= 897
-3.9484x + -0.969y <= 800
-4.5621x + 2.4329y <= 593
-5.4007x + 8.0162y <= 299
-0.6857x + -5.2739y <= 987
-9.0219x + -8.2902y <= 478
5.2641x + 1.3877y <= 258
0.7158x + -8.7802y <= 714
-7.8636x + 0.1247y <= 202
9.5576x + -6.4211y <= 790
4.5095x + 4.0679y <= 909
-9.6617x + -3.2792y <= 846
-7.5038x + -6.2177y <= 781
-8.3979x + 4.3706y <= 985
-8.5033x + 6.0694y <= 397
-9.7452x + -2.0106y <= 245
-7.7528x + 1.333y <= 256
0.4099x + -1.5707y <= 922
3.9787x + 0.5776y <= 760
3.9632x + 1.9701y <= 523
2.6681x + -3.6078y <= 603
2.5649x + -1.9155y <= 227
1.0221x + -3.0799y <= 176
9.0281x + -9.6409y <= 407
7.6485x + 9.1174y <= 413
-3.9543x + 6.1357y <= 975
-0.0105x + -7.2996y <= 722
8.9659x + 9.575y <= 663
-6.0343x + 2.4949y <= 461
-2.5274x + 0.6941y <= 381
-5.7633x + -3.6178y <= 726
-9.2747x + 1.5565y <= 101
-9.5765x + -9.9918y <= 563
0.925x + -4.1416y <= 287
7.7577x + -9.8795y <= 204
9.3108x + -0.8438y <= 598
-8.1662x + -1.6068y <= 828
-1.842x + -4.3387y <= 510
-8.6754x + -2.0399y <= 991
-4.6262x + 7.6661y <= 295
6.135x + -3.2754y <= 244
-3.6351x + 5.3336y <= 872
1.23x + 2.515y <= 811
0.6127x + -9.8088y <= 800
-3.3454x + -3.4054y <= 563
5.8277x + -7.4198y <= 420
2.4724x + 2.8056y <= 980
-9.8215x + -8.6902y <= 334
-9.1361x + -2.921y <= 184
-7.3249x + -3.0567y <= 693
-0.5374x + -2.3022y <= 107
-1.3137x + 0.6612y <= 543
3.4331x + -4.5275y <= 923
-1.9591x + 9.4811y <= 933
1.3528x + 8.8512y <= 697
9.4239x + -5.0y <= 556
-7.6597x + 1.8902y <= 631
2.7937x + 8.3224y <= 547
0.9336x + 6.9601y <= 647
9.5702x + -5.3099y <= 674
6.752x + -2.7561y <= 966
1.5997x + -0.0133y <= 114
-7.4329x + -1.8931y <= 731
-7.65x + 0.9309y <= 727
-9.3475x + 3.6142y <= 583
9.5762x + -7.0675y <= 242
2.4922x + 1.8377y <= 187
-4.5863x + -0.4457y <= 181
-9.6425x + 6.2625y <= 591
1.4017x + -5.8199y <= 761
0.9055x + -3.0837y <= 103
2.9629x + -9.5814y <= 399
-7.4707x + -5.6866y <= 791
-8.9608x + 1.6915y <= 226
-1.7979x + -7.253y <= 281
-8.607x + 0.3071y <= 254
-1.4061x + -6.4931y <= 839
-6.4004x + 1.0331y <= 985
8.8266x + -0.8055y <= 426
8.0333x + -6.873y <= 715
4.4759x + 7.7631y <= 362
3.9759x + -8.9173y <= 723
7.2962x + 5.1609y <= 534
2.0531x + 0.3949y <= 674
-6.2337x + 6.4297y <= 762
-3.6753x + -0.3994y <= 551
1.8028x + 2.3261y <= 599
8.04x + 5.8679y <= 699
5.947x + 4.3329y <= 665
-3.2192x + 1.6215y <= 677
-0.7304x + 8.0646y <= 732
-5.4439x + 2.6088y <= 627
-6.209x + 3.7287y <= 529
-7.4784x + -1.0311y <= 546
-3.6664x + 7.0948y <= 494
0.9024x + -8.367y <= 604
1.4832x + 2.6337y <= 612
1.3683x + 7.9523y <= 444
3.8729x + 2.1853y <= 926
2.9208x + 3.8053y <= 108
-5.0143x + -0.0441y <= 857
-9.4309x + 8.1699y <= 564
-0.8426x + -3.3231y <= 813
2.7612x + -8.6417y <= 920
-0.1482x + -1.729y <= 549
9.3093x + 1.062y <= 687
-9.6871x + -4.0254y <= 240
1.922x + -0.1676y <= 565
-0.8208x + 2.4279y <= 883
-4.2371x + 2.0395y <= 896
8.1558x + 2.7636y <= 948
0.976x + 8.7959y <= 941
-6.2649x + 4.0995y <= 564
3.5751x + -3.7188y <= 941
0.5232x + 9.5618y <= 996
1.8479x + -7.5613y <= 527
0.6678x + -6.3329y <= 495
-1.6107x + -0.7178y <= 766
8.6376x + 9.0777y <= 811
8.7011x + -0.8202y <= 553
1.0104x + 5.2424y <= 537
0.7246x + -2.7995y <= 568
5.3837x + -7.8678y <= 286
-9.5738x + -3.6637y <= 495
2.4993x + 2.5625y <= 546
9.0529x + 5.9325y <= 623
-1.6816x + 6.4265y <= 997
9.0385x + 3.8907y <= 541
4.1182x + -9.6333y <= 179
-9.1209x + 5.9823y <= 520
4.8067x + 3.5468y <= 315
