#convex solver is unbounded  but os tool has solution INFEASIBLE 

# convex result: UNBOUNDED os tool result: INFEASIBLE
max -8.95x + -6.79y
6.46x + 0.42y <= -103.39
6.95x + -2.09y <= 726.07
4.34x + -0.48y <= -116.2
-5.02x + 8.45y <= 596.39
1.25x + 5.61y <= -299.15
9.44x + -6.52y <= 302.05
9.15x + 4.61y <= 545.91
3.63x + 7.61y <= -713.86
6.39x + 2.2y <= 163.98
-0.02x + 3.13y <= -945.27
-0.94x + 5.91y <= -889.64
7.45x + 3.74y <= -473.28
6.3x + -2.16y <= -446.93
7.01x + 7.46y <= 707.77
7.26x + -2.06y <= -970.2
3.58x + 7.99y <= 438.02
4.23x + 1.7y <= -601.5
-6.68x + 7.92y <= 613.25
5.14x + 0.45y <= -350.58
2.73x + 9.3y <= 748.3
-2.97x + 4.54y <= -386.31
8.21x + -0.08y <= -530.91
8.74x + 6.92y <= 254.97
9.09x + -5.14y <= -877.53
4.26x + 1.76y <= -747.76
1.89x + 5.8y <= -922.07
-1.84x + 4.1y <= -869.31
8.68x + 6.67y <= 999.95
-4.73x + 6.55y <= 304.49
9.53x + 6.82y <= -259.69
-3.41x + 7.68y <= -979.97
3.11x + 7.06y <= -961.53
7.43x + 6.88y <= 209.83
4.26x + -3.87y <= -363.56
-7.86x + 9.29y <= -978.91
4.56x + 9.36y <= 803.3
2.75x + 2.57y <= -984.2
9.09x + -5.54y <= -664.17
-9.49x + 9.56y <= -102.7
2.75x + 3.94y <= 269.37
4.65x + 6.94y <= -204.69
9.41x + -5.64y <= -114.43
-1.89x + 2.81y <= 756.27
4.97x + 2.91y <= -960.85
2.8x + 8.41y <= -681.14
0.36x + 5.71y <= -694.41
7.03x + 8.68y <= -279.29
5.13x + -2.26y <= -270.26
8.25x + 3.81y <= -316.53
-2.05x + 3.98y <= -271.62
6.65x + -5.38y <= 510.58
6.45x + -2.76y <= -876.93
-1.54x + 6.46y <= -395.09
6.81x + -1.1y <= 938.53
4.72x + 6.68y <= 771.38
4.44x + 1.88y <= -918.31
5.2x + 9.29y <= 459.13
8.15x + -3.17y <= -453.21
8.02x + -6.93y <= 825.01
-0.27x + 2.05y <= 366.04
-1.61x + 6.32y <= 668.08
9.46x + 5.23y <= 463.03
-5.32x + 8.26y <= -845.6
9.47x + 1.47y <= -590.74
4.53x + 5.46y <= 968.44
3.6x + 7.58y <= -549.84
-2.09x + 7.56y <= 138.47
1.36x + 2.86y <= 395.96
2.83x + 2.78y <= 391.72
1.51x + 6.94y <= -976.52
7.34x + 3.83y <= 141.22
4.75x + 1.12y <= 639.62
-1.0x + 7.45y <= 583.07
6.15x + -2.4y <= -597.21
6.22x + 6.36y <= -423.42
9.5x + -1.7y <= 502.37
5.89x + -2.06y <= 496.1
-4.37x + 5.25y <= 111.43
-6.71x + 7.08y <= 286.96
5.77x + 3.12y <= 450.0
0.33x + 4.52y <= -920.09
0.99x + 8.77y <= -555.58
6.42x + 3.98y <= -561.65
3.61x + 8.84y <= 209.4
-1.79x + 6.33y <= 942.56
7.29x + -4.14y <= -639.56
-0.8x + 5.16y <= -405.17
1.96x + 1.76y <= 657.14
5.36x + 5.87y <= -867.66
1.5x + 3.15y <= -956.85
1.88x + 7.74y <= 496.95
2.8x + -0.2y <= -965.74
0.41x + 3.95y <= -633.83
2.75x + -2.15y <= -208.22
9.72x + 6.95y <= -797.08
3.33x + -0.65y <= 230.68
8.98x + 0.64y <= 379.17
-2.67x + 4.88y <= 138.38
-6.42x + 7.08y <= -615.01
4.26x + 9.4y <= -399.8
8.7x + -3.85y <= 129.14
7.03x + 6.19y <= -962.09
-2.48x + 5.56y <= -166.21
4.74x + 6.06y <= 630.35
7.99x + 6.28y <= 816.42
4.5x + -4.15y <= -199.82
8.04x + 7.46y <= -714.04
-1.76x + 3.32y <= -996.17
5.22x + 6.65y <= -274.14
0.81x + 2.27y <= 781.72
-1.87x + 3.37y <= -642.6
6.53x + 2.74y <= 146.53
2.78x + 0.94y <= 958.3
7.82x + 7.48y <= 192.45
5.31x + 4.9y <= -413.59
4.34x + 6.11y <= -505.76
3.14x + 2.19y <= 889.86
4.92x + 9.12y <= 712.13
2.1x + 4.12y <= -934.38
5.02x + 7.35y <= 779.21
-8.54x + 9.48y <= 230.79
8.92x + 7.28y <= -224.4
6.52x + -5.12y <= -795.2
3.57x + 8.46y <= -829.43
5.28x + -0.45y <= -630.38
9.38x + -5.36y <= -383.28
9.1x + -8.22y <= 922.67
-8.54x + 8.96y <= 811.46
8.39x + 9.31y <= -782.17
6.91x + 6.86y <= 806.28
7.48x + 9.77y <= 315.54
2.21x + 9.88y <= -483.68
-7.25x + 8.06y <= 221.34
1.07x + 0.45y <= -491.8
5.76x + 5.25y <= -689.3
6.59x + 6.16y <= 954.49
-4.62x + 7.77y <= 186.59
9.41x + 6.37y <= 656.93
-5.17x + 5.38y <= -899.72
8.05x + 5.47y <= -807.73
7.5x + -3.41y <= 996.86
-8.16x + 8.32y <= 180.53
-2.15x + 4.48y <= 371.64
6.62x + 2.82y <= 532.46
6.23x + 4.12y <= -649.73
9.48x + -1.21y <= 966.75
3.32x + -0.91y <= -826.74
4.97x + -1.47y <= -664.8
9.91x + 8.03y <= -528.6
0.08x + 4.15y <= 418.91
5.74x + -4.89y <= 231.1
3.67x + 5.09y <= 908.08
7.82x + -1.91y <= 857.77
-4.24x + 5.52y <= -208.6
4.67x + 0.47y <= -396.48
2.96x + 4.22y <= 633.92
-0.73x + 4.88y <= 485.25
-4.67x + 6.5y <= -682.03
9.47x + 4.09y <= -315.58
-1.75x + 5.19y <= -328.79
-1.94x + 7.42y <= -383.79
9.7x + 0.4y <= -705.0
0.78x + 6.84y <= 688.29
1.3x + 3.12y <= 452.97
2.57x + 3.64y <= -650.2
2.73x + 0.94y <= 754.22
1.56x + 7.26y <= 876.44
5.92x + -4.34y <= 232.85
6.95x + 9.67y <= -357.97
9.32x + -8.24y <= -514.83
4.27x + -3.34y <= 857.45
7.1x + 4.11y <= 743.55
3.25x + -1.12y <= 559.07
0.91x + 3.8y <= 155.37
4.92x + 4.92y <= 709.62
0.27x + 6.5y <= 903.93
5.58x + 4.06y <= -970.88
7.76x + -1.06y <= 981.92
8.71x + -2.84y <= -642.5
5.18x + 9.66y <= -264.81
8.49x + 5.57y <= 359.54
5.32x + 6.57y <= 917.65
8.87x + -7.4y <= -362.31
4.07x + 5.79y <= -893.59
3.37x + 0.05y <= 862.04
4.78x + 1.23y <= 571.36
-1.79x + 7.48y <= -755.36
8.54x + 9.16y <= -882.04
3.03x + 8.24y <= 679.02
7.24x + 6.22y <= 362.81
4.16x + 3.35y <= -236.11
5.53x + -4.02y <= 731.02
9.64x + -1.77y <= 894.55
6.41x + -3.65y <= -557.9
8.02x + 9.48y <= -696.61
8.26x + -1.84y <= -960.27
6.39x + -2.49y <= 866.75
1.29x + -0.71y <= -778.93
-0.06x + 3.69y <= 717.04
0.79x + 8.56y <= -896.16
7.97x + -5.19y <= 531.19
-4.27x + 8.87y <= 708.42
4.05x + 8.24y <= 704.7
7.47x + 5.18y <= 775.37
-3.08x + 6.29y <= -120.04
4.12x + -3.52y <= 259.39
9.23x + -0.06y <= -486.87
6.95x + -0.15y <= -700.83
6.08x + -3.84y <= 325.23
5.48x + -2.97y <= -679.43
1.92x + 6.64y <= -944.08
-1.98x + 8.6y <= -437.39
8.19x + -5.49y <= 281.3
-0.24x + 1.99y <= -340.19
9.59x + -5.26y <= 916.72
6.84x + 7.78y <= 355.69
7.45x + 7.77y <= 716.11
7.4x + -6.74y <= -407.71
9.28x + -4.85y <= 666.39
1.95x + 9.94y <= 817.79
0.31x + 2.82y <= -767.45
1.23x + 5.67y <= -980.68
9.47x + 0.82y <= 823.12
5.73x + -0.09y <= -973.68
6.16x + -4.37y <= -246.91
-1.72x + 5.9y <= -675.67
9.81x + 8.64y <= -204.35
2.5x + 5.1y <= 822.51
-7.74x + 7.68y <= -779.25
7.03x + 1.76y <= 929.55
-2.34x + 6.92y <= -411.04
-0.24x + 5.56y <= -508.93
3.88x + 8.25y <= -593.97
5.32x + 8.79y <= -246.85
7.78x + -0.15y <= -189.18
-1.2x + 4.74y <= 479.43
-7.38x + 7.76y <= -613.1
-5.82x + 5.86y <= -695.92
8.25x + 8.56y <= -785.46
9.63x + -2.59y <= 690.06
8.6x + 6.18y <= -371.62
-1.7x + 9.44y <= -200.43
-3.63x + 6.69y <= -586.54
6.46x + 7.62y <= 652.52
2.88x + 0.82y <= -831.22
-4.67x + 7.17y <= -826.7
-3.06x + 3.85y <= -120.79
7.84x + 7.91y <= -844.19
-5.66x + 9.84y <= -816.42
-0.53x + 1.57y <= 738.54
-5.99x + 9.97y <= -651.43
6.98x + -1.71y <= 941.69
7.32x + -4.38y <= 440.68
-2.32x + 9.71y <= 762.72
5.47x + -1.63y <= 856.11
2.09x + 9.86y <= 143.16
8.12x + 6.66y <= 295.35
-0.44x + 8.12y <= -430.1
4.92x + 7.33y <= 537.91
-4.52x + 5.41y <= -182.16
6.41x + 8.89y <= 686.97
-3.56x + 8.72y <= 651.79
8.36x + -4.31y <= -395.36
7.99x + -3.93y <= -628.64
-1.41x + 4.21y <= 869.35
-1.84x + 2.57y <= -563.55
-6.91x + 8.59y <= 310.98
6.03x + 1.52y <= -545.9
5.38x + -3.58y <= -599.44
7.01x + 5.69y <= 666.49
-2.1x + 9.03y <= -962.54
1.07x + 2.38y <= -172.96
4.0x + 6.2y <= -528.31
8.17x + -4.45y <= 745.1
7.22x + 3.01y <= -517.06
-2.9x + 3.2y <= -370.52
8.78x + -7.18y <= -741.02
1.8x + -1.15y <= 758.6
-6.29x + 8.16y <= 605.3
-6.59x + 7.82y <= -629.87
-4.7x + 8.87y <= -912.01
-5.06x + 5.51y <= 442.73
5.13x + -4.72y <= 471.4
-2.31x + 5.86y <= 920.19
-7.61x + 8.13y <= 690.34
-5.51x + 6.34y <= 570.01
2.02x + 7.17y <= 594.27
-2.18x + 8.92y <= 846.11
7.64x + -6.08y <= 321.44
6.93x + -0.85y <= -562.27
-0.45x + 3.67y <= -446.08
8.03x + -4.31y <= -100.74
8.15x + 0.83y <= 237.29
-5.69x + 8.1y <= 454.42
-5.36x + 8.74y <= 549.94
7.16x + 9.6y <= -968.08
-3.42x + 9.36y <= -858.62
-0.12x + 6.93y <= 739.43
-6.4x + 7.16y <= -105.14
4.49x + 4.81y <= 931.33
0.44x + 8.63y <= -760.08
-1.72x + 6.06y <= -435.39
7.19x + 7.95y <= -914.97
-3.8x + 4.62y <= 327.86
9.58x + 3.47y <= 451.17
-2.44x + 2.76y <= 854.5
6.32x + 4.98y <= 583.11
7.41x + 9.03y <= -518.31
6.37x + -0.03y <= 805.4
7.98x + 2.32y <= -381.56
-4.6x + 6.47y <= 490.79
-1.94x + 8.07y <= 195.83
4.15x + -0.27y <= -120.2
-5.65x + 6.94y <= -971.03
4.12x + -3.38y <= 785.34
-2.2x + 3.68y <= 137.14
-0.21x + 1.17y <= -350.91
6.26x + 8.86y <= 735.3
7.21x + -1.97y <= 676.09
5.17x + -1.09y <= -648.07
7.86x + 3.62y <= -428.06
6.87x + 7.93y <= -587.31
-2.83x + 5.4y <= -951.15
1.88x + 9.83y <= -324.16
-5.28x + 6.05y <= 144.95
-4.27x + 6.71y <= 377.47
1.83x + 2.71y <= -148.12
-4.4x + 5.3y <= -135.24
2.14x + 2.9y <= -626.09
8.01x + 7.9y <= 200.53
-0.42x + 8.45y <= -509.5
8.28x + -3.75y <= 977.08
8.33x + 5.4y <= 618.73
3.71x + -2.17y <= -268.18
-1.19x + 2.17y <= -181.94
1.04x + 5.52y <= -991.07
8.69x + -4.3y <= 385.22
4.31x + 0.71y <= 278.53
2.58x + -1.75y <= 774.45
1.38x + 5.38y <= -354.41
6.95x + 0.32y <= 377.66
1.33x + 7.47y <= 632.97
-7.71x + 9.65y <= -427.16
-5.72x + 8.26y <= -686.14
-7.37x + 9.53y <= -169.53
-6.17x + 8.6y <= 978.18
9.44x + 3.08y <= -135.87
7.46x + 7.96y <= 319.93
-0.31x + 4.76y <= -642.27
8.72x + -2.06y <= -625.21
7.5x + -5.23y <= 225.85
-3.36x + 5.86y <= -390.22
5.68x + 5.69y <= -897.08
3.27x + -1.51y <= -735.84
3.21x + 3.24y <= -133.63
5.7x + 8.98y <= -195.18
-0.53x + 6.04y <= 376.4
2.54x + -1.11y <= 130.17
4.52x + -3.29y <= -561.06
3.29x + 8.63y <= -159.57
7.14x + -2.8y <= 893.62
7.51x + -3.45y <= -146.85
4.54x + 2.33y <= -992.42
7.5x + -3.53y <= 598.47
7.95x + 8.97y <= 134.99
6.98x + 7.54y <= -615.69
-0.69x + 6.8y <= -800.27
-1.07x + 2.24y <= -804.32
4.51x + 2.33y <= -999.42
5.54x + 1.76y <= 903.37
-0.32x + 5.0y <= 781.29
-6.3x + 8.96y <= -682.91
9.27x + -2.01y <= 675.12
-2.25x + 5.84y <= -326.23
3.47x + -0.8y <= -811.42
-5.14x + 7.93y <= 912.56
2.94x + 7.79y <= 400.99
-0.34x + 8.92y <= -833.12
2.76x + 1.23y <= 957.19
8.65x + -5.18y <= 541.11
7.1x + 3.98y <= -108.51
5.26x + 7.75y <= 453.48
9.58x + 5.99y <= 791.2
2.43x + 4.06y <= -256.61
-0.06x + 0.7y <= 609.01
8.74x + -6.1y <= -556.26
4.35x + 5.12y <= 983.47
1.39x + 8.33y <= -733.8
-2.97x + 6.98y <= -951.27
5.58x + 2.89y <= -291.1
9.86x + 5.33y <= 995.14
-1.48x + 2.65y <= 948.62
0.27x + 1.14y <= 377.43
7.94x + 3.19y <= 166.98
6.85x + -1.49y <= 206.32
5.01x + -0.03y <= 790.04
-1.4x + 7.44y <= 395.85
7.43x + -0.38y <= 681.55
0.5x + 1.25y <= 809.4
0.91x + 2.21y <= 324.94
7.34x + -4.1y <= -908.68
-4.25x + 6.7y <= 345.4
-0.33x + 4.09y <= 441.03
-3.15x + 8.6y <= -259.2
-3.69x + 4.36y <= 252.56
5.59x + 6.4y <= -573.01
8.44x + 7.31y <= -192.1
-0.39x + 9.24y <= -888.9
2.13x + 6.47y <= 566.52
3.7x + 8.15y <= 616.24
9.41x + -1.24y <= 336.92
-4.43x + 9.21y <= 148.55
2.96x + 7.86y <= 196.04
-2.85x + 3.98y <= 597.1
6.99x + -3.04y <= -382.03
-0.45x + 5.97y <= 939.07
5.94x + 5.46y <= -632.67
3.74x + 5.63y <= -665.01
8.22x + 9.64y <= -900.35
4.51x + 9.83y <= 918.33
5.11x + -3.33y <= -437.19
-0.45x + 8.16y <= -215.11
-6.54x + 6.9y <= 729.22
4.36x + -3.34y <= -577.56
0.98x + 3.53y <= 685.33
3.78x + 4.98y <= 645.55
6.33x + 7.66y <= 113.52
3.66x + 6.97y <= 822.1
3.07x + 9.4y <= 788.36
-5.32x + 6.18y <= -469.56
1.33x + 3.79y <= 142.81
0.92x + 5.24y <= -574.04
9.53x + -3.4y <= -528.68
4.82x + 8.48y <= -636.26
5.24x + 2.93y <= 950.66
3.84x + -3.18y <= 160.81
2.05x + 2.74y <= -457.56
0.35x + 9.8y <= -841.98
7.51x + 3.26y <= -577.4
5.24x + 1.67y <= 469.01
-1.37x + 2.27y <= 609.26
3.97x + 3.95y <= -957.28
7.02x + -5.52y <= -921.8
7.62x + 5.26y <= 766.81
-6.48x + 6.26y <= 398.96
5.97x + 5.5y <= 165.96
8.46x + 4.76y <= 768.27
-2.73x + 5.6y <= 391.89
5.64x + 3.64y <= 132.58
0.28x + 3.67y <= 511.23
7.92x + -0.31y <= 900.8
-1.37x + 2.44y <= 335.8
1.8x + 4.28y <= -721.87
8.3x + -7.46y <= 769.0
8.92x + 9.95y <= 676.64
9.51x + 8.59y <= 902.22
3.98x + 9.15y <= -696.23
8.36x + -7.65y <= 523.24
7.56x + 3.96y <= -126.87
4.33x + -1.25y <= -130.04
8.64x + 0.85y <= 391.84
-2.71x + 8.67y <= -812.14
0.89x + 2.33y <= -806.9
2.25x + 8.93y <= -944.46
-2.91x + 6.7y <= 318.61
2.2x + 8.95y <= -401.47
9.18x + 8.05y <= 402.48
6.86x + 0.52y <= -212.64
7.03x + -3.49y <= 740.73
3.55x + -1.06y <= 529.75
3.26x + 7.99y <= -464.92
8.6x + -3.55y <= -230.07
9.78x + -9.14y <= -656.86
-1.91x + 2.3y <= -852.72
0.48x + 6.52y <= 844.06
6.08x + -0.43y <= -204.09
9.27x + -6.25y <= -673.14
8.31x + 3.81y <= 638.13
8.3x + 8.66y <= 847.28
-6.99x + 8.9y <= 450.62
-3.86x + 9.8y <= 959.82
7.66x + 1.84y <= 178.94
7.92x + -1.04y <= 148.81
0.29x + 7.66y <= -609.54
-3.74x + 6.81y <= 841.7
1.7x + -1.46y <= 354.14
7.66x + -6.4y <= 594.14
8.25x + 8.85y <= 998.88
5.29x + 2.77y <= 122.68
-1.75x + 6.45y <= 307.93
1.79x + 7.71y <= -701.19
9.66x + 9.22y <= -990.42
5.3x + 9.39y <= 433.84
7.32x + 8.42y <= -428.12
8.29x + -2.9y <= -911.19
6.94x + -5.7y <= -149.27
6.47x + 2.7y <= -801.51
0.84x + 6.77y <= -923.91
0.37x + 9.33y <= 467.99
6.55x + 7.39y <= -445.56
9.21x + 4.28y <= -112.59
5.35x + -0.52y <= -474.44
9.43x + -8.6y <= -482.91
0.1x + 1.51y <= 919.71
7.29x + 7.57y <= -856.82
-2.64x + 9.38y <= 549.5
-0.76x + 9.94y <= 739.54
3.81x + 4.97y <= 611.81
9.72x + -2.12y <= -793.97
7.92x + -2.71y <= 635.29
-1.72x + 6.81y <= -971.07
-2.41x + 3.99y <= 641.84
-4.17x + 4.86y <= -358.66
-6.55x + 9.27y <= -953.14
9.77x + 3.76y <= 603.88
-0.1x + 4.31y <= -639.82
6.27x + -3.16y <= -517.91
9.46x + -1.48y <= 737.09
1.68x + -1.23y <= -759.64
1.67x + 5.73y <= -849.73
3.38x + 3.45y <= 828.23
8.38x + -3.84y <= 210.5
7.0x + -2.32y <= -490.4
9.63x + 4.87y <= -406.76
2.08x + 3.22y <= -739.53
-0.79x + 2.2y <= -279.78
-0.08x + 5.55y <= 424.48
3.85x + 8.51y <= 509.28
4.97x + 7.31y <= -502.23
5.28x + -3.44y <= 241.45
-4.23x + 9.06y <= -130.3
7.84x + 5.36y <= -636.35
4.41x + 2.0y <= -966.78
4.32x + 2.34y <= 144.31
6.29x + 3.29y <= -701.59
9.22x + -1.11y <= 976.02
9.23x + 9.13y <= -797.67
8.25x + -1.81y <= 794.32
7.8x + 3.71y <= 204.04
8.36x + 3.54y <= -618.62
1.79x + -0.1y <= 934.74
-0.1x + 8.84y <= -238.76
7.03x + 7.51y <= 652.43
3.45x + 7.06y <= 143.99
8.37x + 6.18y <= 791.94
5.86x + 5.26y <= -517.99
-3.23x + 8.46y <= -470.08
2.84x + 5.58y <= -227.01
7.19x + 0.37y <= -880.77
-2.91x + 9.48y <= 943.81
-3.38x + 9.69y <= 657.82
-5.97x + 6.06y <= -269.94
2.63x + 2.28y <= 487.97
8.02x + 0.24y <= -272.56
-0.08x + 1.36y <= -199.33
6.18x + -1.34y <= -114.37
9.39x + 5.95y <= -259.39
7.71x + 5.96y <= -748.76
9.44x + 7.34y <= -358.22
-1.97x + 9.32y <= 169.16
-0.58x + 3.34y <= -549.06
-5.61x + 8.05y <= -303.43
6.43x + -1.82y <= -560.83
6.13x + -4.17y <= -192.85
-6.09x + 8.54y <= 479.22
6.39x + 0.2y <= -835.51
-6.3x + 7.46y <= -550.67
9.48x + -2.98y <= 505.59
-6.34x + 6.84y <= -103.65
3.09x + -0.55y <= -327.72
9.88x + -4.32y <= -229.44
-8.23x + 9.86y <= 828.33
4.13x + 8.2y <= 222.3
3.82x + 6.33y <= 849.64
-5.79x + 7.54y <= 330.36
6.68x + 0.98y <= 414.33
-0.84x + 7.51y <= 168.34
1.95x + 7.36y <= -187.08
9.16x + 0.84y <= 595.61
9.8x + 3.6y <= 782.3
-6.81x + 6.56y <= -664.37
6.63x + 7.75y <= -934.13
6.24x + -1.09y <= 928.97
-1.98x + 7.27y <= -277.64
-2.87x + 4.36y <= -282.12
5.86x + 9.72y <= 152.4
1.87x + 3.84y <= -578.77
8.03x + 8.39y <= -116.6
8.46x + -6.88y <= 619.63
6.16x + 9.07y <= 223.62
-0.34x + 0.33y <= -271.24
8.14x + -6.25y <= 123.3
6.15x + 4.49y <= 799.2
9.72x + -6.03y <= -429.48
-5.74x + 7.42y <= -742.4
-1.64x + 6.44y <= 707.98
-0.88x + 5.0y <= 523.71
2.17x + 5.59y <= 366.01
0.57x + 3.36y <= 985.12
-1.92x + 4.21y <= 341.89
4.35x + -1.11y <= -999.16
4.91x + -4.58y <= 818.08
8.9x + -3.99y <= 582.31
2.61x + 3.88y <= 929.95
4.5x + -3.25y <= 743.43
-2.23x + 4.72y <= 589.48
-1.57x + 9.01y <= -995.04
0.85x + 6.43y <= -486.28
-1.64x + 9.54y <= -311.84
9.42x + -2.63y <= 790.12
3.9x + -1.59y <= 919.56
1.89x + 6.49y <= 230.52
0.91x + 2.25y <= 696.83
9.92x + 5.49y <= -662.12
8.58x + -3.4y <= -181.36
0.71x + 5.68y <= -417.92
-2.89x + 4.52y <= -882.56
3.73x + -2.58y <= 352.48
-3.35x + 8.54y <= -836.34
2.4x + 1.84y <= 558.57
-2.68x + 8.09y <= -448.55
-4.91x + 8.7y <= -965.44
-0.61x + 4.17y <= 232.46
1.48x + 1.27y <= -441.74
-6.47x + 6.37y <= 552.22
9.56x + 0.91y <= 145.21
4.49x + 7.05y <= 392.76
1.96x + 1.26y <= -628.63
4.27x + 6.68y <= -214.32
9.3x + 7.21y <= 846.67
9.46x + 2.56y <= 321.32
-1.81x + 3.68y <= 952.67
-2.44x + 2.66y <= -766.17
9.44x + -0.7y <= -762.59
5.77x + 2.48y <= 497.3
1.01x + 5.13y <= 293.94
4.59x + -3.43y <= 383.09
0.65x + 6.15y <= -540.65
0.98x + 4.23y <= 511.9
8.91x + 7.37y <= 408.38
5.57x + 4.61y <= 481.11
8.7x + 1.29y <= -581.32
-1.93x + 8.17y <= -163.26
-0.35x + 8.74y <= 547.77
5.75x + 1.59y <= -107.74
0.06x + 6.04y <= 306.19
3.72x + -0.89y <= 588.84
6.49x + -5.73y <= -101.35
5.19x + 4.35y <= -385.99
0.73x + 5.72y <= 374.93
1.78x + 6.91y <= 634.33
9.91x + -7.74y <= -584.08
1.58x + 9.94y <= -132.95
0.59x + 3.42y <= 166.71
-5.04x + 9.77y <= 462.69
-6.56x + 8.04y <= -587.37
9.06x + 1.15y <= 824.96
8.74x + -1.24y <= -917.32
6.66x + -4.5y <= -636.5
-0.41x + 9.31y <= 448.18
1.16x + 1.7y <= -567.66
8.28x + 8.58y <= 116.55
5.56x + -3.37y <= 985.36
6.09x + 8.31y <= -782.91
-9.46x + 9.64y <= -657.94
-2.25x + 8.85y <= 525.78
3.36x + -2.33y <= -619.26
-7.24x + 9.05y <= -710.35
6.49x + 9.16y <= 438.52
4.83x + 3.93y <= -117.94
8.26x + 4.18y <= 822.33
3.69x + 9.91y <= -667.61
8.94x + 4.23y <= 428.24
4.29x + -1.29y <= 540.05
-0.02x + 8.11y <= 570.78
6.63x + -1.83y <= -811.19
9.63x + -2.39y <= 950.08
3.43x + 6.5y <= 576.89
2.49x + 7.58y <= -293.53
-1.23x + 7.66y <= -854.74
4.99x + 5.28y <= 229.28
9.3x + 6.02y <= -810.61
8.93x + 9.11y <= 683.74
9.49x + -5.35y <= -996.07
1.56x + 8.58y <= -155.1
5.59x + 8.38y <= -763.51
8.87x + -8.02y <= 431.89
5.58x + 0.95y <= -813.77
4.07x + 0.72y <= -330.12
0.99x + 4.45y <= 120.13
2.08x + -1.78y <= -703.83
2.41x + -1.14y <= -595.17
6.1x + 8.59y <= 499.46
6.49x + 8.35y <= -736.85
-4.47x + 9.0y <= 404.59
9.63x + 5.8y <= 831.45
9.12x + 6.9y <= 521.12
0.88x + 3.52y <= -250.47
5.83x + 0.38y <= 953.23
0.4x + 4.27y <= 937.7
-5.44x + 9.04y <= 561.23
4.74x + 5.84y <= -916.57
-7.43x + 8.12y <= -177.46
1.41x + 6.48y <= -568.54
