#result not equal
#convex result: (22.43897,34.05724) os tool result: None
max 97x + 19y
-59x + 5y <= 57600
12x + 100y <= 72411
-99x + 58y <= 23626
-92x + 6y <= 11003
86x + -100y <= 25054
-52x + -8y <= 23438
-9x + -41y <= 35357
-41x + -84y <= 11596
7x + 76y <= 57381
48x + -68y <= 93677
71x + -35y <= 53261
42x + 97y <= 58400
-93x + 19y <= 5365
82x + -72y <= 38210
26x + 5y <= 96987
63x + 52y <= 22145
21x + -78y <= 50111
80x + -68y <= 1745
25x + 71y <= 64471
7x + -7y <= 26866
-47x + 74y <= 93388
-92x + 64y <= 86733
3x + 73y <= 2539
79x + -13y <= 76856
-16x + -90y <= 22951
-3x + 56y <= 6567
-80x + -95y <= 20820
-54x + 87y <= 17058
-87x + -38y <= 74965
-39x + 93y <= 21292
-89x + -84y <= 71909
-37x + 45y <= 75339
7x + -11y <= 73786
-38x + -37y <= 65991
-5x + 17y <= 8864
-19x + -62y <= 97040
44x + 75y <= 29275
81x + -82y <= 35653
-38x + -91y <= 51841
-80x + 48y <= 92753
65x + -13y <= 51591
-35x + 96y <= 80055
-43x + -54y <= 93520
77x + 16y <= 83159
-57x + -38y <= 19724
46x + -57y <= 54810
-61x + 42y <= 23470
-78x + 8y <= 11000
10x + -12y <= 76365
95x + -64y <= 36621
47x + 8y <= 9538
-44x + 5y <= 27472
79x + 16y <= 47990
29x + 77y <= 36653
-54x + -72y <= 42959
-97x + 1y <= 75122
15x + 76y <= 38118
-53x + 98y <= 81454
-73x + -29y <= 5460
-47x + -7y <= 81355
-12x + 66y <= 34653
4x + 30y <= 31762
-36x + -29y <= 68986
40x + -19y <= 18090
78x + -59y <= 64101
14x + 56y <= 87423
-12x + 81y <= 19645
73x + -78y <= 94397
8x + 23y <= 11239
52x + 8y <= 27734
-75x + -63y <= 4389
55x + 4y <= 77789
92x + 31y <= 32656
29x + -64y <= 76443
-68x + -35y <= 57713
68x + -46y <= 40836
18x + -48y <= 71897
-18x + -5y <= 37625
16x + 28y <= 12872
-6x + 16y <= 90120
9x + -11y <= 4077
-4x + -25y <= 75908
-64x + 2y <= 49236
97x + -78y <= 58219
52x + -39y <= 62788
-55x + 45y <= 91814
-98x + 83y <= 78446
69x + 87y <= 19629
98x + -23y <= 34152
83x + -82y <= 13323
34x + 88y <= 7988
94x + -20y <= 64734
90x + -43y <= 91805
-96x + 27y <= 2532
77x + -52y <= 53603
94x + 7y <= 73581
-59x + 63y <= 84324
-39x + 52y <= 79663
-93x + 74y <= 23649
-93x + 20y <= 21766
-36x + 28y <= 97114
47x + -74y <= 1001
76x + -69y <= 67491
96x + 62y <= 61657
-92x + -33y <= 30301
58x + 81y <= 68424
34x + 8y <= 23815
-86x + -20y <= 65659
74x + -38y <= 88665
68x + 87y <= 34514
69x + -1y <= 46376
50x + -75y <= 51253
-73x + 33y <= 92439
-10x + -19y <= 51804
-29x + 45y <= 92769
-82x + 90y <= 80622
65x + -56y <= 61709
-76x + -36y <= 20984
88x + -34y <= 66407
80x + 98y <= 86747
-20x + -75y <= 99444
5x + 8y <= 55845
47x + -55y <= 89505
-87x + 35y <= 24286
80x + -94y <= 24646
10x + -24y <= 38959
-39x + -15y <= 90942
2x + 88y <= 53989
52x + 48y <= 59953
-51x + 45y <= 70095
-63x + 98y <= 45650
-7x + -66y <= 44784
50x + 74y <= 47231
93x + 86y <= 70217
-39x + 1y <= 20074
-4x + 65y <= 79991
20x + 93y <= 72499
97x + 32y <= 10465
86x + 92y <= 66957
16x + 89y <= 74274
27x + 6y <= 62594
14x + 42y <= 18188
-68x + -24y <= 75877
-87x + -78y <= 45708
67x + -81y <= 59897
75x + 38y <= 99842
55x + -71y <= 97661
-78x + 74y <= 98385
-21x + -35y <= 53102
-3x + 39y <= 60161
65x + -40y <= 72536
-100x + -91y <= 22024
72x + -18y <= 90158
4x + 28y <= 33059
-27x + 20y <= 38959
8x + 52y <= 27476
20x + -32y <= 80869
-88x + -4y <= 48112
-74x + 87y <= 51220
-39x + -72y <= 66486
59x + 87y <= 5161
64x + -94y <= 76803
-87x + 47y <= 97719
95x + 14y <= 32338
-34x + 40y <= 15576
49x + 47y <= 69092
88x + 19y <= 73032
64x + -94y <= 75076
-64x + 30y <= 57196
80x + 38y <= 68583
-27x + 4y <= 16814
-15x + -2y <= 78500
21x + -3y <= 30088
-100x + -79y <= 55506
78x + 5y <= 61590
-81x + 15y <= 76595
36x + 9y <= 13246
81x + -17y <= 82182
54x + -85y <= 90427
29x + 71y <= 24706
51x + 69y <= 78213
-13x + 5y <= 84350
95x + 12y <= 51967
36x + -34y <= 18842
97x + -19y <= 43494
-51x + -56y <= 3132
23x + 41y <= 47009
88x + -4y <= 35099
58x + -73y <= 85739
-13x + -56y <= 77123
-64x + -57y <= 12250
-100x + 5y <= 19564
-5x + -20y <= 70926
-92x + 63y <= 63140
27x + -77y <= 38088
-61x + -6y <= 74527
-56x + -15y <= 24664
-86x + -44y <= 33508
37x + 29y <= 86642
5x + -77y <= 91746
-78x + 7y <= 68817
-41x + 21y <= 55744
4x + -2y <= 33674
15x + 24y <= 35696
-53x + 71y <= 44141
62x + 45y <= 63177
-70x + -38y <= 79695
-10x + 91y <= 28566
64x + -22y <= 48144
29x + -78y <= 55682
42x + 100y <= 93876
15x + -72y <= 69873
91x + 80y <= 37532
-83x + -18y <= 49060
100x + -40y <= 57994
44x + 95y <= 61899
-84x + 22y <= 98376
-73x + -95y <= 58763
-81x + -86y <= 45139
90x + 80y <= 57875
68x + -37y <= 21452
-58x + 5y <= 89902
60x + 36y <= 57754
-14x + -9y <= 16724
-36x + 88y <= 36649
-83x + -73y <= 47214
-86x + 15y <= 64480
87x + -84y <= 30768
11x + 37y <= 59865
-98x + -16y <= 38202
42x + 59y <= 14951
-100x + -50y <= 77065
35x + 70y <= 86072
28x + -90y <= 80614
89x + 86y <= 61983
35x + 92y <= 6414
-76x + 52y <= 79901
-29x + -25y <= 82851
20x + -5y <= 84440
-54x + -98y <= 84365
-49x + 43y <= 35412
-----------------program end-----------------
